#lnL 	x[] 	 df 
501920.131617	[-3.40119738]	0.0
501920.131618	[-3.40119737]	0.0
501875.668722	[-4.40119738]	0.0
501875.668722	[-4.40119737]	0.0
501909.161638	[-6.09316589]	0.0
501909.161638	[-6.09316588]	0.0
501866.740089	[-4.88365133]	0.0
501866.740089	[-4.88365132]	0.0
501866.634137	[-4.95298419]	0.0
501866.634137	[-4.95298418]	0.0
501866.628997	[-4.94051607]	0.0
501866.628997	[-4.94051606]	0.0
501866.628999	[-4.94043125]	0.0
501866.628999	[-4.94043124]	0.0
501866.628997	[-4.94051039]	0.0
501866.628997	[-4.94051038]	0.0
501866.628997	[-4.94051583]	0.0
501866.628997	[-4.94051582]	0.0
501866.628997	[-4.94051606]	0.0
501866.628997	[-4.94051605]	0.0
501866.628997	[-4.94051607]	0.0
501866.628997	[-4.94051606]	0.0
501866.628997	[-4.94051607]	0.0
501866.628997	[-4.94051606]	0.0
501866.628997	[-4.94051607]	0.0
501866.628997	[-4.94051606]	0.0
501866.628997	[-4.94051607]	0.0
501866.628997	[-4.94051606]	0.0
501866.628997	[-4.94051607]	0.0
501866.628997	[-4.94051606]	0.0
501866.628997	[-4.94051607]	0.0
501866.628997	[-4.94051606]	0.0
