#lnL 	x[] 	 df 
1082458.89947	[-3.40119738]	0.0
1082458.89947	[-3.40119737]	0.0
1082450.41705	[-4.40119738]	0.0
1082450.41705	[-4.40119737]	0.0
1082449.68234	[-4.13226384]	0.0
1082449.68234	[-4.13226383]	0.0
1082449.61298	[-4.19322211]	0.0
1082449.61298	[-4.1932221]	0.0
1082449.61309	[-4.19204984]	0.0
1082449.61309	[-4.19204983]	0.0
1082449.61299	[-4.19307642]	0.0
1082449.61299	[-4.19307641]	0.0
1082449.61298	[-4.19321014]	0.0
1082449.61298	[-4.19321013]	0.0
1082449.61298	[-4.19322091]	0.0
1082449.61298	[-4.1932209]	0.0
1082449.61298	[-4.19322185]	0.0
1082449.61298	[-4.19322184]	0.0
1082449.61298	[-4.19322209]	0.0
1082449.61298	[-4.19322208]	0.0
1082449.61298	[-4.19322211]	0.0
1082449.61298	[-4.1932221]	0.0
-1008547.52059	-0.729017213106	-0.470051482549	-0.757039831103	2.34551202013	-0.700369629789	2.19321654542	-0.28804589322	-3.40119738166	-3.98876575902	-5.71508018786	-4.15520161028	-4.06021319285	-6.0779271676	-5.80298624543	-6.33692036764	-5.35525943736	-6.95838905776	-5.57058051487	-6.0451761055	-5.6846252955
-1008547.52059	-0.729017213106	-0.470051482549	-0.757039831103	2.34551202013	-0.700369629789	2.19321654542	-0.28804588322	-3.40119737166	-3.98876575902	-5.71508018786	-4.15520161028	-4.06021319285	-6.0779271676	-5.80298624543	-6.33692036764	-5.35525943736	-6.95838905776	-5.57058051487	-6.0451761055	-5.6846252955
-1008527.77814	-0.729017213106	-0.470051482549	-0.757039831103	2.34551202013	-0.700369629789	2.19321654542	0.71195410678	-2.40119738166	-3.98876575902	-5.71508018786	-4.15520161028	-4.06021319285	-6.0779271676	-5.80298624543	-6.33692036764	-5.35525943736	-6.95838905776	-5.57058051487	-6.0451761055	-5.6846252955
-1008527.77814	-0.729017213106	-0.470051482549	-0.757039831103	2.34551202013	-0.700369629789	2.19321654542	0.71195411678	-2.40119737166	-3.98876575902	-5.71508018786	-4.15520161028	-4.06021319285	-6.0779271676	-5.80298624543	-6.33692036764	-5.35525943736	-6.95838905776	-5.57058051487	-6.0451761055	-5.6846252955
-1008527.0212	-0.729017213106	-0.470051482549	-0.757039831103	2.34551202013	-0.700369629789	2.19321654542	0.878224890628	-2.23492659781	-3.98876575902	-5.71508018786	-4.15520161028	-4.06021319285	-6.0779271676	-5.80298624543	-6.33692036764	-5.35525943736	-6.95838905776	-5.57058051487	-6.0451761055	-5.6846252955
-1008527.0212	-0.729017213106	-0.470051482549	-0.757039831103	2.34551202013	-0.700369629789	2.19321654542	0.878224900628	-2.23492658781	-3.98876575902	-5.71508018786	-4.15520161028	-4.06021319285	-6.0779271676	-5.80298624543	-6.33692036764	-5.35525943736	-6.95838905776	-5.57058051487	-6.0451761055	-5.6846252955
-1008526.26031	-0.729017213106	-0.470051482549	-0.757039831103	2.34551202013	-0.700369629789	2.19321654542	1.15960621714	-1.9535452713	-3.98876575902	-5.71508018786	-4.15520161028	-4.06021319285	-6.0779271676	-5.80298624543	-6.33692036764	-5.35525943736	-6.95838905776	-5.57058051487	-6.0451761055	-5.6846252955
-1008547.51797	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	-0.288038414045	-3.40119738166	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008547.51797	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	-0.288038404045	-3.40119737166	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008527.77686	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	0.711961585955	-2.40119738166	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
