#Site1	Site2	lnL	
0	3	-2.53303323573
0	4	-2.48584725991
0	5	-9.4613826348
0	6	-3.02248649442
0	7	-2.96047520225
0	8	-3.39436893786
0	9	-2.57288141051
0	10	-2.53103226762
0	11	-4.17176420772
0	12	-2.57288209071
0	13	-2.53103233537
0	14	-7.04107308178
0	15	-2.57288242302
0	16	-2.53103236861
0	17	-6.29129634973
0	18	-2.53303966701
0	19	-2.82099995304
0	20	-9.1043748878
0	21	-3.02249046869
0	22	-2.82099996559
0	23	-9.58717944231
0	24	-2.57288274885
0	25	-2.82099997802
0	26	-9.37916265674
0	27	-3.02249058812
0	28	-2.82099997802
0	29	-12.3609224418
0	30	-3.02249058812
0	31	-2.48584790846
0	32	-3.39440062453
0	33	-3.02249058812
0	34	-2.82099997802
0	35	-4.07328082909
0	36	-2.88539838186
0	37	-2.53103240129
0	38	-12.523395195
0	39	-3.02249058812
0	40	-2.48584790846
0	41	-6.30514016165
0	42	-2.57288274885
0	43	-2.53103240129
0	44	-7.14179515319
0	45	-17.6771681611
0	46	-2.82099997802
0	47	-6.89416170136
0	48	-3.02249058812
0	49	-2.96047560811
0	50	-3.39440062453
0	51	-2.57288274885
0	52	-2.53103240129
0	53	-7.14179515319
0	54	-3.02249058812
0	55	-2.96047560811
0	56	-3.39440062453
0	57	-8.67242457931
0	58	-2.48584790846
0	59	-7.56526874483
0	60	-2.57288274885
0	61	-2.48584790846
0	62	-13.4221126844
0	63	-2.57288274885
0	64	-2.53103240129
0	65	-6.50659449377
0	66	-3.02249058812
0	67	-2.48584790846
0	68	-9.95698986032
0	69	-2.57288274885
0	70	-2.53103240129
0	71	-9.09448770962
0	72	-3.02249058812
0	73	-2.96047560811
0	74	-3.39440062453
0	75	-2.5330398495
0	76	-2.82099997802
0	77	-6.03458389368
0	78	-2.88539838186
0	79	-2.82099997802
0	80	-3.33924152181
0	81	-2.57288274885
0	82	-2.48584790846
0	83	-9.28788268969
0	84	-2.57288274885
0	85	-2.82099997802
0	86	-7.80519139536
0	87	-2.5330398495
0	88	-2.48584790846
0	89	-6.50659449377
0	90	-3.02249058812
0	91	-2.48584790846
0	92	-6.5176938517
0	93	-12.0228417236
0	94	-2.53103240129
0	95	-6.75093729277
0	96	-2.88539838186
0	97	-2.82099997802
0	98	-3.33924152181
0	99	-3.02249058812
0	100	-2.53103240129
0	101	-3.33924152181
0	102	-2.57288274885
0	103	-2.48584790846
0	104	-6.8510618658
0	105	-10.1438854748
0	106	-2.48584790846
0	107	-6.29132427733
0	108	-2.57288274885
0	109	-2.96047560811
0	110	-3.33924152181
0	111	-2.5330398495
0	112	-2.48584790846
0	113	-6.99838178026
0	114	-2.57288274885
0	115	-2.53103240129
0	116	-6.99510269597
0	117	-3.02249058812
0	118	-2.48584790846
0	119	-23.0233844427
0	120	-2.5330398495
0	121	-2.53103240129
0	122	-4.07328082909
0	123	-3.02249058812
0	124	-2.53103240129
0	125	-3.33924152181
0	126	-2.88539838186
0	127	-2.82099997802
0	128	-14.8665213544
0	129	-2.5330398495
0	130	-2.48584790846
0	131	-14.9113064753
0	132	-2.5330398495
0	133	-2.48584790846
0	134	-9.70005549266
0	135	-2.5330398495
0	136	-2.48584790846
0	137	-7.68423608802
0	138	-3.02249058812
0	139	-2.48584790846
0	140	-7.88028474804
0	141	-3.02249058812
0	142	-2.96047560811
0	143	-3.39440062453
0	144	-8.04487735931
0	145	-2.48584790846
0	146	-6.89216633004
0	147	-3.02249058812
0	148	-2.53103240129
0	149	-4.07328082909
0	150	-2.57288274885
0	151	-2.53103240129
0	152	-16.750478008
0	153	-2.5330398495
0	154	-2.48584790846
0	155	-9.13594037322
0	156	-11.7539064835
0	157	-2.82099997802
0	158	-9.3048544145
0	159	-2.57288274885
0	160	-2.53103240129
0	161	-7.4207972122
0	162	-2.57288274885
0	163	-2.48584790846
0	164	-12.2531159737
0	165	-3.02249058812
0	166	-2.53103240129
0	167	-11.0680732694
0	168	-2.57288274885
0	169	-2.48584790846
0	170	-10.2417383105
0	171	-2.57288274885
0	172	-2.96047560811
0	173	-3.33924152181
0	174	-3.02249058812
0	175	-2.48584790846
0	176	-6.5176938517
0	177	-2.57288274885
0	178	-2.96047560811
0	179	-3.33924152181
0	180	-3.02249058812
0	181	-2.48584790846
0	182	-11.7784630958
0	183	-2.57288274885
0	184	-2.82099997802
0	185	-10.1139076335
0	186	-3.02249058812
0	187	-2.96047560811
0	188	-3.39440062453
0	189	-3.02249058812
0	190	-2.96047560811
0	191	-3.39440062453
0	192	-3.02249058812
0	193	-2.96047560811
0	194	-3.39440062453
0	195	-2.88539838186
0	196	-2.53103240129
0	197	-12.2326534956
0	198	-3.02249058812
0	199	-2.48584790846
0	200	-6.16949418644
0	201	-2.5330398495
0	202	-2.82099997802
0	203	-11.8585456909
0	204	-2.88539838186
0	205	-2.53103240129
0	206	-3.33924152181
0	207	-3.02249058812
0	208	-2.48584790846
0	209	-14.4857949207
0	210	-2.5330398495
0	211	-2.53103240129
0	212	-12.199023635
0	213	-3.02249058812
0	214	-2.82099997802
0	215	-9.8836341215
0	216	-2.57288274885
0	217	-2.48584790846
0	218	-11.1465678841
0	219	-2.57288274885
0	220	-2.96047560811
0	221	-3.33924152181
0	222	-2.88539838186
0	223	-2.53103240129
0	224	-3.33924152181
0	225	-3.02249058812
0	226	-2.82099997802
0	227	-13.5818078456
0	228	-2.57288274885
0	229	-2.48584790846
0	230	-10.1009922873
0	231	-3.02249058812
0	232	-2.82099997802
0	233	-6.19209659543
0	234	-2.57288274885
0	235	-2.53103240129
0	236	-8.53390211055
0	237	-3.02249058812
0	238	-2.96047560811
0	239	-3.39440062453
0	240	-2.5330398495
0	241	-2.48584790846
0	242	-13.5367422398
0	243	-3.02249058812
0	244	-2.48584790846
0	245	-7.75344545838
0	246	-3.02249058812
0	247	-2.82099997802
0	248	-3.39440062453
0	249	-2.5330398495
0	250	-2.53103240129
0	251	-4.07328082909
0	252	-2.88539838186
0	253	-2.53103240129
0	254	-11.150550051
0	255	-2.88539838186
0	256	-2.53103240129
0	257	-3.33924152181
0	258	-2.57288274885
0	259	-2.53103240129
0	260	-12.1881116049
0	261	-2.5330398495
0	262	-18.2303259728
0	263	-10.1548344765
0	264	-3.02249058812
0	265	-2.48584790846
0	266	-8.99502423443
0	267	-3.02249058812
0	268	-2.53103240129
0	269	-9.81372490185
0	270	-3.02249058812
0	271	-2.53103240129
0	272	-6.60414725921
0	273	-2.88539838186
0	274	-2.53103240129
0	275	-3.33924152181
0	276	-2.5330398495
0	277	-2.82099997802
0	278	-9.57885958885
0	279	-2.57288274885
0	280	-2.53103240129
0	281	-4.17178529248
0	282	-2.57288274885
0	283	-2.53103240129
0	284	-4.07328082909
0	285	-3.02249058812
0	286	-2.53103240129
0	287	-3.33924152181
0	288	-8.59796129868
0	289	-2.48584790846
0	290	-6.50659449377
0	291	-2.57288274885
0	292	-2.53103240129
0	293	-6.99510269597
0	294	-2.57288274885
0	295	-2.53103240129
0	296	-7.14179515319
0	297	-3.02249058812
0	298	-2.82099997802
0	299	-10.874969236
0	300	-2.5330398495
0	301	-2.48584790846
0	302	-4.07328082909
0	303	-2.57288274885
0	304	-2.82099997802
0	305	-16.1889044066
0	306	-2.5330398495
0	307	-2.82099997802
0	308	-3.39440062453
0	309	-2.5330398495
0	310	-2.53103240129
0	311	-4.07328082909
0	312	-3.02249058812
0	313	-2.53103240129
0	314	-4.07328082909
0	315	-2.57288274885
0	316	-2.96047560811
0	317	-3.33924152181
0	318	-2.57288274885
0	319	-2.82099997802
0	320	-8.38860890487
0	321	-2.5330398495
0	322	-2.48584790846
0	323	-6.99510269597
0	324	-2.5330398495
0	325	-2.48584790846
0	326	-4.17178529248
0	327	-2.57288274885
0	328	-2.48584790846
0	329	-7.19839236137
0	330	-3.02249058812
0	331	-2.82099997802
0	332	-3.39440062453
0	333	-3.02249058812
0	334	-2.53103240129
0	335	-6.03458389368
0	336	-2.5330398495
0	337	-2.82099997802
