#Site	lnL	
0	-4.29923876432
1	-5.51240794616
2	-4.28613523192
3	-9.04549923457
4	-13.1015827647
5	-5.51240794616
6	-4.95559148412
7	-4.83912878737
8	-4.95034783074
9	-5.40220216207
10	-11.4125575406
11	-5.40220216207
12	-4.95559148412
13	-4.29923876432
14	-5.00407646418
15	-4.57521169163
16	-5.40220216207
17	-5.4266997732
18	-7.69831438595
19	-4.83912878737
20	-5.06488253234
21	-14.7363531526
22	-5.51240794616
23	-8.09240054692
24	-17.6873214527
25	-30.7301390249
26	-23.4854039926
27	-14.4627184615
28	-16.1352651766
29	-10.2882180015
30	-11.7025817054
31	-5.06488253234
32	-19.6661453042
33	-4.95559148412
34	-5.06488253234
35	-8.0817322937
36	-5.51240794616
37	-5.4266997732
38	-4.51496795994
39	-10.7382647871
40	-9.19846505169
41	-5.07557943447
42	-12.7754745657
43	-9.03317561465
44	-11.0174117319
45	-5.51240794616
46	-9.58862423483
47	-5.07557943447
48	-4.57521169163
49	-5.06488253234
50	-5.51240794616
51	-4.29923876432
52	-5.20983754329
53	-8.51788203604
54	-5.06488253234
55	-15.8083190193
56	-4.95559148412
57	-4.57521169163
58	-5.51240794616
59	-5.06488253234
60	-18.8559956368
61	-5.51240794616
62	-9.55634820054
63	-11.747965829
64	-4.95559148412
65	-8.14687947311
66	-13.1761543576
67	-13.5694764621
68	-7.73526990062
69	-7.41940136033
70	-11.9857461398
71	-8.37732760667
72	-5.51240794616
73	-18.1637425196
74	-14.8445018796
75	-10.1334526655
76	-4.94554921378
77	-9.1262988589
78	-4.29923876432
79	-13.2968715496
80	-5.51240794616
81	-4.94554921378
82	-4.83912878737
83	-13.0854320824
84	-22.7908626355
85	-11.8594854934
86	-13.5471350966
87	-4.83912878737
88	-9.84516929788
89	-4.94554921378
90	-9.88190348823
91	-4.83912878737
92	-16.5097491105
93	-4.76728979577
94	-15.0235977691
95	-15.8193341635
96	-5.06488253234
97	-5.31653320447
98	-12.4258178109
99	-16.9934312935
100	-4.88361458811
101	-4.83912878737
102	-4.57521169163
103	-8.19222993078
104	-4.44344659413
105	-5.68707906661
106	-14.6644087834
107	-4.83912878737
108	-9.88480831873
109	-5.06488253234
110	-30.5720169681
111	-12.9513088234
112	-8.719075233
113	-8.52705214321
114	-5.06488253234
115	-16.1251910089
116	-26.7758894582
117	-8.19222993078
118	-18.9776040643
119	-8.02917799804
120	-17.0123537757
121	-4.57521169163
122	-5.51240794616
123	-14.3014868607
124	-12.090094789
125	-16.557235053
126	-4.57521169163
127	-5.68707906661
128	-5.06488253234
129	-4.83912878737
130	-8.00006850059
131	-5.20983754329
132	-5.4022484627
133	-4.57521169163
134	-5.20983754329
135	-4.83912878737
136	-8.40231476718
137	-24.707465986
138	-5.40220216207
139	-23.2702482516
140	-14.193379502
141	-12.3434442283
142	-7.94228600357
143	-4.76728979577
144	-9.03901926313
145	-14.425717265
146	-9.66106136953
147	-9.45658266274
148	-4.57521169163
149	-9.32192001575
150	-10.2269949204
151	-9.89806952037
152	-8.636007207
153	-5.06052679397
154	-14.2553572032
155	-9.03961770328
156	-4.76728979577
157	-11.9568040456
158	-7.99308115533
