#Site	lnL	
0	-16.2481573447
1	-15.4821321987
2	-17.4855624315
3	-12.7356051154
4	-16.7051730938
5	-12.7584913389
6	-12.8861051757
7	-15.289586064
8	-16.2779056179
9	-12.7356051154
10	-15.1353366333
11	-15.5841302305
12	-12.8030442825
13	-12.3848817031
14	-12.7356051154
15	-12.9150693147
16	-12.0349677129
17	-12.0259074465
18	-12.2651070947
19	-13.2696275727
20	-17.1732913254
21	-27.4097777533
22	-19.2296648107
23	-12.9150693147
24	-19.8872799921
25	-13.0371879194
26	-12.0259074465
27	-24.3602845751
28	-18.4565830488
29	-21.5038357152
30	-15.6566821249
31	-28.3533879155
32	-15.1894621644
33	-12.3848817031
34	-13.2696275727
35	-21.2926416155
36	-24.0663905977
37	-12.3848817031
38	-20.2155413692
39	-47.1852211186
40	-34.6800885475
41	-23.5330627792
42	-22.4403972269
43	-18.5777591343
44	-12.3100372187
45	-19.9466929595
46	-12.8861051757
47	-20.1456890688
48	-27.6728942219
49	-22.1328715044
50	-25.0101912421
51	-28.4772588272
52	-13.8147324816
53	-12.3848817031
54	-19.8530143863
55	-19.6169055753
56	-23.234099034
57	-16.0140493993
58	-20.5827817761
59	-12.8861051757
60	-12.6987261458
61	-28.7630636701
62	-14.6280582975
63	-16.1246019751
64	-12.4662755029
65	-12.3848817031
66	-15.30995279
67	-20.5422821625
68	-12.3848817031
69	-13.2696332039
70	-25.0998212709
71	-12.3848817031
72	-13.3917321786
73	-12.8030442825
74	-36.3410350864
75	-15.7062899421
76	-23.215782132
77	-12.2651070947
78	-24.5150585571
79	-19.5396073028
80	-21.8513622296
81	-13.2696332039
82	-13.3917321786
83	-17.5978404209
84	-17.3434572561
85	-13.2696332039
86	-22.9749384894
87	-19.0127034851
88	-17.8881088004
89	-17.4364580449
90	-16.7326603337
91	-16.2584061852
92	-13.3917321786
93	-19.7313392231
94	-26.4980805144
95	-16.6244203573
96	-13.0371879194
97	-12.9150693147
98	-12.3848817031
99	-13.2696275727
100	-12.0259074465
101	-12.4662755029
102	-39.6955256435
103	-20.2748072476
104	-42.6933560714
105	-12.2651070947
106	-19.1140781122
107	-24.3457764505
108	-35.8344440801
109	-54.4376973234
110	-17.60685833
111	-29.2769726646
112	-12.0259074465
113	-12.3848817031
114	-24.0699425822
115	-12.7356051154
116	-16.1513026923
117	-12.5949222771
118	-12.0259074465
119	-22.3525850107
120	-12.7356051154
121	-25.5699195388
122	-22.1801630816
123	-19.9620839137
124	-12.8030442825
125	-12.8861051757
126	-19.7226191818
127	-25.0861030197
128	-19.746848882
129	-12.7356051154
130	-30.5979692997
131	-12.8861051757
132	-12.2651070947
133	-32.1217709358
134	-12.2651070947
135	-12.0259074465
136	-12.989219307
137	-13.8147324816
138	-19.544151917
139	-17.3480100702
140	-13.2696332039
141	-25.9403562328
142	-20.5072452786
143	-12.8030442825
144	-22.0467138506
145	-18.3115567693
146	-24.7717625578
147	-12.0259074465
148	-12.8861051757
149	-48.6617678256
150	-25.0974395973
151	-12.5328576207
152	-16.327749187
153	-12.2651070947
154	-40.7534815064
155	-12.3848817031
156	-13.2696332039
157	-31.4778836161
158	-30.1897748157
159	-13.0371879194
160	-20.0500410968
161	-20.6306450011
162	-12.2651070947
163	-16.2056224748
164	-13.2696332039
165	-39.1184645615
166	-12.3848817031
167	-24.6001392165
168	-15.7062899421
169	-12.3848817031
170	-23.5670615808
171	-13.7745259723
172	-12.3848817031
173	-23.4650321623
174	-27.2981094982
175	-12.7356051154
176	-36.0408860369
177	-42.5677825895
178	-48.526442638
179	-13.3917321786
180	-36.2114244479
181	-12.3848817031
182	-15.3749811445
183	-12.7356051154
184	-16.2713502474
185	-28.5740738104
186	-24.8465956823
187	-42.4698106112
188	-38.4303432165
189	-13.2696332039
190	-12.2651070947
191	-13.2696332039
192	-15.7092470797
193	-13.2696332039
194	-15.8907956419
195	-12.7356051154
196	-12.7356051154
