#Site	lnL	
0	-4.40209736054
1	-5.17384925277
2	-8.25011979259
3	-5.43692880319
4	-4.97229919852
5	-6.02882494216
6	-5.76399447943
7	-11.1049635646
8	-10.5782974432
9	-4.97229919852
10	-7.83866394706
11	-5.43692880319
12	-8.25011979259
13	-6.3254028543
14	-4.97229919852
15	-8.51569601232
16	-5.14150847719
17	-8.38237912062
18	-15.2727516637
19	-11.1394035079
20	-16.2155320148
21	-4.97229919852
22	-7.84705994235
23	-16.4006724822
24	-4.80960292765
25	-5.65954719617
26	-8.83346072302
27	-7.283326773
28	-12.2386964906
29	-13.9897912384
30	-5.17384925277
31	-5.43692880319
32	-12.1134049515
33	-10.4906023346
34	-11.1160838596
35	-9.29533877481
36	-5.43692880319
37	-4.97229919852
38	-4.40209736054
39	-8.2190961905
40	-13.4195468846
41	-4.97229919852
42	-8.1359962746
43	-15.253752951
44	-14.962777923
45	-4.82024565602
46	-16.1780349317
47	-12.5203863369
48	-17.5325321237
49	-13.269763733
50	-4.97229919852
51	-5.37345656033
52	-16.6513925132
53	-11.8359205582
54	-4.82024565602
55	-15.5053376935
56	-11.4015019943
57	-14.719295067
58	-5.08853349282
59	-23.1476903077
60	-4.82024565602
61	-5.08853349282
62	-13.3339224883
63	-23.745874545
64	-5.17384925277
65	-10.6788025152
66	-15.325722078
67	-10.7238350819
68	-10.874149467
69	-5.43692880319
70	-12.7354130104
71	-7.29546392318
72	-5.08853349282
73	-9.01715098834
74	-15.2178375231
75	-12.079099891
76	-11.1188955925
77	-11.2672370267
78	-5.2521837231
79	-8.46790266334
80	-12.8673312189
81	-4.97229919852
82	-14.0681945141
83	-11.877027846
84	-8.77918639523
85	-11.4073699651
86	-4.97229919852
87	-17.777270879
88	-4.97229919852
89	-8.20887978181
90	-19.0991503138
91	-4.97229919852
92	-18.9568704857
93	-18.504553249
94	-4.97229919852
95	-6.02882494216
96	-14.1654809636
97	-16.3340500653
98	-4.46916915741
99	-4.97229919852
100	-5.17384925277
101	-4.97229919852
102	-8.65502960886
103	-4.80960292765
104	-10.2042477626
105	-18.6240080994
106	-19.0023172062
107	-18.4005151999
108	-5.99593270269
109	-20.5298204075
110	-10.3823377766
111	-27.3310552409
112	-20.7426595093
113	-16.4351243469
114	-16.8541107249
115	-5.43692880319
116	-10.8506040544
117	-8.2190961905
