#Site1	Site2	lnL	
0	3	-2.96782582061
0	4	-2.90376960473
0	5	-3.75590105501
0	6	-2.96783889728
0	7	-2.90377464998
0	8	-3.63956844368
0	9	-2.68733783068
0	10	-2.64358949314
0	11	-4.52901884348
0	12	-2.66644787639
0	13	-2.61616477234
0	14	-6.07001653219
0	15	-3.14391103665
0	16	-2.64359019616
0	17	-3.75599316717
0	18	-2.96784666766
0	19	-2.90377770187
0	20	-13.9152527563
0	21	-2.68733988577
0	22	-11.4420263467
0	23	-3.75599502363
0	24	-3.14391147352
0	25	-2.64359031651
0	26	-3.63960006702
0	27	-3.14391149074
0	28	-2.61616514362
0	29	-3.75599531146
0	30	-2.6873399329
0	31	-2.64359032313
0	32	-9.44074780197
0	33	-2.66644882274
0	34	-9.99142399053
0	35	-4.37067698367
0	36	-7.44722061081
0	37	-2.61616514695
0	38	-11.2168628601
0	39	-2.66644882391
0	40	-2.64359032427
0	41	-4.37067699268
0	42	-11.2507362074
0	43	-2.61616514713
0	44	-9.2663861076
0	45	-2.68733993594
0	46	-3.08113542518
0	47	-3.63960018388
0	48	-3.1439115019
0	49	-2.90377777576
0	50	-9.21509499535
0	51	-3.14391150191
0	52	-2.61616514716
0	53	-9.21509499485
0	54	-3.14391150192
0	55	-3.0811354252
0	56	-3.75599536431
0	57	-3.14391150192
0	58	-3.0811354252
0	59	-3.75599536432
0	60	-3.14391150192
0	61	-2.64359032434
0	62	-3.63960018405
0	63	-3.14391150192
0	64	-2.61616514716
0	65	-11.2421653595
0	66	-3.14391150192
0	67	-3.0811354252
0	68	-3.75599536432
0	69	-3.14391150192
0	70	-2.90377777577
0	71	-7.05255049658
0	72	-2.66644882413
0	73	-2.90377777577
0	74	-9.09478192988
0	75	-3.14391150192
0	76	-2.90377777577
0	77	-12.7485153944
0	78	-3.14391150192
0	79	-2.90377777577
0	80	-7.28908081976
0	81	-2.66644882413
0	82	-2.61616514716
0	83	-12.7582581304
0	84	-3.14391150192
0	85	-2.90377777577
0	86	-5.61982666844
0	87	-2.96784685455
0	88	-2.90377777577
0	89	-3.63960018405
0	90	-2.68733993597
0	91	-2.64359032434
0	92	-4.52903715274
0	93	-2.68733993597
0	94	-2.61616514716
0	95	-9.46801765061
0	96	-3.14391150192
0	97	-3.0811354252
0	98	-3.75599536432
0	99	-2.96784685455
0	100	-2.90377777577
0	101	-16.0357844509
0	102	-8.41117902661
0	103	-2.61616514716
0	104	-13.8078304956
0	105	-3.14391150192
0	106	-3.0811354252
0	107	-3.75599536432
0	108	-13.1388278143
0	109	-2.61616514716
0	110	-12.9882041117
0	111	-2.66644882413
0	112	-2.90377777577
0	113	-20.6848388622
0	114	-2.96784685455
0	115	-2.90377777577
0	116	-3.63960018405
0	117	-2.68733993597
0	118	-2.64359032434
0	119	-4.52903715274
0	120	-2.68733993597
0	121	-2.64359032434
0	122	-4.52903715274
0	123	-3.14391150192
0	124	-2.61616514716
0	125	-15.4476659951
0	126	-3.14391150192
0	127	-3.0811354252
0	128	-3.75599536432
0	129	-3.14391150192
0	130	-2.64359032434
0	131	-3.63960018405
0	132	-3.14391150192
0	133	-2.64359032434
0	134	-7.36062523935
0	135	-2.68733993597
0	136	-2.61616514716
0	137	-12.4967240667
0	138	-3.14391150192
0	139	-2.90377777577
0	140	-16.5304424393
0	141	-2.68733993597
0	142	-2.64359032434
0	143	-4.52903715274
0	144	-3.14391150192
0	145	-2.90377777577
0	146	-16.0740756484
0	147	-2.68733993597
0	148	-2.90377777577
0	149	-4.37067699434
0	150	-2.68733993597
0	151	-2.64359032434
0	152	-8.44967596861
0	153	-3.14391150192
0	154	-2.64359032434
0	155	-7.79838787222
0	156	-2.66644882413
0	157	-2.61616514716
0	158	-4.37067699434
0	159	-2.68733993597
0	160	-2.64359032434
0	161	-13.4718339235
0	162	-3.14391150192
0	163	-3.0811354252
0	164	-3.75599536432
0	165	-2.68733993597
0	166	-2.61616514716
0	167	-6.3965985879
0	168	-2.68733993597
0	169	-2.64359032434
0	170	-8.44967596861
0	171	-3.14391150192
0	172	-2.61616514716
0	173	-5.61982666844
0	174	-2.68733993597
0	175	-2.90377777577
0	176	-16.9857671374
0	177	-3.14391150192
0	178	-2.61616514716
0	179	-12.7602641016
0	180	-2.96784685455
0	181	-2.64359032434
0	182	-6.80456365601
0	183	-2.66644882413
0	184	-2.61616514716
0	185	-14.1824103613
0	186	-2.68733993597
0	187	-2.64359032434
0	188	-10.2616789556
0	189	-2.68733993597
0	190	-2.61616514716
0	191	-15.4071735099
0	192	-2.96784685455
0	193	-2.64359032434
0	194	-3.63960018405
0	195	-2.68733993597
0	196	-2.64359032434
0	197	-4.37067699434
0	198	-2.68733993597
0	199	-3.0811354252
0	200	-3.63960018405
0	201	-2.96784685455
0	202	-2.64359032434
0	203	-3.63960018405
0	204	-3.14391150192
0	205	-2.90377777577
0	206	-9.45002257232
0	207	-8.35326906942
0	208	-2.90377777577
0	209	-11.8698160532
0	210	-3.14391150192
0	211	-2.90377777577
0	212	-11.7839639655
0	213	-2.66644882413
0	214	-2.90377777577
0	215	-3.75599536432
0	216	-3.14391150192
0	217	-2.61616514716
0	218	-3.75599536432
0	219	-3.14391150192
0	220	-2.61616514716
0	221	-11.426851813
0	222	-2.96784685455
0	223	-2.90377777577
0	224	-3.63960018405
0	225	-2.66644882413
0	226	-2.90377777577
0	227	-12.8113497635
0	228	-3.14391150192
0	229	-2.90377777577
0	230	-6.0700041696
0	231	-2.66644882413
0	232	-2.90377777577
0	233	-11.2514157516
0	234	-2.66644882413
0	235	-2.90377777577
0	236	-3.75599536432
0	237	-3.14391150192
0	238	-2.61616514716
0	239	-9.08966295605
0	240	-2.68733993597
0	241	-2.61616514716
0	242	-12.7280538322
0	243	-2.68733993597
0	244	-2.90377777577
0	245	-16.4147818714
0	246	-3.14391150192
0	247	-2.90377777577
0	248	-11.2640089155
0	249	-2.66644882413
0	250	-2.61616514716
0	251	-4.52903715274
0	252	-2.68733993597
0	253	-2.64359032434
0	254	-4.52903715274
0	255	-3.14391150192
0	256	-2.64359032434
0	257	-3.63960018405
0	258	-2.96784685455
0	259	-2.90377777577
0	260	-8.98112922972
0	261	-2.96784685455
0	262	-2.90377777577
0	263	-3.63960018405
0	264	-2.68733993597
0	265	-3.0811354252
0	266	-3.63960018405
0	267	-3.14391150192
0	268	-2.64359032434
0	269	-6.3965985879
0	270	-2.68733993597
0	271	-3.0811354252
0	272	-3.63960018405
0	273	-2.68733993597
0	274	-2.64359032434
0	275	-4.52903715274
0	276	-2.68733993597
0	277	-2.64359032434
0	278	-4.52903715274
0	279	-3.14391150192
0	280	-2.64359032434
0	281	-11.8939395903
0	282	-2.68733993597
0	283	-2.64359032434
0	284	-7.57858101084
0	285	-2.68733993597
0	286	-2.64359032434
0	287	-9.90205467679
0	288	-15.6778440046
0	289	-2.61616514716
0	290	-7.71375817221
0	291	-2.68733993597
0	292	-2.64359032434
0	293	-4.52903715274
0	294	-2.96784685455
0	295	-2.64359032434
0	296	-8.31991550956
0	297	-2.68733993597
0	298	-3.0811354252
0	299	-9.8886806555
0	300	-3.14391150192
0	301	-3.0811354252
0	302	-3.75599536432
0	303	-2.68733993597
0	304	-2.64359032434
0	305	-4.37067699434
0	306	-10.5841725275
0	307	-2.61616514716
0	308	-19.7325584992
0	309	-2.96784685455
0	310	-2.64359032434
0	311	-3.63960018405
0	312	-12.8405200018
0	313	-2.61616514716
0	314	-6.59039465992
0	315	-3.14391150192
0	316	-2.64359032434
0	317	-10.1542635507
0	318	-3.14391150192
0	319	-2.64359032434
0	320	-21.4426726117
0	321	-2.68733993597
0	322	-2.61616514716
0	323	-9.23309133584
0	324	-8.61120982261
0	325	-2.61616514716
0	326	-3.75599536432
0	327	-3.14391150192
0	328	-2.64359032434
0	329	-7.11112378967
0	330	-2.68733993597
0	331	-2.61616514716
0	332	-6.0700041696
0	333	-3.14391150192
0	334	-2.90377777577
0	335	-17.6724663909
0	336	-2.68733993597
0	337	-7.79555211186
0	338	-5.69299240766
0	339	-2.96784685455
0	340	-2.64359032434
0	341	-3.63960018405
0	342	-2.68733993597
0	343	-2.61616514716
0	344	-4.52903715274
0	345	-10.8668505613
0	346	-15.8501532656
0	347	-3.63960018405
0	348	-3.14391150192
0	349	-2.64359032434
0	350	-11.1609009024
0	351	-2.68733993597
0	352	-2.64359032434
0	353	-5.69299240766
0	354	-2.66644882413
0	355	-2.90377777577
0	356	-9.98102863982
0	357	-2.66644882413
0	358	-2.61616514716
0	359	-4.37067699434
0	360	-3.14391150192
0	361	-3.0811354252
0	362	-3.75599536432
0	363	-2.68733993597
0	364	-8.93781379868
0	365	-6.6021191861
0	366	-2.68733993597
0	367	-11.4447368215
0	368	-6.45064784468
0	369	-8.41117902661
0	370	-2.61616514716
0	371	-4.52903715274
0	372	-3.14391150192
0	373	-2.90377777577
0	374	-8.9089738509
0	375	-2.66644882413
0	376	-2.90377777577
0	377	-12.003523904
0	378	-3.14391150192
0	379	-2.61616514716
0	380	-12.0720327293
0	381	-15.0234496586
0	382	-10.6987275884
0	383	-12.3552617599
0	384	-2.68733993597
0	385	-2.64359032434
0	386	-7.26162807814
0	387	-3.14391150192
0	388	-2.64359032434
0	389	-6.80456365601
0	390	-2.68733993597
0	391	-2.61616514716
0	392	-8.52123579772
0	393	-2.66644882413
0	394	-2.61616514716
0	395	-11.6563736519
0	396	-3.14391150192
0	397	-3.0811354252
0	398	-3.75599536432
0	399	-2.68733993597
0	400	-2.90377777577
0	401	-9.04403998438
0	402	-3.14391150192
0	403	-2.90377777577
0	404	-3.75599536432
0	405	-2.96784685455
0	406	-2.64359032434
0	407	-3.63960018405
0	408	-2.66644882413
0	409	-2.90377777577
0	410	-15.3782427762
0	411	-8.69470551146
0	412	-2.61616514716
0	413	-17.1350578543
0	414	-3.14391150192
0	415	-3.0811354252
0	416	-11.2655698893
0	417	-2.66644882413
