#Site1	Site2	lnL	
0	1	-3.22208104985
0	2	-3.60727234414
0	3	-3.22225192973
0	4	-3.70816421344
0	5	-24.0380626357
0	6	-3.60755530069
0	7	-3.60760491171
0	8	-3.22251370868
0	9	-3.52632048628
0	10	-3.52635326016
0	11	-3.70856362474
0	12	-3.60778068543
0	13	-3.60780557451
0	14	-3.22267608872
0	15	-3.60784825471
0	16	-3.70870589015
0	17	-3.22272609942
0	18	-3.70874558908
0	19	-3.52653327383
0	20	-3.52654510837
0	21	-3.60793584555
0	22	-3.60794622555
0	23	-3.2227918254
0	24	-3.5265829379
0	25	-3.70883831438
0	26	-13.4779083785
0	27	-3.5266036325
0	28	-3.52660940783
0	29	-9.97826478281
0	30	-3.22283470555
0	31	-3.2228389715
0	32	-9.76949691436
0	33	-3.52663188289
0	34	-3.60801964081
0	35	-3.52663851962
0	36	-3.5266414426
0	37	-3.22285820267
0	38	-9.49299357096
0	39	-3.22286274548
0	40	-3.70891828698
0	41	-12.0525149697
0	42	-6.57961504412
0	43	-3.22288829277
0	44	-3.52667558842
0	45	-3.6080620905
0	46	-3.6080620905
0	47	-3.22288829277
0	48	-14.0169648895
0	49	-3.22288829277
0	50	-9.5034168754
0	51	-3.70895081092
0	52	-3.70895081092
0	53	-3.52667558842
0	54	-8.18994055205
0	55	-7.92979893567
0	56	-11.8598271039
0	57	-3.6080620905
0	58	-3.6080620905
0	59	-3.22288829277
0	60	-3.6080620905
0	61	-3.70895081092
0	62	-11.5483771732
0	63	-3.52667558842
0	64	-3.22288829277
0	65	-3.70895081092
0	66	-3.52667558842
0	67	-3.22288829277
0	68	-3.6080620905
0	69	-3.52667558842
0	70	-3.52667558842
0	71	-3.70895081092
0	72	-3.22288829277
0	73	-3.6080620905
0	74	-8.00769131311
0	75	-3.6080620905
0	76	-3.70895081092
0	77	-7.1105279159
0	78	-3.6080620905
0	79	-3.52667558842
0	80	-7.31156947313
0	81	-3.52667558842
0	82	-3.52667558842
0	83	-3.70895081092
0	84	-8.89272038799
0	85	-10.7750709473
0	86	-9.40160790064
0	87	-3.6080620905
0	88	-3.6080620905
0	89	-3.22288829277
0	90	-3.6080620905
0	91	-3.70895081092
0	92	-15.712272325
0	93	-3.52667558842
0	94	-3.6080620905
0	95	-3.52667558842
0	96	-3.52667558842
0	97	-3.52667558842
0	98	-3.70895081092
0	99	-3.22288829277
0	100	-3.22288829277
0	101	-3.6080620905
0	102	-3.22288829277
0	103	-3.52667558842
0	104	-3.70895081092
0	105	-12.4721382115
0	106	-3.22288829277
0	107	-9.80842816975
0	108	-10.2861295989
0	109	-3.22288829277
0	110	-29.0034651437
0	111	-3.6080620905
0	112	-3.70895081092
0	113	-17.2242004004
0	114	-3.6080620905
0	115	-3.22288829277
0	116	-8.02289619866
0	117	-3.52667558842
0	118	-3.52667558842
0	119	-12.7194701052
0	120	-3.6080620905
0	121	-3.6080620905
0	122	-7.91660751811
0	123	-8.94463458087
0	124	-6.68774554264
0	125	-7.90655160396
0	126	-3.6080620905
0	127	-3.6080620905
0	128	-7.90655160396
0	129	-8.94463458087
0	130	-3.70895081092
0	131	-14.7129717784
0	132	-3.52667558842
0	133	-3.6080620905
0	134	-3.52667558842
0	135	-3.22288829277
0	136	-3.22288829277
0	137	-11.1419911703
0	138	-3.52667558842
0	139	-3.52667558842
0	140	-3.70895081092
0	141	-3.52667558842
0	142	-3.6080620905
0	143	-3.52667558842
0	144	-3.22288829277
0	145	-3.22288829277
0	146	-12.8277702686
0	147	-3.70895081092
0	148	-3.70895081092
0	149	-10.3240761369
0	150	-3.6080620905
0	151	-3.70895081092
0	152	-11.6976027842
0	153	-3.6080620905
0	154	-3.70895081092
0	155	-13.4753446307
0	156	-3.22288829277
0	157	-3.70895081092
0	158	-16.7300063174
0	159	-13.3601226717
0	160	-3.22288829277
0	161	-11.6225413893
0	162	-3.6080620905
0	163	-3.6080620905
0	164	-3.22288829277
0	165	-3.6080620905
0	166	-3.52667558842
0	167	-13.7673131723
0	168	-3.52667558842
0	169	-3.22288829277
0	170	-3.6080620905
0	171	-3.6080620905
0	172	-3.22288829277
0	173	-3.22288829277
0	174	-3.52667558842
0	175	-3.22288829277
0	176	-3.6080620905
0	177	-3.6080620905
0	178	-3.70895081092
0	179	-12.2002685224
0	180	-3.52667558842
0	181	-3.70895081092
0	182	-11.8041413594
0	183	-3.6080620905
0	184	-3.22288829277
0	185	-6.57961504412
0	186	-3.52667558842
0	187	-3.52667558842
0	188	-12.8290816224
0	189	-3.52667558842
0	190	-3.52667558842
0	191	-16.3399040019
0	192	-3.6080620905
0	193	-3.6080620905
0	194	-3.22288829277
0	195	-3.52667558842
0	196	-3.52667558842
0	197	-3.6080620905
0	198	-3.70895081092
0	199	-3.70895081092
0	200	-3.52667558842
0	201	-3.6080620905
0	202	-3.52667558842
0	203	-3.52667558842
0	204	-3.22288829277
0	205	-3.22288829277
0	206	-15.1231090504
0	207	-3.52667558842
0	208	-3.6080620905
0	209	-3.52667558842
0	210	-3.52667558842
0	211	-3.52667558842
0	212	-3.6080620905
0	213	-3.52667558842
0	214	-3.52667558842
0	215	-3.6080620905
0	216	-3.6080620905
0	217	-3.22288829277
0	218	-3.22288829277
0	219	-3.52667558842
0	220	-3.22288829277
0	221	-3.6080620905
0	222	-3.70895081092
0	223	-3.70895081092
0	224	-3.52667558842
0	225	-3.6080620905
0	226	-3.70895081092
0	227	-10.8780065048
0	228	-3.52667558842
0	229	-3.22288829277
0	230	-14.5835598704
0	231	-3.6080620905
0	232	-3.22288829277
0	233	-8.00769131311
0	234	-3.6080620905
0	235	-3.22288829277
0	236	-13.0463358951
0	237	-3.70895081092
0	238	-3.6080620905
0	239	-3.22288829277
0	240	-3.70895081092
0	241	-3.52667558842
0	242	-3.52667558842
0	243	-9.64027528583
0	244	-3.70895081092
0	245	-13.0731635745
0	246	-3.52667558842
0	247	-3.52667558842
0	248	-3.6080620905
0	249	-8.94463458087
0	250	-3.70895081092
0	251	-17.7167730845
0	252	-3.22288829277
0	253	-3.6080620905
0	254	-3.6080620905
0	255	-3.52667558842
0	256	-3.6080620905
0	257	-3.52667558842
0	258	-3.52667558842
0	259	-3.6080620905
0	260	-3.52667558842
0	261	-3.52667558842
0	262	-8.18994055205
0	263	-12.8462623566
0	264	-3.6080620905
0	265	-3.52667558842
0	266	-8.12369873787
0	267	-3.6080620905
0	268	-3.6080620905
0	269	-3.22288829277
0	270	-3.6080620905
0	271	-3.22288829277
0	272	-3.70895081092
0	273	-3.22288829277
0	274	-9.55385143148
0	275	-13.2806185435
0	276	-3.22288829277
0	277	-3.22288829277
0	278	-7.52862346819
0	279	-3.22288829277
0	280	-3.52667558842
0	281	-14.345693755
0	282	-3.22288829277
0	283	-3.22288829277
0	284	-15.9030490739
0	285	-3.6080620905
0	286	-3.52667558842
0	287	-8.20583461446
0	288	-3.6080620905
0	289	-3.52667558842
0	290	-11.3898939294
0	291	-3.52667558842
0	292	-3.52667558842
0	293	-12.3599665933
0	294	-3.6080620905
0	295	-3.70895081092
0	296	-14.9439862347
0	297	-3.6080620905
0	298	-3.6080620905
0	299	-3.22288829277
0	300	-3.6080620905
0	301	-3.22288829277
0	302	-8.02289619866
0	303	-3.52667558842
0	304	-3.22288829277
0	305	-11.2443013061
0	306	-3.6080620905
0	307	-3.70895081092
0	308	-13.054322188
0	309	-3.52667558842
0	310	-3.52667558842
0	311	-10.0071454753
0	312	-3.70895081092
0	313	-3.70895081092
0	314	-17.8364839187
0	315	-3.52667558842
0	316	-3.52667558842
0	317	-3.6080620905
0	318	-3.6080620905
0	319	-3.6080620905
0	320	-3.22288829277
0	321	-3.6080620905
0	322	-3.52667558842
0	323	-3.52667558842
0	324	-3.52667558842
0	325	-3.22288829277
0	326	-3.6080620905
0	327	-3.52667558842
0	328	-3.52667558842
0	329	-3.6080620905
0	330	-3.6080620905
0	331	-3.6080620905
0	332	-3.22288829277
0	333	-3.22288829277
0	334	-3.70895081092
0	335	-22.9666092763
0	336	-3.6080620905
0	337	-3.70895081092
0	338	-13.4088308398
0	339	-3.52667558842
0	340	-3.22288829277
0	341	-18.9828397731
0	342	-3.52667558842
