#Site	lnL	
0	-1.33844539102
1	-1.2243264403
2	-22.2912788924
3	-1.33844539102
4	-1.27309739399
5	-7.55934378889
6	-1.28625878395
7	-1.27309739399
8	-1.21311686551
9	-1.77581903201
10	-1.62078438718
11	-16.5909652819
12	-1.77581903201
13	-1.27309739399
14	-12.7109644249
15	-1.28625878395
16	-1.27309739399
17	-1.6048354315
18	-1.33844539102
19	-1.2243264403
20	-7.01378253089
21	-5.73107738419
22	-1.62078438718
23	-1.2612711297
24	-5.73107738419
25	-1.2243264403
26	-9.42343707053
27	-9.38865968851
28	-1.2243264403
29	-22.8504942712
30	-1.70898597049
31	-1.68378839968
32	-8.39552564398
33	-1.70898597049
34	-1.2243264403
35	-10.3299435809
36	-1.70898597049
37	-1.68378839968
38	-15.6382629623
39	-1.70898597049
40	-1.27309739399
41	-7.56843178422
42	-1.33844539102
43	-1.2243264403
44	-1.2612711297
45	-1.28625878395
46	-1.27309739399
47	-13.1129724116
48	-1.28625878395
49	-1.68378839968
50	-8.16797218387
51	-1.70898597049
52	-1.2243264403
53	-7.02716173477
54	-1.28625878395
55	-1.2243264403
56	-1.21311686551
57	-1.33844539102
58	-1.2243264403
59	-14.7176155549
60	-1.33844539102
61	-1.68378839968
62	-1.2612711297
63	-1.77581903201
64	-1.27309739399
65	-12.9025569856
66	-1.77581903201
67	-7.10239639038
68	-18.3867606778
69	-1.77581903201
70	-1.2243264403
71	-7.44349141804
72	-1.33844539102
73	-1.2243264403
74	-1.21311686551
75	-1.70898597049
76	-1.2243264403
77	-8.39552564398
78	-1.28625878395
79	-1.27309739399
80	-7.92745872323
81	-1.28625878395
82	-1.62078438718
83	-8.38051378808
84	-1.70898597049
85	-1.2243264403
86	-12.6947086263
87	-1.70898597049
88	-1.27309739399
89	-8.38135087481
90	-1.33844539102
91	-1.2243264403
92	-12.6947086263
93	-1.77581903201
94	-1.27309739399
95	-9.96863069724
96	-1.77581903201
97	-1.68378839968
98	-7.44349141804
99	-1.70898597049
100	-1.68378839968
101	-15.762303886
102	-1.28625878395
103	-1.27309739399
104	-17.656776614
105	-1.77581903201
106	-1.2243264403
107	-1.21311686551
108	-1.70898597049
109	-1.27309739399
110	-8.38135087481
111	-11.6162864554
112	-1.68378839968
113	-17.6687896965
114	-5.76531902972
115	-1.62078438718
116	-12.9489131402
117	-6.86756965243
118	-1.27309739399
119	-8.38135087481
120	-1.77581903201
121	-1.2243264403
122	-9.05719551508
123	-1.28625878395
124	-1.2243264403
125	-1.21311686551
126	-1.33844539102
127	-1.27309739399
128	-18.0974365568
129	-7.09030277908
130	-1.68378839968
131	-8.38051378808
132	-1.70898597049
133	-1.2243264403
134	-7.01378253089
135	-1.70898597049
136	-1.27309739399
137	-13.8982735941
138	-1.33844539102
139	-1.2243264403
140	-15.21951928
141	-1.70898597049
142	-7.08610176472
143	-14.1872846074
144	-1.28625878395
145	-1.27309739399
146	-12.8092731603
147	-6.27514034177
148	-1.2243264403
149	-7.92745872323
150	-1.77581903201
151	-1.68378839968
152	-7.55934378889
153	-1.70898597049
154	-1.68378839968
155	-14.4802340945
156	-1.70898597049
157	-1.27309739399
158	-14.0433682718
159	-1.33844539102
160	-1.62078438718
161	-19.4605198594
162	-1.28625878395
163	-1.27309739399
164	-18.5220122994
165	-1.33844539102
166	-1.62078438718
167	-1.2612711297
168	-1.33844539102
169	-1.62078438718
170	-24.8845610455
171	-1.28625878395
172	-1.62078438718
173	-8.42612432121
174	-1.33844539102
175	-1.27309739399
176	-20.4793226982
177	-1.33844539102
178	-1.68378839968
179	-13.0735352049
180	-1.33844539102
181	-1.27309739399
182	-18.8954260593
183	-1.28625878395
184	-6.66416054289
185	-9.42343707053
186	-1.28625878395
187	-1.68378839968
188	-13.3775542771
189	-6.32198727993
190	-1.62078438718
191	-7.55934378889
192	-1.28625878395
193	-1.62078438718
194	-7.56843178422
195	-1.70898597049
196	-1.62078438718
197	-8.16797218387
198	-1.77581903201
199	-1.68378839968
200	-14.2010304071
201	-1.33844539102
202	-1.68378839968
203	-8.16797218387
204	-1.28625878395
205	-1.27309739399
206	-1.21311686551
207	-1.77581903201
208	-1.2243264403
209	-14.1277715169
210	-9.05945908273
211	-1.68378839968
212	-7.91591609538
213	-1.33844539102
214	-1.27309739399
215	-7.02716173477
216	-1.28625878395
217	-1.27309739399
218	-13.8754474253
219	-1.33844539102
220	-1.68378839968
221	-8.38051378808
222	-1.70898597049
223	-1.2243264403
224	-1.21311686551
225	-1.77581903201
226	-1.68378839968
227	-1.66714922068
228	-1.33844539102
229	-1.62078438718
230	-1.66714922068
231	-1.33844539102
232	-1.2243264403
233	-22.4188987743
234	-1.33844539102
235	-1.27309739399
236	-1.21311686551
237	-1.70898597049
238	-1.68378839968
239	-1.6048354315
240	-6.27514034177
241	-1.2243264403
242	-12.6428824208
243	-1.33844539102
244	-1.68378839968
245	-1.2612711297
246	-1.28625878395
247	-1.68378839968
248	-9.79839162886
249	-6.92215278125
250	-1.27309739399
251	-9.05719551508
252	-1.33844539102
253	-1.62078438718
254	-11.9431698849
255	-6.30204862122
256	-1.62078438718
257	-9.05719551508
258	-1.33844539102
259	-1.2243264403
260	-1.21311686551
261	-1.28625878395
262	-1.68378839968
263	-22.1869929482
264	-1.28625878395
265	-1.2243264403
266	-1.2612711297
267	-1.33844539102
268	-1.27309739399
269	-24.7411610816
270	-1.70898597049
271	-1.68378839968
272	-1.21311686551
273	-1.28625878395
274	-1.62078438718
275	-26.8611668111
276	-1.70898597049
277	-1.27309739399
278	-1.6048354315
279	-1.33844539102
280	-1.62078438718
281	-1.6048354315
