#Site1	Site2	lnL	
0	1	-3.39200714686
0	2	-9.83585408567
0	3	-3.03509939391
0	4	-3.2425982817
0	5	-9.8976323668
0	6	-3.22986307212
0	7	-3.39200714694
0	8	-6.73212866088
0	9	-3.03509939396
0	10	-3.0461631574
0	11	-4.59437624118
0	12	-3.03509939398
0	13	-3.04616315742
0	14	-8.47798836537
0	15	-3.22986307219
0	16	-3.24259828181
0	17	-3.71765574863
0	18	-3.37774113692
0	19	-3.39200714705
0	20	-3.71765574876
0	21	-3.03509939403
0	22	-3.24259828185
0	23	-9.8358540696
0	24	-3.22986307225
0	25	-3.24259828187
0	26	-9.98130397111
0	27	-3.03509939406
0	28	-3.04616315751
0	29	-4.5943762423
0	30	-3.03509939407
0	31	-3.04616315752
0	32	-9.89763234952
0	33	-3.37774113701
0	34	-3.04616315753
0	35	-9.89763234834
0	36	-3.2298630723
0	37	-3.24259828192
0	38	-4.26456253899
0	39	-3.0350993941
0	40	-3.57696707369
0	41	-3.71765574938
0	42	-3.0350993941
0	43	-3.04616315756
0	44	-4.59437624285
0	45	-3.37774113705
0	46	-3.04616315757
0	47	-4.26456253922
0	48	-3.22986307234
0	49	-3.57696707372
0	50	-4.59437624301
0	51	-3.37774113707
0	52	-3.04616315758
0	53	-3.71765574959
0	54	-3.56037822275
0	55	-3.04616315759
0	56	-3.71765574963
0	57	-3.37774113708
0	58	-3.57696707375
0	59	-4.01928906706
0	60	-3.56037822277
0	61	-3.24259828199
0	62	-8.54318554588
0	63	-3.03509939414
0	64	-7.4650794636
0	65	-9.94769813525
0	66	-3.56037822278
0	67	-3.242598282
0	68	-12.1127943222
0	69	-3.3777411371
0	70	-3.04616315761
0	71	-4.26456253961
0	72	-3.22986307238
0	73	-3.242598282
0	74	-10.5531731925
0	75	-3.56037822279
0	76	-3.04616315762
0	77	-4.26456253967
0	78	-3.37774113711
0	79	-3.04616315762
0	80	-3.71765574985
0	81	-3.5603782228
0	82	-3.39200714726
0	83	-15.8956769244
0	84	-3.5603782228
0	85	-3.5769670738
0	86	-9.82152417799
0	87	-3.03509939417
0	88	-3.04616315763
0	89	-13.9640510909
0	90	-3.03509939417
0	91	-3.04616315763
0	92	-7.75165156
0	93	-3.56037822281
0	94	-8.15592388059
0	95	-16.8471689
0	96	-3.2298630724
0	97	-3.39200714727
0	98	-6.90532935217
0	99	-3.03509939417
0	100	-3.57696707381
0	101	-3.71765574995
0	102	-3.37774113713
0	103	-3.57696707381
0	104	-4.01928906739
0	105	-3.03509939418
0	106	-8.12227565887
0	107	-8.47798835779
0	108	-3.56037822282
0	109	-3.39200714727
0	110	-12.3236126608
0	111	-3.03509939418
0	112	-3.57696707382
0	113	-3.71765574998
0	114	-3.56037822282
0	115	-3.39200714728
0	116	-11.3512199547
0	117	-29.1616601574
0	118	-3.39200714728
0	119	-4.26456253988
0	120	-3.03509939418
0	121	-15.302500806
0	122	-11.9889293008
0	123	-3.56037822283
0	124	-3.39200714728
0	125	-13.4375777856
0	126	-3.56037822283
0	127	-3.39200714728
0	128	-14.0782246339
0	129	-3.03509939418
0	130	-3.04616315765
0	131	-8.63149312531
0	132	-3.03509939418
0	133	-3.24259828204
0	134	-4.01928906746
0	135	-3.56037822283
0	136	-3.39200714728
0	137	-8.43351593711
0	138	-3.37774113714
0	139	-3.39200714728
0	140	-3.71765575003
0	141	-3.03509939418
0	142	-7.51333819608
0	143	-3.71765575003
0	144	-3.37774113714
0	145	-3.39200714728
0	146	-18.2160049037
0	147	-9.81303171005
0	148	-3.24259828204
0	149	-12.4813267675
0	150	-3.56037822283
0	151	-3.04616315765
0	152	-11.2981537854
0	153	-11.1876122742
0	154	-3.24259828204
0	155	-18.3906189877
0	156	-3.22986307241
0	157	-3.24259828204
0	158	-4.59437624377
0	159	-3.03509939419
0	160	-3.57696707383
0	161	-3.71765575004
0	162	-3.37774113715
0	163	-3.39200714729
0	164	-8.16127659767
0	165	-3.56037822283
0	166	-3.24259828204
0	167	-9.45017021429
0	168	-3.56037822284
0	169	-3.24259828204
0	170	-14.7742254504
0	171	-3.03509939419
0	172	-3.57696707383
0	173	-6.04715008521
0	174	-3.56037822284
0	175	-3.39200714729
0	176	-10.7279599585
0	177	-3.37774113715
0	178	-3.39200714729
0	179	-3.71765575005
0	180	-3.03509939419
0	181	-3.39200714729
0	182	-4.0192890675
0	183	-8.12695699065
0	184	-3.24259828204
0	185	-9.90401435183
0	186	-3.03509939419
0	187	-3.04616315765
0	188	-7.15962945636
0	189	-3.22986307241
0	190	-3.04616315765
0	191	-7.99824119843
0	192	-3.03509939419
0	193	-3.04616315765
0	194	-4.26456253995
0	195	-3.03509939419
0	196	-3.57696707383
0	197	-3.71765575005
0	198	-3.03509939419
0	199	-3.04616315765
0	200	-7.58272730342
0	201	-3.56037822284
0	202	-3.24259828205
0	203	-10.2452491609
0	204	-3.03509939419
0	205	-3.57696707383
0	206	-3.71765575005
0	207	-3.56037822284
0	208	-3.39200714729
