#Site1	Site2	lnL	
0	1	-2.82109813693
0	2	-3.39445047398
0	3	-2.53332996008
0	4	-2.48603822402
0	5	-9.4620589889
0	6	-3.02262921917
0	7	-2.96048671114
0	8	-3.39445047398
0	9	-2.57313245633
0	10	-2.53119051983
0	11	-4.17152221262
0	12	-2.57313245633
0	13	-2.53119051983
0	14	-7.04176518632
0	15	-2.57313245633
0	16	-2.53119051983
0	17	-6.29212539707
0	18	-2.53332996008
0	19	-2.82109813693
0	20	-9.10553958256
0	21	-3.02262921917
0	22	-2.82109813693
0	23	-9.58769341284
0	24	-2.57313245633
0	25	-2.82109813693
0	26	-9.37862037284
0	27	-3.02262921917
0	28	-2.82109813693
0	29	-12.3622324567
0	30	-3.02262921917
0	31	-2.48603822402
0	32	-3.39445047398
0	33	-3.02262921917
0	34	-2.82109813693
0	35	-4.07306731048
0	36	-2.88562718253
0	37	-2.53119051983
0	38	-12.5250411858
0	39	-3.02262921917
0	40	-2.48603822402
0	41	-6.30586279025
0	42	-2.57313245633
0	43	-2.53119051983
0	44	-7.1419624713
0	45	-17.6749312724
0	46	-2.82109813693
0	47	-6.8949249886
0	48	-3.02262921917
0	49	-2.96048671114
0	50	-3.39445047398
0	51	-2.57313245633
0	52	-2.53119051983
0	53	-7.1419624713
0	54	-3.02262921917
0	55	-2.96048671114
0	56	-3.39445047398
0	57	-8.67102898716
0	58	-2.48603822402
0	59	-7.56526434567
0	60	-2.57313245633
0	61	-2.48603822402
0	62	-13.4216183593
0	63	-2.57313245633
0	64	-2.53119051983
0	65	-6.50655318953
0	66	-3.02262921917
0	67	-2.48603822402
0	68	-9.95659692981
0	69	-2.57313245633
0	70	-2.53119051983
0	71	-9.08971697986
0	72	-3.02262921917
0	73	-2.96048671114
0	74	-3.39445047398
0	75	-2.53332996008
0	76	-2.82109813693
0	77	-6.0347578806
0	78	-2.88562718253
0	79	-2.82109813693
0	80	-3.33933097719
0	81	-2.57313245633
0	82	-2.48603822402
0	83	-9.28837310678
0	84	-2.57313245633
0	85	-2.82109813693
0	86	-7.80402113231
0	87	-2.53332996008
0	88	-2.48603822402
0	89	-6.50655318953
0	90	-3.02262921917
0	91	-2.48603822402
0	92	-6.51835522545
0	93	-12.0214175377
0	94	-2.53119051983
0	95	-6.75129292082
0	96	-2.88562718253
0	97	-2.82109813693
