#Site	lnL	
0	-4.35408087931
1	-5.76667779673
2	-5.7045163107
3	-5.62669634936
4	-7.09221234856
5	-5.22576454588
6	-14.6570140112
7	-15.1894345697
8	-5.13392048259
9	-5.4660259088
10	-10.2781024475
11	-11.7980263216
12	-15.4105350114
13	-5.51306629433
14	-18.065620119
15	-5.24400846419
16	-11.337220624
17	-10.9243881195
18	-5.99071633125
19	-5.99071633125
20	-5.13392048259
21	-13.2378476784
22	-5.99071633125
23	-9.22311192972
24	-10.798293311
25	-14.3247981642
26	-9.42226968569
27	-14.6833077416
28	-7.84188726935
29	-5.7045163107
30	-5.62669634936
31	-10.7855673994
32	-5.99071633125
33	-17.7090080963
34	-18.9236939163
35	-5.99071633125
36	-21.1918729295
37	-21.1724637322
38	-5.7045163107
39	-5.62669634936
40	-5.62669634936
41	-17.5892665826
42	-5.99071633125
43	-5.13392048259
44	-8.98568047611
45	-13.6727702496
46	-18.2391402535
47	-5.62669634936
48	-17.7325029031
49	-6.20313231101
50	-9.40324416371
51	-11.3102296397
52	-5.5216039633
53	-14.5699575308
54	-5.99071633125
55	-7.69706145252
56	-9.40324416371
57	-7.42921560168
58	-19.045567569
59	-14.7813895745
60	-8.02878593099
61	-15.87156346
62	-11.3007735785
63	-16.8222657445
64	-4.91633476582
65	-5.5500777609
66	-5.24400846419
67	-4.91633476582
68	-10.9787608312
69	-21.788033668
70	-13.275321109
71	-5.35398358506
72	-5.4660259088
73	-13.3053624636
74	-5.7045163107
75	-13.9657469076
76	-8.28622706224
77	-13.1048539629
78	-5.35398358506
79	-10.9084507051
80	-14.0294974919
81	-17.6833907151
82	-13.695048138
83	-6.46605336766
84	-5.62669634936
85	-5.13392048259
86	-10.4087054935
87	-5.7045163107
88	-5.24400846419
89	-8.06388399593
90	-5.24400846419
91	-5.62669634936
92	-5.62669634936
93	-13.5305384526
94	-8.60416542532
95	-11.0644041014
96	-26.731141382
97	-5.62669634936
98	-9.74335931474
99	-11.4520101221
100	-5.99071633125
101	-5.5500777609
102	-31.0908237993
103	-4.91633476582
104	-13.781799461
105	-13.7422712974
106	-27.6763019016
107	-10.5793568378
108	-10.8553277651
109	-8.60302950315
110	-7.26417243001
111	-20.2243324591
112	-11.5040652504
113	-4.91633476582
114	-4.35408087931
115	-31.6162706473
116	-17.5507064048
117	-6.70808552906
118	-11.7015224054
119	-5.5216039633
120	-5.99071633125
121	-15.5072621024
122	-17.6689294302
123	-9.82820765478
124	-11.1955049191
125	-13.9227645783
126	-14.1687061143
127	-33.1917937605
128	-8.25134483546
129	-8.24640279952
130	-9.70830177757
131	-13.5690486279
132	-5.99071633125
133	-10.7687921182
134	-5.8787034039
135	-4.91633476582
136	-17.2150120483
137	-26.9286727783
138	-13.8289550048
139	-5.1975310877
140	-8.87626960127
141	-12.3290990248
142	-16.3180286424
143	-11.8243373659
144	-11.6338622829
145	-9.71453736631
146	-13.583401654
147	-11.1029248032
148	-10.1466011781
149	-7.69706145252
150	-7.26417243001
151	-5.13392048259
152	-17.5685408726
153	-12.2004387935
154	-23.8547894515
155	-10.83667621
156	-5.99071633125
157	-5.13392048259
158	-8.1621327555
159	-9.39256239413
160	-8.20197254923
161	-5.7045163107
162	-5.13392048259
