#Site1	Site2	lnL	
0	3	-3.11496373333
0	4	-3.08411528809
0	5	-3.50189306519
0	6	-2.76925448989
0	7	-2.77975070183
0	8	-3.5019990621
0	9	-2.8049936907
0	10	-3.00939199035
0	11	-3.50208597857
0	12	-3.03945297959
0	13	-3.08416494777
0	14	-3.50215828208
0	15	-3.11504301719
0	16	-2.74540986968
0	17	-6.87167835252
0	18	-2.8050297163
0	19	-3.00942517857
0	20	-3.50227087001
0	21	-3.03948905135
0	22	-3.08419370645
0	23	-3.50231519449
0	24	-3.03949770895
0	25	-2.74542883132
0	26	-7.03044810367
0	27	-2.76932582332
0	28	-2.74543347821
0	29	-3.42923871334
0	30	-2.76933097888
0	31	-3.08421186609
0	32	-3.42926609629
0	33	-9.20870723757
0	34	-3.00945516317
0	35	-17.62842929
0	36	-3.11509971126
0	37	-3.00945905388
0	38	-10.5137606955
0	39	-2.76934287491
0	40	-3.00946247723
0	41	-18.4262110363
0	42	-3.11510812509
0	43	-3.08422703691
0	44	-3.50250014386
0	45	-3.11511161054
0	46	-3.00946817148
0	47	-9.57856386095
0	48	-2.76935101636
0	49	-2.74545327683
0	50	-10.5537085756
0	51	-3.03953953823
0	52	-3.0842343799
0	53	-3.50254133383
0	54	-3.1151198827
0	55	-3.00947452371
0	56	-3.50255216218
0	57	-3.0395440318
0	58	-2.74545777294
0	59	-3.42940452711
0	60	-2.80508596637
0	61	-2.77983597889
0	62	-3.87370251429
0	63	-2.76935955785
0	64	-3.08424092535
0	65	-3.42942000826
0	66	-2.76936075882
0	67	-2.74546097053
0	68	-3.97336674499
0	69	-2.76936183423
0	70	-2.74546182101
0	71	-3.9733743853
0	72	-2.76936279807
0	73	-3.08424423412
0	74	-3.4294376823
0	75	-2.76936366261
0	76	-2.74546326752
0	77	-3.97338738935
0	78	-2.80509254119
0	79	-2.77984117854
0	80	-10.6335246643
0	81	-3.11513293655
0	82	-2.74546443339
0	83	-3.4294504606
0	84	-2.80509393933
0	85	-2.77984228534
0	86	-7.49102005679
0	87	-3.11513447306
0	88	-3.08424783904
0	89	-13.3410314484
0	90	-3.03955675797
0	91	-3.08424835713
0	92	-3.50262017638
0	93	-3.0395573314
0	94	-2.74546613766
0	95	-3.42946224652
0	96	-3.03955784764
0	97	-3.00948712196
0	98	-8.85502554017
0	99	-3.11513672404
0	100	-3.00948749018
0	101	-6.34510755355
0	102	-2.76936840107
0	103	-2.74546701951
0	104	-3.87377292255
0	105	-2.76936870114
0	106	-3.00948812087
0	107	-13.0281540123
0	108	-2.76936897161
0	109	-2.74546747158
0	110	-8.88813660548
0	111	-2.76936921543
0	112	-2.77984517531
0	113	-10.3103496629
0	114	-3.11513848992
0	115	-3.08425102027
0	116	-6.92193719491
0	117	-3.115138746
0	118	-11.0565608132
0	119	-3.5026364136
0	120	-2.76936981237
0	121	-2.74546813788
0	122	-7.83626535318
0	123	-2.76936997369
0	124	-3.08425157127
0	125	-3.42947698194
0	126	-2.76937011924
0	127	-2.77984593208
0	128	-14.1508579068
0	129	-3.03956105732
0	130	-2.74546848522
0	131	-3.87378576571
0	132	-10.3379430218
0	133	-3.00948978296
0	134	-10.5790404937
0	135	-3.11513983417
0	136	-2.7798462309
0	137	-13.0913853077
0	138	-2.7693705726
0	139	-3.08425218426
0	140	-3.42948027197
0	141	-2.76937065975
0	142	-3.00949007266
0	143	-11.0173287415
0	144	-2.76937073842
0	145	-3.08425235399
0	146	-3.42948118312
0	147	-3.11514026475
0	148	-3.08425242669
0	149	-3.5026432392
0	150	-3.11514034757
0	151	-3.08425249232
0	152	-6.92192741194
0	153	-2.76937093145
0	154	-2.74546902497
0	155	-3.87379049825
0	156	-2.76937098372
0	157	-2.74546906641
0	158	-7.15046060568
0	159	-2.76937103091
0	160	-2.74546910383
0	161	-6.94770380004
0	162	-2.80509955085
0	163	-10.5167834641
0	164	-3.87379148616
0	165	-2.76937111202
0	166	-3.08425273643
0	167	-3.42948323648
0	168	-3.11514070044
0	169	-3.00949055814
0	170	-6.87113970142
0	171	-13.1922843909
0	172	-2.77984681895
0	173	-8.92769522107
0	174	-2.7693712065
0	175	-3.08425283316
0	176	-3.42948375586
0	177	-2.7693712321
0	178	-2.77984686413
0	179	-9.23517336645
0	180	-3.11514084051
0	181	-2.74546928167
0	182	-11.1409554336
0	183	-2.76937127609
0	184	-3.00949068706
0	185	-11.255650862
0	186	-3.11514089183
0	187	-3.08425292371
0	188	-3.50264605922
0	189	-2.76937131198
0	190	-2.74546932667
0	191	-3.87379314431
0	192	-2.80509981902
0	193	-2.77984694393
0	194	-10.654221801
0	195	-2.8050998337
0	196	-3.00949075202
0	197	-10.5740067791
0	198	-2.80509984696
0	199	-3.08425298397
0	200	-3.97344228733
0	201	-3.11514098248
0	202	-3.00949077583
0	203	-3.50264646699
0	204	-2.80509986975
0	205	-3.00949078604
0	206	-11.9535209909
0	207	-3.11514100765
0	208	-2.74546938427
0	209	-9.12091555977
0	210	-3.11514101843
0	211	-3.08425302407
0	212	-3.50264662871
0	213	-8.29978361791
0	214	-2.77984700521
0	215	-15.133792945
0	216	-9.8251926323
0	217	-3.0094908179
0	218	-9.84902944759
0	219	-2.76937141349
0	220	-7.06968632145
0	221	-5.87557578612
0	222	-2.76937141905
0	223	-2.74546941157
0	224	-3.97344275436
0	225	-2.76937142407
0	226	-3.00949083458
0	227	-8.85806565025
0	228	-2.76937142861
0	229	-3.08425306055
0	230	-3.42948497695
0	231	-2.7693714327
0	232	-2.77984703217
0	233	-10.2807250389
0	234	-3.11514107452
0	235	-3.00949084688
0	236	-7.60171916173
0	237	-3.11514107884
0	238	-3.08425307195
0	239	-3.50264690044
0	240	-3.11514108274
0	241	-2.7798470406
0	242	-10.3688196198
0	243	-3.11514108626
0	244	-2.77984704288
0	245	-17.6562843604
0	246	-2.80509994643
0	247	-2.74546943449
0	248	-3.87379408999
0	249	-3.03956256594
0	250	-2.74546943625
0	251	-6.92192346012
0	252	-3.03956256847
0	253	-3.00949086262
0	254	-3.42948510664
0	255	-2.80509995282
0	256	-3.00949086443
0	257	-11.2950951858
0	258	-2.76937145565
0	259	-2.74546944059
0	260	-3.87379414349
0	261	-2.76937145713
0	262	-2.74546944176
0	263	-7.60171925138
0	264	-3.11514110302
0	265	-2.74546944282
0	266	-3.42948514114
0	267	-2.80509995881
0	268	-2.77984705476
0	269	-7.10072598255
0	270	-3.11514110599
0	271	-2.77984705568
0	272	-13.5781982268
0	273	-2.76937146176
0	274	-3.08425309448
0	275	-3.42948515922
0	276	-2.76937146265
0	277	-3.00949087304
0	278	-11.7801904157
0	279	-2.76937146345
0	280	-2.74546944677
0	281	-3.87379419776
0	282	-2.76937146418
0	283	-3.00949087457
0	284	-5.6673502067
0	285	-2.80509996426
0	286	-2.77984705908
0	287	-13.9801006657
0	288	-2.76937146543
0	289	-3.00949087581
0	290	-6.64477483238
0	291	-2.76937146596
0	292	-2.74546944877
0	293	-3.97344309021
0	294	-3.11514111333
0	295	-3.00949087683
0	296	-3.50264705558
0	297	-3.11514111389
0	298	-3.00949087727
0	299	-8.14974744842
0	300	-14.3595641163
0	301	-2.77984706113
0	302	-10.4490700122
0	303	-3.11514111486
0	304	-2.77984706143
0	305	-12.7158436822
0	306	-3.0395625883
0	307	-2.74546945035
0	308	-3.42948519333
0	309	-2.76937146825
0	310	-2.77984706195
0	311	-5.667350284
0	312	-3.11514111599
0	313	-2.74546945079
0	314	-3.50264706758
0	315	-3.1151411163
0	316	-3.00949087913
0	317	-10.724747391
0	318	-2.76937146897
0	319	-3.00949087934
0	320	-3.5026470702
0	321	-3.03956258981
0	322	-3.00949087953
0	323	-3.42948519992
0	324	-2.80509996901
0	325	-2.77984706285
0	326	-3.87379423867
0	327	-2.76937146949
0	328	-10.9243140892
