#Site	lnL	
0	-4.33287714166
1	-5.86752926632
2	-13.5690188991
3	-8.18305009211
4	-5.939978176
5	-5.51888309079
6	-24.2501262685
7	-8.22579575184
8	-11.4158943613
9	-10.480905024
10	-11.3801407396
11	-5.35619236729
12	-19.6050008783
13	-9.05738864225
14	-11.6653392335
15	-5.35619236729
16	-12.1679724446
17	-5.86060023058
18	-5.94304786725
19	-11.9911298755
20	-14.0621827384
21	-10.6774425195
22	-13.2995693598
23	-9.05222313664
24	-11.823792382
25	-18.3705436598
26	-17.6966330502
27	-11.8238387364
28	-14.4058365624
29	-9.05222313664
30	-18.2531833205
31	-20.1115811108
32	-14.5192799859
33	-17.023342522
34	-7.48986280875
35	-14.6317168734
36	-11.3442985579
37	-5.86061855883
38	-5.86061855883
39	-10.1636683722
40	-5.14394497761
41	-5.86060023058
42	-5.94304786725
43	-8.2511854119
44	-8.45190277113
45	-11.4412788095
46	-13.3367848481
47	-12.8094324478
48	-8.88818373195
49	-5.50425101177
50	-22.6654034363
51	-9.36756423032
52	-5.45190368715
53	-12.1863453314
54	-8.63194930847
55	-8.22579575184
56	-8.39417043494
57	-5.60520064
58	-5.35619236729
59	-8.99491297053
60	-10.7080206184
61	-7.73460713849
62	-20.156227156
63	-26.709685498
64	-8.83161005722
65	-5.35619236729
66	-7.41163972309
67	-31.6628296592
68	-5.35619236729
69	-5.86060023058
70	-8.30467512959
71	-11.7968319266
72	-11.4158943613
73	-12.7630440896
74	-10.362223808
75	-22.9326758628
76	-26.1386207372
77	-27.4695848453
78	-5.50425101177
79	-12.9883670797
80	-14.184004521
81	-13.4996240002
82	-5.44916791809
83	-7.89923067684
84	-5.86752926632
85	-13.2462635361
86	-10.8371893034
87	-14.0288660269
88	-11.4340365951
89	-13.5975423735
90	-27.1779454171
91	-8.75895144329
92	-12.6942607663
93	-31.3678495224
94	-21.5525421904
95	-14.3142716113
96	-5.94304786725
97	-8.42833569943
98	-15.8889838324
99	-10.9069223835
100	-18.9641278174
101	-13.1632231969
102	-5.86060023058
103	-14.8320339955
104	-15.8671443417
105	-10.7358303863
106	-7.96922011989
107	-20.4713180733
108	-21.826778543
109	-8.71444788435
110	-8.76429935908
111	-27.8554525253
112	-12.3254632693
113	-12.1947641179
114	-25.3672277661
115	-11.308713201
116	-5.86060023058
117	-9.2569957513
118	-10.5367110108
119	-5.19241170555
120	-10.9084170452
121	-7.79342322415
122	-14.6988785141
123	-11.5727526495
124	-10.4543023023
125	-5.09763598141
126	-12.2367486693
127	-8.14596833428
128	-10.9678740639
129	-5.35619236729
130	-9.55722931794
131	-15.0488894623
132	-5.50425101177
133	-5.86752926632
134	-5.09763598141
135	-8.61085055704
136	-5.51888309079
137	-6.15983979364
138	-8.75515474894
139	-20.0143144294
140	-8.4086331442
141	-14.5422174314
142	-5.94304786725
143	-5.35619236729
144	-5.60520064
145	-6.24558318249
146	-5.35619236729
147	-5.19241170555
148	-15.4002281769
149	-19.8986719863
150	-5.35619236729
151	-11.2240882061
152	-8.29859742531
153	-9.10688007458
154	-4.33287714166
155	-5.86752926632
156	-5.94304786725
157	-8.78686591648
158	-5.50425101177
159	-24.4418588767
160	-8.58720001517
161	-16.9411534412
162	-5.94304786725
163	-5.35619236729
164	-8.39417043494
165	-44.0461457839
166	-15.4017706419
167	-25.4979269629
168	-12.0333666572
169	-5.35619236729
170	-10.0452603137
171	-5.45190368715
172	-8.24276798775
173	-8.4086331442
174	-13.0786871063
175	-5.35619236729
176	-5.86752926632
177	-17.6771054425
178	-5.35619236729
179	-5.35619236729
180	-10.7482430433
181	-12.2939007654
182	-5.86752926632
183	-5.45190368715
184	-8.42833569943
