#Site1	Site2	lnL	
0	1	-2.74858566021
0	2	-5.90350806843
0	3	-3.16887569839
0	4	-3.05008540156
0	5	-4.84488644084
0	6	-3.16888254625
0	7	-3.05008895265
0	8	-4.60322949685
0	9	-2.85042437461
0	10	-2.76931765141
0	11	-5.90373674078
0	12	-2.84181003475
0	13	-2.74859631133
0	14	-7.13315265076
0	15	-3.34251158041
0	16	-2.7693213573
0	17	-4.84508826384
0	18	-3.16890357972
0	19	-3.05009988115
0	20	-15.784680725
0	21	-2.85043728499
0	22	-12.912626465
0	23	-4.84516182827
0	24	-3.34252344748
0	25	-2.76932566479
0	26	-4.60344455704
0	27	-3.34252667394
0	28	-2.74860463422
0	29	-4.84522215318
0	30	-2.85044405526
0	31	-2.76932790071
0	32	-11.185472316
0	33	-2.84183049331
0	34	-10.4842479745
0	35	-5.75757001006
0	36	-7.66557344252
0	37	-2.74860797824
0	38	-11.4335024603
0	39	-2.84183418852
0	40	-2.76933054295
0	41	-5.75762354389
0	42	-11.4021755904
0	43	-2.74860973335
0	44	-10.4110122633
0	45	-2.85045177865
0	46	-3.22609779932
0	47	-4.60357765425
0	48	-3.3425423384
0	49	-3.05011393516
0	50	-11.0078734757
0	51	-3.34254385116
0	52	-2.74861182416
0	53	-11.007735954
0	54	-3.34254523164
0	55	-3.226100176
0	56	-4.84538782563
0	57	-3.34254649203
0	58	-3.22610083433
0	59	-4.84539911759
0	60	-3.34254764329
0	61	-2.76933446959
0	62	-4.6036316746
0	63	-3.3425486953
0	64	-2.74861385475
0	65	-10.2849755096
0	66	-3.34254965698
0	67	-3.22610248788
0	68	-4.84542749417
0	69	-3.34255053636
0	70	-3.05011830997
0	71	-7.15427190115
0	72	-2.84184580164
0	73	-3.05011873946
0	74	-9.76379005758
0	75	-3.34255207673
0	76	-3.05011913247
0	77	-11.8637644984
0	78	-3.3425527503
0	79	-3.05011949218
0	80	-9.04156029824
0	81	-2.84184742706
0	82	-2.74861581419
0	83	-12.3557501392
0	84	-3.34255393145
0	85	-3.05012012302
0	86	-6.97306609898
0	87	-3.16894291666
0	88	-3.05012039917
0	89	-4.60368459144
0	90	-2.85046170818
0	91	-2.76933712378
0	92	-5.90434728549
0	93	-2.85046201066
0	94	-2.74861664877
0	95	-10.2326593502
0	96	-3.34255575328
0	97	-3.22610567467
0	98	-4.84548223801
0	99	-3.16894462193
0	100	-3.05012129079
0	101	-13.8620794769
0	102	-7.65957195009
0	103	-2.74861710853
0	104	-13.2380437978
0	105	-3.34255675721
0	106	-3.22610619968
0	107	-4.8454912637
0	108	-14.1045502834
0	109	-2.74861735465
0	110	-13.195902765
0	111	-2.84185057821
0	112	-3.05012191979
0	113	-19.4684769527
0	114	-3.16894606555
0	115	-3.05012204573
0	116	-4.60370859618
0	117	-2.8504636777
0	118	-2.76933815441
0	119	-5.90437963874
0	120	-2.85046381589
0	121	-2.76933822673
0	122	-5.90438190909
0	123	-3.34255812642
0	124	-2.74861781169
0	125	-13.4984107852
0	126	-3.34255829307
0	127	-3.22610700298
0	128	-4.84550507725
0	129	-3.34255844591
0	130	-2.76933840965
0	131	-4.60371573122
0	132	-3.34255858609
0	133	-2.76933846081
0	134	-7.12710845362
0	135	-2.85046435278
0	136	-2.74861805865
0	137	-11.8958597601
0	138	-3.34255883259
0	139	-3.05012274159
0	140	-13.9766570427
0	141	-2.85046451045
0	142	-2.76933859026
0	143	-5.90439332196
0	144	-3.34255904
0	145	-3.05012285243
0	146	-14.8547740258
0	147	-2.85046464313
0	148	-3.05012290109
0	149	-5.75788303067
0	150	-2.85046470136
0	151	-2.76933869019
0	152	-8.49067508576
0	153	-3.34255929115
0	154	-2.76933871815
0	155	-9.14125578408
0	156	-2.84185223632
0	157	-2.7486183302
0	158	-5.75788572168
0	159	-2.85046484876
0	160	-2.76933876735
0	161	-12.8792570829
0	162	-3.34255948508
0	163	-3.22610762654
0	164	-4.84551580284
0	165	-2.85046492787
0	166	-2.7486184049
0	167	-7.76537259397
0	168	-2.85046496259
0	169	-2.76933882693
0	170	-8.49065983131
0	171	-3.34255963485
0	172	-2.748618445
0	173	-6.97315439355
0	174	-2.85046502369
0	175	-3.05012319277
0	176	-15.0561660294
0	177	-3.34255971524
0	178	-2.74861847875
0	179	-12.158184328
0	180	-3.16894833388
0	181	-2.76933888584
0	182	-7.07462794815
0	183	-2.84185257448
0	184	-2.74861850717
0	185	-12.0008998259
0	186	-2.85046511843
0	187	-2.76933890851
0	188	-11.5715082502
0	189	-2.85046513745
0	190	-2.7486185311
0	191	-13.7054147478
0	192	-3.16894845075
0	193	-2.7693389276
0	194	-4.6037267949
0	195	-2.8504651709
0	196	-2.76933893598
0	197	-5.75789187077
0	198	-2.85046518559
0	199	-3.22610784829
0	200	-4.60372713823
0	201	-3.16894851548
0	202	-2.76933895072
0	203	-4.60372728898
0	204	-3.34255994602
0	205	-3.05012333667
0	206	-9.54096156174
0	207	-9.84820208424
0	208	-3.05012334537
0	209	-11.0018651695
0	210	-3.34255997723
0	211	-3.05012335336
0	212	-13.6414123989
0	213	-2.84185274138
0	214	-3.05012336068
0	215	-4.84552035578
0	216	-3.34256000352
0	217	-2.7486185998
0	218	-4.84552046898
0	219	-3.34256001506
0	220	-2.74861860464
0	221	-11.0904765387
0	222	-3.16894861496
0	223	-3.05012337924
0	224	-4.60372804832
0	225	-2.84185277702
0	226	-3.05012338443
0	227	-13.1846867777
0	228	-3.34256004428
0	229	-3.0501233892
0	230	-7.1333415428
0	231	-2.84185279074
0	232	-3.05012339357
0	233	-10.3257345602
0	234	-2.84185279677
0	235	-3.05012339759
0	236	-4.84552097721
0	237	-3.34256007319
0	238	-2.74861862906
0	239	-9.6573051194
0	240	-2.85046530417
0	241	-2.74861863149
0	242	-12.9037411596
0	243	-2.85046530789
0	244	-3.0501234106
0	245	-15.2307705447
0	246	-3.34256008921
0	247	-3.05012341321
0	248	-11.4601187298
0	249	-2.84185282382
0	250	-2.74861863766
0	251	-5.90440653434
0	252	-2.85046531729
0	253	-2.76933901261
0	254	-5.9044065815
0	255	-3.34256010158
0	256	-2.76933901399
0	257	-4.60372864055
0	258	-3.16894869609
0	259	-3.05012342168
0	260	-9.28008341679
0	261	-3.16894869934
0	262	-3.05012342338
0	263	-4.60372869238
0	264	-2.85046532659
0	265	-3.22610795408
0	266	-4.60372871514
0	267	-3.34256011383
0	268	-2.76933901846
0	269	-7.76537607924
0	270	-2.85046533018
0	271	-3.22610795676
0	272	-4.6037287552
0	273	-2.85046533175
0	274	-2.76933902018
0	275	-5.9044068191
0	276	-2.85046533319
0	277	-2.76933902093
0	278	-5.90440684282
0	279	-3.34256012251
0	280	-2.76933902163
0	281	-11.5283692052
0	282	-2.85046533573
0	283	-2.76933902226
0	284	-7.96762312485
0	285	-2.85046533685
0	286	-2.76933902285
0	287	-9.24264330368
0	288	-15.983396196
0	289	-2.74861865178
0	290	-7.75799719439
0	291	-2.85046533881
0	292	-2.76933902387
0	293	-5.90440693515
0	294	-3.16894872148
0	295	-2.76933902432
0	296	-8.00724357773
0	297	-2.85046534046
0	298	-3.22610796448
0	299	-8.78985579221
0	300	-3.34256013208
0	301	-3.22610796502
0	302	-4.8455216262
0	303	-2.85046534185
0	304	-2.76933902547
0	305	-5.75789473439
0	306	-12.0945377475
0	307	-2.74861865455
0	308	-19.5748290025
0	309	-3.1689487264
0	310	-2.76933902608
0	311	-4.60372889892
0	312	-12.0354578571
0	313	-2.7486186552
0	314	-7.95500481108
0	315	-3.34256013613
0	316	-2.7693390266
0	317	-11.5655791372
0	318	-3.34256013675
0	319	-2.76933902682
0	320	-17.74534518
0	321	-2.85046534484
0	322	-2.74861865598
0	323	-9.05055638472
0	324	-7.84789760165
0	325	-2.7486186562
0	326	-4.84552167812
0	327	-3.34256013832
0	328	-2.7693390274
0	329	-7.0778918683
0	330	-2.85046534585
0	331	-2.74861865659
0	332	-7.13334185083
0	333	-3.34256013917
0	334	-3.05012343991
0	335	-14.960622261
0	336	-2.85046534639
0	337	-8.30408603669
0	338	-6.92411401014
0	339	-3.16894873168
0	340	-2.76933902797
0	341	-4.60372893924
0	342	-2.85046534685
0	343	-2.74861865719
0	344	-5.90440706729
0	345	-12.377823947
0	346	-13.3415347694
0	347	-4.60372894391
0	348	-3.34256014074
0	349	-2.76933902828
0	350	-14.0362772056
0	351	-2.8504653474
0	352	-2.76933902837
0	353	-6.92411403066
0	354	-2.84185286194
0	355	-3.050123441
0	356	-8.6363557471
0	357	-2.84185286211
0	358	-2.7486186577
0	359	-5.75789483227
0	360	-3.3425601416
0	361	-3.22610797001
0	362	-4.84552171191
0	363	-2.85046534795
0	364	-10.40257324
0	365	-8.32591868938
0	366	-2.85046534806
0	367	-12.9391458677
0	368	-8.27361653909
0	369	-7.65955950886
0	370	-2.74861865798
0	371	-5.9044070888
0	372	-3.3425601422
0	373	-3.05012344154
0	374	-9.25293095728
0	375	-2.84185286284
0	376	-3.0501234416
0	377	-11.8268001
0	378	-3.34256014244
0	379	-2.74861865813
0	380	-11.9463174734
0	381	-14.9408198736
0	382	-11.2131601266
0	383	-11.9829459621
0	384	-2.85046534855
0	385	-2.76933902897
0	386	-7.94658844925
0	387	-3.34256014272
0	388	-2.769339029
0	389	-7.07462884866
0	390	-2.85046534866
0	391	-2.74861865828
0	392	-10.3046106412
0	393	-2.84185286328
0	394	-2.74861865831
0	395	-11.1628051691
0	396	-3.34256014294
0	397	-3.22610797071
0	398	-4.84552172397
0	399	-2.8504653488
0	400	-3.05012344196
0	401	-9.26905648833
0	402	-3.34256014305
0	403	-3.05012344199
0	404	-4.84552172502
0	405	-3.16894873498
0	406	-2.76933902915
0	407	-4.60372896438
0	408	-2.8418528635
0	409	-3.05012344204
0	410	-13.4820777773
0	411	-9.98522878059
0	412	-2.74861865845
0	413	-15.9787755487
0	414	-3.34256014324
0	415	-3.22610797086
0	416	-11.385724271
0	417	-2.8418528636
0	418	-3.22610797088
0	419	-4.84552172699
0	420	-3.16894873518
0	421	-3.2261079709
0	422	-7.1266983357
0	423	-3.34256014334
0	424	-2.74861865851
0	425	-10.5854707761
0	426	-7.79891138827
0	427	-2.76933902924
0	428	-12.1112776121
0	429	-2.84185286369
0	430	-10.4979291821
0	431	-5.7578948554
0	432	-2.85046534909
0	433	-2.76933902926
0	434	-9.88805211758
0	435	-2.85046534911
0	436	-2.76933902927
0	437	-10.2588237938
0	438	-3.16894873533
0	439	-3.05012344221
0	440	-12.0644956851
0	441	-3.16894873535
0	442	-2.76933902928
0	443	-8.71520218196
0	444	-3.34256014349
0	445	-2.76933902929
0	446	-10.2997172664
0	447	-2.85046534916
0	448	-2.74861865858
0	449	-7.76537625921
0	450	-2.85046534917
0	451	-2.74861865859
0	452	-7.13334186634
0	453	-3.34256014353
0	454	-2.7693390293
0	455	-4.60372896773
0	456	-3.34256014355
0	457	-11.2104901491
0	458	-10.2997172619
0	459	-2.85046534919
0	460	-2.7486186586
0	461	-12.2400205781
0	462	-7.72283935568
0	463	-10.607217396
0	464	-11.8639207725
0	465	-3.34256014358
0	466	-3.05012344227
0	467	-9.2223671861
0	468	-3.34256014359
0	469	-3.22610797105
0	470	-4.8455217298
0	471	-3.34256014359
0	472	-2.76933902932
0	473	-4.60372896818
0	474	-2.85046534922
0	475	-2.74861865862
0	476	-8.88465521522
0	477	-3.34256014361
0	478	-2.76933902933
0	479	-7.10064660698
0	480	-2.85046534923
0	481	-2.74861865862
0	482	-7.15430061046
0	483	-3.1689487355
0	484	-3.05012344229
0	485	-4.60372896838
0	486	-3.34256014362
0	487	-2.76933902933
0	488	-4.60372896842
1	2	-5.80198434115
1	3	-3.06705525402
1	4	-2.94825238514
1	5	-4.74326830118
1	6	-3.06705966164
1	7	-2.94825467001
1	8	-4.50156262688
1	9	-2.74859243284
1	10	-2.66747865743
1	11	-5.8021314527
1	12	-2.73997877077
1	13	-2.64675767151
1	14	-7.03137355058
1	15	-3.24068239149
1	16	-2.66748103678
1	17	-4.74339790755
1	18	-3.06707317149
1	19	-2.94826168762
1	20	-15.6812906635
1	21	-2.7486007188
1	22	-12.8119471093
1	23	-4.74344505343
1	24	-3.24069000049
1	25	-2.66748379811
1	26	-4.50170056832
1	27	-3.24069206704
1	28	-2.64676300754
1	29	-4.74348367811
1	30	-2.74860505525
1	31	-2.66748522971
1	32	-11.0826028573
1	33	-2.73999188455
1	34	-10.3824775347
1	35	-5.65584071269
1	36	-7.56369341924
1	37	-2.64676514747
1	38	-11.3315846457
1	39	-2.73999424825
1	40	-2.66748692
1	41	-5.65587494771
1	42	-11.3000283367
1	43	-2.64676626974
1	44	-10.3087627821
1	45	-2.74860999528
1	46	-3.12425478706
1	47	-4.50178569831
1	48	-3.24070208738
1	49	-2.94827068317
1	50	-10.9054234688
1	51	-3.24070305399
1	52	-2.64676760589
1	53	-10.9053358382
1	54	-3.24070393591
1	55	-3.12425630562
1	56	-4.74358959425
1	57	-3.24070474099
1	58	-3.1242567261
1	59	-4.74359680511
1	60	-3.24070547624
1	61	-2.66748942909
1	62	-4.50182020171
1	63	-3.24070614802
1	64	-2.64676890279
1	65	-10.1829283449
1	66	-3.24070676204
1	67	-3.12425778197
1	68	-4.74361492148
1	69	-3.24070732345
1	70	-2.94827347724
1	71	-7.05243561885
1	72	-2.7400016677
1	73	-2.94827375139
1	74	-9.6619453952
1	75	-3.2407083067
1	76	-2.94827400224
1	77	-11.7619117888
1	78	-3.24070873659
1	79	-2.94827423181
1	80	-8.9394783255
1	81	-2.7400027051
1	82	-2.64677015355
1	83	-12.2539645947
1	84	-3.24070949036
1	85	-2.94827463438
1	86	-6.87125421534
1	87	-3.06709833326
1	88	-2.94827481059
1	89	-4.50185397451
1	90	-2.74861633619
1	91	-2.66749112327
1	92	-5.80252226219
1	93	-2.74861652918
1	94	-2.64677068607
1	95	-10.1307294202
1	96	-3.24071065278
1	97	-3.12425981578
1	98	-4.74364985373
1	99	-3.06709942125
1	100	-2.94827537945
1	101	-13.7600545478
1	102	-7.5577207294
1	103	-2.64677097938
1	104	-13.1361765761
1	105	-3.24071129323
1	106	-3.1242601507
1	107	-4.74365561087
1	108	-14.0025804667
1	109	-2.64677113638
1	110	-13.0940284653
1	111	-2.74000471556
1	112	-2.94827578069
1	113	-19.3665525909
1	114	-3.06710034213
1	115	-2.94827586102
1	116	-4.50186928674
1	117	-2.74861759262
1	118	-2.66749178074
1	119	-5.80254289992
1	120	-2.74861768075
