#Site1	Site2	lnL	
0	1	-2.95031538385
0	2	-3.58908256275
0	3	-3.18133119443
0	4	-2.68046499854
0	5	-3.92104085402
0	6	-3.18133968084
0	7	-2.95031991383
0	8	-10.500452401
0	9	-6.73023546912
0	10	-2.765019122
0	11	-7.33450447749
0	12	-2.76473127002
0	13	-2.95032359282
0	14	-6.59941339087
0	15	-2.76473578447
0	16	-2.76502196846
0	17	-10.6373516965
0	18	-3.0590554261
0	19	-3.06435780044
0	20	-3.58929847783
0	21	-2.76474363796
0	22	-2.95032794068
0	23	-13.3718754748
0	24	-2.76474706439
0	25	-3.06436051532
0	26	-3.42760215134
0	27	-2.76475020524
0	28	-2.68047468447
0	29	-4.11230910867
0	30	-3.18138450597
0	31	-2.76502716917
0	32	-10.2805838175
0	33	-10.7962982504
0	34	-2.76502796839
0	35	-5.58661122217
0	36	-17.1637643234
0	37	-2.95033306846
0	38	-3.92138950428
0	39	-2.76476045464
0	40	-2.68047748837
0	41	-3.92140798115
0	42	-3.05908463878
0	43	-2.95033460373
0	44	-3.427699474
0	45	-2.85781565317
0	46	-2.76503060024
0	47	-6.86539167788
0	48	-2.85781762955
0	49	-2.76503114165
0	50	-4.11245054091
0	51	-3.18140511386
0	52	-2.95033651004
0	53	-6.52514894184
0	54	-2.76476949457
0	55	-3.06436902417
0	56	-3.42774360608
0	57	-2.76477093625
0	58	-2.68048036039
0	59	-4.11249190389
0	60	-3.05909718872
0	61	-2.6804807286
0	62	-3.42776136681
0	63	-2.85782561143
0	64	-2.76503332973
0	65	-6.75303057592
0	66	-3.18141448087
0	67	-2.76503368215
0	68	-15.9692493924
0	69	-6.73031504616
0	70	-2.7650340112
0	71	-10.1654252939
0	72	-3.18141740475
0	73	-2.68048197059
0	74	-3.92154271394
0	75	-3.18141872492
0	76	-2.76503460613
0	77	-7.1460947747
0	78	-2.85783124329
0	79	-2.76503487506
0	80	-6.86462275648
0	81	-3.05910647426
0	82	-2.68048270502
0	83	-3.9215649438
0	84	-3.05910748031
0	85	-2.95034086411
0	86	-9.31743079785
0	87	-2.76478099208
0	88	-2.68048312006
0	89	-3.92157752578
0	90	-2.76478167739
0	91	-3.0643736578
0	92	-3.42782165205
0	93	-3.18142505405
0	94	-2.95034159284
0	95	-8.86575058336
0	96	-2.76478292302
0	97	-2.68048365046
0	98	-9.95993074873
0	99	-3.1814266753
0	100	-2.76503633822
0	101	-5.58688116694
0	102	-2.85783715639
0	103	-2.95034219472
0	104	-5.80885550793
0	105	-2.76478451925
0	106	-2.68048408904
0	107	-4.1126134676
0	108	-3.18142875472
0	109	-2.68048421787
0	110	-5.46008281448
0	111	-3.18142936586
0	112	-2.68048433896
0	113	-3.42784585757
0	114	-2.85783916236
0	115	-2.76503705002
0	116	-9.21959507077
0	117	-3.05911517911
0	118	-3.06437539242
0	119	-3.58962193744
0	120	-3.18143098872
0	121	-2.68048466055
0	122	-3.42785342401
0	123	-2.76478694338
0	124	-2.68048475528
0	125	-14.0162657458
0	126	-9.39659316592
0	127	-2.76503748096
0	128	-15.3518105909
0	129	-9.48498326865
0	130	-2.9503434529
0	131	-7.69697800315
0	132	-3.18143273842
0	133	-2.68048500734
0	134	-3.42786159088
0	135	-6.73033484325
0	136	-2.76503774205
0	137	-9.03046011656
0	138	-2.85784196065
0	139	-2.68048515176
0	140	-3.92163931525
0	141	-2.76478862549
0	142	-2.68048521774
0	143	-4.11265049893
0	144	-3.18143411333
0	145	-2.95034390588
0	146	-6.59619132011
0	147	-3.18143440869
0	148	-2.68048533844
0	149	-8.06930802146
0	150	-2.76478926514
0	151	-2.68048539362
0	152	-7.25332207659
0	153	-3.18143494929
0	154	-2.68048544562
0	155	-10.2395369675
0	156	-9.48498616941
0	157	-2.95034418259
0	158	-3.58964620488
0	159	-3.18143542951
0	160	-2.76503824726
0	161	-11.7725041238
0	162	-2.85784369217
0	163	-2.95034429825
0	164	-7.27017168435
0	165	-3.18143585628
0	166	-2.76503834037
0	167	-6.59612601952
0	168	-2.85784401146
0	169	-2.76503838298
0	170	-8.80948420276
0	171	-3.18143623571
0	172	-3.06437697357
0	173	-3.58965156257
0	174	-2.85784429537
0	175	-2.76503846105
0	176	-3.92165711852
0	177	-2.76479062504
0	178	-3.06437706631
0	179	-3.4278795225
0	180	-2.76479073643
0	181	-2.95034457381
0	182	-6.52596295596
0	183	-3.05912112132
0	184	-2.68048582715
0	185	-3.42788092821
0	186	-2.85784477263
0	187	-2.7650385923
0	188	-14.5027338717
0	189	-3.18143714053
0	190	-3.06437722225
0	191	-3.58965623031
0	192	-3.18143726288
0	193	-3.06437725588
0	194	-3.58965686173
0	195	-16.0560312099
0	196	-11.1538869049
0	197	-9.111616889
0	198	-2.76479128411
0	199	-2.68048594889
0	200	-10.192842346
0	201	-2.85784523223
0	202	-2.95034479419
0	203	-9.96026126127
0	204	-8.11988231326
0	205	-9.34156995009
0	206	-14.217699626
0	207	-3.18143777858
0	208	-3.06437739763
0	209	-3.5896595235
0	210	-2.85784545037
0	211	-2.76503877869
0	212	-6.75208031456
0	213	-3.18143794649
0	214	-3.06437744379
0	215	-6.59604802101
0	216	-2.85784557612
0	217	-2.76503881328
0	218	-6.54139762673
0	219	-14.9380312682
0	220	-2.76503882913
0	221	-11.7550982356
0	222	-2.85784568815
0	223	-2.68048608323
0	224	-3.92166775477
0	225	-2.76479181914
0	226	-2.68048609607
0	227	-3.9216681471
0	228	-2.85784578796
0	229	-2.95034497317
0	230	-10.9458434303
0	231	-3.18143834806
0	232	-2.76503888413
0	233	-7.69715048929
0	234	-3.18143840248
0	235	-2.95034500182
0	236	-16.2849389739
0	237	-3.18143845386
0	238	-2.6804861406
0	239	-14.0016360738
0	240	-3.18143850236
0	241	-2.95034502734
0	242	-9.19820385113
0	243	-2.76479204901
0	244	-2.68048615931
0	245	-7.91222982957
0	246	-2.76479208018
0	247	-2.68048616788
0	248	-7.25327520802
0	249	-2.85784605917
0	250	-2.76503894614
0	251	-7.4532922544
0	252	-3.18143867073
0	253	-2.68048618362
0	254	-3.42788934996
0	255	-3.05912282583
0	256	-2.95034507967
0	257	-3.42788952052
0	258	-2.76479218838
0	259	-2.95034508845
0	260	-7.99579142523
0	261	-2.8578461716
0	262	-2.68048620408
0	263	-3.92167144951
0	264	-2.76479223384
0	265	-3.06437767965
0	266	-3.42788997716
0	267	-2.85784621884
0	268	-2.76503899006
0	269	-8.30800782074
0	270	-3.18143886071
0	271	-2.76503899602
0	272	-9.34332661779
0	273	-2.76479229295
0	274	-3.06437770218
0	275	-3.42789036156
0	276	-2.85784628026
0	277	-2.68048623124
0	278	-10.2827239073
0	279	-3.1814389338
0	280	-3.06437771519
0	281	-7.69716746903
0	282	-7.83576186748
0	283	-2.7650390167
0	284	-5.89206307761
0	285	-8.66057333165
0	286	-2.95034514839
0	287	-3.58966570739
0	288	-3.18143899533
0	289	-2.680486248
0	290	-3.42789087196
0	291	-2.7647923846
0	292	-2.68048625163
0	293	-4.11268451475
0	294	-3.18143903085
0	295	-2.76503903315
0	296	-6.59600769166
0	297	-3.18143904713
0	298	-2.68048625828
0	299	-3.42789111491
0	300	-2.76479241987
0	301	-2.68048626133
0	302	-10.0042494084
0	303	-3.18143907704
0	304	-2.95034517422
0	305	-5.46014815214
0	306	-2.85784642304
0	307	-2.95034517773
0	308	-11.4630611655
0	309	-2.76479244957
0	310	-3.0643777619
0	311	-3.42789138022
0	312	-3.05912320586
0	313	-2.68048627193
0	314	-3.42789143758
0	315	-3.05912321659
0	316	-2.68048627422
0	317	-3.42789149175
0	318	-2.76479247458
0	319	-3.06437777144
0	320	-3.4278915429
0	321	-2.76479248201
0	322	-2.68048627843
0	323	-4.11268539765
0	324	-3.05912324535
0	325	-2.68048628036
0	326	-3.42789163682
0	327	-2.76479249564
0	328	-7.88348443932
0	329	-5.68289117572
0	330	-2.7647925019
0	331	-2.6804862839
0	332	-4.11268557794
0	333	-2.7647925078
0	334	-2.68048628552
0	335	-3.92167394023
0	336	-2.76479251338
0	337	-3.06437778623
0	338	-3.42789179527
0	339	-3.18143919951
0	340	-7.8834844476
0	341	-5.58697034093
0	342	-2.76479252362
0	343	-2.68048628987
0	344	-4.11268577486
0	345	-2.76479252832
0	346	-2.68048629117
0	347	-4.11268581743
0	348	-8.14254045373
0	349	-2.76503907424
0	350	-7.14584796971
0	351	-2.85784652947
0	352	-2.7650390755
0	353	-10.1642771913
0	354	-3.18143923038
0	355	-3.06437779673
0	356	-3.5896670218
0	357	-2.76479254464
0	358	-2.95034521474
0	359	-11.9109195632
0	360	-3.18143924045
0	361	-3.06437779949
0	362	-11.5337440926
0	363	-2.7647925515
0	364	-2.68048629754
0	365	-10.6544267037
0	366	-9.25620682185
0	367	-3.06437780197
0	368	-7.69209316695
0	369	-9.39674269571
0	370	-10.9681163813
0	371	-5.89206915991
0	372	-3.18143925745
0	373	-2.95034522033
0	374	-11.9113936679
0	375	-2.76479256307
