#Site1	Site2	lnL	
0	3	-3.08079948535
0	4	-2.93188537001
0	5	-6.70035480419
0	6	-3.08079948535
0	7	-2.97453362224
0	8	-3.62710425011
0	9	-2.71727164094
0	10	-2.64071037643
0	11	-8.74964296397
0	12	-2.59894314799
0	13	-2.52532338745
0	14	-6.29861802269
0	15	-3.08079948535
0	16	-2.52532338745
0	17	-6.93702883692
0	18	-3.08079948535
0	19	-2.64071037643
0	20	-6.42111334812
0	21	-3.08079948535
0	22	-2.64071037643
0	23	-7.82616737056
0	24	-2.59894314799
0	25	-2.93188537001
0	26	-3.62710425011
0	27	-3.02876131974
0	28	-2.97453362224
0	29	-3.62710425011
0	30	-3.08079948535
0	31	-2.52532338745
0	32	-5.43253513165
0	33	-2.71727164094
0	34	-2.52532338745
0	35	-7.23396661722
0	36	-2.59894314799
0	37	-2.93188537001
0	38	-9.4537481508
0	39	-2.59894314799
0	40	-2.64071037643
0	41	-10.1319960085
0	42	-2.59894314799
0	43	-2.52532338745
0	44	-9.89436224671
0	45	-11.3089360237
0	46	-2.64071037643
0	47	-11.1061085818
0	48	-3.02876131974
0	49	-2.52532338745
0	50	-4.18854468527
0	51	-2.59894314799
0	52	-2.52532338745
0	53	-7.13899455051
0	54	-2.59894314799
0	55	-2.97453362224
0	56	-6.83730379051
0	57	-8.53625487481
0	58	-2.64071037643
0	59	-14.1190605637
0	60	-10.2507729475
0	61	-2.52532338745
0	62	-9.91590049014
0	63	-7.83542466532
0	64	-2.97453362224
0	65	-3.62710425011
0	66	-10.415117858
0	67	-2.64071037643
0	68	-10.4578020156
0	69	-12.2701242666
0	70	-13.7691883547
0	71	-10.9687439414
0	72	-2.71727164094
0	73	-2.64071037643
0	74	-7.23396661722
0	75	-2.59894314799
0	76	-2.52532338745
0	77	-7.68274139749
0	78	-2.59894314799
0	79	-2.52532338745
0	80	-9.83446226314
0	81	-2.59894314799
0	82	-2.97453362224
0	83	-3.46980253974
0	84	-3.08079948535
0	85	-2.93188537001
0	86	-6.66562728205
0	87	-3.02876131974
0	88	-2.93188537001
0	89	-3.46980253974
0	90	-2.59894314799
0	91	-2.97453362224
0	92	-3.46980253974
0	93	-3.08079948535
0	94	-2.93188537001
0	95	-8.86569252452
0	96	-3.08079948535
0	97	-2.64071037643
0	98	-10.3938061802
0	99	-2.59894314799
0	100	-2.52532338745
0	101	-6.98430200105
0	102	-3.08079948535
0	103	-2.52532338745
0	104	-6.54827140982
0	105	-2.59894314799
0	106	-2.64071037643
0	107	-8.41217734131
0	108	-2.59894314799
0	109	-2.52532338745
0	110	-9.83446226314
0	111	-2.59894314799
0	112	-2.52532338745
0	113	-7.68274139749
0	114	-2.71727164094
0	115	-2.64071037643
0	116	-4.18854468527
0	117	-3.08079948535
0	118	-2.93188537001
0	119	-6.93702883692
0	120	-2.59894314799
0	121	-2.52532338745
0	122	-10.1927862924
0	123	-2.71727164094
0	124	-2.64071037643
0	125	-10.8771135472
0	126	-3.02876131974
0	127	-2.52532338745
0	128	-6.93702883692
0	129	-2.59894314799
0	130	-2.64071037643
0	131	-4.35320651298
0	132	-3.08079948535
0	133	-2.97453362224
0	134	-6.66562728205
0	135	-2.59894314799
0	136	-2.93188537001
0	137	-10.3795177992
0	138	-3.08079948535
0	139	-2.52532338745
0	140	-12.9756242137
0	141	-3.08079948535
0	142	-2.52532338745
0	143	-7.47725417089
0	144	-3.08079948535
0	145	-2.64071037643
0	146	-7.23396661722
0	147	-3.02876131974
0	148	-2.97453362224
0	149	-3.62710425011
0	150	-8.75345279542
0	151	-2.64071037643
0	152	-7.13899455051
0	153	-3.08079948535
0	154	-9.85553939953
0	155	-14.1028881041
0	156	-3.02876131974
0	157	-2.93188537001
0	158	-3.46980253974
0	159	-6.68400010883
0	160	-7.41250697004
0	161	-3.46980253974
0	162	-2.71727164094
0	163	-2.64071037643
0	164	-9.38472052476
0	165	-2.59894314799
0	166	-2.52532338745
0	167	-7.23396661722
0	168	-3.02876131974
0	169	-2.52532338745
0	170	-7.30461137507
0	171	-3.08079948535
0	172	-9.85553939953
0	173	-14.2001319311
0	174	-2.59894314799
0	175	-2.64071037643
0	176	-4.18854468527
0	177	-2.71727164094
0	178	-2.97453362224
0	179	-4.35320651298
0	180	-2.59894314799
0	181	-2.52532338745
0	182	-7.68274139749
0	183	-2.59894314799
0	184	-2.97453362224
0	185	-3.46980253974
0	186	-3.08079948535
0	187	-2.97453362224
0	188	-3.62710425011
0	189	-8.681961112
0	190	-2.64071037643
0	191	-9.79923890338
0	192	-2.59894314799
0	193	-2.52532338745
0	194	-4.35320651298
0	195	-3.08079948535
0	196	-2.97453362224
0	197	-3.62710425011
0	198	-3.08079948535
0	199	-2.64071037643
0	200	-6.42111334812
0	201	-9.52543930793
0	202	-9.84109281473
0	203	-3.46980253974
0	204	-2.71727164094
0	205	-9.5650493764
0	206	-7.7057128625
0	207	-2.59894314799
0	208	-2.97453362224
0	209	-6.54827140982
0	210	-12.7817444261
0	211	-2.64071037643
0	212	-13.2896426007
0	213	-2.59894314799
0	214	-2.97453362224
0	215	-3.46980253974
0	216	-2.71727164094
0	217	-2.64071037643
0	218	-4.35320651298
0	219	-2.59894314799
0	220	-2.97453362224
0	221	-3.46980253974
0	222	-2.59894314799
0	223	-2.64071037643
0	224	-11.4855376543
0	225	-2.71727164094
0	226	-2.93188537001
0	227	-18.0568168124
0	228	-2.59894314799
0	229	-2.97453362224
0	230	-3.46980253974
0	231	-2.59894314799
0	232	-7.41250697004
0	233	-5.82242301603
0	234	-2.59894314799
0	235	-2.97453362224
0	236	-3.46980253974
0	237	-2.59894314799
0	238	-2.52532338745
0	239	-8.82594469904
0	240	-3.08079948535
0	241	-2.52532338745
0	242	-3.46980253974
0	243	-3.08079948535
0	244	-2.52532338745
0	245	-6.83730379051
0	246	-3.08079948535
0	247	-2.52532338745
0	248	-3.46980253974
0	249	-3.08079948535
0	250	-2.52532338745
0	251	-14.4876065249
0	252	-3.08079948535
0	253	-2.93188537001
0	254	-12.3532027351
0	255	-2.59894314799
0	256	-2.52532338745
0	257	-4.35320651298
0	258	-2.59894314799
0	259	-2.52532338745
0	260	-7.23396661722
0	261	-3.02876131974
0	262	-2.93188537001
0	263	-3.46980253974
0	264	-2.71727164094
0	265	-2.64071037643
0	266	-10.5493397921
0	267	-2.71727164094
0	268	-2.64071037643
0	269	-10.6789151523
0	270	-2.71727164094
0	271	-2.93188537001
0	272	-12.1928425504
0	273	-2.71727164094
0	274	-2.52532338745
0	275	-4.18854468527
0	276	-3.08079948535
0	277	-2.64071037643
0	278	-13.0216026365
0	279	-3.08079948535
0	280	-2.52532338745
0	281	-3.46980253974
0	282	-3.02876131974
0	283	-2.93188537001
0	284	-15.2036669993
0	285	-3.08079948535
0	286	-2.64071037643
0	287	-13.8992117366
0	288	-20.2168428417
0	289	-2.64071037643
0	290	-15.141487596
0	291	-3.08079948535
0	292	-2.64071037643
0	293	-10.4697744358
0	294	-3.08079948535
0	295	-2.93188537001
0	296	-13.4862266032
0	297	-10.2196565259
0	298	-2.93188537001
0	299	-3.62710425011
0	300	-3.08079948535
0	301	-2.93188537001
0	302	-13.5150634178
0	303	-2.59894314799
0	304	-2.52532338745
0	305	-4.35320651298
0	306	-3.08079948535
0	307	-2.97453362224
0	308	-3.62710425011
0	309	-12.90992942
0	310	-2.64071037643
0	311	-7.65603341195
0	312	-3.02876131974
0	313	-2.52532338745
0	314	-3.46980253974
0	315	-2.59894314799
0	316	-2.93188537001
0	317	-11.732918995
0	318	-3.08079948535
0	319	-2.64071037643
0	320	-7.42524118187
0	321	-3.08079948535
0	322	-2.64071037643
0	323	-7.53003656469
0	324	-3.08079948535
0	325	-2.64071037643
0	326	-8.85710254063
0	327	-3.08079948535
0	328	-2.52532338745
0	329	-3.46980253974
0	330	-3.08079948535
0	331	-2.52532338745
0	332	-3.46980253974
0	333	-3.08079948535
0	334	-2.52532338745
0	335	-9.96171067258
1	3	-3.12256671379
1	4	-2.97365259845
1	5	-6.74212203263
1	6	-3.12256671379
1	7	-3.01630085068
1	8	-3.66887147855
1	9	-2.75903886938
1	10	-2.68247760487
1	11	-8.79141019241
1	12	-2.64071037643
1	13	-2.56709061589
1	14	-6.34038525113
1	15	-3.12256671379
1	16	-2.56709061589
1	17	-6.97879606536
1	18	-3.12256671379
1	19	-2.68247760487
1	20	-6.46288057656
1	21	-3.12256671379
1	22	-2.68247760487
1	23	-7.867934599
1	24	-2.64071037643
1	25	-2.97365259845
1	26	-3.66887147855
1	27	-3.07052854818
1	28	-3.01630085068
1	29	-3.66887147855
1	30	-3.12256671379
1	31	-2.56709061589
1	32	-5.4743023601
1	33	-2.75903886938
1	34	-2.56709061589
1	35	-7.27573384566
1	36	-2.64071037643
1	37	-2.97365259845
1	38	-9.49551537924
1	39	-2.64071037643
1	40	-2.68247760487
1	41	-10.173763237
1	42	-2.64071037643
1	43	-2.56709061589
1	44	-9.93612947515
1	45	-11.3507032521
1	46	-2.68247760487
1	47	-11.1478758102
1	48	-3.07052854818
1	49	-2.56709061589
1	50	-4.23031191371
1	51	-2.64071037643
1	52	-2.56709061589
1	53	-7.18076177895
1	54	-2.64071037643
1	55	-3.01630085068
1	56	-6.87907101895
1	57	-8.57802210325
1	58	-2.68247760487
1	59	-14.1608277921
1	60	-10.2925401759
1	61	-2.56709061589
1	62	-9.95766771858
1	63	-7.87719189376
1	64	-3.01630085068
1	65	-3.66887147855
1	66	-10.4568850864
1	67	-2.68247760487
1	68	-10.4995692441
1	69	-12.311891495
1	70	-13.8109555831
1	71	-11.0105111698
1	72	-2.75903886938
1	73	-2.68247760487
1	74	-7.27573384566
1	75	-2.64071037643
1	76	-2.56709061589
1	77	-7.72450862593
1	78	-2.64071037643
1	79	-2.56709061589
1	80	-9.87622949158
1	81	-2.64071037643
1	82	-3.01630085068
1	83	-3.51156976818
1	84	-3.12256671379
1	85	-2.97365259845
1	86	-6.70739451049
1	87	-3.07052854818
1	88	-2.97365259845
1	89	-3.51156976818
1	90	-2.64071037643
1	91	-3.01630085068
1	92	-3.51156976818
1	93	-3.12256671379
1	94	-2.97365259845
1	95	-8.90745975296
1	96	-3.12256671379
1	97	-2.68247760487
1	98	-10.4355734087
1	99	-2.64071037643
1	100	-2.56709061589
1	101	-7.02606922949
1	102	-3.12256671379
1	103	-2.56709061589
1	104	-6.59003863826
1	105	-2.64071037643
1	106	-2.68247760487
1	107	-8.45394456975
1	108	-2.64071037643
1	109	-2.56709061589
1	110	-9.87622949158
1	111	-2.64071037643
1	112	-2.56709061589
1	113	-7.72450862593
1	114	-2.75903886938
1	115	-2.68247760487
1	116	-4.23031191371
1	117	-3.12256671379
1	118	-2.97365259845
1	119	-6.97879606536
1	120	-2.64071037643
1	121	-2.56709061589
1	122	-10.2345535208
1	123	-2.75903886938
1	124	-2.68247760487
1	125	-10.9188807756
1	126	-3.07052854818
1	127	-2.56709061589
1	128	-6.97879606536
1	129	-2.64071037643
1	130	-2.68247760487
1	131	-4.39497374142
1	132	-3.12256671379
1	133	-3.01630085068
1	134	-6.70739451049
1	135	-2.64071037643
1	136	-2.97365259845
1	137	-10.4212850276
1	138	-3.12256671379
1	139	-2.56709061589
1	140	-13.0173914421
1	141	-3.12256671379
1	142	-2.56709061589
1	143	-7.51902139933
1	144	-3.12256671379
1	145	-2.68247760487
1	146	-7.27573384566
1	147	-3.07052854818
1	148	-3.01630085068
1	149	-3.66887147855
1	150	-8.79522002386
1	151	-2.68247760487
1	152	-7.18076177895
1	153	-3.12256671379
1	154	-9.89730662797
1	155	-14.1446553326
1	156	-3.07052854818
1	157	-2.97365259845
1	158	-3.51156976818
1	159	-6.72576733727
1	160	-7.45427419848
1	161	-3.51156976818
1	162	-2.75903886938
1	163	-2.68247760487
1	164	-9.4264877532
1	165	-2.64071037643
1	166	-2.56709061589
1	167	-7.27573384566
1	168	-3.07052854818
1	169	-2.56709061589
1	170	-7.34637860351
1	171	-3.12256671379
1	172	-9.89730662797
1	173	-14.2418991596
1	174	-2.64071037643
1	175	-2.68247760487
1	176	-4.23031191371
1	177	-2.75903886938
1	178	-3.01630085068
1	179	-4.39497374142
1	180	-2.64071037643
1	181	-2.56709061589
1	182	-7.72450862593
1	183	-2.64071037643
1	184	-3.01630085068
1	185	-3.51156976818
1	186	-3.12256671379
1	187	-3.01630085068
1	188	-3.66887147855
1	189	-8.72372834044
1	190	-2.68247760487
1	191	-9.84100613182
1	192	-2.64071037643
1	193	-2.56709061589
1	194	-4.39497374142
1	195	-3.12256671379
1	196	-3.01630085068
1	197	-3.66887147855
1	198	-3.12256671379
1	199	-2.68247760487
1	200	-6.46288057656
1	201	-9.56720653637
1	202	-9.88286004317
1	203	-3.51156976818
1	204	-2.75903886938
1	205	-9.60681660484
1	206	-7.74748009094
1	207	-2.64071037643
1	208	-3.01630085068
1	209	-6.59003863826
1	210	-12.8235116545
1	211	-2.68247760487
1	212	-13.3314098292
1	213	-2.64071037643
1	214	-3.01630085068
1	215	-3.51156976818
1	216	-2.75903886938
1	217	-2.68247760487
1	218	-4.39497374142
1	219	-2.64071037643
1	220	-3.01630085068
1	221	-3.51156976818
1	222	-2.64071037643
1	223	-2.68247760487
1	224	-11.5273048827
1	225	-2.75903886938
1	226	-2.97365259845
1	227	-18.0985840409
1	228	-2.64071037643
1	229	-3.01630085068
1	230	-3.51156976818
1	231	-2.64071037643
1	232	-7.45427419848
1	233	-5.86419024447
1	234	-2.64071037643
1	235	-3.01630085068
1	236	-3.51156976818
1	237	-2.64071037643
1	238	-2.56709061589
1	239	-8.86771192748
1	240	-3.12256671379
1	241	-2.56709061589
1	242	-3.51156976818
1	243	-3.12256671379
1	244	-2.56709061589
1	245	-6.87907101895
1	246	-3.12256671379
1	247	-2.56709061589
1	248	-3.51156976818
1	249	-3.12256671379
1	250	-2.56709061589
1	251	-14.5293737533
1	252	-3.12256671379
1	253	-2.97365259845
1	254	-12.3949699635
1	255	-2.64071037643
