#Site1	Site2	lnL	
0	1	-3.37683515904
0	2	-3.75564269291
0	3	-3.7557158613
0	4	-3.75578338306
0	5	-3.37708284225
0	6	-3.39756829462
0	7	-3.37718073803
0	8	-14.5736640135
0	9	-3.75605416218
0	10	-3.39772544992
0	11	-7.5164050419
0	12	-3.63374987732
0	13	-3.39781817319
0	14	-3.63382054104
0	15	-3.39787075388
0	16	-3.63388284354
0	17	-3.37751119053
0	18	-8.82709036832
0	19	-9.34596267042
0	20	-11.421744068
0	21	-3.39799498115
0	22	-3.39801176092
0	23	-7.75791847215
0	24	-3.63406939773
0	25	-3.39805677109
0	26	-11.9267919312
0	27	-3.63412019963
0	28	-3.39809490176
0	29	-10.8177906273
0	30	-3.3981170939
0	31	-3.39812733395
0	32	-11.92876581
0	33	-3.39814626395
0	34	-3.75662759283
0	35	-3.39816331825
0	36	-3.37778615716
0	37	-3.63424105711
0	38	-22.481265531
0	39	-3.75667393542
0	40	-3.75668187002
0	41	-7.61270405879
0	42	-3.63428174388
0	43	-3.39821649388
0	44	-11.7033507446
0	45	-3.39822677048
0	46	-3.75672196989
0	47	-3.39823607907
0	48	-3.39824040091
0	49	-3.63432406818
0	50	-11.5506025756
0	51	-3.75674740779
0	52	-3.63433820266
0	53	-3.37788133014
0	54	-3.63434654454
0	55	-3.6343504227
0	56	-3.39826834124
0	57	-3.39827113379
0	58	-3.39827379545
0	59	-11.6077529461
0	60	-3.37790259762
0	61	-3.6343701567
0	62	-14.8270739523
0	63	-3.75678832954
0	64	-3.39828735083
0	65	-10.2873429594
0	66	-3.39829107514
0	67	-3.39829280908
0	68	-14.514057286
0	69	-3.75680150994
0	70	-3.37792294757
0	71	-7.68019221018
0	72	-3.37792598483
0	73	-3.3983016568
0	74	-11.4298263805
0	75	-11.5106807618
0	76	-3.37793126593
0	77	-11.8353353779
0	78	-3.39830734361
0	79	-3.39830832961
0	80	-20.2203118025
0	81	-3.37793661605
0	82	-3.37793754396
0	83	-11.244002885
0	84	-3.3779392747
0	85	-3.37794008135
0	86	-13.7108671171
0	87	-3.75682459127
0	88	-3.3779422875
0	89	-7.68015691908
0	90	-3.3983166146
0	91	-3.39831717794
0	92	-21.2599353647
0	93	-13.61086182
0	94	-3.37794587469
0	95	-13.2621526772
0	96	-3.3779468647
0	97	-8.79110773266
0	98	-7.05893453806
0	99	-8.79111972227
0	100	-3.63442082122
0	101	-9.74205150146
0	102	-3.37794933861
0	103	-3.37794968806
0	104	-7.05890887593
0	105	-11.7111425099
0	106	-3.3779506443
0	107	-6.91909300378
0	108	-3.75683555286
0	109	-3.6344241844
0	110	-11.0308026409
0	111	-3.63442475976
0	112	-3.75684222681
0	113	-3.37795707252
0	114	-3.63443070276
0	115	-3.75684222681
0	116	-3.37795707252
0	117	-3.39832906027
0	118	-3.63443070276
0	119	-9.62386543371
0	120	-3.75684222681
0	121	-3.39832906027
0	122	-3.37795707252
0	123	-3.75684222681
0	124	-3.63443070276
0	125	-3.37795707252
0	126	-3.63443070276
0	127	-3.63443070276
0	128	-3.39832906027
0	129	-3.37795707252
0	130	-3.37795707252
0	131	-7.68012968969
0	132	-3.39832906027
0	133	-3.39832906027
0	134	-7.87326730934
0	135	-3.39832906027
0	136	-8.08003675582
0	137	-3.75684222681
0	138	-3.75684222681
0	139	-3.37795707252
0	140	-14.0456675881
0	141	-3.75684222681
0	142	-3.37795707252
0	143	-11.7991565778
0	144	-3.37795707252
0	145	-3.37795707252
0	146	-7.75710083213
0	147	-3.39832906027
0	148	-3.39832906027
0	149	-3.75684222681
0	150	-11.0576513258
0	151	-3.63443070276
0	152	-15.354305074
0	153	-7.61243222102
0	154	-3.37795707252
0	155	-3.75684222681
0	156	-3.37795707252
0	157	-3.37795707252
0	158	-3.63443070276
0	159	-8.81376614831
0	160	-3.37795707252
0	161	-3.75684222681
0	162	-3.37795707252
0	163	-3.63443070276
0	164	-7.61243222102
0	165	-3.39832906027
0	166	-3.39832906027
0	167	-7.75710083213
0	168	-3.39832906027
0	169	-3.37795707252
0	170	-7.58183859668
0	171	-3.39832906027
0	172	-3.39832906027
0	173	-3.63443070276
0	174	-3.39832906027
0	175	-3.75684222681
0	176	-3.39832906027
0	177	-3.63443070276
0	178	-3.63443070276
0	179	-7.66962918531
0	180	-3.63443070276
0	181	-3.63443070276
0	182	-9.91957544563
0	183	-3.75684222681
0	184	-3.37795707252
0	185	-6.76070454884
0	186	-3.37795707252
0	187	-3.63443070276
0	188	-23.3517662282
0	189	-3.75684222681
0	190	-11.7640056807
0	191	-13.7207335086
0	192	-3.37795707252
0	193	-3.63443070276
0	194	-7.71202996674
0	195	-3.39832906027
0	196	-3.75684222681
0	197	-3.39832906027
0	198	-3.39832906027
0	199	-3.37795707252
0	200	-6.96822074829
0	201	-22.77446574
0	202	-3.63443070276
0	203	-7.8057187963
0	204	-3.39832906027
0	205	-3.75684222681
0	206	-3.39832906027
0	207	-3.75684222681
0	208	-3.63443070276
0	209	-3.37795707252
0	210	-3.37795707252
0	211	-3.37795707252
0	212	-7.23439830723
0	213	-3.39832906027
0	214	-3.39832906027
0	215	-12.8960772477
0	216	-3.63443070276
0	217	-3.39832906027
0	218	-11.9263345353
0	219	-3.75684222681
0	220	-9.92947820811
0	221	-3.39832906027
0	222	-3.75684222681
0	223	-3.75684222681
0	224	-9.45797136119
0	225	-9.78146393559
0	226	-3.63443070276
0	227	-15.9910428454
0	228	-9.78146393559
0	229	-3.63443070276
0	230	-19.1838199482
0	231	-7.13170498845
0	232	-12.3043123518
0	233	-11.2973687479
0	234	-3.39832906027
0	235	-3.39832906027
0	236	-3.75684222681
0	237	-3.39832906027
0	238	-3.63443070276
0	239	-13.6560628125
0	240	-10.6387202895
0	241	-3.37795707252
0	242	-3.37795707252
0	243	-3.75684222681
0	244	-3.37795707252
0	245	-13.6021423131
0	246	-3.75684222681
0	247	-3.37795707252
0	248	-3.37795707252
0	249	-3.75684222681
0	250	-3.37795707252
0	251	-6.99202686837
0	252	-3.75684222681
0	253	-3.75684222681
0	254	-3.37795707252
0	255	-3.39832906027
0	256	-3.63443070276
0	257	-12.9903779227
0	258	-3.75684222681
0	259	-3.37795707252
0	260	-10.3983977207
0	261	-3.39832906027
0	262	-3.63443070276
0	263	-13.2571185828
0	264	-3.75684222681
0	265	-3.39832906027
0	266	-10.2637835221
0	267	-3.75684222681
0	268	-3.39832906027
0	269	-13.1370956777
0	270	-15.68085562
0	271	-3.63443070276
0	272	-13.3114452616
0	273	-3.39832906027
0	274	-3.75684222681
0	275	-7.86669053483
0	276	-7.13170498845
0	277	-3.37795707252
0	278	-6.82607893009
0	279	-3.37795707252
0	280	-14.2439660512
0	281	-17.9813388152
0	282	-3.75684222681
0	283	-3.39832906027
0	284	-19.4136885763
0	285	-3.37795707252
0	286	-3.37795707252
0	287	-12.6276752291
0	288	-3.63443070276
0	289	-3.63443070276
0	290	-3.39832906027
0	291	-3.39832906027
0	292	-3.39832906027
0	293	-8.04862798127
0	294	-3.39832906027
0	295	-3.63443070276
0	296	-17.610598788
0	297	-3.39832906027
0	298	-3.63443070276
0	299	-10.3983977207
0	300	-3.75684222681
0	301	-3.37795707252
0	302	-19.5635019723
0	303	-3.75684222681
0	304	-3.63443070276
0	305	-12.0921360089
0	306	-3.75684222681
0	307	-3.63443070276
0	308	-3.37795707252
0	309	-7.92531973743
0	310	-3.37795707252
0	311	-10.8119651338
0	312	-9.92947820811
0	313	-8.04862798127
