#Site	lnL	
0	-10.0942953745
1	-14.64760463
2	-11.8391509132
3	-12.7803732503
4	-10.7764333734
5	-10.7764333734
6	-15.1844501826
7	-18.0906631182
8	-10.6040393678
9	-13.595089458
10	-17.1722197511
11	-12.1064143741
12	-16.9540294313
13	-12.0153916984
14	-20.194419888
15	-18.0383275287
16	-28.1167139497
17	-13.595089458
18	-12.1214995075
19	-12.1214995075
20	-11.5357877457
21	-17.8536427717
22	-18.5604710228
23	-14.8646889697
24	-11.5357877457
25	-11.5357877457
26	-10.1465121871
27	-17.627384594
28	-18.7221381609
29	-21.3316558831
30	-31.8159326015
31	-44.2794765375
32	-22.1601457816
33	-11.9145593193
34	-22.9957395862
35	-13.595089458
36	-38.0002238619
37	-22.1454955041
38	-18.8120757044
39	-17.2098900581
40	-23.7945204606
41	-17.3014516053
42	-23.2327046093
43	-10.7764333734
44	-14.7606832005
45	-21.009510492
46	-35.937438715
47	-15.1046171726
48	-18.0963660003
49	-11.7761991278
50	-32.5993587859
51	-18.5393338229
52	-19.3367961477
53	-24.3829664296
54	-11.8391509132
55	-13.1595389968
56	-14.7202547507
57	-11.2719579219
58	-18.9295918118
59	-21.215468828
60	-14.2656271889
61	-16.7499171645
62	-14.7881450099
63	-11.6794530832
64	-15.8072231909
65	-18.3895579545
66	-21.2427873099
67	-11.2719579219
68	-11.6536089401
69	-11.5357877457
70	-22.8631245883
71	-12.1214995075
72	-12.1214995075
73	-14.4290087603
74	-41.3330576761
75	-18.7472840178
76	-11.2719579219
77	-23.39940173
78	-15.6151408704
79	-15.0738298031
80	-15.521783832
81	-36.0205722811
82	-12.6103482626
83	-11.0395717637
84	-23.6911781442
85	-29.9403589501
86	-15.5703233573
87	-16.1619624618
88	-16.9520906145
89	-33.4021322457
90	-16.7827319141
91	-21.2080205093
92	-30.0552755669
93	-14.8646889697
94	-15.3730650588
95	-21.3307792564
96	-11.5357877457
97	-14.3362691881
98	-13.3951170682
99	-12.789671727
100	-14.7313856909
101	-17.6023660114
102	-11.2719579219
103	-12.0153916984
104	-40.6727467554
105	-29.8356599813
106	-27.7122199913
