#Site1	Site2	lnL	
0	3	-3.18147743716
0	4	-2.68042131236
0	5	-3.92112506178
0	6	-3.18148593506
0	7	-2.95023006464
0	8	-10.5005123116
0	9	-6.72998955696
0	10	-2.76490457223
0	11	-7.33448259029
0	12	-2.76476161501
0	13	-2.95023374273
0	14	-6.59925033046
0	15	-2.76476613442
0	16	-2.76490741775
0	17	-10.636762903
0	18	-3.05907522207
0	19	-3.06439208853
0	20	-3.58930533991
0	21	-2.76477399594
0	22	-2.95023808895
0	23	-13.3710632296
0	24	-2.76477742562
0	25	-3.06439480203
0	26	-3.42759719455
0	27	-2.7647805693
0	28	-2.6804309939
0	29	-4.11248326325
0	30	-3.18153081085
0	31	-2.76491261588
0	32	-10.2801052161
0	33	-10.7958225745
0	34	-2.76491341459
0	35	-5.58651075877
0	36	-17.1628133461
0	37	-2.95024321387
0	38	-3.92147401484
0	39	-2.76479082693
0	40	-2.68043379569
0	41	-3.9214925022
0	42	-3.05910446369
0	43	-2.95024474805
0	44	-3.4276945669
0	45	-2.85779186711
0	46	-2.76491604451
0	47	-6.86544206058
0	48	-2.85779384492
0	49	-2.76491658547
0	50	-4.11262477098
0	51	-3.18155143502
0	52	-2.95024665284
0	53	-6.52510370205
0	54	-2.76479987255
0	55	-3.06440330466
0	56	-3.42773871287
0	57	-2.76480131497
0	58	-2.68043666501
0	59	-4.11266614794
0	60	-3.0591170225
0	61	-2.68043703282
0	62	-3.42775647723
0	63	-2.85780183174
0	64	-2.7649187715
0	65	-6.75291490324
0	66	-3.18156080731
0	67	-2.76491912355
0	68	-15.9688182164
0	69	-6.7300691944
0	70	-2.76491945225
0	71	-10.1652030057
0	72	-3.18156373247
0	73	-2.68043827337
0	74	-3.9216272856
0	75	-3.18156505315
0	76	-2.76492004651
0	77	-7.14586189513
0	78	-2.85780746612
0	79	-2.76492031512
0	80	-6.86467306309
0	81	-3.05912631251
0	82	-2.68043900686
0	83	-3.92164951793
0	84	-3.0591273189
0	85	-2.95025100246
0	86	-9.31716265935
0	87	-2.76481137427
0	88	-2.68043942135
0	89	-3.92166210024
0	90	-2.76481205967
0	91	-3.06440793309
0	92	-3.42781676355
0	93	-3.18157138403
0	94	-2.95025173025
0	95	-8.86533512093
0	96	-2.76481330542
0	97	-2.68043995098
0	98	-9.95921828469
0	99	-3.1815730055
0	100	-2.76492177638
0	101	-5.5867807777
0	102	-2.85781338062
0	103	-2.9502523313
0	104	-5.80862193496
0	105	-2.76481490167
0	106	-2.68044038888
0	107	-4.11278771864
0	108	-3.18157508503
0	109	-2.68044051751
0	110	-5.45994519802
0	111	-3.18157569617
0	112	-2.6804406384
0	113	-3.42784096235
0	114	-2.85781538664
0	115	-2.7649224871
0	116	-9.21948031881
0	117	-3.05913501892
0	118	-3.06440966513
0	119	-3.58962892888
0	120	-3.18157731889
0	121	-2.68044095943
0	122	-3.42784852536
0	123	-2.76481732546
0	124	-2.680441054
0	125	-14.0163497209
0	126	-9.39608949124
0	127	-2.76492291732
0	128	-15.3570553822
0	129	-9.48471885747
0	130	-2.9502535875
0	131	-7.6969825703
0	132	-3.18157906825
0	133	-2.68044130558
0	134	-3.42785668757
0	135	-6.73008899174
0	136	-2.76492317795
0	137	-9.02991849956
0	138	-2.85781818446
0	139	-2.68044144973
0	140	-3.92172387461
0	141	-2.764819007
0	142	-2.68044151557
0	143	-4.11282473383
0	144	-3.1815804427
0	145	-2.95025403966
0	146	-6.59602738904
0	147	-3.18158073794
0	148	-2.68044163604
0	149	-8.06882914435
0	150	-2.76481964633
0	151	-2.6804416911
0	152	-7.25324831781
0	153	-3.18158127828
0	154	-2.68044174299
0	155	-10.239744703
0	156	-9.48472175682
0	157	-2.95025431583
0	158	-3.58965318256
0	159	-3.18158175824
0	160	-2.76492368217
0	161	-11.7721205645
0	162	-2.85781991521
0	163	-2.95025443124
0	164	-7.27013775132
0	165	-3.18158218475
0	166	-2.76492377508
0	167	-6.59596215057
0	168	-2.8578202343
0	169	-2.7649238176
0	170	-8.80907166561
0	171	-3.18158256392
0	172	-3.06441124327
0	173	-3.58965853541
0	174	-2.85782051802
0	175	-2.7649238955
0	176	-3.92174166427
0	177	-2.76482100529
0	178	-3.0644113358
0	179	-3.42787460372
0	180	-2.76482111658
0	181	-2.9502547062
0	182	-6.52591750966
0	183	-3.0591409591
0	184	-2.68044212364
0	185	-3.42787600776
0	186	-2.8578209949
0	187	-2.76492402643
0	188	-14.5024078527
0	189	-3.181583468
0	190	-3.06441149136
0	191	-3.58966319805
0	192	-3.18158359024
0	193	-3.06441152491
0	194	-3.5896638287
0	195	-16.0547520839
0	196	-11.1549688626
0	197	-9.11108699098
0	198	-2.76482166371
0	199	-2.68044224507
0	200	-10.1928561368
0	201	-2.85782145406
0	202	-2.95025492604
0	203	-9.95954859555
0	204	-8.11986002906
0	205	-9.342896494
0	206	-14.2171376732
0	207	-3.1815841054
0	208	-3.06441166629
0	209	-3.58966648694
0	210	-2.85782167196
0	211	-2.76492421235
0	212	-6.75196502684
0	213	-3.18158427311
0	214	-3.06441171232
0	215	-6.59588425445
0	216	-2.85782179757
0	217	-2.76492424684
0	218	-6.54151486036
0	219	-14.9371984758
0	220	-2.76492426265
0	221	-11.7543134093
0	222	-2.85782190945
0	223	-2.68044237904
0	224	-3.92175228735
0	225	-2.76482219807
0	226	-2.68044239183
0	227	-3.92175267905
0	228	-2.85782200912
0	229	-2.95025510453
0	230	-10.9460291352
0	231	-3.18158467415
0	232	-2.76492431749
0	233	-7.69715487392
