#Site	lnL	
0	-1.79227612095
1	-1.3331249243
2	-13.6289349642
3	-1.38147962114
4	-1.3331249243
5	-4.40350597796
6	-1.38885351374
7	-1.4893110193
8	-9.5133143755
9	-1.38885351374
10	-1.3331249243
11	-10.0092192414
12	-1.55316822837
13	-1.7287851955
14	-5.92423748757
15	-1.38885351374
16	-5.87491474758
17	-3.23944786946
18	-1.55316822837
19	-1.4893110193
20	-3.6948802593
21	-1.79227612095
22	-1.7287851955
23	-4.40350597796
24	-1.38147962114
25	-1.3331249243
26	-6.65409513467
27	-1.38147962114
28	-1.3331249243
29	-7.94101933758
30	-1.38147962114
31	-1.4893110193
32	-3.6948802593
33	-10.0186263918
34	-1.3361899793
35	-3.6948802593
36	-1.38885351374
37	-1.3361899793
38	-5.96579639254
39	-1.38885351374
40	-1.4893110193
41	-4.66751061704
42	-1.38147962114
43	-1.7287851955
44	-7.43040480948
45	-1.38885351374
46	-1.3331249243
47	-3.95924885812
48	-1.55316822837
49	-1.7287851955
50	-5.63248331839
51	-1.38147962114
52	-1.4893110193
53	-3.95924885812
54	-1.38147962114
55	-1.4893110193
56	-6.19850810605
57	-1.55316822837
58	-1.3331249243
59	-2.89463616109
60	-1.38885351374
61	-1.7287851955
62	-3.6948802593
63	-1.79227612095
64	-1.7287851955
65	-4.97060670477
66	-1.38147962114
67	-1.3361899793
68	-7.44552721793
69	-1.38885351374
70	-1.7287851955
71	-3.23944786946
72	-1.38885351374
73	-1.3361899793
74	-5.05959946502
75	-1.55316822837
76	-1.4893110193
77	-3.23944786946
78	-1.79227612095
79	-1.3361899793
80	-3.6948802593
81	-1.79227612095
82	-1.3361899793
83	-12.2230015811
84	-1.38885351374
85	-1.4893110193
86	-7.0322399972
87	-1.38147962114
88	-1.4893110193
89	-6.73162575563
90	-1.38147962114
91	-1.4893110193
92	-2.89463616109
93	-1.38885351374
94	-1.3361899793
95	-14.3916989251
96	-1.38885351374
97	-1.3361899793
98	-2.89463616109
99	-1.38147962114
100	-1.4893110193
101	-2.89463616109
102	-1.38885351374
103	-1.3331249243
104	-11.0254811051
105	-1.38885351374
106	-1.7287851955
107	-8.75885164539
108	-1.38147962114
109	-1.3331249243
110	-4.32283913566
111	-1.38147962114
112	-1.3331249243
113	-10.2900957306
114	-1.38147962114
115	-7.15308933323
116	-3.6948802593
117	-1.79227612095
118	-1.3361899793
119	-9.5289823553
120	-1.38885351374
121	-1.3331249243
122	-12.3977301973
123	-1.38885351374
124	-1.7287851955
125	-8.43195029547
126	-1.79227612095
127	-1.4893110193
128	-6.63085478257
129	-1.79227612095
130	-6.88728525936
131	-16.4094884644
