#Site	lnL	
0	-8.83319789036
1	-22.9857558414
2	-10.2383878646
3	-10.7485030505
4	-10.2383878646
5	-10.40091948
6	-10.1773090432
7	-10.2383878646
8	-15.2054339546
9	-12.0656442033
10	-11.9633476499
11	-10.1854117772
12	-13.3356823515
13	-15.1521303857
14	-12.5250763214
15	-10.2383878646
16	-21.0923443503
17	-10.9232410877
18	-37.5826341304
19	-10.2383878646
20	-16.2147239063
21	-10.7273294143
22	-8.83319789036
23	-10.7485030505
24	-12.8163584203
25	-12.7378505136
26	-14.4121598899
27	-10.7485030505
28	-36.2315803916
29	-10.2383878646
30	-20.969930321
31	-10.1854117772
32	-10.7485030505
33	-10.8378336095
34	-10.5501708183
35	-37.3034299257
36	-47.8452910521
37	-21.1626704177
38	-13.8338411516
39	-17.0927679491
40	-13.6140015879
41	-25.5337392867
42	-13.5437244585
43	-24.6207214267
44	-10.1854117772
45	-16.9255042597
46	-10.7485030505
47	-10.1854117772
48	-19.7335648097
49	-15.7143812825
50	-17.8011363406
51	-18.5911217278
52	-25.3226493657
53	-21.6719283531
54	-10.2383878646
55	-18.744966229
56	-8.83319789036
57	-9.84429778893
58	-8.83319789036
59	-17.0167121603
60	-15.9061865823
61	-11.9640446959
62	-16.2712959556
63	-21.2615074455
64	-10.2383878646
65	-10.3123086637
66	-10.9232410877
67	-10.0689003301
68	-18.8835150108
69	-10.1854117772
70	-10.3123086637
71	-10.3123086637
72	-9.84429778893
73	-8.83319789036
74	-10.9232410877
75	-16.2985050889
76	-20.2575455117
77	-13.1225722773
78	-20.2237899752
79	-10.4009275521
80	-10.1773090432
81	-32.9786748475
82	-10.3123086637
83	-27.8491403222
84	-8.93745297435
85	-10.1854117772
86	-10.1854117772
87	-30.7333564705
88	-13.6782815857
89	-10.2383878646
90	-11.0704823752
91	-35.697701234
92	-14.6538725862
93	-18.0845913992
94	-20.8112631825
95	-13.2851745222
96	-17.1621247929
97	-18.252161893
98	-20.21845107
99	-10.2383878646
100	-13.8338411516
101	-16.9013557372
102	-20.7223961256
103	-16.066669606
104	-27.0543321509
105	-10.3123086637
106	-10.2383878646
107	-10.0689003301
108	-8.83319789036
109	-10.3123086637
110	-10.2383878646
111	-25.4560524127
112	-18.9091620409
113	-22.6261607925
114	-19.0727346628
115	-13.516662315
116	-10.9232410877
117	-12.8366075644
118	-10.2383878646
119	-17.0838126146
120	-10.0689003301
121	-9.5373543096
122	-15.8660179642
123	-15.166646185
124	-21.5655830549
125	-8.93745297435
126	-10.9232410877
127	-10.1854117772
128	-14.8940054616
129	-17.7426532542
130	-19.5487749388
131	-10.7485030505
132	-15.9465484099
133	-10.2383878646
134	-20.3833198355
135	-13.1425734925
