#Site1	Site2	lnL	
0	1	-2.77970638331
0	2	-3.97230411519
0	3	-3.11489258415
0	4	-3.08403784273
0	5	-3.50187795094
0	6	-2.76918602216
0	7	-2.7797432911
0	8	-3.50198395182
0	9	-2.80499015293
0	10	-3.00938674029
0	11	-3.5020708713
0	12	-3.03945240176
0	13	-3.08408750387
0	14	-3.50214317709
0	15	-3.11497187358
0	16	-2.74533658467
0	17	-6.87165108427
0	18	-2.80502617909
0	19	-3.00941992769
0	20	-3.50225576807
0	21	-3.03948847405
0	22	-3.08411626316
0	23	-3.50230009352
0	24	-3.03949713172
0	25	-2.7453555466
0	26	-7.03041919886
0	27	-2.76925736001
0	28	-2.74536019352
0	29	-3.4291889175
0	30	-2.76926251581
0	31	-3.084134423
0	32	-3.42921630191
0	33	-9.20880035404
0	34	-3.00944991118
0	35	-17.6280785954
0	36	-3.11502857075
0	37	-3.00945380169
0	38	-10.5134590497
0	39	-2.76927441231
0	40	-3.00945722486
0	41	-18.4260458137
0	42	-3.11503698488
0	43	-3.08414959378
0	44	-3.50248504441
0	45	-3.11504047043
0	46	-3.00946291876
0	47	-9.57831276378
0	48	-2.76928255398
0	49	-2.74537999204
0	50	-10.5532653275
0	51	-3.03953896066
0	52	-3.08415693664
0	53	-3.50252623374
0	54	-3.11504874275
0	55	-3.00946927055
0	56	-3.50253706182
0	57	-3.03954345407
0	58	-2.74538448801
0	59	-3.42935473756
0	60	-2.8050824287
0	61	-2.77982856489
0	62	-3.87368965602
0	63	-2.76929109554
0	64	-3.08416348187
0	65	-3.42937021879
0	66	-2.7692922965
0	67	-2.74538768545
0	68	-3.97332223776
0	69	-2.76929337189
0	70	-2.74538853589
0	71	-3.97332987804
0	72	-2.76929433572
0	73	-3.08416679046
0	74	-3.42938789269
0	75	-2.76929520023
0	76	-2.74538998231
0	77	-3.97334288193
0	78	-2.8050890031
0	79	-2.77983376399
0	80	-10.6336656844
0	81	-3.11506179652
0	82	-2.7453911481
0	83	-3.42940067069
