#Site1	Site2	lnL	
0	1	-3.3851495061
0	2	-3.85423916867
0	3	-8.50541002786
0	4	-9.16536945228
0	5	-6.7185917466
0	6	-10.1869900908
0	7	-3.45145230273
0	8	-3.45151454514
0	9	-3.76360805041
0	10	-3.76366481
0	11	-3.4516441304
0	12	-3.85528567463
0	13	-3.3862995208
0	14	-8.48997227213
0	15	-9.78621638045
0	16	-3.38635577667
0	17	-7.54086384257
0	18	-3.85541268538
0	19	-3.38638929044
0	20	-15.7940054173
0	21	-6.90260687291
0	22	-3.38640940358
0	23	-3.38641414046
0	24	-3.85545807348
0	25	-3.45181330471
0	26	-3.38642438837
0	27	-3.85546837363
0	28	-10.1828632733
0	29	-3.38644011746
0	30	-3.45183078635
0	31	-3.45183078635
0	32	-3.85548419538
0	33	-3.85548419538
0	34	-8.00975651394
0	35	-12.5241429726
0	36	-3.76396037246
0	37	-3.45183078635
0	38	-6.8840808181
0	39	-3.38644011746
0	40	-3.38644011746
0	41	-9.39393564939
0	42	-11.4976649075
0	43	-3.38644011746
0	44	-22.5993484948
0	45	-3.85548419538
0	46	-3.85548419538
0	47	-3.38644011746
0	48	-3.76396037246
0	49	-3.85548419538
0	50	-3.38644011746
0	51	-3.38644011746
0	52	-3.38644011746
0	53	-9.39393564939
0	54	-3.85548419538
0	55	-3.76396037246
0	56	-9.19784344312
0	57	-3.38644011746
0	58	-3.76396037246
0	59	-3.76396037246
0	60	-7.94397174217
0	61	-9.18099127247
0	62	-3.38644011746
0	63	-9.96123628471
0	64	-3.38644011746
0	65	-3.38644011746
0	66	-3.85548419538
0	67	-3.76396037246
0	68	-8.48631750497
0	69	-3.45183078635
0	70	-3.45183078635
0	71	-11.0732667051
0	72	-3.76396037246
0	73	-3.45183078635
0	74	-3.45183078635
0	75	-14.3545850053
0	76	-3.38644011746
0	77	-11.6711479284
0	78	-6.715363916
0	79	-3.38644011746
0	80	-8.68820498233
0	81	-3.45183078635
0	82	-3.45183078635
0	83	-7.59862156094
0	84	-3.85548419538
0	85	-3.85548419538
0	86	-3.38644011746
0	87	-3.76396037246
0	88	-3.45183078635
0	89	-3.45183078635
0	90	-3.45183078635
0	91	-3.45183078635
0	92	-8.68820498233
0	93	-6.90240055968
0	94	-3.38644011746
0	95	-13.0610028887
0	96	-3.85548419538
0	97	-3.38644011746
0	98	-8.23973324932
0	99	-11.4912365352
0	100	-3.38644011746
0	101	-6.8840808181
0	102	-3.85548419538
0	103	-3.38644011746
0	104	-8.49644135652
0	105	-3.45183078635
0	106	-3.85548419538
0	107	-3.45183078635
0	108	-11.0332467791
0	109	-3.76396037246
0	110	-7.63614182417
0	111	-3.85548419538
0	112	-3.45183078635
0	113	-3.45183078635
0	114	-3.85548419538
0	115	-9.88214066312
0	116	-14.0457405232
0	117	-3.38644011746
0	118	-3.38644011746
0	119	-10.5607898867
0	120	-3.45183078635
0	121	-3.45183078635
0	122	-3.76396037246
0	123	-3.45183078635
0	124	-3.38644011746
0	125	-17.2248942176
0	126	-3.38644011746
0	127	-3.76396037246
0	128	-3.38644011746
0	129	-3.85548419538
0	130	-3.85548419538
0	131	-9.73207422513
0	132	-3.85548419538
0	133	-3.45183078635
0	134	-8.04923841236
0	135	-3.38644011746
0	136	-3.38644011746
0	137	-9.19784344312
0	138	-3.38644011746
0	139	-3.38644011746
0	140	-3.76396037246
0	141	-3.45183078635
0	142	-3.85548419538
0	143	-3.45183078635
0	144	-3.45183078635
0	145	-3.45183078635
0	146	-7.74195978459
0	147	-3.45183078635
0	148	-3.45183078635
0	149	-8.68820498233
0	150	-3.38644011746
0	151	-3.38644011746
0	152	-11.191008137
0	153	-3.45183078635
0	154	-3.45183078635
0	155	-3.85548419538
0	156	-3.38644011746
0	157	-3.45183078635
0	158	-11.9484896363
0	159	-3.76396037246
0	160	-3.45183078635
0	161	-10.0052070242
0	162	-3.85548419538
0	163	-3.45183078635
0	164	-11.9510661238
0	165	-3.38644011746
0	166	-9.72217483663
0	167	-8.89561610349
0	168	-3.38644011746
0	169	-3.38644011746
0	170	-7.88319059163
0	171	-3.45183078635
0	172	-3.85548419538
0	173	-3.45183078635
0	174	-3.45183078635
0	175	-3.45183078635
0	176	-3.85548419538
0	177	-3.85548419538
0	178	-3.76396037246
0	179	-3.38644011746
0	180	-3.45183078635
0	181	-3.76396037246
0	182	-8.23973324932
0	183	-15.9724549996
0	184	-15.8876027087
0	185	-7.83539223905
0	186	-3.38644011746
0	187	-3.38644011746
0	188	-3.76396037246
0	189	-3.45183078635
0	190	-3.45183078635
0	191	-8.34732839414
0	192	-3.45183078635
0	193	-3.45183078635
0	194	-3.85548419538
0	195	-3.45183078635
0	196	-3.76396037246
0	197	-3.76396037246
0	198	-3.76396037246
0	199	-3.85548419538
0	200	-3.38644011746
0	201	-3.85548419538
0	202	-3.85548419538
0	203	-3.38644011746
0	204	-3.76396037246
0	205	-3.76396037246
0	206	-3.45183078635
0	207	-3.38644011746
0	208	-3.38644011746
0	209	-7.74195978459
0	210	-3.76396037246
0	211	-3.45183078635
0	212	-11.3532087709
0	213	-3.38644011746
0	214	-3.38644011746
0	215	-7.97028631852
0	216	-3.45183078635
0	217	-3.85548419538
0	218	-3.45183078635
0	219	-3.85548419538
0	220	-3.76396037246
0	221	-9.73981332251
0	222	-3.76396037246
0	223	-3.76396037246
0	224	-3.45183078635
0	225	-3.38644011746
0	226	-3.76396037246
0	227	-8.48610150646
0	228	-3.45183078635
0	229	-3.85548419538
0	230	-3.45183078635
0	231	-3.45183078635
0	232	-3.38644011746
0	233	-8.49644135652
0	234	-7.75567934757
0	235	-3.38644011746
0	236	-9.72713850393
0	237	-3.38644011746
0	238	-3.45183078635
0	239	-3.76396037246
0	240	-3.45183078635
0	241	-3.45183078635
0	242	-11.8927881737
0	243	-3.85548419538
0	244	-3.76396037246
0	245	-7.63614182417
0	246	-13.171316635
0	247	-3.38644011746
0	248	-10.261730355
0	249	-8.86660405111
0	250	-3.85548419538
0	251	-8.50073756864
0	252	-3.85548419538
0	253	-3.85548419538
0	254	-3.38644011746
0	255	-3.45183078635
0	256	-3.38644011746
0	257	-3.85548419538
0	258	-3.85548419538
0	259	-3.38644011746
0	260	-7.63614182417
0	261	-9.05675432597
0	262	-3.76396037246
0	263	-13.2233641234
0	264	-3.76396037246
0	265	-3.45183078635
0	266	-6.8188704004
0	267	-3.45183078635
0	268	-3.45183078635
0	269	-3.85548419538
0	270	-3.45183078635
0	271	-3.76396037246
0	272	-14.6529383586
0	273	-3.85548419538
0	274	-3.76396037246
0	275	-13.334388118
0	276	-3.76396037246
0	277	-3.85548419538
0	278	-3.38644011746
0	279	-3.85548419538
0	280	-3.85548419538
0	281	-3.38644011746
0	282	-3.45183078635
0	283	-3.45183078635
0	284	-7.92656389387
0	285	-3.85548419538
0	286	-3.76396037246
0	287	-8.85904892431
0	288	-3.85548419538
0	289	-3.76396037246
0	290	-8.34732839414
0	291	-12.0859532225
0	292	-3.38644011746
0	293	-8.15488562288
0	294	-3.85548419538
0	295	-3.45183078635
0	296	-3.45183078635
0	297	-9.78079798255
0	298	-3.85548419538
0	299	-9.43019852225
0	300	-3.38644011746
0	301	-3.38644011746
0	302	-3.45183078635
0	303	-3.45183078635
0	304	-3.45183078635
0	305	-3.85548419538
0	306	-11.0064380749
0	307	-3.38644011746
0	308	-11.2632483503
0	309	-3.38644011746
0	310	-3.38644011746
0	311	-16.1102801286
0	312	-3.85548419538
0	313	-3.45183078635
0	314	-8.04923841236
0	315	-3.85548419538
0	316	-3.85548419538
0	317	-3.38644011746
0	318	-8.70538700392
0	319	-3.38644011746
0	320	-11.9510661238
0	321	-3.76396037246
0	322	-3.76396037246
0	323	-3.45183078635
0	324	-3.76396037246
0	325	-3.76396037246
0	326	-9.43019852225
0	327	-3.76396037246
0	328	-3.76396037246
0	329	-3.45183078635
0	330	-3.38644011746
0	331	-3.45183078635
0	332	-13.1018305616
0	333	-3.85548419538
0	334	-3.45183078635
0	335	-9.83589277302
0	336	-3.45183078635
0	337	-7.8216994887
0	338	-9.14812568035
0	339	-3.45183078635
0	340	-3.45183078635
0	341	-3.85548419538
0	342	-3.45183078635
0	343	-3.45183078635
0	344	-3.85548419538
0	345	-3.45183078635
0	346	-3.85548419538
0	347	-3.45183078635
0	348	-3.85548419538
0	349	-3.38644011746
0	350	-6.715363916
0	351	-3.85548419538
0	352	-3.38644011746
0	353	-12.4406758971
0	354	-3.85548419538
0	355	-3.38644011746
0	356	-9.9383582353
0	357	-3.76396037246
0	358	-3.76396037246
