#Site	lnL	
0	-5.00831950601
1	-10.5801846935
2	-5.53429824531
3	-5.36581391969
4	-8.21101251266
5	-8.37532818817
6	-12.9121117278
7	-10.7330546574
8	-11.3876614065
9	-14.6228578275
10	-5.0080631231
11	-6.48050490748
12	-14.5927198875
13	-9.42950694817
14	-8.20241166137
15	-24.5143097777
16	-5.53429824531
17	-8.20241166137
18	-5.53429824531
19	-12.6873715712
20	-16.1327560149
21	-7.30306581546
22	-11.9313903756
23	-10.4590058598
24	-5.53429824531
25	-7.36861157738
26	-5.46129639631
27	-10.1258387216
28	-9.89430204597
29	-8.02361556933
30	-7.94069405142
31	-17.3506583609
32	-5.46129639631
33	-4.87647579756
34	-7.88536945924
35	-13.9554617033
36	-4.95187060797
37	-8.07637622015
38	-7.85037957422
39	-24.9867633992
40	-5.33002445281
41	-4.87647579756
42	-22.3259626698
43	-19.2691061216
44	-12.3855670027
45	-9.53719608235
46	-11.5072203177
47	-5.53429824531
48	-12.3204347005
49	-5.86093925684
50	-19.0295844077
51	-9.61265969606
52	-26.9521874926
53	-8.65271577184
54	-14.3506242897
55	-13.0326523509
56	-12.1555663779
57	-4.95187060797
58	-7.94069405142
59	-4.95187060797
60	-16.2099802241
61	-14.0132570981
62	-5.53429824531
63	-5.53429824531
64	-5.53429824531
65	-15.4082171173
66	-8.89798146533
67	-16.3855023123
68	-4.79851688765
69	-15.9616851551
70	-15.2599742244
71	-12.2685582795
72	-13.6820739781
73	-4.95187060797
74	-4.79851688765
75	-16.3740236341
76	-11.4995923688
77	-8.49455534212
78	-8.5405150095
79	-5.53429824531
80	-15.5608764647
81	-7.24646696675
82	-5.48772799037
83	-5.33002445281
84	-13.0252883199
85	-4.79851688765
86	-13.4600043818
87	-32.7940057089
88	-10.0337340231
89	-9.79528783416
90	-7.85695122614
91	-4.79851688765
92	-10.2096020186
93	-5.36581391969
94	-5.38153066622
95	-4.87647579756
96	-11.2798513721
97	-7.85037957422
98	-8.20241166137
99	-13.1170894431
100	-5.28787691316
101	-18.5669710585
102	-4.96149214159
103	-5.33002445281
104	-5.86093925684
105	-4.95187060797
106	-9.11373520788
107	-8.57096978607
108	-6.08645964243
109	-8.33625235041
110	-5.48772799037
111	-7.27649499518
112	-11.7396095198
113	-4.95187060797
114	-4.95187060797
115	-5.46129639631
116	-4.87647579756
117	-5.46129639631
118	-5.36581391969
119	-4.39706739781
120	-5.28787691316
121	-5.53429824531
122	-5.53429824531
123	-5.36581391969
124	-5.53429824531
125	-15.7787483291
126	-5.48773121315
127	-9.22625047624
128	-4.95187060797
129	-5.28787691316
130	-4.79851688765
131	-7.45276133929
132	-7.36861157738
133	-5.33002445281
