#Site	lnL	
0	-13.4130652877
1	-13.7190251472
2	-20.2094290687
3	-21.1423145465
4	-15.2920438761
5	-18.9050709147
6	-13.7730955617
7	-20.6161818452
8	-13.1020278985
9	-13.4016463815
10	-18.8644757131
11	-22.7729691596
12	-33.5288487172
13	-13.2728755883
14	-13.5951729989
15	-15.886467354
16	-14.3459365865
17	-18.6525841274
18	-13.1020278985
19	-13.4016463815
20	-12.8663863533
21	-15.0795126371
22	-26.5667418319
23	-22.7741185815
24	-13.7190251472
25	-16.7568098881
26	-15.886467354
27	-13.6700290981
28	-18.371277024
29	-13.2728755883
30	-13.1020278985
31	-18.7860212686
32	-21.5669330171
33	-15.7139708637
34	-17.2394377687
35	-13.4016463815
36	-15.1373097122
37	-13.0019983255
38	-20.3334655852
39	-13.7730955617
40	-13.0019983255
41	-28.9923686047
42	-47.2461275501
43	-26.4418199731
44	-13.0019983255
45	-24.0852555622
46	-13.337152418
47	-13.4016463815
48	-15.7381908778
49	-19.965134525
50	-16.0270126396
51	-21.4890896751
52	-20.03846794
53	-25.1527083253
54	-16.8988623473
55	-15.4271604212
56	-17.8270732239
57	-13.8220822127
58	-13.4451257872
59	-13.1020278985
60	-18.2064371537
61	-12.8663863533
62	-26.9050105618
63	-13.8220822127
64	-13.8220822127
65	-57.3036143578
66	-17.8683983884
67	-22.2871565431
68	-42.1525438541
69	-13.8220822127
70	-15.0795126371
71	-15.7871768347
72	-18.4378462484
73	-55.0346237838
74	-13.337152418
75	-13.2728755883
76	-22.8208660926
77	-19.8654170589
78	-32.1671567337
79	-31.7826479522
80	-21.7994822461
81	-19.0354764191
82	-16.0270126396
83	-18.8683066194
84	-13.0019983255
85	-13.5951729989
86	-19.931141528
87	-13.337152418
88	-13.1020278985
89	-17.5144688097
90	-17.5375640125
91	-13.1020278985
92	-20.3947474039
93	-20.2254340962
94	-19.3947819828
95	-24.0304833922
96	-13.0019983255
97	-13.4016463815
98	-15.4271604212
99	-13.0019983255
100	-17.5682461456
101	-15.7725602735
102	-26.0623884231
103	-13.1020278985
104	-12.8663863533
105	-12.8663863533
106	-13.1020278985
107	-13.4016463815
108	-12.8663863533
109	-19.4963312257
110	-13.4016463815
111	-13.2728755883
112	-13.1020278985
113	-19.9161012257
114	-13.4016463815
115	-13.4016463815
116	-26.4024511009
117	-18.0902454713
118	-13.8220822127
119	-20.9584415022
120	-22.6619284753
121	-19.1437287834
122	-21.5513393587
123	-43.0198573619
124	-18.3741283909
125	-18.9522907998
126	-16.0270126396
127	-13.4620650235
128	-13.773095529
129	-13.7730955617
130	-13.7730955617
131	-14.907261881
132	-16.5825624196
