#Site	lnL	
0	-4.7996676933
1	-8.96475976561
2	-6.01543702156
3	-7.03185277919
4	-5.10892999756
5	-5.10892999756
6	-11.6177124746
7	-14.3522967619
8	-4.95075631337
9	-7.80351701869
10	-11.4901258336
11	-7.55554842221
12	-12.4489105814
13	-6.20409579767
14	-14.1896112908
15	-14.4134520483
16	-15.9823680764
17	-7.80351701869
18	-6.32223249183
19	-6.32223249183
20	-5.75884592108
21	-11.9009591415
22	-14.2274357851
23	-9.28574482701
24	-5.75884592108
25	-5.75884592108
26	-4.80910568076
27	-11.8745152499
28	-11.5024814232
29	-12.1723238448
30	-17.7716308913
31	-26.4970666845
32	-15.8808689239
33	-6.1443735071
34	-13.6709704969
35	-7.80351701869
36	-20.8128444834
37	-14.0590340202
38	-14.1389099632
39	-12.2950953886
40	-16.9833268775
41	-12.5304178762
42	-17.0922139227
43	-5.10892999756
44	-9.36572563323
45	-16.7743492164
46	-20.4511442952
47	-9.56685077741
48	-12.0398035371
49	-5.87695799207
50	-22.9570290445
51	-13.0986252446
52	-12.2510570077
53	-18.2619285228
54	-6.01543702156
55	-7.33995190857
56	-9.13844091537
57	-5.55822117927
58	-14.7608336458
59	-16.7448339957
60	-7.49433642726
61	-12.2367714802
62	-12.7527728685
63	-5.86638055419
64	-9.81954797223
65	-11.786497274
66	-16.8803004403
67	-5.55822117927
68	-5.68046419995
69	-5.75884592108
70	-16.5973199907
71	-6.32223249183
72	-6.32223249183
73	-9.60072972263
74	-31.7505287262
75	-14.7993986504
76	-5.55822117927
77	-15.5986060632
78	-10.0051565691
79	-10.8282545343
80	-10.3476931176
81	-25.7232246124
82	-6.51284894155
83	-5.41442031727
84	-18.0166507314
85	-20.6730219717
86	-9.89544707943
87	-10.3417966887
88	-10.6357805765
89	-22.1057905505
90	-9.08493987508
91	-14.3500840665
92	-24.3896729859
93	-9.28574482701
94	-10.6170393001
95	-16.8658246309
96	-5.75884592108
97	-8.79900739499
98	-8.70651567733
99	-8.09029829654
100	-9.16877747342
101	-11.1643494428
102	-5.55822117927
103	-6.20409579767
104	-33.694070582
105	-24.3062832283
106	-22.5464710681
