#Site1	Site2	lnL	
0	1	-2.95928352771
0	2	-3.30809136693
0	3	-3.30809253792
0	4	-3.30809368986
0	5	-2.95928762462
0	6	-2.99593215039
0	7	-2.95928957512
0	8	-15.7685817957
0	9	-3.30809917722
0	10	-2.99593563191
0	11	-7.86324622776
0	12	-3.1800173655
0	13	-2.99593810124
0	14	-3.18001939366
0	15	-2.99593968383
0	16	-3.18002135923
0	17	-2.95929844717
0	18	-9.72505869512
0	19	-10.2124925804
0	20	-10.5889433037
0	21	-2.99594414698
0	22	-2.99594485164
0	23	-8.07794248804
0	24	-3.1800286413
0	25	-2.99594690248
0	26	-12.5404270735
0	27	-3.18003115139
0	28	-2.99594886258
0	29	-14.1626796882
0	30	-2.9959501213
0	31	-2.99595073676
0	32	-12.811730873
0	33	-2.9959519407
0	34	-3.30812101526
0	35	-2.9959531097
0	36	-2.95931197217
0	37	-3.18003875275
0	38	-24.2534298658
0	39	-3.30812448255
0	40	-3.30812514626
0	41	-7.86367750835
0	42	-3.18004215591
0	43	-2.99595745954
0	44	-12.5783999456
0	45	-2.99595847085
0	46	-3.30812893397
0	47	-2.9959594537
0	48	-2.99595993475
0	49	-3.18004652789
0	50	-11.653945181
0	51	-3.30813185204
0	52	-3.18004827267
0	53	-2.95932126017
0	54	-3.18004939562
0	55	-3.18004994542
0	56	-2.99596354837
0	57	-2.99596397227
0	58	-2.99596439032
0	59	-10.3398708019
0	60	-2.95932448164
0	61	-3.18005308824
0	62	-16.3857029037
0	63	-3.30813807471
0	64	-2.99596678076
0	65	-9.65022420526
0	66	-2.99596753474
0	67	-2.99596790406
0	68	-15.7744187994
0	69	-3.30814082017
0	70	-2.95932857604
0	71	-7.8969171473
0	72	-2.95932933002
0	73	-2.99597001751
0	74	-10.1609808597
0	75	-11.1949887264
0	76	-2.95933077818
0	77	-12.4246044679
0	78	-2.99597165239
0	79	-2.9959719664
0	80	-22.2702277757
0	81	-2.95933248227
0	82	-2.95933280962
0	83	-11.8366405771
0	84	-2.9593334514
0	85	-2.95933376595
0	86	-16.1902372044
0	87	-3.30814783837
0	88	-2.95933468495
0	89	-7.89689464062
0	90	-2.99597515796
0	91	-2.9959754257
0	92	-24.2651337316
0	93	-14.5296054014
0	94	-2.95933641729
0	95	-14.612129706
0	96	-2.95933696504
0	97	-11.7756270675
0	98	-7.90344791785
0	99	-11.7756713858
0	100	-3.18006831529
0	101	-10.2269962294
0	102	-2.95933852498
0	103	-2.95933877332
0	104	-7.90344150316
0	105	-11.6451523846
0	106	-2.95933949931
0	107	-7.89846703838
0	108	-3.30815416907
0	109	-3.18007084779
0	110	-12.2812746684
0	111	-3.18007137164
0	112	-3.30817517361
0	113	-2.95935850244
0	114	-3.18009212035
0	115	-3.30817517755
0	116	-2.95935850588
0	117	-2.995996564
0	118	-3.18009212558
0	119	-9.98603423673
0	120	-3.30817518381
0	121	-2.995996568
0	122	-2.95935851239
0	123	-3.30817518739
0	124	-3.18009213297
0	125	-2.95935851547
0	126	-3.18009213531
0	127	-3.18009213647
0	128	-2.99599657455
0	129	-2.95935851942
0	130	-2.95935852038
0	131	-7.89680144487
0	132	-2.99599657806
0	133	-2.99599657891
0	134	-7.89685711523
0	135	-2.99599658059
0	136	-8.04197699446
0	137	-3.30817520251
0	138	-3.30817520349
0	139	-2.9593585285
0	140	-14.7828443668
0	141	-3.30817520638
0	142	-2.95935853102
0	143	-13.3785111538
0	144	-2.95935853264
0	145	-2.95935853345
0	146	-8.07773706676
0	147	-2.99599658982
0	148	-2.99599659053
0	149	-3.3081752136
0	150	-11.9351712641
0	151	-3.18009216038
0	152	-16.7399334526
0	153	-7.86350372478
0	154	-2.95935854024
0	155	-3.30817521858
0	156	-2.95935854165
0	157	-2.95935854234
0	158	-3.18009216616
0	159	-11.7917730621
0	160	-2.95935854437
0	161	-3.30817522321
0	162	-2.95935854569
0	163	-3.18009217001
0	164	-7.86350369256
0	165	-2.99599660142
0	166	-2.99599660199
0	167	-8.07773700675
0	168	-2.99599660312
0	169	-2.95935855005
0	170	-7.89629916189
0	171	-2.99599660476
0	172	-2.9959966053
0	173	-3.18009217704
0	174	-2.99599660635
0	175	-3.30817523282
0	176	-2.99599660737
0	177	-3.18009217962
0	178	-3.18009218025
0	179	-8.03418609535
0	180	-3.18009218148
0	181	-3.18009218209
0	182	-9.98651981059
0	183	-3.30817523763
0	184	-2.95935855826
0	185	-7.72728310355
0	186	-2.95935855925
0	187	-3.18009218557
0	188	-25.123357449
0	189	-3.30817524095
0	190	-12.5906964543
0	191	-17.4048201409
0	192	-2.95935856207
0	193	-3.18009218882
0	194	-7.87085725689
0	195	-2.99599661599
0	196	-3.30817524453
0	197	-2.99599661678
0	198	-2.99599661718
0	199	-2.95935856512
0	200	-9.87126022615
0	201	-23.3430858662
0	202	-3.18009219327
0	203	-7.86357134396
0	204	-2.99599661943
0	205	-3.30817524872
0	206	-2.99599662015
0	207	-3.30817524959
0	208	-3.18009219598
0	209	-2.95935856906
0	210	-2.95935856943
0	211	-2.95935856979
0	212	-8.0847632309
0	213	-2.99599662253
0	214	-2.99599662285
0	215	-14.8060447821
0	216	-3.18009219931
0	217	-2.9959966238
0	218	-12.5409607121
0	219	-3.3081752544
0	220	-9.89668807276
0	221	-2.99599662501
0	222	-3.3081752555
0	223	-3.30817525586
0	224	-9.71831850264
0	225	-10.0132377483
0	226	-3.18009220305
0	227	-17.4308472149
0	228	-10.0132377446
0	229	-3.18009220408
0	230	-20.6288512458
0	231	-10.0514876986
0	232	-16.400143544
0	233	-12.6201354225
0	234	-2.99599662858
0	235	-2.99599662883
0	236	-3.30817526014
0	237	-2.99599662933
0	238	-3.18009220698
0	239	-14.9037925562
0	240	-10.4456142282
0	241	-2.95935857893
0	242	-2.95935857918
0	243	-3.30817526218
0	244	-2.95935857967
0	245	-15.4556844518
0	246	-3.30817526301
0	247	-2.95935858039
0	248	-2.95935858063
0	249	-3.30817526381
0	250	-2.95935858109
0	251	-7.87006403835
0	252	-3.30817526458
0	253	-3.30817526483
0	254	-2.95935858198
0	255	-2.99599663329
0	256	-3.18009221192
0	257	-14.9999461301
0	258	-3.30817526603
0	259	-2.95935858303
0	260	-12.0109739317
0	261	-2.99599663444
0	262	-3.18009221334
0	263	-15.2994604354
0	264	-3.30817526739
0	265	-2.99599663515
0	266	-9.73276203105
0	267	-3.30817526803
0	268	-2.99599663567
0	269	-15.5228517934
0	270	-17.3223200427
0	271	-3.1800922153
0	272	-14.6603392452
0	273	-2.99599663649
0	274	-3.30817526944
0	275	-8.0419767068
0	276	-10.0514885468
0	277	-2.95935858634
0	278	-7.76058294978
0	279	-2.95935858666
0	280	-16.0539481534
0	281	-18.8663768964
0	282	-3.30817527092
0	283	-2.99599663799
0	284	-21.7813587644
0	285	-2.95935858759
0	286	-2.95935858774
0	287	-16.4333430323
0	288	-3.18009221846
0	289	-3.18009221863
0	290	-2.99599663894
0	291	-2.99599663907
0	292	-2.9959966392
0	293	-8.07828276184
0	294	-2.99599663945
0	295	-3.18009221959
0	296	-19.2714138927
0	297	-2.99599663981
0	298	-3.18009222005
0	299	-12.0109741774
0	300	-3.30817527377
0	301	-2.95935858978
0	302	-19.954927858
0	303	-3.30817527419
0	304	-3.18009222091
0	305	-13.5309395519
0	306	-3.30817527459
0	307	-3.18009222132
0	308	-2.95935859061
0	309	-7.87085712603
0	310	-2.95935859083
0	311	-10.8543284533
0	312	-9.89668798822
0	313	-8.07828275176
0	314	-2.99599664166
0	315	-2.95935859137
0	316	-2.95935859148
0	317	-10.6602438884
0	318	-2.99599664204
0	319	-3.18009222281
0	320	-7.87006398799
0	321	-10.0197560458
0	322	-3.18009222316
0	323	-17.1786594121
0	324	-12.0858338783
0	325	-12.2757608317
0	326	-7.87085711786
0	327	-3.30817527705
0	328	-3.18009222381
0	329	-7.90335508638
0	330	-2.99599664308
0	331	-3.30817527745
0	332	-8.0419766734
0	333	-8.07773682502
0	334	-10.20524199
0	335	-17.4326243724
0	336	-2.99599664355
0	337	-10.0514891641
0	338	-10.0793105945
0	339	-2.99599664377
0	340	-2.95935859364
0	341	-13.5323173978
0	342	-9.87785435884
0	343	-2.95935859387
0	344	-24.354108779
0	345	-2.99599664419
0	346	-2.99599664425
0	347	-12.8551360051
0	348	-3.30817527896
0	349	-3.18009222574
0	350	-2.95935859437
0	351	-3.3081752792
0	352	-3.30817527927
0	353	-7.87085710786
0	354	-8.08476311797
0	355	-3.3081752795
0	356	-2.95935859477
0	357	-3.30817527964
0	358	-2.995996645
0	359	-2.99599664506
0	360	-2.95935859502
0	361	-3.30817527992
0	362	-10.6483226253
0	363	-2.99599664528
0	364	-2.95935859526
0	365	-7.90335507446
0	366	-8.04197666196
0	367	-3.18009222706
0	368	-7.86357121983
0	369	-2.95935859554
0	370	-2.9593585956
0	371	-10.8543284798
0	372	-3.30817528063
0	373	-2.99599664579
0	374	-12.5600951329
0	375	-3.18009222756
0	376	-2.99599664594
0	377	-2.99599664598
0	378	-2.95935859601
0	379	-2.95935859606
0	380	-10.9568770581
0	381	-3.30817528114
0	382	-3.18009222796
0	383	-7.72728346568
0	384	-3.3081752813
0	385	-2.95935859634
0	386	-12.4723564421
0	387	-2.99599664642
0	388	-3.30817528151
0	389	-2.9959966465
0	390	-3.30817528161
0	391	-3.18009222842
0	392	-9.72481394058
0	393	-3.18009222852
0	394	-3.18009222857
0	395	-14.2601134775
0	396	-2.99599664677
0	397	-2.9959966468
0	398	-3.30817528198
0	399	-3.30817528202
0	400	-3.30817528206
0	401	-2.95935859701
0	402	-3.18009222893
0	403	-2.99599664701
