#Site	lnL	
0	-4.54546057621
1	-5.90663113184
2	-13.8274713709
3	-8.3317050452
4	-5.93362625159
5	-5.52291990793
6	-23.3311723274
7	-8.3155701285
8	-11.5683926832
9	-10.7277871885
10	-11.6073053724
11	-5.39291877421
12	-20.0688403409
13	-9.16520716715
14	-11.8765542095
15	-5.39291877421
16	-12.3208567882
17	-5.88287649475
18	-5.92934836589
19	-12.4842113409
20	-14.3341820379
21	-10.8506428356
22	-13.579211616
23	-9.08498873265
24	-12.2829600447
25	-18.5658473019
26	-18.0825175501
27	-11.8660039487
28	-14.8481833777
29	-9.08498873265
30	-18.8011766407
31	-20.4014691049
32	-15.9990966324
33	-18.5679050251
34	-7.59874968511
35	-14.7057087325
36	-11.5078368431
37	-5.88269490092
38	-5.88269490092
39	-10.278344193
40	-5.23789320475
41	-5.88287649475
42	-5.92934836589
43	-8.34365769468
44	-8.57155632704
45	-10.9418460216
46	-13.5793637899
47	-13.1412021088
48	-8.86969933038
49	-5.52040753039
50	-24.7006874514
51	-9.34236587904
52	-5.45385405613
53	-13.5315490675
54	-8.70958151254
55	-8.3155701285
56	-8.42664947643
57	-5.59746436901
58	-5.39291877421
59	-9.05604463836
60	-10.8758975939
61	-7.80266138026
62	-20.6892048624
63	-28.5999051626
64	-8.94878948892
65	-5.39291877421
66	-7.57587818922
67	-32.5772352602
68	-5.39291877421
69	-5.88287649475
70	-8.31466561128
71	-12.1025363988
72	-11.5683926832
73	-12.3245288052
74	-10.522375476
75	-22.8714430154
76	-26.1440579616
77	-28.6380232786
78	-5.52040753039
79	-13.1803352721
80	-15.4376116209
81	-13.8018225869
82	-5.47490123683
83	-8.00732119549
84	-5.90663113184
85	-13.402949195
86	-11.0065696027
87	-14.4048978971
88	-11.6704442512
89	-13.9028133453
90	-29.5793559098
91	-8.9242188502
92	-13.9515027839
93	-36.6575935174
94	-25.849282986
95	-15.5326478828
96	-5.92934836589
97	-8.56821506568
98	-16.0891841118
99	-11.0545916914
100	-19.5652644676
101	-13.3843080912
102	-5.88287649475
103	-15.0399230633
104	-15.4945048969
105	-11.0019560653
106	-8.05539558424
107	-19.8652153841
108	-23.0102211754
109	-8.75768805786
110	-8.87187070544
111	-27.2168423629
112	-13.7505197027
113	-12.3566715309
114	-25.3636306417
115	-11.4675320731
116	-5.88287649475
117	-9.40440201959
118	-9.71846510343
119	-5.25803186861
120	-11.2425126715
121	-7.85496231679
122	-14.2875289667
123	-11.7372396861
124	-10.6542378857
125	-5.0951440474
126	-12.4957466036
127	-8.21062857791
128	-11.1019681655
129	-5.39291877421
130	-9.71894779039
131	-15.1836180651
132	-5.52040753039
133	-5.90663113184
134	-5.0951440474
135	-8.67574873807
136	-5.52291990793
137	-6.06757037081
138	-8.78288724272
139	-19.6607290803
140	-8.5205699419
141	-14.8567447984
142	-5.92934836589
143	-5.39291877421
144	-5.59746436901
145	-6.17079503267
146	-5.39291877421
147	-5.25803186861
148	-15.7616858802
149	-20.3898744492
150	-5.39291877421
151	-11.4817583721
152	-8.42794706528
153	-9.25009954266
154	-4.54546057621
155	-5.90663113184
156	-5.92934836589
157	-8.90775328437
158	-5.52040753039
159	-25.4861432018
160	-8.67241229658
161	-17.4532341803
162	-5.92934836589
163	-5.39291877421
164	-8.42664947643
165	-48.590661436
166	-15.7698906368
167	-25.4870740953
168	-12.2008504111
169	-5.39291877421
170	-10.1217019442
171	-5.45385405613
172	-8.38331358601
173	-8.5205699419
174	-13.4217526162
175	-5.39291877421
176	-5.90663113184
177	-18.6054451734
178	-5.39291877421
179	-5.39291877421
180	-10.8643527442
181	-11.9736481487
182	-5.90663113184
183	-5.45385405613
184	-8.56821506568
