#Site	lnL	
0	-1.42897216413
1	-1.52142055166
2	-2.16069413848
3	-1.75277446524
4	-1.25156438846
5	-2.49278000718
6	-1.75277446524
7	-1.52142055166
8	-9.06945652088
9	-5.30094908787
10	-1.33607000483
11	-5.90528192469
12	-1.33594762498
13	-1.52142055166
14	-5.16703964402
15	-1.33594762498
16	-1.33607000483
17	-9.20428923215
18	-1.6303135003
19	-1.63559374772
20	-2.16069413848
21	-1.33594762498
22	-1.52142055166
23	-11.9362854253
24	-1.33594762498
25	-1.63559374772
26	-1.99888955966
27	-1.33594762498
28	-1.25156438846
29	-2.68390081299
30	-1.75277446524
31	-1.33607000483
32	-8.84860216188
33	-9.36564019936
34	-1.33607000483
35	-4.15813765864
36	-15.7328751438
37	-1.52142055166
38	-2.49278000718
39	-1.33594762498
40	-1.25156438846
41	-2.49278000718
42	-1.6303135003
43	-1.52142055166
44	-1.99888955966
45	-1.42897216413
46	-1.33607000483
47	-5.43514816236
48	-1.42897216413
49	-1.33607000483
50	-2.68390081299
51	-1.75277446524
52	-1.52142055166
53	-5.09707772088
54	-1.33594762498
55	-1.63559374772
56	-1.99888955966
57	-1.33594762498
58	-1.25156438846
59	-2.68390081299
60	-1.6303135003
61	-1.25156438846
62	-1.99888955966
63	-1.42897216413
64	-1.33607000483
65	-5.32311126233
66	-1.75277446524
67	-1.33607000483
68	-14.5393717772
69	-5.30094908787
70	-1.33607000483
71	-8.73542943337
72	-1.75277446524
73	-1.25156438846
74	-2.49278000718
75	-1.75277446524
76	-1.33607000483
77	-5.71697880831
78	-1.42897216413
79	-1.33607000483
80	-5.43514816236
81	-1.6303135003
82	-1.25156438846
83	-2.49278000718
84	-1.6303135003
85	-1.52142055166
86	-7.88807719906
87	-1.33594762498
88	-1.25156438846
89	-2.49278000718
90	-1.33594762498
91	-1.63559374772
92	-1.99888955966
93	-1.75277446524
94	-1.52142055166
95	-7.43678593309
96	-1.33594762498
97	-1.25156438846
98	-8.53033464097
99	-1.75277446524
100	-1.33607000483
101	-4.15813765864
102	-1.42897216413
103	-1.52142055166
104	-4.37992530954
105	-1.33594762498
106	-1.25156438846
107	-2.68390081299
108	-1.75277446524
109	-1.25156438846
110	-4.03128012111
111	-1.75277446524
112	-1.25156438846
113	-1.99888955966
114	-1.42897216413
115	-1.33607000483
116	-7.79077624988
117	-1.6303135003
118	-1.63559374772
119	-2.16069413848
120	-1.75277446524
121	-1.25156438846
122	-1.99888955966
123	-1.33594762498
124	-1.25156438846
125	-12.5860099828
126	-7.96659662107
127	-1.33607000483
128	-13.9280284822
129	-8.055386407
130	-1.52142055166
131	-6.26768823985
132	-1.75277446524
133	-1.25156438846
134	-1.99888955966
135	-5.30094908787
136	-1.33607000483
137	-7.60133053439
138	-1.42897216413
139	-1.25156438846
140	-2.49278000718
141	-1.33594762498
142	-1.25156438846
143	-2.68390081299
144	-1.75277446524
145	-1.52142055166
146	-5.16703964402
147	-1.75277446524
148	-1.25156438846
149	-6.63944584864
150	-1.33594762498
151	-1.25156438846
152	-5.82455902526
153	-1.75277446524
154	-1.25156438846
155	-8.81044547888
