#Site1	Site2	lnL	
0	3	-3.18148463993
0	4	-2.68041689818
0	5	-3.9211749559
0	6	-3.18149313914
0	7	-2.95029411784
0	8	-10.5005140752
0	9	-6.72996958517
0	10	-2.76495875988
0	11	-7.33451683215
0	12	-2.76476086509
0	13	-2.95029779635
0	14	-6.59919973526
0	15	-2.76476538513
0	16	-2.76496160568
0	17	-10.6363946901
0	18	-3.05913966218
0	19	-3.0643934268
0	20	-3.58934172707
0	21	-2.76477324772
0	22	-2.95030214303
0	23	-13.3706074368
0	24	-2.76477667785
0	25	-3.0643961407
0	26	-3.42760946594
0	27	-2.76477982195
0	28	-2.68042658117
0	29	-4.11251528282
0	30	-3.18153802139
0	31	-2.76496680431
0	32	-10.280050551
0	33	-10.795781778
0	34	-2.76496760309
0	35	-5.58662020707
0	36	-17.1627768846
0	37	-2.95030726845
0	38	-3.92152393285
0	39	-2.76479008084
0	40	-2.68042938333
0	41	-3.92154242115
0	42	-3.05916890635
0	43	-2.95030880277
0	44	-3.42770684708
0	45	-2.85784572213
0	46	-2.76497023322
0	47	-6.86531015618
0	48	-2.85784770007
0	49	-2.76497077422
0	50	-4.11265680418
0	51	-3.18155864814
0	52	-2.95031070771
0	53	-6.52529582848
0	54	-2.76479912747
0	55	-3.0644046445
0	56	-3.42775099642
0	57	-2.76480057004
0	58	-2.680432253
0	59	-4.11269818455
0	60	-3.05918146601
0	61	-2.68043262085
0	62	-3.427768762
0	63	-2.85785568734
0	64	-2.7649729604
0	65	-6.75286560196
0	66	-3.18156802143
0	67	-2.76497331247
0	68	-15.9689548301
0	69	-6.73004923247
0	70	-2.76497364119
0	71	-10.1651381787
0	72	-3.18157094687
0	73	-2.68043386153
0	74	-3.92167720934
0	75	-3.18157226768
0	76	-2.76497423547
0	77	-7.14588736326
0	78	-2.85786132195
0	79	-2.7649745041
0	80	-6.86454113072
0	81	-3.05919075648
0	82	-2.68043459509
0	83	-3.92169944197
0	84	-3.0591917629
0	85	-2.9503150576
0	86	-9.31714644037
0	87	-2.76481063022
0	88	-2.6804350096
0	89	-3.92171202435
0	90	-2.76481131568
0	91	-3.06440927342
0	92	-3.42782905145
0	93	-3.18157859907
0	94	-2.95031578543
0	95	-8.86542688642
0	96	-2.7648125615
0	97	-2.68043553928
0	98	-9.95950825787
0	99	-3.18158022066
0	100	-2.7649759654
0	101	-5.58689023273
0	102	-2.85786723658
0	103	-2.95031638649
0	104	-5.80876298328
0	105	-2.76481415785
0	106	-2.68043597721
0	107	-4.11281976229
0	108	-3.18158230032
0	109	-2.68043610584
0	110	-5.46005070044
0	111	-3.18158291149
0	112	-2.68043622674
0	113	-3.42785325084
0	114	-2.85786924261
0	115	-2.76497667613
0	116	-9.21945901474
0	117	-3.05919946307
0	118	-3.06441100558
0	119	-3.58966532563
0	120	-3.18158453429
0	121	-2.68043654779
0	122	-3.42786081391
0	123	-2.76481658174
0	124	-2.68043664236
0	125	-14.016474194
0	126	-9.39616222722
0	127	-2.76497710635
0	128	-15.3574002642
0	129	-9.48475650092
0	130	-2.95031764271
0	131	-7.69718456985
0	132	-3.18158628372
0	133	-2.68043689396
0	134	-3.4278689761
0	135	-6.73006903108
0	136	-2.76497736698
0	137	-9.03003543254
0	138	-2.85787204038
0	139	-2.68043703811
0	140	-3.92177379743
0	141	-2.76481826332
0	142	-2.68043710395
0	143	-4.1128567779
0	144	-3.18158765819
0	145	-2.95031809486
0	146	-6.5959766296
0	147	-3.18158795344
0	148	-2.68043722442
0	149	-8.06895347812
0	150	-2.76481890266
0	151	-2.68043727948
0	152	-7.25319525829
0	153	-3.18158849379
0	154	-2.68043733137
0	155	-10.2399382244
0	156	-9.48475940032
0	157	-2.95031837102
0	158	-3.58968957789
0	159	-3.18158897375
0	160	-2.76497787118
