#Site	lnL	
0	-3.51299587827
1	-3.42220282454
2	-5.03092911639
3	-3.25647004315
4	-3.22054998646
5	-7.56468132875
6	-3.51299587827
7	-3.78523357691
8	-6.74100380826
9	-3.51299587827
10	-3.42220282454
11	-4.55589670143
12	-3.51299587827
13	-3.42220282454
14	-12.3009425176
15	-3.51299587827
16	-3.19950121969
17	-6.65858445356
18	-3.51299587827
19	-3.22054998646
20	-11.4102063897
21	-8.84879061939
22	-3.42220282454
23	-11.2193324054
24	-14.2951744437
25	-3.22054998646
26	-5.03092911639
27	-3.25647004315
28	-3.22054998646
29	-4.55589670143
30	-3.25647004315
31	-3.22054998646
32	-11.6506307087
33	-3.29699769988
34	-3.19950121969
35	-5.59598508397
36	-3.51299587827
37	-3.42220282454
38	-15.0910454421
39	-3.25647004315
40	-3.42220282454
41	-7.10312673208
42	-3.87778448304
43	-3.22054998646
44	-8.45949740298
45	-3.51299587827
46	-3.78523357691
47	-6.65858445356
48	-3.87778448304
49	-3.22054998646
50	-4.55589670143
51	-3.29699769988
52	-3.42220282454
53	-14.1632970656
54	-3.51299587827
55	-3.19950121969
56	-7.56468132875
57	-3.29699769988
58	-3.19950121969
59	-5.03092911639
60	-3.29699769988
61	-3.22054998646
62	-18.5479662538
63	-3.51299587827
64	-3.19950121969
65	-4.55589670143
66	-3.25647004315
67	-3.78523357691
68	-14.8998416878
69	-3.51299587827
70	-3.19950121969
71	-13.7099395702
72	-3.25647004315
73	-3.42220282454
74	-14.2789512669
75	-3.51299587827
76	-3.78523357691
77	-7.47282218576
78	-3.25647004315
79	-26.7684401489
80	-4.55589670143
81	-3.25647004315
82	-3.22054998646
83	-23.9720643218
84	-3.25647004315
85	-3.78523357691
86	-10.5047548389
87	-3.51299587827
88	-3.42220282454
89	-5.03092911639
90	-3.29699769988
91	-3.78523357691
92	-15.4425002728
93	-3.51299587827
94	-3.22054998646
95	-8.82231794287
96	-3.87778448304
97	-3.78523357691
98	-6.04399968744
99	-3.25647004315
100	-3.78523357691
101	-6.74100380826
102	-3.25647004315
103	-3.22054998646
104	-7.10312673208
105	-3.29699769988
106	-3.22054998646
107	-4.55589670143
108	-3.29699769988
109	-3.19950121969
110	-12.611374503
111	-3.29699769988
112	-3.78523357691
113	-5.03092911639
114	-3.51299587827
115	-3.22054998646
116	-5.59598508397
117	-3.29699769988
118	-3.42220282454
119	-7.10312673208
120	-3.25647004315
121	-20.1857008038
122	-16.7290735944
123	-3.25647004315
124	-3.22054998646
125	-4.55589670143
126	-8.30904949542
127	-3.19950121969
128	-14.7817591412
129	-3.51299587827
130	-3.19950121969
131	-7.9840591161
132	-3.29699769988
133	-3.78523357691
134	-4.55589670143
135	-3.25647004315
136	-3.42220282454
137	-7.6228188931
138	-3.25647004315
139	-15.0622128802
140	-12.1831214798
141	-3.51299587827
142	-3.42220282454
143	-9.86327932861
144	-3.25647004315
145	-3.42220282454
146	-9.6377217949
147	-3.25647004315
148	-3.19950121969
149	-9.81115284609
150	-3.25647004315
151	-3.19950121969
152	-9.32646368621
153	-3.29699769988
154	-3.42220282454
155	-5.59598508397
156	-3.29699769988
157	-3.78523357691
158	-9.3636677287
159	-3.29699769988
160	-9.35243508565
161	-11.4790220836
162	-3.29699769988
163	-3.19950121969
164	-5.03092911639
165	-3.87778448304
166	-3.22054998646
167	-7.47282218576
168	-3.51299587827
169	-3.42220282454
170	-6.74100380826
171	-3.51299587827
172	-3.42220282454
173	-9.29450499345
174	-3.51299587827
175	-3.42220282454
176	-7.94425872702
177	-3.25647004315
178	-3.22054998646
179	-12.6396263526
180	-3.25647004315
181	-3.78523357691
182	-5.59598508397
183	-3.87778448304
184	-3.42220282454
185	-4.55589670143
186	-3.29699769988
187	-3.19950121969
188	-16.9339702043
189	-3.29699769988
190	-3.42220282454
191	-10.0511791787
192	-8.7040901072
193	-3.22054998646
194	-8.41705253476
195	-3.87778448304
196	-3.19950121969
197	-5.03092911639
198	-3.51299587827
199	-3.22054998646
200	-8.41705253476
201	-3.51299587827
202	-3.22054998646
203	-9.3636677287
204	-3.51299587827
205	-3.22054998646
206	-14.8576637737
207	-12.8452715298
208	-3.22054998646
209	-11.7918407334
210	-3.25647004315
211	-3.19950121969
212	-9.02722512938
213	-3.87778448304
214	-3.42220282454
215	-19.9384789188
216	-8.91256600359
217	-3.22054998646
218	-4.55589670143
219	-8.82707269176
220	-3.22054998646
221	-12.8416420493
222	-3.25647004315
223	-3.22054998646
224	-18.5910200788
225	-3.51299587827
226	-3.19950121969
227	-6.74100380826
228	-3.25647004315
229	-3.19950121969
230	-7.08183812303
231	-3.51299587827
232	-3.19950121969
233	-5.59598508397
234	-3.87778448304
235	-3.22054998646
236	-8.32983958204
237	-10.545921487
238	-3.42220282454
239	-5.03092911639
240	-3.25647004315
241	-3.42220282454
242	-6.65858445356
243	-3.87778448304
244	-3.19950121969
245	-13.6194504373
246	-8.06026562828
247	-3.42220282454
248	-14.2378642056
249	-3.29699769988
250	-3.78523357691
251	-4.55589670143
252	-3.29699769988
253	-3.78523357691
254	-4.55589670143
255	-3.29699769988
256	-3.78523357691
257	-12.1430733871
258	-3.29699769988
259	-3.19950121969
260	-6.04399968744
261	-3.87778448304
262	-3.22054998646
263	-6.65858445356
264	-3.51299587827
265	-3.22054998646
266	-11.2448995908
267	-3.51299587827
268	-3.78523357691
269	-6.85167609801
270	-3.51299587827
271	-3.19950121969
272	-9.63911811432
273	-3.25647004315
274	-3.22054998646
275	-8.33379718831
276	-3.51299587827
277	-8.38461228384
278	-11.6552208228
279	-3.25647004315
280	-3.78523357691
281	-6.74100380826
282	-3.87778448304
283	-3.19950121969
284	-9.43767555181
285	-3.87778448304
286	-3.78523357691
287	-4.55589670143
288	-3.25647004315
289	-3.78523357691
290	-7.00029877713
291	-3.25647004315
292	-8.47983046944
293	-5.59598508397
294	-11.0963600296
295	-3.42220282454
296	-5.03092911639
297	-3.25647004315
298	-3.19950121969
299	-4.55589670143
300	-3.51299587827
301	-3.42220282454
302	-10.8618757187
303	-3.25647004315
304	-3.22054998646
305	-9.91715122199
306	-7.70675744439
307	-3.19950121969
308	-11.5343458797
309	-3.25647004315
310	-3.42220282454
311	-7.08183812303
312	-3.51299587827
313	-3.78523357691
314	-5.03092911639
315	-7.70675744439
316	-3.19950121969
317	-14.5866791702
318	-8.52690258083
319	-3.19950121969
320	-5.03092911639
321	-3.25647004315
322	-3.22054998646
323	-12.1723402073
324	-3.25647004315
325	-3.19950121969
326	-13.2348395181
327	-8.02302189646
328	-3.22054998646
329	-9.93771556288
330	-3.29699769988
331	-3.19950121969
332	-13.083895603
333	-3.87778448304
334	-3.19950121969
335	-11.8701765374
336	-3.51299587827
337	-3.19950121969
338	-4.55589670143
339	-3.25647004315
340	-3.42220282454
341	-7.9840591161
342	-3.25647004315
343	-3.22054998646
344	-8.73105790065
345	-3.25647004315
346	-8.88057430443
347	-9.53939541372
348	-3.29699769988
349	-3.78523357691
350	-7.6228188931
351	-3.25647004315
352	-3.22054998646
353	-7.94425872702
354	-3.51299587827
355	-3.22054998646
356	-8.41705253476
357	-3.29699769988
358	-3.78523357691
359	-5.03092911639
360	-3.25647004315
361	-3.22054998646
362	-10.963024025
363	-3.25647004315
364	-3.42220282454
365	-7.56468132875
366	-3.87778448304
367	-3.78523357691
368	-10.1663987974
369	-3.29699769988
370	-3.78523357691
371	-12.2746784246
372	-3.51299587827
373	-3.78523357691
374	-7.52373998641
375	-7.78417179919
376	-3.22054998646
377	-4.55589670143
378	-8.82707269176
379	-3.19950121969
380	-8.75073862391
381	-3.25647004315
382	-3.22054998646
383	-7.47282218576
384	-3.87778448304
385	-3.19950121969
386	-5.03092911639
387	-3.29699769988
388	-3.42220282454
389	-9.52068220675
390	-3.29699769988
391	-3.22054998646
392	-9.52068220675
393	-3.25647004315
394	-3.19950121969
395	-11.7554618322
396	-3.29699769988
397	-3.78523357691
398	-4.55589670143
399	-3.51299587827
400	-3.22054998646
401	-9.13440654765
402	-3.51299587827
403	-3.19950121969
404	-6.65858445356
405	-3.25647004315
406	-3.19950121969
407	-9.31559991888
408	-3.25647004315
409	-3.78523357691
410	-10.1612028329
411	-13.0246671
412	-3.19950121969
413	-4.55589670143
414	-3.29699769988
415	-3.42220282454
416	-12.7388671061
417	-3.29699769988
418	-3.42220282454
419	-6.04399968744
420	-3.25647004315
421	-9.41499415691
422	-14.7192710527
423	-3.87778448304
424	-3.22054998646
425	-4.55589670143
426	-8.133048702
427	-14.3964501898
428	-9.51755400265
429	-3.51299587827
430	-3.22054998646
431	-9.52068220675
432	-3.87778448304
433	-3.78523357691
434	-17.1126376349
