#Site	lnL	
0	-6.32832158317
1	-10.9254727992
2	-13.8510708301
3	-8.82719166105
4	-10.6467337162
5	-13.5173374895
6	-8.2998098575
7	-5.2832281718
8	-5.95001690641
9	-5.0404319667
10	-11.3515896871
11	-9.88626230088
12	-14.7841077184
13	-10.9977957178
14	-9.99521711701
15	-14.0532605145
16	-20.9255548219
17	-12.9544458128
18	-4.0014825979
19	-14.4508618629
20	-11.043128855
21	-5.0404319667
22	-10.7664030794
23	-7.65358861038
24	-6.43042679828
25	-10.6158354881
26	-7.33439334239
27	-6.27204126502
28	-11.736248429
29	-10.8248305726
30	-10.4026481127
31	-7.2053099762
32	-4.38395498234
33	-11.9152113695
34	-8.78342465818
35	-7.65358861038
36	-20.9627504021
37	-8.17757459403
38	-17.0987101234
39	-8.1036395664
40	-15.1967635357
41	-7.95323695636
42	-8.87767670451
43	-8.52720913492
44	-14.307305585
45	-20.9198479424
46	-13.4497673183
47	-12.4181136199
48	-9.79056903477
49	-7.95323695636
50	-17.8020930931
51	-15.4844490079
52	-6.52300997727
53	-10.7498057686
54	-13.1821433209
55	-16.7111382599
56	-7.56436722488
57	-5.8851711293
58	-4.0014825979
59	-4.73277336405
60	-9.04062820778
61	-8.94633441054
62	-16.0733503221
63	-11.1644551382
64	-11.4886265912
65	-9.84540526212
66	-5.04054954399
67	-19.0787834914
68	-11.1460202014
69	-6.56967509912
70	-11.4597980324
71	-13.0919640649
72	-6.0551082606
73	-4.73277336405
74	-11.1286222516
75	-9.85204301745
76	-7.0585659119
77	-10.550425506
78	-12.2698660355
79	-10.509836641
80	-4.38395498234
81	-11.5794654506
82	-7.51260212963
83	-8.51723011494
84	-4.79913560141
85	-13.3114595569
86	-5.11827376153
87	-18.2201928238
88	-5.02778134585
89	-11.0768834019
90	-7.72363736353
91	-12.9050726483
92	-14.0792917768
93	-14.4103227511
94	-18.4294937037
95	-5.3595189484
96	-4.51914283568
97	-10.7926163755
98	-8.63224873205
99	-13.8771552909
100	-6.95661798573
101	-12.0138580363
102	-4.30138405829
103	-4.6242502237
104	-10.4989251927
105	-9.96106306717
106	-5.2832281718
107	-15.5800863288
108	-7.02577970329
109	-13.2690421473
110	-4.73277336405
111	-28.9164949505
112	-18.2753780197
113	-17.7568824768
114	-17.7310630325
115	-8.90605402935
116	-11.4146039895
117	-5.0404319667
118	-22.0004769851
119	-13.4515134936
120	-6.13526516072
121	-9.70353667404
122	-20.4880185385
123	-5.25241736772
124	-7.56576850058
125	-22.1961032052
126	-6.59612100096
127	-5.0404319667
128	-5.02778134585
129	-5.84669048369
130	-7.14186030654
131	-8.1647711298
132	-12.1774427428
133	-15.8093350471
134	-6.66085864114
135	-10.8061419073
136	-5.02778134585
137	-19.4808117345
138	-5.04054954399
139	-7.09293709735
140	-11.2610669435
141	-20.6830364643
142	-4.73277336405
143	-19.5709533281
144	-15.9589418896
145	-5.95001690641
146	-5.02778134585
147	-9.19083289773
148	-14.3232540592
149	-13.5890492622
150	-21.2627472164
151	-10.8256679708
152	-4.38395498234
153	-6.44869409624
154	-17.5133107145
155	-10.9366536437
156	-19.437324301
157	-14.5911404868
158	-6.98538531876
159	-6.43042679828
160	-4.30138405829
161	-12.855523705
162	-10.3662265026
