#Site1	Site2	lnL	
0	1	-2.68516310486
0	2	-4.37258118214
0	3	-2.62052400552
0	4	-2.61860279093
0	5	-3.26473512999
0	6	-2.36928084711
0	7	-2.3677098519
0	8	-7.48135487686
0	9	-2.36928228349
0	10	-2.36771110739
0	11	-4.37273629617
0	12	-2.3692833438
0	13	-2.93409622816
0	14	-3.26480404027
0	15	-2.9365821864
0	16	-2.61860842405
0	17	-3.85334176262
0	18	-2.68720084595
0	19	-2.61860907038
0	20	-3.72399931113
0	21	-2.36928518913
0	22	-8.98899253705
0	23	-3.72400827118
0	24	-2.93658440011
0	25	-2.93409929124
0	26	-8.70387342887
0	27	-2.36928580209
0	28	-2.93409966442
0	29	-3.26484291933
0	30	-2.36928600653
0	31	-2.36771439273
0	32	-7.02746031317
0	33	-2.36928616404
0	34	-2.36771453267
0	35	-4.37283656721
0	36	-2.36928628558
0	37	-2.3677146407
0	38	-7.48084501067
0	39	-2.93658573396
0	40	-2.93410047571
0	41	-3.85338870404
0	42	-2.36928645212
0	43	-2.93410057788
0	44	-3.2648533182
0	45	-2.93658593775
0	46	-2.93410065697
0	47	-6.06807573973
0	48	-2.62053340692
0	49	-2.36771487756
0	50	-3.72403530956
0	51	-2.93658605997
0	52	-2.68517496135
0	53	-6.22780408848
0	54	-2.36928661178
0	55	-2.36771493086
0	56	-14.1711816702
0	57	-2.62053350497
0	58	-2.6186111293
0	59	-9.26359421262
0	60	-2.93658615826
0	61	-2.68517503273
0	62	-14.445552619
0	63	-2.36928665997
0	64	-2.93410087037
0	65	-3.26485665339
0	66	-2.68720334279
0	67	-2.93410088368
0	68	-6.06806549743
0	69	-2.93658620412
0	70	-2.68517506603
0	71	-15.0589523754
0	72	-2.36928668246
0	73	-2.36771499378
0	74	-3.72403791344
0	75	-2.68720336531
0	76	-2.93410090825
0	77	-3.8533951928
0	78	-2.68720336974
0	79	-2.61861119273
0	80	-6.96368454191
0	81	-2.36928669297
0	82	-2.36771500313
0	83	-6.33036438367
0	84	-2.68720337583
0	85	-2.61861119787
0	86	-10.0352100459
0	87	-8.23793961068
0	88	-2.68517508885
0	89	-7.02773671091
0	90	-2.62053358548
0	91	-2.61861120097
0	92	-3.26485726219
0	93	-2.36928669884
0	94	-2.36771500836
0	95	-4.37285058551
0	96	-2.93658624021
0	97	-2.36771500903
0	98	-10.1051972221
0	99	-2.36928670017
0	100	-2.36771500954
0	101	-9.69689721142
0	102	-2.93658624184
0	103	-2.61861120396
0	104	-8.8200385137
0	105	-2.36928670097
0	106	-2.68517509384
0	107	-7.69496952135
0	108	-2.36928670125
0	109	-2.3677150105
0	110	-4.37285064856
0	111	-2.36928670146
0	112	-2.93410092877
0	113	-3.26485731964
0	114	-2.36928670162
0	115	-2.68517509458
0	116	-4.37285065839
0	117	-2.93658624362
0	118	-2.61861120518
0	119	-6.06806344071
0	120	-2.36928670184
0	121	-2.68517509484
0	122	-12.6110075726
0	123	-2.36928670192
0	124	-2.93410092942
0	125	-3.26485732712
0	126	-2.36928670198
0	127	-2.36771501115
0	128	-7.22202431827
0	129	-2.36928670203
0	130	-2.68517509505
0	131	-13.6653630413
0	132	-2.93658624412
0	133	-2.68517509509
0	134	-13.0472284099
0	135	-2.93658624416
0	136	-2.36771501125
0	137	-3.26485732983
0	138	-2.93658624419
0	139	-2.61861120558
0	140	-14.124688158
0	141	-2.93658624422
0	142	-2.6186112056
0	143	-10.3117344451
0	144	-2.93658624424
0	145	-2.61861120561
0	146	-15.8433419546
0	147	-2.93658624426
0	148	-2.68517509519
0	149	-11.5811473836
0	150	-2.36928670216
0	151	-2.93410092976
0	152	-3.26485733094
0	153	-2.93658624428
0	154	-2.36771501132
0	155	-3.85339551574
0	156	-11.3132088446
0	157	-2.68517509521
0	158	-6.33036382281
0	159	-2.68720338504
0	160	-2.61861120565
0	161	-9.86148630303
0	162	-2.9365862443
0	163	-2.36771501133
0	164	-3.26485733121
0	165	-2.9365862443
0	166	-2.61861120565
0	167	-13.1360077651
0	168	-2.68720338505
0	169	-2.61861120565
0	170	-9.3176616368
0	171	-2.9365862443
0	172	-2.68517509523
0	173	-12.1515329994
0	174	-2.68720338506
0	175	-2.36771501133
0	176	-3.72403830683
0	177	-12.1839327433
0	178	-2.61861120566
0	179	-10.1491233897
0	180	-2.93658624431
0	181	-2.36771501133
0	182	-3.26485733133
0	183	-2.68720338506
0	184	-2.36771501133
0	185	-3.72403830687
0	186	-2.93658624431
0	187	-2.61861120566
0	188	-10.9591166903
0	189	-18.4194015369
0	190	-2.68517509523
0	191	-13.0980388998
0	192	-2.62053359075
0	193	-2.61861120566
0	194	-3.26485733136
0	195	-2.36928670219
0	196	-2.36771501134
0	197	-9.72447521719
0	198	-2.36928670219
0	199	-2.61861120566
0	200	-13.7885168614
0	201	-2.68720338506
0	202	-2.36771501134
0	203	-9.46968484413
0	204	-2.36928670219
0	205	-2.36771501134
0	206	-9.66882461068
0	207	-2.36928670219
0	208	-2.36771501134
0	209	-4.37285067326
0	210	-2.68720338506
0	211	-2.68517509523
0	212	-10.2875125639
0	213	-2.62053359075
0	214	-2.36771501134
0	215	-6.00627056348
0	216	-2.68720338506
0	217	-2.36771501134
0	218	-3.7240383069
0	219	-2.68720338506
0	220	-2.93410092979
0	221	-7.2878906237
0	222	-2.93658624431
0	223	-2.68517509523
0	224	-12.7888688759
0	225	-2.68720338506
0	226	-2.61861120566
0	227	-10.2621326593
0	228	-2.68720338506
0	229	-2.93410092979
0	230	-9.46766018174
0	231	-2.93658624431
0	232	-2.61861120566
0	233	-9.29614801988
0	234	-2.36928670219
0	235	-2.68517509523
0	236	-3.85339551618
0	237	-2.62053359075
0	238	-2.36771501134
0	239	-7.22202432159
0	240	-2.93658624431
0	241	-2.61861120566
0	242	-10.7657277291
0	243	-2.36928670219
0	244	-2.93410092979
0	245	-3.26485733137
0	246	-2.36928670219
0	247	-2.68517509523
0	248	-12.8510764567
0	249	-2.93658624431
0	250	-2.68517509523
0	251	-9.61648420624
0	252	-2.36928670219
0	253	-2.93410092979
0	254	-7.17543134627
0	255	-2.93658624431
0	256	-2.68517509523
0	257	-9.49931200956
0	258	-2.36928670219
0	259	-2.93410092979
0	260	-3.26485733137
0	261	-2.68720338506
0	262	-2.61861120566
0	263	-16.745122067
0	264	-2.36928670219
0	265	-2.93410092979
0	266	-3.26485733137
0	267	-2.93658624431
0	268	-2.36771501134
0	269	-6.74669529006
0	270	-12.7271784021
0	271	-2.36771501134
0	272	-3.7240383069
0	273	-2.36928670219
0	274	-2.93410092979
0	275	-3.26485733137
0	276	-2.36928670219
0	277	-8.26841458633
0	278	-12.6140355317
0	279	-2.36928670219
0	280	-11.7278677782
0	281	-6.00627056347
0	282	-2.36928670219
0	283	-2.93410092979
0	284	-3.26485733137
0	285	-2.93658624431
0	286	-2.61861120566
0	287	-3.85339551618
0	288	-2.62053359075
0	289	-2.61861120566
0	290	-13.7792232907
0	291	-2.62053359075
0	292	-2.61861120566
0	293	-14.6950402655
0	294	-2.62053359075
0	295	-2.36771501134
0	296	-3.26485733137
0	297	-2.36928670219
0	298	-2.93410092979
0	299	-3.26485733137
0	300	-2.62053359075
0	301	-2.61861120566
0	302	-3.26485733137
0	303	-2.36928670219
0	304	-2.93410092979
0	305	-3.26485733137
0	306	-2.68720338506
0	307	-2.68517509523
0	308	-7.02391067401
0	309	-2.36928670219
0	310	-2.36771501134
0	311	-3.7240383069
0	312	-2.36928670219
0	313	-2.93410092979
0	314	-8.18581550179
0	315	-2.93658624431
0	316	-2.36771501134
0	317	-13.9159040781
0	318	-8.95866481418
0	319	-11.1192103389
0	320	-3.7240383069
0	321	-2.36928670219
0	322	-8.26841458633
0	323	-11.7927839319
0	324	-2.93658624431
0	325	-2.68517509523
0	326	-3.85339551618
0	327	-11.1662505534
0	328	-2.61861120566
0	329	-11.3335655859
0	330	-2.62053359075
0	331	-2.61861120566
0	332	-9.31398218835
0	333	-2.93658624431
0	334	-11.46655964
0	335	-14.6875297884
0	336	-2.93658624431
0	337	-11.3596456355
0	338	-12.8748697853
0	339	-2.93658624431
0	340	-2.61861120566
0	341	-14.2280055739
0	342	-2.93658624431
0	343	-2.61861120566
0	344	-15.0871176559
0	345	-2.36928670219
0	346	-2.36771501134
0	347	-4.37285067326
0	348	-2.36928670219
0	349	-2.36771501134
0	350	-9.93301423688
0	351	-2.93658624431
0	352	-2.61861120566
0	353	-6.06806341272
1	2	-4.68836594599
1	3	-2.93640873749
1	4	-2.93448798853
1	5	-3.5805774213
1	6	-2.68516703823
1	7	-2.68359631247
1	8	-7.79744281401
1	9	-2.68516903282
1	10	-2.68359805241
1	11	-4.68858237431
1	12	-2.68517049734
1	13	-3.24998288956
1	14	-3.58067285545
1	15	-3.25246909035
1	16	-2.93449579798
1	17	-4.16921049374
1	18	-3.00308831124
1	19	-2.93449668414
1	20	-4.03987349091
1	21	-2.68517303111
1	22	-9.3048811747
1	23	-4.03988574563
1	24	-3.25247212312
1	25	-3.24998708936
1	26	-9.01978967471
1	27	-2.68517386872
1	28	-3.24998759881
1	29	-3.58072609222
1	30	-2.68517414766
1	31	-2.68360256185
1	32	-7.34334518823
1	33	-2.68517436241
1	34	-2.68360275261
1	35	-4.68871986088
1	36	-2.68517452805
1	37	-2.68360289981
1	38	-7.79674893305
1	39	-3.25247394266
1	40	-3.24998870477
1	41	-4.16927463763
1	42	-2.68517475489
1	43	-3.24998884389
1	44	-3.58074026299
1	45	-3.25247422016
1	46	-3.24998895157
1	47	-6.3839685885
1	48	-2.93642173364
1	49	-2.68360322235
1	50	-4.03992262152
1	51	-3.25247438652
1	52	-3.0010633061
1	53	-6.54368937711
1	54	-2.68517497222
1	55	-2.68360329488
1	56	-14.4870658052
1	57	-2.93642186708
1	58	-2.93449949482
1	59	-9.57948041826
1	60	-3.25247452028
1	61	-3.00106340324
1	62	-14.7614429362
1	63	-2.6851750378
1	64	-3.24998924199
1	65	-3.58074480205
1	66	-3.0030917206
1	67	-3.2499892601
1	68	-6.38395464339
1	69	-3.25247458267
1	70	-3.00106344855
1	71	-15.3748419131
1	72	-2.6851750684
1	73	-2.6836033805
1	74	-4.03992616467
1	75	-3.00309175124
1	76	-3.24998929353
1	77	-4.16928346929
1	78	-3.00309175726
1	79	-2.93449958111
1	80	-7.27957289877
1	81	-2.68517508269
1	82	-2.68360339322
1	83	-6.64625297964
1	84	-3.00309176555
1	85	-2.93449958811
1	86	-10.3510990116
1	87	-8.55382786091
1	88	-3.0010634796
1	89	-7.34362508476
1	90	-2.93642197663
1	91	-2.93449959232
1	92	-3.58074563031
1	93	-2.68517509068
1	94	-2.68360340033
1	95	-4.68873894693
1	96	-3.25247463178
1	97	-2.68360340124
1	98	-10.4210858281
1	99	-2.68517509249
1	100	-2.68360340194
1	101	-10.0127856501
1	102	-3.252474634
1	103	-2.93449959639
1	104	-9.13592697379
1	105	-2.68517509358
1	106	-3.00106348638
1	107	-8.01085792593
1	108	-2.68517509395
1	109	-2.68360340324
1	110	-4.6887390327
1	111	-2.68517509424
1	112	-3.24998932144
1	113	-3.58074570846
1	114	-2.68517509446
1	115	-3.00106348739
1	116	-4.68873904607
1	117	-3.25247463641
1	118	-2.93449959805
1	119	-6.38395184386
1	120	-2.68517509477
1	121	-3.00106348774
1	122	-12.9268959648
1	123	-2.68517509487
1	124	-3.24998932233
1	125	-3.58074571863
1	126	-2.68517509495
1	127	-2.68360340413
1	128	-7.53791271011
1	129	-2.68517509501
1	130	-3.00106348803
1	131	-13.9812514374
1	132	-3.25247463709
1	133	-3.00106348808
1	134	-13.363116807
1	135	-3.25247463715
1	136	-2.68360340426
1	137	-3.58074572231
1	138	-3.2524746372
1	139	-2.93449959859
1	140	-14.4405765533
1	141	-3.25247463723
1	142	-2.93449959862
1	143	-10.6276228343
1	144	-3.25247463726
1	145	-2.93449959864
1	146	-16.1592303472
1	147	-3.25247463728
1	148	-3.00106348822
1	149	-11.8970357764
1	150	-2.68517509519
1	151	-3.24998932279
1	152	-3.58074572382
1	153	-3.25247463731
1	154	-2.68360340435
1	155	-4.16928390862
1	156	-11.6290972376
1	157	-3.00106348825
1	158	-6.64625221622
1	159	-3.00309177808
1	160	-2.93449959869
1	161	-10.1773746959
1	162	-3.25247463734
1	163	-2.68360340437
1	164	-3.5807457242
1	165	-3.25247463734
1	166	-2.93449959869
1	167	-13.4518961582
1	168	-3.0030917781
1	169	-2.9344995987
1	170	-9.6335500296
1	171	-3.25247463735
1	172	-3.00106348827
1	173	-12.4674213923
1	174	-3.0030917781
1	175	-2.68360340438
1	176	-4.03992669985
1	177	-12.499821136
1	178	-2.9344995987
1	179	-10.4650117827
1	180	-3.25247463735
1	181	-2.68360340438
1	182	-3.58074572437
1	183	-3.0030917781
1	184	-2.68360340438
1	185	-4.0399266999
1	186	-3.25247463735
1	187	-2.9344995987
1	188	-11.2750050834
1	189	-18.7352899299
1	190	-3.00106348827
1	191	-13.4139272929
1	192	-2.93642198379
1	193	-2.9344995987
1	194	-3.5807457244
1	195	-2.68517509523
1	196	-2.68360340438
1	197	-10.0403636102
1	198	-2.68517509523
1	199	-2.9344995987
1	200	-14.1044052545
1	201	-3.0030917781
1	202	-2.68360340438
1	203	-9.78557323717
1	204	-2.68517509523
1	205	-2.68360340438
1	206	-9.98471300372
1	207	-2.68517509523
1	208	-2.68360340438
1	209	-4.6887390663
1	210	-3.00309177811
1	211	-3.00106348827
1	212	-10.6034009569
1	213	-2.93642198379
1	214	-2.68360340438
1	215	-6.32215895652
1	216	-3.00309177811
1	217	-2.68360340438
1	218	-4.03992669994
1	219	-3.00309177811
1	220	-3.24998932284
1	221	-7.60377901674
1	222	-3.25247463736
1	223	-3.00106348827
1	224	-13.104757269
1	225	-3.00309177811
1	226	-2.9344995987
1	227	-10.5780210523
1	228	-3.00309177811
1	229	-3.24998932284
1	230	-9.78354857478
1	231	-3.25247463736
1	232	-2.9344995987
1	233	-9.61203641292
1	234	-2.68517509523
1	235	-3.00106348827
1	236	-4.16928390922
1	237	-2.93642198379
1	238	-2.68360340438
1	239	-7.53791271463
1	240	-3.25247463736
1	241	-2.9344995987
1	242	-11.0816161221
1	243	-2.68517509523
1	244	-3.24998932284
1	245	-3.58074572441
1	246	-2.68517509523
1	247	-3.00106348827
1	248	-13.1669648497
1	249	-3.25247463736
1	250	-3.00106348827
1	251	-9.93237259929
1	252	-2.68517509523
1	253	-3.24998932284
1	254	-7.49131973932
1	255	-3.25247463736
1	256	-3.00106348827
1	257	-9.81520040261
1	258	-2.68517509523
1	259	-3.24998932284
1	260	-3.58074572441
1	261	-3.00309177811
1	262	-2.9344995987
1	263	-17.06101046
1	264	-2.68517509523
1	265	-3.24998932284
1	266	-3.58074572441
1	267	-3.25247463736
1	268	-2.68360340438
1	269	-7.06258368311
1	270	-13.0430667951
1	271	-2.68360340438
1	272	-4.03992669995
1	273	-2.68517509523
1	274	-3.24998932284
1	275	-3.58074572441
1	276	-2.68517509523
1	277	-8.58430297938
1	278	-12.9299239247
1	279	-2.68517509523
1	280	-12.0437561713
1	281	-6.32215895651
1	282	-2.68517509523
1	283	-3.24998932284
1	284	-3.58074572441
1	285	-3.25247463736
1	286	-2.9344995987
1	287	-4.16928390922
1	288	-2.93642198379
1	289	-2.9344995987
1	290	-14.0951116838
1	291	-2.93642198379
1	292	-2.9344995987
1	293	-15.0109286586
1	294	-2.93642198379
1	295	-2.68360340438
1	296	-3.58074572441
1	297	-2.68517509523
1	298	-3.24998932284
1	299	-3.58074572441
1	300	-2.93642198379
1	301	-2.9344995987
1	302	-3.58074572441
1	303	-2.68517509523
1	304	-3.24998932284
1	305	-3.58074572441
1	306	-3.00309177811
1	307	-3.00106348827
1	308	-7.33979906705
1	309	-2.68517509523
1	310	-2.68360340438
1	311	-4.03992669995
1	312	-2.68517509523
1	313	-3.24998932284
1	314	-8.50170389483
1	315	-3.25247463736
1	316	-2.68360340438
1	317	-14.2317924711
1	318	-9.27455320723
1	319	-11.435098732
1	320	-4.03992669995
1	321	-2.68517509523
1	322	-8.58430297938
1	323	-12.1086723249
1	324	-3.25247463736
1	325	-3.00106348827
1	326	-4.16928390922
1	327	-11.4821389464
1	328	-2.9344995987
1	329	-11.6494539789
1	330	-2.93642198379
1	331	-2.9344995987
1	332	-9.62987058139
1	333	-3.25247463736
1	334	-11.782448033
1	335	-15.0034181815
1	336	-3.25247463736
1	337	-11.6755340285
1	338	-13.1907581784
1	339	-3.25247463736
1	340	-2.9344995987
1	341	-14.543893967
1	342	-3.25247463736
1	343	-2.9344995987
1	344	-15.4030060489
1	345	-2.68517509523
1	346	-2.68360340438
1	347	-4.68873906631
1	348	-2.68517509523
1	349	-2.68360340438
1	350	-10.2489026299
1	351	-3.25247463736
1	352	-2.9344995987
1	353	-6.38395180576
2	3	-4.62373253085
2	4	-4.62185583429
2	5	-5.26379590411
2	6	-4.37262974768
2	7	-4.37108477106
2	8	-9.50588936458
2	9	-4.37268501325
2	10	-4.37113286937
2	11	-6.37213604691
2	12	-4.37272534058
2	13	-4.93748965785
2	14	-5.26643401267
2	15	-4.93999928398
2	16	-4.62207180958
2	17	-5.85496055173
2	18	-4.6906731474
2	19	-4.62209600452
2	20	-5.72615482604
2	21	-4.37279463664
2	22	-10.992589638
2	23	-5.72648899624
2	24	-4.94008201092
2	25	-4.9376043251
2	26	-10.7101427597
2	27	-4.37281741906
2	28	-4.93761816606
2	29	-5.26788799844
2	30	-4.37282499298
2	31	-4.37125615162
2	32	-9.03068396726
2	33	-4.37283081945
2	34	-4.37126132604
2	35	-6.37589346898
2	36	-4.37283531068
2	37	-4.37126531688
2	38	-9.48603165814
2	39	-4.94013140317
2	40	-4.93764816449
2	41	-5.85670793227
2	42	-4.37284145806
2	43	-4.93765193342
2	44	-5.26827309295
2	45	-4.94013892072
2	46	-4.93765484996
2	47	-8.07207435551
2	48	-4.62409079013
2	49	-4.37127405482
2	50	-5.72749164617
2	51	-4.94014342574
2	52	-4.68873413526
2	53	-8.23106445949
2	54	-4.3728473436
2	55	-4.37127601866
2	56	-16.1743154926
2	57	-4.62409440294
2	58	-4.62217236495
2	59	-11.2669348063
2	60	-4.94014704676
2	61	-4.68873676478
2	62	-16.4493007631
2	63	-4.37284911883
2	64	-4.93766271263
2	65	-5.26839627976
2	66	-4.69076579977
2	67	-4.93766320303
2	68	-8.07170292639
2	69	-4.94014873546
2	70	-4.6887379913
2	71	-17.0626296262
2	72	-4.37284994714
2	73	-4.371278336
2	74	-5.72758776087
2	75	-4.69076662902
2	76	-4.93766410763
2	77	-5.85694755669
2	78	-4.6907667919
2	79	-4.62217470067
2	80	-8.96724488072
2	81	-4.37285033397
2	82	-4.37127868036
2	83	-8.33394812074
2	84	-4.69076701636
2	85	-4.62217489005
2	86	-12.0388315578
2	87	-10.2414898481
2	88	-4.68873883158
2	89	-9.0312987578
2	90	-4.62409736789
2	91	-4.62217500409
2	92	-5.26841874955
2	93	-4.37285055021
2	94	-4.37127887287
2	95	-6.37641140744
2	96	-4.94015006437
2	97	-4.3712788974
2	98	-12.1087825792
2	99	-4.37285059916
2	100	-4.37127891644
2	101	-11.7004656343
2	102	-4.94015012444
2	103	-4.62217511412
2	104	-10.8236090189
2	105	-4.37285062863
2	106	-4.68873901503
2	107	-9.6985344341
2	108	-4.37285063863
2	109	-4.37127895158
2	110	-6.37641373324
2	111	-4.37285064638
2	112	-4.93766486303
2	113	-5.26842086969
2	114	-4.3728506524
2	115	-4.68873904234
2	116	-6.37641409562
2	117	-4.94015018979
2	118	-4.62217515911
2	119	-8.07162839789
2	120	-4.3728506607
2	121	-4.68873905187
2	122	-14.6145714549
2	123	-4.37285066351
2	124	-4.93766488714
2	125	-5.26842114548
2	126	-4.3728506657
2	127	-4.37127897568
2	128	-9.22558817033
2	129	-4.37285066739
2	130	-4.68873905956
2	131	-15.6689273019
2	132	-4.94015020818
2	133	-4.68873906107
2	134	-15.050792771
2	135	-4.94015020979
2	136	-4.37127897926
2	137	-5.26842124551
2	138	-4.94015021105
2	139	-4.62217517375
2	140	-16.1282523423
2	141	-4.94015021202
2	142	-4.62217517442
2	143	-12.3152980356
2	144	-4.94015021277
2	145	-4.62217517494
2	146	-17.8469058818
2	147	-4.94015021336
2	148	-4.68873906483
2	149	-13.5847113206
2	150	-4.37285067227
2	151	-4.93766489947
2	152	-5.26842128642
2	153	-4.94015021417
2	154	-4.37127898172
2	155	-5.8569594709
2	156	-13.3167728171
2	157	-4.68873906562
2	158	-8.33392782881
2	159	-4.69076735554
2	160	-4.62217517623
2	161	-11.865050253
2	162	-4.94015021482
2	163	-4.37127898209
2	164	-5.26842129663
2	165	-4.94015021494
2	166	-4.62217517643
2	167	-15.1395717438
2	168	-4.69076735586
2	169	-4.6221751765
2	170	-11.3212255835
2	171	-4.94015021512
2	172	-4.68873906611
2	173	-14.1550969598
2	174	-4.69076735597
2	175	-4.37127898229
2	176	-5.72760227536
2	177	-14.1874966845
2	178	-4.62217517662
2	179	-12.1526873629
2	180	-4.94015021526
2	181	-4.37127898234
2	182	-5.26842130117
2	183	-4.69076735606
2	184	-4.37127898236
2	185	-5.72760227675
2	186	-4.94015021531
2	187	-4.62217517668
2	188	-12.9626806628
2	189	-20.4229654982
2	190	-4.68873906626
2	191	-15.1016028725
2	192	-4.62409756179
2	193	-4.6221751767
2	194	-5.26842130198
2	195	-4.37285067324
2	196	-4.37127898239
2	197	-11.7280391874
2	198	-4.37285067324
2	199	-4.62217517672
2	200	-15.7920808339
2	201	-4.69076735612
2	202	-4.3712789824
2	203	-11.4732488148
2	204	-4.37285067325
2	205	-4.3712789824
2	206	-11.6723885815
2	207	-4.37285067325
2	208	-4.3712789824
2	209	-6.37641464412
2	210	-4.69076735613
2	211	-4.6887390663
2	212	-12.2910765349
2	213	-4.62409756182
2	214	-4.37127898241
2	215	-8.00983453485
2	216	-4.69076735613
2	217	-4.37127898241
2	218	-5.7276022779
2	219	-4.69076735613
2	220	-4.93766490087
2	221	-9.29145459472
2	222	-4.94015021538
2	223	-4.6887390663
2	224	-14.7924328469
2	225	-4.69076735613
2	226	-4.62217517673
2	227	-12.2656966303
2	228	-4.69076735613
2	229	-4.93766490087
2	230	-11.4712241527
2	231	-4.94015021539
2	232	-4.62217517673
2	233	-11.299711991
2	234	-4.37285067326
2	235	-4.6887390663
2	236	-5.85695948724
2	237	-4.62409756182
2	238	-4.37127898241
2	239	-9.22558829265
2	240	-4.94015021539
2	241	-4.62217517673
2	242	-12.7692917001
2	243	-4.37285067326
2	244	-4.93766490087
2	245	-5.26842130244
2	246	-4.37285067326
2	247	-4.68873906631
2	248	-14.8546404278
2	249	-4.94015021539
2	250	-4.68873906631
2	251	-11.6200481774
2	252	-4.37285067326
2	253	-4.93766490087
2	254	-9.17899531734
2	255	-4.94015021539
2	256	-4.68873906631
2	257	-11.5028759807
2	258	-4.37285067326
2	259	-4.93766490087
2	260	-5.26842130244
2	261	-4.69076735614
2	262	-4.62217517673
2	263	-18.7486860381
2	264	-4.37285067326
2	265	-4.93766490087
2	266	-5.26842130244
2	267	-4.94015021539
2	268	-4.37127898241
2	269	-8.75025926114
2	270	-14.7307423731
2	271	-4.37127898241
2	272	-5.72760227798
2	273	-4.37285067326
2	274	-4.93766490087
2	275	-5.26842130244
2	276	-4.37285067326
2	277	-10.2719785574
2	278	-14.6175995028
2	279	-4.37285067326
2	280	-13.7314317493
2	281	-8.00983453454
2	282	-4.37285067326
2	283	-4.93766490087
2	284	-5.26842130244
2	285	-4.94015021539
2	286	-4.62217517673
2	287	-5.85695948725
2	288	-4.62409756182
2	289	-4.62217517673
2	290	-15.7827872618
2	291	-4.62409756182
2	292	-4.62217517673
2	293	-16.6986042366
2	294	-4.62409756182
2	295	-4.37127898241
2	296	-5.26842130244
2	297	-4.37285067326
2	298	-4.93766490087
2	299	-5.26842130244
2	300	-4.62409756182
2	301	-4.62217517673
2	302	-5.26842130244
2	303	-4.37285067326
2	304	-4.93766490087
2	305	-5.26842130244
2	306	-4.69076735614
2	307	-4.68873906631
2	308	-9.02747464508
2	309	-4.37285067326
2	310	-4.37127898241
2	311	-5.72760227798
2	312	-4.37285067326
2	313	-4.93766490087
2	314	-10.1893794729
2	315	-4.94015021539
2	316	-4.37127898241
2	317	-15.9194680492
2	318	-10.9622287853
2	319	-13.12277431
2	320	-5.72760227798
2	321	-4.37285067326
2	322	-10.2719785574
2	323	-13.7963479029
2	324	-4.94015021539
2	325	-4.68873906631
2	326	-5.85695948725
2	327	-13.1698145245
2	328	-4.62217517673
2	329	-13.337129557
2	330	-4.62409756182
2	331	-4.62217517673
2	332	-11.3175461594
2	333	-4.94015021539
2	334	-13.4701236111
2	335	-16.6910937595
2	336	-4.94015021539
2	337	-13.3632096066
2	338	-14.8784337564
2	339	-4.94015021539
2	340	-4.62217517673
2	341	-16.231569545
2	342	-4.94015021539
2	343	-4.62217517673
2	344	-17.090681627
2	345	-4.37285067326
2	346	-4.37127898241
2	347	-6.37641464434
2	348	-4.37285067326
2	349	-4.37127898241
2	350	-11.936578208
