#Site1	Site2	lnL	
0	1	-2.93149415787
0	2	-3.35882161911
0	3	-3.3588281765
0	4	-3.00364927708
0	5	-11.3453385161
0	6	-2.79742703453
0	7	-3.35884776684
0	8	-2.79743229882
0	9	-2.93152938467
0	10	-2.79743650699
0	11	-3.00367326308
0	12	-3.35886252082
0	13	-3.35886462587
0	14	-2.93153971302
0	15	-3.35886822236
0	16	-3.00368203328
0	17	-2.93154373599
0	18	-2.79744662612
0	19	-3.00368547036
0	20	-13.0079680877
0	21	-7.59450979889
0	22	-9.67091369225
0	23	-23.8573839286
0	24	-2.79745025103
0	25	-3.00368985994
0	26	-22.2921306034
0	27	-2.79745138707
0	28	-2.79745169582
0	29	-10.96037745
0	30	-3.00369195077
0	31	-3.00369225748
0	32	-11.3290321321
0	33	-3.3588814999
0	34	-3.00369301397
0	35	-2.93155317037
0	36	-2.79745331388
0	37	-2.7974534399
0	38	-9.86947969192
0	39	-2.93155378573
0	40	-3.00369399258
0	41	-9.34410023986
0	42	-3.35888305366
0	43	-3.00369430256
0	44	-23.2436048624
0	45	-2.93155435308
0	46	-3.00369453303
0	47	-10.5310987138
0	48	-3.35888353804
0	49	-3.00369470443
0	50	-2.93155462651
0	51	-3.00369479354
0	52	-3.35888373361
0	53	-2.93155473638
0	54	-3.35888380601
0	55	-3.35888383719
0	56	-14.8655634656
0	57	-2.93155484042
0	58	-3.00369499736
0	59	-11.8133734449
0	60	-2.93155489553
0	61	-2.79745453972
0	62	-15.638773635
0	63	-2.93155493655
0	64	-2.93155494774
0	65	-8.00524526329
0	66	-3.00369510929
0	67	-3.35888404606
0	68	-2.93155498295
0	69	-3.35888406258
0	70	-2.93155499599
0	71	-12.3257392937
0	72	-2.9315550067
0	73	-3.00369515581
0	74	-7.72450605813
0	75	-2.93155501928
0	76	-2.93155502271
0	77	-3.00369517107
0	78	-2.79745463234
0	79	-2.79745463434
0	80	-3.35888411279
0	81	-2.79745463781
0	82	-2.7974546393
0	83	-3.00369518518
0	84	-2.79745464188
0	85	-3.00369518831
0	86	-3.00369518966
0	87	-2.79745464491
0	88	-3.35888412681
0	89	-10.7406242203
0	90	-3.3588841289
0	91	-2.79745464778
0	92	-2.79745464833
0	93	-2.79745464884
0	94	-3.00369519677
0	95	-20.6010249226
0	96	-3.35888413318
0	97	-3.00369519829
0	98	-2.9315550521
0	99	-3.00369519908
0	100	-2.79745465127
0	101	-2.7974546515
0	102	-3.35888413556
0	103	-3.00369520026
0	104	-13.9066924014
0	105	-9.86959980999
0	106	-2.93155505418
0	107	-10.1327068706
0	108	-9.68268814325
0	109	-14.7630041123
0	110	-11.4427536588
0	111	-3.35888413729
0	112	-3.3588841374
0	113	-2.93155505504
0	114	-2.93155505512
0	115	-3.35888413769
0	116	-3.35888413776
0	117	-7.87558064519
0	118	-2.79745465331
0	119	-9.61481365199
0	120	-7.59457989891
0	121	-2.93155505551
0	122	-12.4702401764
0	123	-7.79506441292
0	124	-9.67097841144
0	125	-19.5286981424
0	126	-2.79745465353
0	127	-2.79745465355
0	128	-3.35888413828
0	129	-3.3588841383
0	130	-3.00369520253
0	131	-12.0851808097
0	132	-3.00369520257
0	133	-2.79745465363
0	134	-2.79745465364
0	135	-2.79745465365
0	136	-2.79745465365
0	137	-12.2321487342
0	138	-2.93155505583
0	139	-2.79745465367
0	140	-7.73589405332
0	141	-2.93155505585
0	142	-2.93155505586
0	143	-3.35888413845
0	144	-3.35888413846
0	145	-2.79745465369
0	146	-22.5745588111
0	147	-3.00369520267
0	148	-2.7974546537
0	149	-12.4947818816
0	150	-3.35888413848
0	151	-2.93155505589
0	152	-10.1158152415
0	153	-2.93155505589
0	154	-2.93155505589
0	155	-8.00524487288
0	156	-3.35888413849
0	157	-2.79745465371
0	158	-14.5138963851
0	159	-3.0036952027
0	160	-2.79745465372
0	161	-12.0615569657
0	162	-9.79993883304
0	163	-2.79745465372
0	164	-7.92479214454
0	165	-2.79745465372
0	166	-3.3588841385
0	167	-2.79745465372
0	168	-3.3588841385
0	169	-3.0036952027
0	170	-19.5484176186
0	171	-2.79745465372
0	172	-2.93155505591
0	173	-11.4338503795
0	174	-3.0036952027
0	175	-3.0036952027
0	176	-13.4987127709
0	177	-2.93155505591
0	178	-2.93155505591
0	179	-7.73659292628
0	180	-2.79745465372
0	181	-3.3588841385
0	182	-2.79745465372
0	183	-2.79745465372
0	184	-3.3588841385
0	185	-2.79745465372
0	186	-2.93155505591
0	187	-2.93155505591
0	188	-16.881312845
0	189	-2.79745465372
0	190	-2.79745465372
0	191	-3.00369520271
0	192	-2.93155505591
0	193	-3.00369520271
0	194	-14.1260451511
0	195	-2.93155505591
0	196	-3.00369520271
0	197	-11.8155238321
0	198	-2.79745465372
0	199	-2.93155505591
0	200	-13.5299404262
0	201	-3.35888413851
0	202	-3.35888413851
0	203	-2.93155505591
0	204	-2.79745465372
0	205	-3.35888413851
0	206	-2.79745465372
0	207	-2.79745465372
0	208	-3.00369520271
0	209	-13.871051849
0	210	-3.35888413851
0	211	-3.00369520271
0	212	-13.7246756441
0	213	-3.00369520271
0	214	-2.79745465372
0	215	-2.79745465372
0	216	-3.35888413851
0	217	-3.35888413851
0	218	-2.93155505591
0	219	-2.79745465372
0	220	-2.79745465372
0	221	-3.35888413851
0	222	-3.35888413851
0	223	-2.79745465372
0	224	-2.79745465372
0	225	-2.93155505591
0	226	-2.93155505591
0	227	-17.2561385257
0	228	-3.35888413851
0	229	-3.35888413851
0	230	-2.93155505591
0	231	-3.35888413851
0	232	-2.93155505591
0	233	-7.73589405307
0	234	-2.79745465372
0	235	-3.00369520271
0	236	-3.00369520271
0	237	-2.79745465372
0	238	-2.79745465372
0	239	-7.99941991136
0	240	-3.35888413851
0	241	-3.00369520271
0	242	-12.5043961454
0	243	-2.79745465372
0	244	-3.35888413851
0	245	-2.79745465372
0	246	-2.93155505591
0	247	-3.35888413851
0	248	-3.35888413851
0	249	-3.00369520271
0	250	-3.00369520271
0	251	-16.5552846249
0	252	-3.35888413851
0	253	-3.00369520271
0	254	-12.504699318
0	255	-2.79745465372
0	256	-2.79745465372
0	257	-9.18760177773
0	258	-2.93155505591
0	259	-3.00369520271
0	260	-2.93155505591
0	261	-3.35888413851
0	262	-2.93155505591
0	263	-7.59457990292
0	264	-2.79745465372
0	265	-2.79745465372
0	266	-3.35888413851
0	267	-2.93155505591
0	268	-2.93155505591
0	269	-12.3385512425
0	270	-3.35888413851
0	271	-2.93155505591
0	272	-12.504699318
0	273	-3.00369520271
0	274	-2.79745465372
0	275	-2.79745465372
0	276	-3.35888413851
0	277	-3.35888413851
0	278	-7.72450589018
0	279	-2.93155505591
0	280	-2.93155505591
0	281	-8.00524487282
0	282	-12.5149581717
0	283	-2.93155505591
0	284	-8.00524487282
0	285	-3.00369520271
0	286	-2.79745465372
0	287	-2.79745465372
0	288	-2.79745465372
0	289	-2.79745465372
0	290	-15.1664246194
0	291	-3.35888413851
0	292	-3.00369520271
0	293	-23.4009386396
0	294	-3.35888413851
0	295	-3.00369520271
0	296	-2.93155505591
0	297	-3.35888413851
0	298	-3.00369520271
0	299	-3.00369520271
0	300	-2.79745465372
0	301	-2.79745465372
0	302	-15.356763072
0	303	-3.35888413851
0	304	-3.00369520271
0	305	-2.93155505591
0	306	-3.35888413851
0	307	-2.79745465372
0	308	-2.79745465372
0	309	-3.35888413851
0	310	-3.00369520271
0	311	-2.93155505591
0	312	-2.79745465372
0	313	-2.79745465372
0	314	-14.1438655946
0	315	-3.35888413851
0	316	-3.35888413851
0	317	-2.93155505591
0	318	-9.34397781808
0	319	-2.93155505591
0	320	-14.1527714008
0	321	-3.35888413851
0	322	-2.79745465372
0	323	-7.59457990292
0	324	-7.87558065069
0	325	-10.2743104229
0	326	-12.5043961454
0	327	-2.79745465372
0	328	-3.00369520271
0	329	-11.442753606
0	330	-2.79745465372
0	331	-7.9184627341
0	332	-11.676309481
0	333	-12.059153759
0	334	-2.93155505591
0	335	-11.2339903738
0	336	-2.93155505591
0	337	-11.8330728263
0	338	-3.00369520271
0	339	-9.93940046537
0	340	-2.93155505591
0	341	-7.72450589018
0	342	-2.93155505591
0	343	-3.00369520271
0	344	-2.93155505591
0	345	-3.00369520271
0	346	-2.79745465372
0	347	-10.9064610667
0	348	-2.79745465372
0	349	-2.93155505591
0	350	-12.4229836335
0	351	-3.00369520271
0	352	-2.79745465372
0	353	-2.79745465372
0	354	-3.35888413851
0	355	-2.93155505591
0	356	-7.59457990292
0	357	-2.79745465372
0	358	-2.79745465372
0	359	-3.00369520271
0	360	-3.00369520271
0	361	-2.79745465372
0	362	-2.79745465372
0	363	-3.35888413851
0	364	-3.00369520271
0	365	-9.72835468351
0	366	-3.00369520271
0	367	-3.00369520271
0	368	-2.79745465372
0	369	-2.79745465372
0	370	-2.79745465372
0	371	-3.35888413851
0	372	-3.00369520271
0	373	-2.79745465372
0	374	-2.79745465372
0	375	-2.79745465372
0	376	-3.35888413851
0	377	-2.79745465372
0	378	-2.79745465372
0	379	-3.35888413851
0	380	-2.79745465372
0	381	-2.79745465372
0	382	-3.35888413851
0	383	-2.79745465372
0	384	-2.79745465372
0	385	-3.00369520271
0	386	-2.93155505591
0	387	-2.93155505591
0	388	-11.7108704581
0	389	-3.00369520271
0	390	-2.79745465372
0	391	-3.35888413851
0	392	-2.79745465372
0	393	-3.35888413851
0	394	-3.00369520271
0	395	-11.8155238321
0	396	-3.00369520271
0	397	-2.79745465372
0	398	-12.4562135827
0	399	-3.35888413851
0	400	-3.35888413851
0	401	-2.93155505591
0	402	-2.79745465372
0	403	-3.35888413851
0	404	-2.79745465372
0	405	-2.79745465372
0	406	-2.93155505591
0	407	-12.5016231181
0	408	-2.79745465372
0	409	-2.79745465372
0	410	-3.00369520271
0	411	-2.79745465372
0	412	-2.79745465372
0	413	-12.2814758471
0	414	-2.93155505591
0	415	-2.79745465372
0	416	-3.00369520271
0	417	-3.35888413851
0	418	-2.79745465372
0	419	-2.79745465372
0	420	-2.93155505591
