#Site	lnL	
0	-3.26788800837
1	-3.1409739731
2	-11.1581038418
3	-3.26788800837
4	-8.17681999752
5	-4.80445500004
6	-3.18622175427
7	-3.22094056486
8	-4.65613213235
9	-3.72474171428
10	-3.61227552364
11	-13.0580070635
12	-3.72474171428
13	-3.22094056486
14	-5.85680169119
15	-3.18622175427
16	-3.22094056486
17	-5.85680169119
18	-3.26788800837
19	-3.1409739731
20	-4.80445500004
21	-7.67613497418
22	-3.61227552364
23	-8.88970148637
24	-3.26788800837
25	-3.1409739731
26	-4.65613213235
27	-3.18622175427
28	-3.1409739731
29	-18.9351063662
30	-3.67725764349
31	-3.65524469964
32	-10.7515821211
33	-3.67725764349
34	-3.1409739731
35	-11.19930969
36	-3.67725764349
37	-3.65524469964
38	-16.0498252975
39	-3.67725764349
40	-3.22094056486
41	-7.03718274998
42	-3.26788800837
43	-3.1409739731
44	-4.80445500004
45	-3.18622175427
46	-3.22094056486
47	-12.4927514558
48	-3.18622175427
49	-3.65524469964
50	-10.5221309769
51	-10.8430062584
52	-3.1409739731
53	-4.65613213235
54	-3.18622175427
55	-3.1409739731
56	-4.65613213235
57	-3.26788800837
58	-3.1409739731
59	-12.6574855674
60	-3.26788800837
61	-3.65524469964
62	-4.80445500004
63	-7.49592637721
64	-3.22094056486
65	-10.8096932814
66	-3.72474171428
67	-8.51165550928
68	-17.9566076006
69	-3.72474171428
70	-3.1409739731
71	-6.63036974025
72	-3.26788800837
73	-3.1409739731
74	-4.65613213235
75	-3.67725764349
76	-3.1409739731
77	-7.4227566052
78	-3.18622175427
79	-3.22094056486
80	-10.0736627098
81	-9.79723414771
82	-11.5604679425
83	-5.85680169119
84	-3.67725764349
85	-3.1409739731
86	-9.238729087
87	-3.67725764349
88	-3.22094056486
89	-7.85507218045
90	-11.0245037673
91	-3.1409739731
92	-7.69962862153
93	-3.72474171428
94	-3.22094056486
95	-6.42086753295
96	-3.72474171428
97	-3.65524469964
98	-7.54328365689
99	-3.67725764349
100	-3.65524469964
101	-7.44346501337
102	-3.18622175427
103	-3.22094056486
104	-8.95252405036
105	-3.72474171428
106	-3.1409739731
107	-8.44248604654
108	-3.67725764349
109	-3.22094056486
110	-7.44346501337
111	-3.72474171428
112	-10.2598254261
113	-10.773570285
114	-8.94872858822
115	-8.19903275416
116	-13.8991724295
117	-3.26788800837
118	-3.22094056486
119	-9.94622413061
120	-3.72474171428
121	-3.1409739731
122	-4.65613213235
123	-3.18622175427
124	-3.1409739731
125	-6.3196657014
126	-3.26788800837
127	-3.22094056486
128	-4.80445500004
129	-8.03246910036
130	-3.65524469964
131	-8.35978831369
132	-3.67725764349
133	-3.1409739731
134	-10.714285333
135	-3.67725764349
136	-3.22094056486
137	-6.76167152749
138	-3.26788800837
139	-3.1409739731
140	-7.26608603032
141	-11.7432252124
142	-8.48115707509
143	-14.4571418185
144	-3.18622175427
145	-3.22094056486
146	-7.03718274998
147	-3.18622175427
148	-10.304474491
149	-11.850175444
150	-3.72474171428
151	-3.65524469964
152	-4.80445500004
153	-3.67725764349
154	-3.65524469964
155	-7.48145819461
156	-10.0007006371
157	-3.22094056486
158	-6.76167152749
159	-3.26788800837
160	-3.61227552364
161	-17.4122766061
162	-3.18622175427
163	-3.22094056486
164	-4.80445500004
165	-10.2398143606
166	-3.61227552364
167	-4.80445500004
168	-3.26788800837
169	-3.61227552364
170	-5.85680169119
171	-3.18622175427
172	-14.6672567198
173	-8.40554180769
174	-3.26788800837
175	-3.22094056486
176	-7.50743066762
177	-3.26788800837
178	-3.65524469964
179	-7.44346501337
180	-3.26788800837
181	-3.22094056486
182	-7.60089294194
183	-3.18622175427
184	-3.61227552364
185	-15.3622919481
186	-3.18622175427
187	-3.65524469964
188	-7.14785105901
189	-3.72474171428
190	-3.61227552364
191	-4.80445500004
192	-3.18622175427
193	-3.61227552364
194	-10.2577867268
195	-3.67725764349
196	-3.61227552364
197	-8.44248604654
198	-3.72474171428
199	-3.65524469964
200	-11.9307289709
201	-3.26788800837
202	-14.6835373932
203	-4.65613213235
204	-3.18622175427
205	-3.22094056486
206	-11.0836461585
207	-3.72474171428
208	-3.1409739731
209	-5.85680169119
210	-3.26788800837
211	-3.65524469964
212	-4.65613213235
213	-3.26788800837
214	-3.22094056486
215	-8.58775494503
216	-3.18622175427
217	-3.22094056486
218	-7.03718274998
219	-3.26788800837
220	-3.65524469964
221	-12.9596736236
222	-3.67725764349
223	-3.1409739731
224	-4.65613213235
225	-3.72474171428
226	-3.65524469964
227	-6.05872910426
228	-3.26788800837
229	-3.61227552364
230	-7.14785105901
231	-3.26788800837
232	-3.1409739731
233	-11.5304661043
234	-3.26788800837
235	-3.22094056486
236	-8.44248604654
237	-3.67725764349
238	-3.65524469964
239	-7.03718274998
240	-3.18622175427
241	-3.1409739731
242	-10.1881440388
243	-3.26788800837
244	-3.65524469964
245	-9.01734192491
246	-3.18622175427
247	-3.65524469964
248	-14.2992123125
249	-3.72474171428
250	-3.22094056486
251	-12.8480846736
252	-3.26788800837
253	-3.61227552364
254	-10.7681915672
255	-3.67725764349
256	-3.61227552364
257	-7.58913155558
258	-3.26788800837
259	-3.1409739731
260	-8.22510471851
261	-3.18622175427
262	-3.65524469964
263	-6.7398253136
264	-3.18622175427
265	-3.1409739731
266	-6.42086753295
267	-9.95823691063
268	-3.22094056486
269	-6.05872910426
270	-3.67725764349
271	-3.65524469964
272	-4.65613213235
273	-3.18622175427
274	-3.61227552364
275	-11.7351207838
276	-12.5089431786
277	-3.22094056486
278	-5.85680169119
279	-3.26788800837
280	-3.61227552364
281	-5.85680169119
282	-3.26788800837
283	-3.1409739731
284	-7.03718274998
285	-7.67613497418
286	-3.22094056486
287	-4.65613213235
288	-3.18622175427
289	-3.1409739731
290	-13.5049557532
291	-3.72474171428
292	-3.61227552364
293	-8.22510471851
294	-3.18622175427
295	-3.1409739731
296	-5.85680169119
297	-7.68351894299
298	-3.1409739731
299	-5.85680169119
300	-3.26788800837
301	-3.1409739731
302	-8.24160281675
303	-3.18622175427
304	-3.22094056486
305	-7.8754076599
306	-3.26788800837
307	-3.22094056486
308	-16.9413501847
309	-10.1924844143
310	-3.22094056486
311	-9.89517268846
312	-3.67725764349
313	-3.65524469964
314	-4.65613213235
315	-3.18622175427
316	-3.1409739731
317	-9.56925365384
318	-3.18622175427
319	-3.1409739731
320	-5.85680169119
321	-3.72474171428
322	-3.1409739731
323	-4.65613213235
324	-3.18622175427
325	-3.22094056486
326	-9.30340056323
327	-3.72474171428
328	-3.1409739731
329	-7.54328365689
330	-3.72474171428
331	-3.22094056486
332	-9.03277365668
333	-3.18622175427
334	-3.1409739731
335	-5.85680169119
336	-3.26788800837
337	-3.22094056486
338	-10.1608142343
339	-3.72474171428
340	-3.65524469964
341	-8.35978831369
342	-3.26788800837
343	-3.1409739731
344	-8.47405503378
345	-3.72474171428
346	-3.65524469964
347	-7.8754076599
348	-3.72474171428
349	-3.1409739731
350	-6.42086753295
351	-3.72474171428
352	-3.1409739731
353	-4.65613213235
354	-3.26788800837
355	-3.22094056486
356	-8.11644287947
357	-3.26788800837
358	-3.1409739731
359	-7.58913155558
360	-3.26788800837
361	-3.65524469964
362	-6.3196657014
363	-3.67725764349
364	-3.61227552364
365	-9.41263746471
366	-3.26788800837
367	-3.65524469964
368	-9.31775124969
369	-3.72474171428
370	-3.22094056486
371	-7.54328365689
372	-3.67725764349
373	-3.61227552364
374	-16.0109804459
375	-3.67725764349
376	-3.22094056486
377	-8.47405503378
378	-3.18622175427
379	-3.22094056486
380	-13.2213508394
381	-9.79723414771
382	-3.65524469964
383	-7.54328365689
384	-3.18622175427
385	-3.1409739731
386	-10.7109105649
387	-3.72474171428
388	-3.1409739731
389	-12.4366349555
390	-3.67725764349
391	-3.22094056486
392	-15.2862211427
393	-3.18622175427
394	-3.22094056486
395	-9.35375371442
396	-3.18622175427
397	-3.22094056486
398	-9.20828511362
399	-3.72474171428
400	-9.10488660858
401	-12.1558661831
402	-11.732121725
403	-3.65524469964
404	-12.4594026842
405	-3.72474171428
406	-3.22094056486
407	-9.94123320058
408	-9.91336242402
409	-3.22094056486
410	-4.80445500004
411	-3.72474171428
412	-3.65524469964
413	-4.65613213235
414	-3.26788800837
415	-3.65524469964
416	-8.01870986023
417	-3.26788800837
418	-3.1409739731
419	-8.51631092286
420	-3.67725764349
421	-10.3294785232
422	-4.80445500004
423	-3.18622175427
424	-3.65524469964
425	-6.83158208712
426	-3.18622175427
427	-3.22094056486
428	-9.9246341931
429	-3.67725764349
430	-3.1409739731
431	-7.03718274998
432	-3.18622175427
433	-3.61227552364
434	-4.80445500004
435	-3.67725764349
436	-3.1409739731
437	-4.80445500004
438	-3.26788800837
439	-3.22094056486
440	-9.56366177822
441	-3.67725764349
442	-3.61227552364
443	-4.65613213235
444	-3.72474171428
445	-3.22094056486
446	-4.65613213235
447	-3.26788800837
448	-3.22094056486
449	-11.3229722937
450	-3.18622175427
451	-3.1409739731
452	-9.79286844347
453	-3.18622175427
454	-3.1409739731
455	-9.92830341301
456	-3.18622175427
457	-3.22094056486
458	-8.51631092286
459	-3.18622175427
460	-3.22094056486
461	-8.14750407194
462	-3.18622175427
463	-3.1409739731
464	-12.2856561017
465	-3.26788800837
466	-3.61227552364
467	-6.42086753295
468	-15.0369117477
469	-3.1409739731
470	-9.2646555209
471	-3.26788800837
472	-3.22094056486
473	-4.80445500004
474	-3.18622175427
475	-3.61227552364
476	-13.9055566523
477	-3.67725764349
478	-3.22094056486
479	-8.92748717251
480	-3.18622175427
481	-3.22094056486
482	-14.8325203108
483	-3.26788800837
484	-3.1409739731
485	-6.7398253136
486	-3.26788800837
487	-3.22094056486
488	-7.14785105901
