#Site1	Site2	lnL	
0	1	-2.84337848874
0	2	-4.7019240527
0	3	-3.09392070843
0	4	-3.00836977471
0	5	-7.40290474353
0	6	-3.0939687794
0	7	-3.00839698624
0	8	-3.99574330363
0	9	-2.89343115217
0	10	-2.82603454447
0	11	-5.86550315586
0	12	-3.09403944239
0	13	-2.82604891036
0	14	-3.99607421542
0	15	-3.09406600983
0	16	-2.82606093335
0	17	-3.99620211893
0	18	-2.91901976483
0	19	-2.84349315398
0	20	-9.36556431671
0	21	-2.91903663422
0	22	-3.00847651549
0	23	-12.2047508518
0	24	-2.89352290243
0	25	-2.82608731959
0	26	-3.99648834568
0	27	-3.25784462841
0	28	-3.00849430092
0	29	-5.50981220136
0	30	-3.25785727175
0	31	-3.00850152077
0	32	-9.06751380999
0	33	-2.89355251255
0	34	-2.82610452121
0	35	-6.45652035947
0	36	-3.25787812316
0	37	-3.00851345306
0	38	-10.0346796342
0	39	-3.25788676253
0	40	-3.00851840608
0	41	-4.14922879124
0	42	-3.25789443316
0	43	-3.00852280813
0	44	-11.7192725582
0	45	-3.25790126556
0	46	-3.00852673259
0	47	-11.9835894752
0	48	-8.79155555649
0	49	-2.84355033994
0	50	-7.85106838212
0	51	-3.25791283375
0	52	-3.0085333846
0	53	-5.51050347281
0	54	-3.25791773871
0	55	-3.17072930088
0	56	-4.14940646318
0	57	-3.25792214963
0	58	-3.17073188319
0	59	-4.14943204965
0	60	-2.89359726808
0	61	-2.8261306705
0	62	-4.70417909706
0	63	-2.8936000465
0	64	-2.82613229953
0	65	-10.5726146556
0	66	-2.91914034364
0	67	-3.0085449729
0	68	-11.9544154313
0	69	-2.89360482874
0	70	-2.82613510494
0	71	-8.15830389061
0	72	-2.89360688643
0	73	-2.82613631262
0	74	-4.70426405253
0	75	-2.89360875229
0	76	-2.82613740802
0	77	-4.70428060324
0	78	-2.91914917893
0	79	-3.17074418257
0	80	-4.70429564506
0	81	-2.91915090198
0	82	-3.00855199416
0	83	-10.4601618477
0	84	-2.89361338282
0	85	-2.82614012773
0	86	-10.0575830368
0	87	-2.89361465519
0	88	-2.82614087535
0	89	-8.16883033865
0	90	-8.62466932781
0	91	-9.23151432318
0	92	-4.49989194203
0	93	-9.45067943533
0	94	-9.73291631125
0	95	-10.8275749879
0	96	-2.89361782998
0	97	-2.82614274137
0	98	-14.4761342906
0	99	-3.25795378794
0	100	-2.82614325677
0	101	-4.49991711047
0	102	-2.89361950629
0	103	-7.8265083658
0	104	-6.21621670323
0	105	-3.25795576131
0	106	-3.00855814762
0	107	-5.51094012489
0	108	-9.11176839922
0	109	-9.2149869151
0	110	-7.41353149324
0	111	-3.09424909745
0	112	-2.82614490559
0	113	-12.1851656014
0	114	-3.2579581226
0	115	-3.00855951324
0	116	-11.4181980839
0	117	-3.25795877763
0	118	-2.84357652383
0	119	-10.1657861959
0	120	-6.62125031674
0	121	-2.84357682964
0	122	-11.7795592539
0	123	-2.91916375735
0	124	-2.84357710921
0	125	-10.3779792157
0	126	-3.25796042385
0	127	-2.82614628166
0	128	-13.6599059898
0	129	-3.09425251506
0	130	-2.82614649031
0	131	-3.99716001475
0	132	-3.25796129991
0	133	-2.82614668116
0	134	-7.8276216638
0	135	-2.8936248252
0	136	-2.82614685575
0	137	-15.1795974752
0	138	-2.91916558858
0	139	-9.73483758865
0	140	-8.83871379856
0	141	-3.25796235353
0	142	-2.82614716168
0	143	-7.89125936646
0	144	-2.89362557241
0	145	-3.17075565119
0	146	-10.2769613321
0	147	-2.89362578048
0	148	-2.84357863796
0	149	-4.49997889184
0	150	-8.62483885589
0	151	-8.9601728494
0	152	-8.06501685875
0	153	-2.89362614528
0	154	-2.82614763262
0	155	-11.92829147
0	156	-3.25796359196
0	157	-2.82614772657
0	158	-10.6783590346
0	159	-3.25796378053
0	160	-2.84357908016
0	161	-15.7833876608
0	162	-3.09425553554
0	163	-3.0085628868
0	164	-3.99717644565
0	165	-2.89362670741
0	166	-3.00856297831
0	167	-5.51102525913
0	168	-2.91916751844
0	169	-2.82614802953
0	170	-7.95753076183
0	171	-2.8936269224
0	172	-3.17075667584
