#Site	lnL	
0	-1.38457076889
1	-1.39512259276
2	-2.58892126905
3	-1.73042830968
4	-1.69956328918
5	-2.11800929079
6	-1.38457076889
7	-1.39512259276
8	-2.11800929079
9	-1.42035500718
10	-1.62478044885
11	-2.11800929079
12	-1.6548284473
13	-1.69956328918
14	-2.11800929079
15	-1.73042830968
16	-1.36068866188
17	-5.48635291022
18	-1.42035500718
19	-1.62478044885
20	-2.11800929079
21	-1.6548284473
22	-1.69956328918
23	-2.11800929079
24	-1.6548284473
25	-1.36068866188
26	-5.64535496629
27	-1.38457076889
28	-1.36068866188
29	-2.0447704128
30	-1.38457076889
31	-1.69956328918
32	-2.0447704128
33	-7.8255289009
34	-1.62478044885
35	-16.2400846315
36	-1.73042830968
37	-1.62478044885
38	-9.12600609905
39	-1.38457076889
40	-1.62478044885
41	-17.0385612908
42	-1.73042830968
43	-1.69956328918
44	-2.11800929079
45	-1.73042830968
46	-1.62478044885
47	-8.1921101977
48	-1.38457076889
49	-1.36068866188
50	-9.16688401765
51	-1.6548284473
52	-1.69956328918
53	-2.11800929079
54	-1.73042830968
55	-1.62478044885
56	-2.11800929079
57	-1.6548284473
58	-1.36068866188
59	-2.0447704128
60	-1.42035500718
61	-1.39512259276
62	-2.48920871133
63	-1.38457076889
64	-1.69956328918
65	-2.0447704128
66	-1.38457076889
67	-1.36068866188
68	-2.58892126905
69	-1.38457076889
70	-1.36068866188
71	-2.58892126905
72	-1.38457076889
73	-1.69956328918
74	-2.0447704128
75	-1.38457076889
76	-1.36068866188
77	-2.58892126905
78	-1.42035500718
79	-1.39512259276
80	-9.24911066574
81	-1.73042830968
82	-1.36068866188
83	-2.0447704128
84	-1.42035500718
85	-1.39512259276
86	-6.10625757433
87	-1.73042830968
88	-1.69956328918
89	-11.9550939679
90	-1.6548284473
91	-1.69956328918
92	-2.11800929079
93	-1.6548284473
94	-1.36068866188
95	-2.0447704128
96	-1.6548284473
97	-1.62478044885
98	-7.47038768277
99	-1.73042830968
100	-1.62478044885
101	-4.9601935319
102	-1.38457076889
103	-1.36068866188
104	-2.48920871133
105	-1.38457076889
106	-1.62478044885
107	-11.6429948945
108	-1.38457076889
109	-1.36068866188
110	-7.50316742316
111	-1.38457076889
112	-1.39512259276
113	-8.92550892203
114	-1.73042830968
115	-1.69956328918
116	-5.53716531023
117	-1.73042830968
118	-9.67306834269
119	-2.11800929079
120	-1.38457076889
121	-1.36068866188
122	-6.45117479073
123	-1.38457076889
124	-1.69956328918
125	-2.0447704128
126	-1.38457076889
127	-1.39512259276
128	-12.7668207432
129	-1.6548284473
130	-1.36068866188
131	-2.48920871133
132	-8.95438514197
133	-1.62478044885
134	-9.19370151831
135	-1.73042830968
136	-1.39512259276
137	-11.7075313576
138	-1.38457076889
139	-1.69956328918
140	-2.0447704128
141	-1.38457076889
142	-1.62478044885
143	-9.63275148843
144	-1.38457076889
145	-1.69956328918
146	-2.0447704128
147	-1.73042830968
148	-1.69956328918
149	-2.11800929079
150	-1.73042830968
151	-1.69956328918
152	-5.53716531023
153	-1.38457076889
154	-1.36068866188
155	-2.48920871133
156	-1.38457076889
157	-1.36068866188
158	-5.76573845861
159	-1.38457076889
160	-1.36068866188
161	-5.56329404741
162	-1.42035500718
163	-9.13314424032
164	-2.48920871133
165	-1.38457076889
166	-1.69956328918
167	-2.0447704128
168	-1.73042830968
169	-1.62478044885
170	-5.48635291022
171	-11.8077599651
172	-1.39512259276
173	-7.54281074413
174	-1.38457076889
175	-1.69956328918
176	-2.0447704128
177	-1.38457076889
178	-1.39512259276
179	-7.85023476206
180	-1.73042830968
181	-1.36068866188
182	-9.75669379144
183	-1.38457076889
184	-1.62478044885
185	-9.87029950191
186	-1.73042830968
187	-1.69956328918
188	-2.11800929079
189	-1.38457076889
190	-1.36068866188
191	-2.48920871133
192	-1.42035500718
193	-1.39512259276
194	-9.26968600167
195	-1.42035500718
196	-1.62478044885
197	-9.18946335979
198	-1.42035500718
199	-1.69956328918
200	-2.58892126905
201	-1.73042830968
202	-1.62478044885
203	-2.11800929079
204	-1.42035500718
205	-1.62478044885
206	-10.5684627381
207	-1.73042830968
208	-1.36068866188
209	-7.7360298333
210	-1.73042830968
211	-1.69956328918
212	-2.11800929079
213	-6.91593502201
214	-1.39512259276
215	-13.749925917
216	-8.44083873574
217	-1.62478044885
218	-8.46411012705
219	-1.38457076889
220	-5.68532123216
221	-4.49092326777
222	-1.38457076889
223	-1.36068866188
224	-2.58892126905
225	-1.38457076889
226	-1.62478044885
227	-7.47350691713
228	-1.38457076889
229	-1.69956328918
230	-2.0447704128
231	-1.38457076889
232	-1.39512259276
233	-8.89564721518
234	-1.73042830968
235	-1.62478044885
236	-6.21658284016
237	-1.73042830968
238	-1.69956328918
239	-2.11800929079
240	-1.73042830968
241	-1.39512259276
242	-8.98436701605
243	-1.73042830968
244	-1.39512259276
245	-16.2714682325
246	-1.42035500718
247	-1.36068866188
248	-2.48920871133
249	-1.6548284473
250	-1.36068866188
251	-5.53716531023
252	-1.6548284473
253	-1.62478044885
254	-2.0447704128
255	-1.42035500718
256	-1.62478044885
257	-9.91034213775
258	-1.38457076889
259	-1.36068866188
260	-2.48920871133
261	-1.38457076889
262	-1.36068866188
263	-6.21658284016
264	-1.73042830968
265	-1.36068866188
266	-2.0447704128
267	-1.42035500718
268	-1.39512259276
269	-5.7159796975
270	-1.73042830968
271	-1.39512259276
272	-12.1932698995
273	-1.38457076889
274	-1.69956328918
275	-2.0447704128
276	-1.38457076889
277	-1.62478044885
278	-10.3951797442
279	-1.38457076889
280	-1.36068866188
281	-2.48920871133
282	-1.38457076889
283	-1.62478044885
284	-4.28266562131
285	-1.42035500718
286	-1.39512259276
287	-12.5946355897
288	-1.38457076889
289	-1.62478044885
290	-5.25999996613
291	-1.38457076889
292	-1.36068866188
293	-2.58892126905
294	-1.73042830968
295	-1.62478044885
296	-2.11800929079
297	-1.73042830968
298	-1.62478044885
299	-6.76518270322
300	-12.9748322371
301	-1.39512259276
302	-9.06437569972
303	-1.73042830968
304	-1.39512259276
305	-11.3311170142
306	-1.6548284473
307	-1.36068866188
308	-2.0447704128
309	-1.38457076889
310	-1.39512259276
311	-4.28266562131
312	-1.73042830968
313	-1.36068866188
314	-2.11800929079
315	-1.73042830968
316	-1.62478044885
317	-9.34054780034
318	-1.38457076889
319	-1.62478044885
320	-2.11800929079
321	-1.6548284473
322	-1.62478044885
323	-2.0447704128
324	-1.42035500718
325	-1.39512259276
326	-2.48920871133
327	-1.38457076889
328	-9.53938616716
329	-7.36560194031
330	-1.6548284473
331	-1.36068866188
332	-2.0447704128
333	-1.42035500718
334	-1.69956328918
335	-2.58892126905
336	-1.42035500718
337	-9.13347308336
338	-2.48920871133
339	-1.73042830968
340	-1.36068866188
341	-2.0447704128
342	-8.46239244757
343	-1.62478044885
344	-2.11800929079
345	-1.6548284473
346	-1.36068866188
347	-16.2150447626
348	-1.42035500718
349	-1.36068866188
350	-2.48920871133
351	-1.73042830968
352	-1.69956328918
353	-6.09762484997
354	-1.6548284473
355	-1.36068866188
356	-2.0447704128
357	-13.4720178729
358	-16.4874734185
359	-10.1559720786
360	-6.66150198597
361	-1.39512259276
362	-10.3784768852
363	-1.73042830968
364	-1.69956328918
365	-2.11800929079
366	-1.38457076889
367	-1.36068866188
368	-2.58892126905
369	-1.38457076889
370	-1.36068866188
371	-2.58892126905
372	-1.38457076889
373	-6.87284778022
374	-6.35004042636
375	-14.0878824205
376	-14.7391988398
377	-4.42362069478
378	-1.38457076889
379	-1.36068866188
380	-2.58892126905
381	-1.73042830968
382	-1.36068866188
383	-10.3492148189
384	-1.73042830968
385	-8.51430147592
386	-10.3492148189
387	-1.73042830968
388	-8.51430147592
389	-6.86111749362
390	-11.0917339786
391	-8.53366363005
392	-18.25117165
393	-13.8676855062
394	-1.39512259276
395	-6.7556587218
396	-13.6721175419
397	-18.0785968411
398	-6.76518270322
399	-1.38457076889
400	-1.36068866188
401	-2.58892126905
402	-7.5123183067
403	-11.4318571751
404	-9.61415596085
405	-1.38457076889
406	-5.68532123216
407	-7.63764960099
408	-1.38457076889
409	-1.36068866188
410	-9.14786658751
411	-8.46239244757
412	-1.62478044885
413	-2.11800929079
414	-1.73042830968
415	-1.36068866188
416	-2.0447704128
417	-1.38457076889
418	-6.31115054873
419	-4.86024062926
420	-1.38457076889
421	-1.36068866188
422	-12.4412230501
423	-1.42035500718
424	-1.69956328918
425	-2.58892126905
426	-1.73042830968
427	-1.62478044885
428	-5.53716531023
429	-1.73042830968
430	-1.62478044885
431	-6.21658284016
432	-1.38457076889
433	-1.69956328918
434	-2.0447704128
435	-7.85044648074
436	-1.62478044885
437	-2.11800929079
438	-1.73042830968
