#Site	lnL	
0	-4.55636647138
1	-6.0676813533
2	-12.7018698659
3	-8.20357797624
4	-6.09561366221
5	-5.68322482617
6	-22.6483891296
7	-8.21852152244
8	-11.404667967
9	-11.6470768035
10	-11.5284297371
11	-5.52252697813
12	-19.314860554
13	-9.15559331928
14	-11.8054518014
15	-5.52252697813
16	-11.8226070407
17	-6.04409291072
18	-6.09117545646
19	-9.45505367626
20	-13.2189012406
21	-8.69666966399
22	-12.3469620684
23	-9.12186055147
24	-9.27323880964
25	-19.3255353769
26	-18.2193105468
27	-11.5336307514
28	-16.1480353688
29	-9.12186055147
30	-18.676235042
31	-17.7028621633
32	-17.7713076333
33	-20.5160147239
34	-7.15785093467
35	-14.2089591951
36	-10.8504256943
37	-6.04408909011
38	-6.04408909011
39	-10.1831181066
40	-5.34941631211
41	-6.04409291072
42	-6.09117545646
43	-8.33233172344
44	-8.55303364448
45	-11.0670005904
46	-13.3179107409
47	-12.3899803067
48	-8.87041967841
49	-5.67019522024
50	-27.295652282
51	-9.4223653446
52	-5.61477424501
53	-16.6801844117
54	-8.6993185773
55	-8.21852152244
56	-8.36654096839
57	-5.75835503266
58	-5.52252697813
59	-8.97386244614
60	-10.8525398511
61	-7.98476675923
62	-19.7518023878
63	-33.4382274442
64	-8.97407542473
65	-5.52252697813
66	-9.02141326449
67	-35.856541402
68	-5.52252697813
69	-6.04409291072
70	-7.9408166484
71	-13.0273749179
72	-11.404667967
73	-12.409551747
74	-10.5083399543
75	-23.8154516346
76	-25.741590529
77	-33.895345695
78	-5.67019522024
79	-12.6094103017
80	-17.2725989511
81	-14.7188733337
82	-5.63503528406
83	-7.59016193636
84	-6.0676813533
85	-14.4754794427
86	-11.0653548522
87	-15.4621559546
88	-14.3424851462
89	-16.2148464953
90	-31.854998195
91	-8.91908989203
92	-15.9153285279
93	-41.9117691662
94	-32.3573058571
95	-16.4116203351
96	-6.09117545646
97	-8.53892136056
98	-15.5573600499
99	-11.1135443982
100	-20.1343116844
101	-14.2445091605
102	-6.04409291072
103	-15.3328388306
104	-15.4400229105
105	-11.1759646138
106	-7.63835148969
107	-19.3037984982
108	-31.2040819004
109	-8.35246967839
110	-8.85432552301
111	-28.8239436359
112	-16.9715776765
113	-13.4452266317
114	-30.0699978274
115	-11.220889443
116	-6.04409291072
117	-9.43034986404
118	-9.74088867092
119	-5.36643447674
120	-11.4170743196
121	-7.43385278326
122	-14.2433752151
123	-12.0701279618
124	-10.5565620294
125	-5.20090646453
126	-13.538679676
127	-8.39382430492
128	-11.1522055072
129	-5.52252697813
130	-9.23299473902
131	-15.1385812647
132	-5.67019522024
133	-6.0676813533
134	-5.20090646453
135	-8.68677179889
136	-5.68322482617
137	-6.32276326559
138	-8.82165366439
139	-19.674942663
140	-8.40858082487
141	-14.2445046303
142	-6.09117545646
143	-5.52252697813
144	-5.75835503266
145	-6.38248392396
146	-5.52252697813
147	-5.36643447674
148	-15.3299816631
149	-21.0598405875
150	-5.52252697813
151	-11.6568034327
152	-8.40945315847
153	-9.23465525514
154	-4.55636647138
155	-6.0676813533
156	-6.09117545646
157	-8.89029221077
158	-5.67019522024
159	-28.7377721625
160	-8.67256314197
161	-18.878974893
162	-6.09117545646
163	-5.52252697813
164	-8.36654096839
165	-65.6992702923
166	-17.7554313842
167	-26.720893351
168	-12.0611027851
169	-5.52252697813
170	-11.6749310637
171	-5.61477424501
172	-8.25150578459
173	-8.40858082487
174	-13.1645014995
175	-5.52252697813
176	-6.0676813533
177	-21.7969212702
178	-5.52252697813
179	-5.52252697813
180	-10.8125874119
181	-12.1420701322
182	-6.0676813533
183	-5.61477424501
184	-8.53892136056
