#Site1	Site2	lnL	
0	1	-3.02652679853
0	2	-15.8301052734
0	3	-10.9041872345
0	4	-11.8003137437
0	5	-8.74987968499
0	6	-3.42045499315
0	7	-2.98126706103
0	8	-7.20407099176
0	9	-3.29307267616
0	10	-2.98126706307
0	11	-3.82728709213
0	12	-3.42045502993
0	13	-3.32893359229
0	14	-3.95842199549
0	15	-3.10219701909
0	16	-3.20525949025
0	17	-6.84708230535
0	18	-3.10219701909
0	19	-3.02653199417
0	20	-4.29191130113
0	21	-3.29307267693
0	22	-2.98126706312
0	23	-7.20407097237
0	24	-3.29307267693
0	25	-2.98126706312
0	26	-6.84708230534
0	27	-3.04997866439
0	28	-3.02653199417
0	29	-3.9584219955
0	30	-8.61707006305
0	31	-3.02653199417
0	32	-8.20129640415
0	33	-3.29307267693
0	34	-3.32893359229
0	35	-3.9584219955
0	36	-3.10219701909
0	37	-3.02653199417
0	38	-4.4656409951
0	39	-3.10219701909
0	40	-3.02653199417
0	41	-4.4656409951
0	42	-3.04997866439
0	43	-2.98126706312
0	44	-4.29191130113
0	45	-3.04997866439
0	46	-3.20525949025
0	47	-10.0775059772
0	48	-3.04997866439
0	49	-2.98126706312
0	50	-7.93087225806
0	51	-3.42045502994
0	52	-3.02653199417
0	53	-13.0514810243
0	54	-3.42045502994
0	55	-2.98126706312
0	56	-9.09081570964
0	57	-3.42045502994
0	58	-3.32893359229
0	59	-3.9584219955
0	60	-3.04997866439
0	61	-2.98126706312
0	62	-4.29191130113
0	63	-3.04997866439
0	64	-3.02653199417
0	65	-10.7222172509
0	66	-3.04997866439
0	67	-2.98126706312
0	68	-9.99965120796
0	69	-7.35342893256
0	70	-3.02653199417
0	71	-11.618674658
0	72	-3.42045502994
0	73	-3.02653199417
0	74	-3.9584219955
0	75	-3.10219701909
0	76	-2.98126706312
0	77	-4.29191130113
0	78	-3.42045502994
0	79	-3.20525949025
0	80	-12.94350488
0	81	-3.10219701909
0	82	-3.02653199417
0	83	-4.4656409951
0	84	-3.04997866439
0	85	-3.20525949025
0	86	-7.63111999744
0	87	-3.04997866439
0	88	-3.20525949025
0	89	-18.1012768842
0	90	-3.04997866439
0	91	-3.02653199417
0	92	-15.123386589
0	93	-9.62699575774
0	94	-8.60405798153
0	95	-14.393390711
0	96	-3.42045502994
0	97	-3.32893359229
0	98	-3.9584219955
0	99	-3.42045502994
0	100	-3.02653199417
0	101	-17.1243543347
0	102	-3.42045502994
0	103	-3.32893359229
0	104	-8.31233794886
0	105	-3.29307267693
0	106	-3.32893359229
0	107	-3.9584219955
0	108	-3.29307267693
0	109	-3.32893359229
0	110	-3.9584219955
0	111	-3.10219701909
0	112	-2.98126706312
0	113	-4.29191130113
0	114	-11.3880148267
0	115	-3.20525949025
0	116	-4.29191130113
0	117	-3.04997866439
0	118	-2.98126706312
0	119	-4.29191130113
0	120	-3.10219701909
0	121	-3.02653199417
0	122	-6.07989139172
0	123	-3.42045502994
0	124	-3.02653199417
0	125	-10.1823867283
0	126	-3.10219701909
0	127	-3.32893359229
0	128	-3.9584219955
0	129	-3.04997866439
0	130	-2.98126706312
0	131	-4.4656409951
0	132	-3.04997866439
0	133	-2.98126706312
0	134	-4.4656409951
0	135	-3.42045502994
0	136	-3.20525949025
0	137	-13.4264820087
0	138	-3.42045502994
0	139	-2.98126706312
0	140	-3.9584219955
0	141	-8.27373495745
0	142	-3.02653199417
0	143	-13.0000464703
0	144	-3.42045502994
0	145	-2.98126706312
0	146	-8.11518800483
0	147	-3.10219701909
0	148	-3.02653199417
0	149	-12.6540048773
0	150	-3.29307267693
0	151	-2.98126706312
0	152	-11.3476031071
0	153	-3.04997866439
0	154	-2.98126706312
0	155	-4.4656409951
0	156	-3.04997866439
0	157	-3.32893359229
0	158	-3.82728709258
0	159	-3.42045502994
0	160	-3.20525949025
0	161	-9.12417642019
0	162	-3.42045502994
0	163	-3.32893359229
0	164	-3.9584219955
0	165	-3.42045502994
0	166	-2.98126706312
0	167	-7.20407097237
0	168	-8.66865150709
0	169	-3.02653199417
0	170	-7.54285336539
0	171	-3.04997866439
0	172	-3.20525949025
0	173	-12.5131746596
0	174	-3.29307267693
0	175	-2.98126706312
0	176	-7.20407097237
0	177	-3.42045502994
0	178	-2.98126706312
0	179	-3.82728709258
0	180	-3.42045502994
0	181	-2.98126706312
0	182	-10.6294526228
0	183	-3.10219701909
0	184	-3.02653199417
0	185	-6.81284881285
0	186	-3.42045502994
0	187	-2.98126706312
0	188	-3.82728709258
0	189	-3.04997866439
0	190	-3.32893359229
0	191	-3.82728709258
0	192	-8.25238611701
0	193	-3.02653199417
0	194	-6.69216153055
0	195	-3.42045502994
0	196	-3.02653199417
0	197	-16.4842301662
0	198	-3.29307267693
0	199	-2.98126706312
0	200	-3.82728709258
0	201	-3.04997866439
0	202	-3.02653199417
0	203	-15.5601404686
0	204	-3.04997866439
0	205	-3.02653199417
0	206	-4.4656409951
0	207	-3.29307267693
0	208	-2.98126706312
0	209	-3.82728709258
0	210	-3.04997866439
0	211	-2.98126706312
0	212	-7.41446361007
0	213	-3.29307267693
0	214	-3.20525949025
0	215	-3.82728709258
0	216	-3.04997866439
0	217	-3.20525949025
0	218	-10.777032825
0	219	-3.29307267693
0	220	-2.98126706312
0	221	-15.9794903326
0	222	-3.10219701909
0	223	-2.98126706312
0	224	-7.41446361007
0	225	-3.04997866439
0	226	-2.98126706312
0	227	-9.29212546339
0	228	-3.04997866439
0	229	-3.02653199417
0	230	-12.0721440831
0	231	-3.29307267693
0	232	-3.20525949025
0	233	-7.82442665226
0	234	-3.42045502994
0	235	-3.20525949025
0	236	-9.430857214
0	237	-3.10219701909
0	238	-3.32893359229
0	239	-4.4656409951
0	240	-3.10219701909
0	241	-3.02653199417
0	242	-9.07861191836
0	243	-3.10219701909
0	244	-3.02653199417
0	245	-8.06049566879
0	246	-3.04997866439
0	247	-2.98126706312
0	248	-4.29191130113
0	249	-3.29307267693
0	250	-3.32893359229
0	251	-3.9584219955
0	252	-3.29307267693
0	253	-2.98126706312
0	254	-3.82728709258
0	255	-3.04997866439
0	256	-2.98126706312
0	257	-16.4161678248
0	258	-3.42045502994
0	259	-2.98126706312
0	260	-7.08900720796
0	261	-7.35342893256
0	262	-3.02653199417
0	263	-14.2677121427
0	264	-3.04997866439
0	265	-12.4654200929
0	266	-11.5147156641
0	267	-3.42045502994
0	268	-2.98126706312
0	269	-11.4770331619
0	270	-3.42045502994
0	271	-3.32893359229
0	272	-3.9584219955
0	273	-3.04997866439
0	274	-2.98126706312
0	275	-4.4656409951
0	276	-7.38022445432
0	277	-2.98126706312
0	278	-9.81266537331
0	279	-3.10219701909
0	280	-2.98126706312
0	281	-4.29191130113
0	282	-3.29307267693
0	283	-2.98126706312
0	284	-4.29191130113
0	285	-3.04997866439
0	286	-13.5972291458
0	287	-10.1671036196
0	288	-3.10219701909
0	289	-3.02653199417
0	290	-4.4656409951
0	291	-3.42045502994
0	292	-3.20525949025
0	293	-3.9584219955
0	294	-3.04997866439
0	295	-2.98126706312
0	296	-4.29191130113
0	297	-3.04997866439
0	298	-2.98126706312
0	299	-13.9652356387
0	300	-9.81705136281
0	301	-3.02653199417
0	302	-8.5350509921
0	303	-3.42045502994
0	304	-2.98126706312
0	305	-3.82728709258
0	306	-3.10219701909
0	307	-3.20525949025
0	308	-14.900340098
0	309	-3.04997866439
0	310	-2.98126706312
0	311	-16.3589260005
0	312	-3.10219701909
0	313	-3.02653199417
0	314	-4.4656409951
0	315	-3.04997866439
0	316	-3.32893359229
0	317	-3.82728709258
0	318	-3.42045502994
0	319	-2.98126706312
0	320	-10.1481519845
0	321	-3.42045502994
0	322	-2.98126706312
0	323	-12.4521195228
0	324	-3.10219701909
0	325	-3.02653199417
0	326	-4.4656409951
0	327	-3.42045502994
0	328	-2.98126706312
0	329	-3.82728709258
0	330	-3.04997866439
0	331	-3.32893359229
0	332	-3.82728709258
0	333	-3.10219701909
0	334	-3.02653199417
0	335	-3.82728709258
0	336	-3.04997866439
0	337	-2.98126706312
0	338	-4.4656409951
0	339	-3.04997866439
0	340	-2.98126706312
0	341	-9.69937155908
0	342	-3.04997866439
0	343	-3.02653199417
0	344	-4.29191130113
0	345	-3.04997866439
0	346	-3.32893359229
0	347	-3.82728709258
0	348	-3.42045502994
0	349	-3.20525949025
0	350	-18.2907725012
0	351	-3.29307267693
0	352	-2.98126706312
0	353	-12.8023694476
0	354	-10.5623252588
0	355	-3.32893359229
0	356	-8.81063977758
0	357	-3.42045502994
0	358	-3.32893359229
0	359	-3.9584219955
0	360	-9.70896190571
0	361	-3.02653199417
0	362	-11.7889200423
0	363	-3.04997866439
0	364	-3.32893359229
0	365	-3.82728709258
0	366	-3.29307267693
0	367	-2.98126706312
0	368	-12.9993165085
0	369	-3.10219701909
0	370	-3.02653199417
0	371	-4.29191130113
0	372	-3.10219701909
0	373	-3.32893359229
0	374	-4.4656409951
0	375	-3.42045502994
0	376	-3.32893359229
0	377	-11.5609856583
0	378	-3.10219701909
0	379	-3.02653199417
0	380	-13.2884730987
0	381	-3.29307267693
0	382	-3.32893359229
0	383	-3.9584219955
0	384	-3.42045502994
0	385	-3.02653199417
0	386	-5.82485657064
0	387	-3.04997866439
0	388	-3.32893359229
0	389	-3.82728709258
0	390	-3.42045502994
0	391	-3.32893359229
0	392	-3.9584219955
0	393	-3.29307267693
0	394	-2.98126706312
0	395	-3.82728709258
0	396	-3.29307267693
0	397	-2.98126706312
0	398	-12.9993165085
0	399	-3.04997866439
0	400	-3.20525949025
0	401	-4.29191130113
0	402	-3.04997866439
0	403	-2.98126706312
0	404	-12.4842434699
0	405	-3.04997866439
0	406	-3.20525949025
0	407	-4.29191130113
0	408	-3.04997866439
0	409	-3.20525949025
0	410	-11.4423676814
0	411	-3.42045502994
0	412	-3.32893359229
0	413	-3.9584219955
0	414	-9.62699575774
0	415	-3.32893359229
0	416	-7.82442665226
0	417	-9.62699575774
0	418	-3.32893359229
0	419	-7.82442665226
1	2	-15.4360938318
1	3	-10.5102803052
1	4	-11.4063953058
1	5	-8.35595808096
1	6	-3.02653196493
1	7	-2.58734402569
1	8	-6.810147952
1	9	-2.89914964055
1	10	-2.58734402731
1	11	-3.43336405645
1	12	-3.02653199416
1	13	-2.93501055652
1	14	-3.56449895972
1	15	-2.70827398332
1	16	-2.81133645448
1	17	-6.45315926958
1	18	-2.70827398332
1	19	-2.63260895841
1	20	-3.89798826537
1	21	-2.89914964116
1	22	-2.58734402735
1	23	-6.81014793661
1	24	-2.89914964116
1	25	-2.58734402735
1	26	-6.45315926958
1	27	-2.65605562863
1	28	-2.63260895841
1	29	-3.56449895973
1	30	-8.22314702728
1	31	-2.63260895841
1	32	-7.80737336839
1	33	-2.89914964116
1	34	-2.93501055653
1	35	-3.56449895973
1	36	-2.70827398332
1	37	-2.63260895841
1	38	-4.07171795933
1	39	-2.70827398332
1	40	-2.63260895841
1	41	-4.07171795933
1	42	-2.65605562863
1	43	-2.58734402735
1	44	-3.89798826537
1	45	-2.65605562863
1	46	-2.81133645448
1	47	-9.68358294147
1	48	-2.65605562863
1	49	-2.58734402735
1	50	-7.53694922229
1	51	-3.02653199417
1	52	-2.63260895841
1	53	-12.6575579886
1	54	-3.02653199417
1	55	-2.58734402735
1	56	-8.69689267387
1	57	-3.02653199417
1	58	-2.93501055653
1	59	-3.56449895973
1	60	-2.65605562863
1	61	-2.58734402735
1	62	-3.89798826537
1	63	-2.65605562863
1	64	-2.63260895841
1	65	-10.3282942151
1	66	-2.65605562863
1	67	-2.58734402735
1	68	-9.60572817219
1	69	-6.95950589679
1	70	-2.63260895841
1	71	-11.2247516222
1	72	-3.02653199417
1	73	-2.63260895841
1	74	-3.56449895973
1	75	-2.70827398332
1	76	-2.58734402735
1	77	-3.89798826537
1	78	-3.02653199417
1	79	-2.81133645448
1	80	-12.5495818443
1	81	-2.70827398332
1	82	-2.63260895841
1	83	-4.07171795933
1	84	-2.65605562863
1	85	-2.81133645448
1	86	-7.23719696167
1	87	-2.65605562863
1	88	-2.81133645448
1	89	-17.7073538485
1	90	-2.65605562863
1	91	-2.63260895841
1	92	-14.7294635533
1	93	-9.23307272197
1	94	-8.21013494576
1	95	-13.9994676752
1	96	-3.02653199417
1	97	-2.93501055653
1	98	-3.56449895973
1	99	-3.02653199417
1	100	-2.63260895841
1	101	-16.7304312989
1	102	-3.02653199417
1	103	-2.93501055653
1	104	-7.91841491309
1	105	-2.89914964116
1	106	-2.93501055653
1	107	-3.56449895973
1	108	-2.89914964116
1	109	-2.93501055653
1	110	-3.56449895973
1	111	-2.70827398332
1	112	-2.58734402735
1	113	-3.89798826537
1	114	-10.9940917909
1	115	-2.81133645448
1	116	-3.89798826537
1	117	-2.65605562863
1	118	-2.58734402735
1	119	-3.89798826537
1	120	-2.70827398332
1	121	-2.63260895841
1	122	-5.68596835595
1	123	-3.02653199417
1	124	-2.63260895841
1	125	-9.78846369249
1	126	-2.70827398332
1	127	-2.93501055653
1	128	-3.56449895973
1	129	-2.65605562863
1	130	-2.58734402735
1	131	-4.07171795933
1	132	-2.65605562863
1	133	-2.58734402735
1	134	-4.07171795933
1	135	-3.02653199417
1	136	-2.81133645448
1	137	-13.0325589729
1	138	-3.02653199417
1	139	-2.58734402735
1	140	-3.56449895973
1	141	-7.87981192168
1	142	-2.63260895841
1	143	-12.6061234345
1	144	-3.02653199417
1	145	-2.58734402735
1	146	-7.72126496906
1	147	-2.70827398332
1	148	-2.63260895841
1	149	-12.2600818415
1	150	-2.89914964116
1	151	-2.58734402735
1	152	-10.9536800714
1	153	-2.65605562863
1	154	-2.58734402735
1	155	-4.07171795933
1	156	-2.65605562863
1	157	-2.93501055653
1	158	-3.43336405681
1	159	-3.02653199417
1	160	-2.81133645448
1	161	-8.73025338442
1	162	-3.02653199417
1	163	-2.93501055653
1	164	-3.56449895973
1	165	-3.02653199417
1	166	-2.58734402735
1	167	-6.81014793661
1	168	-8.27472847132
1	169	-2.63260895841
1	170	-7.14893032962
1	171	-2.65605562863
1	172	-2.81133645448
1	173	-12.1192516239
1	174	-2.89914964116
1	175	-2.58734402735
1	176	-6.81014793661
1	177	-3.02653199417
1	178	-2.58734402735
1	179	-3.43336405681
1	180	-3.02653199417
1	181	-2.58734402735
1	182	-10.235529587
1	183	-2.70827398332
1	184	-2.63260895841
1	185	-6.41892577708
1	186	-3.02653199417
1	187	-2.58734402735
1	188	-3.43336405681
1	189	-2.65605562863
1	190	-2.93501055653
1	191	-3.43336405681
1	192	-7.85846308124
1	193	-2.63260895841
1	194	-6.29823849478
1	195	-3.02653199417
1	196	-2.63260895841
1	197	-16.0903071304
1	198	-2.89914964116
1	199	-2.58734402735
1	200	-3.43336405681
1	201	-2.65605562863
1	202	-2.63260895841
1	203	-15.1662174329
1	204	-2.65605562863
1	205	-2.63260895841
1	206	-4.07171795933
1	207	-2.89914964116
1	208	-2.58734402735
1	209	-3.43336405681
1	210	-2.65605562863
1	211	-2.58734402735
1	212	-7.02054057431
1	213	-2.89914964116
1	214	-2.81133645448
1	215	-3.43336405681
1	216	-2.65605562863
1	217	-2.81133645448
1	218	-10.3831097892
1	219	-2.89914964116
1	220	-2.58734402735
1	221	-15.5855672968
1	222	-2.70827398332
1	223	-2.58734402735
1	224	-7.02054057431
1	225	-2.65605562863
1	226	-2.58734402735
1	227	-8.89820242763
1	228	-2.65605562863
1	229	-2.63260895841
1	230	-11.6782210473
1	231	-2.89914964116
1	232	-2.81133645448
1	233	-7.43050361649
1	234	-3.02653199417
1	235	-2.81133645448
1	236	-9.03693417823
1	237	-2.70827398332
1	238	-2.93501055653
1	239	-4.07171795933
1	240	-2.70827398332
1	241	-2.63260895841
1	242	-8.68468888259
1	243	-2.70827398332
1	244	-2.63260895841
1	245	-7.66657263302
1	246	-2.65605562863
1	247	-2.58734402735
1	248	-3.89798826537
1	249	-2.89914964116
1	250	-2.93501055653
1	251	-3.56449895973
1	252	-2.89914964116
1	253	-2.58734402735
1	254	-3.43336405681
1	255	-2.65605562863
1	256	-2.58734402735
1	257	-16.022244789
1	258	-3.02653199417
1	259	-2.58734402735
1	260	-6.69508417219
1	261	-6.95950589679
1	262	-2.63260895841
1	263	-13.873789107
1	264	-2.65605562863
1	265	-12.0714970572
1	266	-11.1207926283
1	267	-3.02653199417
1	268	-2.58734402735
1	269	-11.0831101262
1	270	-3.02653199417
1	271	-2.93501055653
1	272	-3.56449895973
1	273	-2.65605562863
1	274	-2.58734402735
1	275	-4.07171795933
1	276	-6.98630141855
1	277	-2.58734402735
1	278	-9.41874233754
1	279	-2.70827398332
1	280	-2.58734402735
1	281	-3.89798826537
1	282	-2.89914964116
1	283	-2.58734402735
1	284	-3.89798826537
1	285	-2.65605562863
1	286	-13.20330611
1	287	-9.77318058383
1	288	-2.70827398332
1	289	-2.63260895841
1	290	-4.07171795933
1	291	-3.02653199417
1	292	-2.81133645448
1	293	-3.56449895973
1	294	-2.65605562863
1	295	-2.58734402735
1	296	-3.89798826537
1	297	-2.65605562863
1	298	-2.58734402735
1	299	-13.5713126029
1	300	-9.42312832705
1	301	-2.63260895841
1	302	-8.14112795633
1	303	-3.02653199417
1	304	-2.58734402735
1	305	-3.43336405681
1	306	-2.70827398332
1	307	-2.81133645448
1	308	-14.5064170622
1	309	-2.65605562863
1	310	-2.58734402735
1	311	-15.9650029647
1	312	-2.70827398332
1	313	-2.63260895841
1	314	-4.07171795933
1	315	-2.65605562863
1	316	-2.93501055653
1	317	-3.43336405681
1	318	-3.02653199417
1	319	-2.58734402735
1	320	-9.7542289487
1	321	-3.02653199417
1	322	-2.58734402735
1	323	-12.0581964871
1	324	-2.70827398332
1	325	-2.63260895841
1	326	-4.07171795933
1	327	-3.02653199417
1	328	-2.58734402735
1	329	-3.43336405681
1	330	-2.65605562863
1	331	-2.93501055653
1	332	-3.43336405681
1	333	-2.70827398332
1	334	-2.63260895841
1	335	-3.43336405681
1	336	-2.65605562863
1	337	-2.58734402735
1	338	-4.07171795933
1	339	-2.65605562863
1	340	-2.58734402735
1	341	-9.30544852331
1	342	-2.65605562863
1	343	-2.63260895841
1	344	-3.89798826537
1	345	-2.65605562863
1	346	-2.93501055653
1	347	-3.43336405681
1	348	-3.02653199417
1	349	-2.81133645448
1	350	-17.8968494654
1	351	-2.89914964116
1	352	-2.58734402735
1	353	-12.4084464118
1	354	-10.168402223
1	355	-2.93501055653
1	356	-8.41671674181
1	357	-3.02653199417
1	358	-2.93501055653
1	359	-3.56449895973
1	360	-9.31503886994
1	361	-2.63260895841
1	362	-11.3949970065
1	363	-2.65605562863
1	364	-2.93501055653
1	365	-3.43336405681
1	366	-2.89914964116
1	367	-2.58734402735
1	368	-12.6053934727
1	369	-2.70827398332
1	370	-2.63260895841
1	371	-3.89798826537
1	372	-2.70827398332
1	373	-2.93501055653
1	374	-4.07171795933
1	375	-3.02653199417
1	376	-2.93501055653
1	377	-11.1670626225
1	378	-2.70827398332
1	379	-2.63260895841
1	380	-12.894550063
1	381	-2.89914964116
1	382	-2.93501055653
1	383	-3.56449895973
1	384	-3.02653199417
1	385	-2.63260895841
1	386	-5.43093353487
1	387	-2.65605562863
1	388	-2.93501055653
1	389	-3.43336405681
1	390	-3.02653199417
1	391	-2.93501055653
1	392	-3.56449895973
1	393	-2.89914964116
1	394	-2.58734402735
