#Site1	Site2	lnL	
0	3	-3.2205883108
0	4	-3.13672215269
0	5	-3.84890850796
0	6	-2.90298514452
0	7	-2.78763271559
0	8	-12.4356034764
0	9	-3.22060061585
0	10	-2.83598056611
0	11	-6.89175881366
0	12	-3.13354497173
0	13	-2.83598317202
0	14	-4.34755872169
0	15	-2.9029988903
0	16	-3.04692886552
0	17	-3.84903626766
0	18	-9.22531256611
0	19	-10.2476342968
0	20	-10.0298451982
0	21	-2.90300706631
0	22	-2.8359903174
0	23	-7.24864728253
0	24	-3.13356614822
0	25	-2.83599249539
0	26	-10.3115135756
0	27	-3.13357088287
0	28	-2.83599458059
0	29	-9.12808039472
0	30	-2.90301805694
0	31	-2.83599657789
0	32	-10.4152440442
0	33	-2.90302141632
0	34	-3.13675158341
0	35	-3.83994009823
0	36	-2.85874306472
0	37	-3.04694782334
0	38	-19.2565154364
0	39	-3.22064795234
0	40	-3.13675608246
0	41	-7.00293385896
0	42	-3.13359175425
0	43	-2.83600377551
0	44	-10.254407752
0	45	-2.90303353194
0	46	-3.13676022439
0	47	-3.84001913279
0	48	-2.9030362625
0	49	-3.04695638876
0	50	-10.5036445898
0	51	-3.22066193251
0	52	-3.04695832147
0	53	-3.84931064994
0	54	-3.13360561546
0	55	-3.04696017863
0	56	-3.84007063111
0	57	-2.90304382725
0	58	-2.83601126564
0	59	-11.1943967441
0	60	-2.8587658838
0	61	-3.04696368026
0	62	-12.5797519
0	63	-3.22067384578
0	64	-2.83601387063
0	65	-9.36536477248
0	66	-2.90305055038
0	67	-2.83601509939
0	68	-12.3767141071
0	69	-3.22067914208
0	70	-2.78767349803
0	71	-7.25625613815
0	72	-2.85877485915
0	73	-2.83601742029
0	74	-11.0463719329
0	75	-12.0556081761
0	76	-2.78767586849
0	77	-10.3493897923
0	78	-2.90305839237
0	79	-2.83601957215
0	80	-16.8512765391
0	81	-2.85878075053
0	82	-2.78767806741
0	83	-10.2960374
0	84	-2.85878257236
0	85	-2.7876791071
0	86	-12.920371029
0	87	-3.22069282671
0	88	-2.78768010917
0	89	-7.25626888946
0	90	-2.90306514503
0	91	-2.83602342444
0	92	-17.5136435709
0	93	-14.5241185224
0	94	-2.78768200669
0	95	-11.4922675588
0	96	-2.85878922667
0	97	-9.79130245415
0	98	-6.5210866136
0	99	-9.29423733227
0	100	-3.04698096682
0	101	-8.28417676402
0	102	-2.85879220943
0	103	-2.78768460766
0	104	-6.52098136065
0	105	-11.8593174133
0	106	-2.78768541444
0	107	-6.15325930107
0	108	-3.22070541544
0	109	-3.04698391741
0	110	-9.3061965503
0	111	-3.13364885989
0	112	-3.13681603781
0	113	-3.84981855705
0	114	-3.13369653343
0	115	-3.13681604726
0	116	-3.84981865035
0	117	-2.90311171453
0	118	-3.0470120508
0	119	-9.11326930163
0	120	-3.22075316825
0	121	-2.83605001955
0	122	-3.84981882868
0	123	-3.22075318337
0	124	-3.04701206891
0	125	-3.84981891387
0	126	-3.13369659687
0	127	-3.04701207756
0	128	-3.84053592537
0	129	-2.8588354606
0	130	-2.78770931144
0	131	-7.25630697863
0	132	-2.90311177314
0	133	-2.83605004593
0	134	-7.35387358752
0	135	-2.90311178383
0	136	-8.8818010162
0	137	-4.40117061002
0	138	-3.22075325245
0	139	-2.78770933089
0	140	-12.366089637
0	141	-3.22075326506
0	142	-2.78770933699
0	143	-11.0857881515
0	144	-2.85883551567
0	145	-2.78770934291
0	146	-7.24847620083
0	147	-2.90311182351
0	148	-2.83605007471
0	149	-4.401170946
0	150	-11.4534435663
0	151	-3.04701213808
0	152	-13.6549096521
0	153	-7.98892580804
0	154	-2.78770935963
0	155	-4.40117109933
0	156	-2.8588355541
0	157	-2.78770936487
0	158	-4.34856235284
0	159	-9.30280145072
0	160	-2.78770936996
0	161	-4.40117124365
0	162	-2.85883557164
0	163	-3.04701216326
0	164	-7.00289015221
0	165	-2.90311187471
0	166	-2.83605010395
0	167	-7.24847604268
0	168	-2.90311188237
0	169	-2.78770938433
0	170	-7.14205165398
0	171	-2.90311188981
0	172	-2.83605011258
0	173	-4.34856269686
0	174	-2.90311189702
0	175	-3.13681618689
0	176	-3.84053690305
0	177	-3.13369679509
0	178	-3.04701219075
0	179	-6.97648760871
0	180	-3.13369680388
0	181	-3.04701219576
0	182	-9.33326027853
0	183	-3.22075340673
0	184	-2.78770940556
0	185	-6.06668456009
0	186	-2.85883563208
0	187	-3.04701220535
0	188	-19.6426042543
0	189	-3.2207534225
0	190	-13.2078448387
0	191	-13.1927240873
0	192	-2.85883564504
0	193	-3.04701221437
0	194	-7.16106628001
0	195	-2.90311194184
0	196	-3.13681621893
0	197	-3.84053720266
0	198	-2.9031119475
0	199	-2.78770942381
0	200	-6.20778619188
0	201	-25.6125919815
0	202	-3.04701222692
0	203	-7.10168963037
0	204	-2.90311195833
0	205	-3.13681623072
0	206	-3.84053731286
0	207	-3.22075346447
0	208	-3.04701223467
0	209	-3.84982049807
0	210	-2.85883567952
0	211	-2.78770943655
0	212	-6.62626298583
0	213	-2.90311197338
0	214	-2.83605016033
0	215	-10.9567508649
0	216	-3.13369689091
0	217	-2.83605016303
0	218	-10.3111727265
0	219	-3.2207534885
0	220	-10.9636589425
0	221	-3.84053747569
0	222	-3.22075349407
0	223	-3.13681625131
0	224	-8.9605552249
0	225	-10.2839054372
0	226	-3.04701225531
0	227	-14.4001316915
0	228	-10.2839054084
0	229	-3.0470122584
0	230	-17.4568196521
0	231	-7.45352921464
0	232	-14.7317648288
0	233	-9.52462173397
0	234	-2.90311200363
0	235	-2.83605017761
0	236	-4.40117247115
0	237	-2.90311200745
0	238	-3.04701226713
0	239	-11.9409678559
0	240	-11.2227317081
0	241	-2.78770946239
0	242	-3.84982083443
0	243	-3.22075352865
0	244	-2.78770946457
0	245	-11.9349488991
0	246	-3.22075353302
0	247	-2.78770946668
0	248	-3.84982088444
0	249	-3.22075353726
0	250	-2.78770946874
0	251	-6.27240620333
0	252	-3.22075354138
0	253	-3.13681627832
0	254	-3.84982093152
0	255	-2.9031120281
0	256	-3.04701228238
0	257	-11.3946727618
0	258	-3.22075354924
0	259	-2.78770947453
0	260	-9.10989141766
0	261	-2.90311203419
0	262	-3.04701228688
0	263	-12.0948289959
0	264	-3.22075355664
0	265	-2.83605019673
0	266	-9.67071874431
0	267	-3.22075356018
0	268	-2.83605019835
0	269	-12.1319899165
0	270	-16.7347228018
0	271	-3.04701229314
0	272	-11.6547266884
0	273	-2.90311204532
0	274	-3.13681629291
0	275	-7.24607624777
0	276	-7.45353161765
0	277	-2.78770948466
0	278	-6.30357670164
0	279	-2.85883576636
0	280	-15.7257043637
0	281	-15.6793433906
0	282	-3.22075357634
0	283	-2.83605020572
0	284	-18.0359831703
0	285	-2.85883577144
0	286	-2.78770948908
0	287	-11.0052167731
0	288	-3.13369699355
0	289	-3.04701230407
0	290	-3.84053797555
0	291	-2.90311205968
0	292	-2.83605020963
0	293	-7.46030601638
0	294	-2.90311206183
0	295	-3.04701230729
0	296	-14.913717554
0	297	-2.90311206392
0	298	-3.04701230884
0	299	-9.10989152605
0	300	-3.22075359276
0	301	-2.7877094956
0	302	-17.7896183182
0	303	-3.22075359522
0	304	-3.04701231178
0	305	-11.1139475563
0	306	-3.22075359761
0	307	-3.04701231319
0	308	-3.84982124845
0	309	-8.2576040698
0	310	-2.78770949906
0	311	-9.9016113334
0	312	-10.4757697007
0	313	-8.7240860802
0	314	-3.84053808243
0	315	-2.85883579266
0	316	-2.78770950121
0	317	-9.76050873684
0	318	-2.90311207688
0	319	-3.04701231841
0	320	-6.27240418232
