#Site	lnL	
0	-11.805189668
1	-13.3214153795
2	-12.4019781669
3	-12.917370155
4	-13.2980004582
5	-15.668394771
6	-12.917370155
7	-13.2980004582
8	-15.9928558553
9	-12.1177685055
10	-12.6593911865
11	-35.9342292912
12	-17.6021443696
13	-25.5966996705
14	-13.3214153795
15	-16.1208277666
16	-16.492531786
17	-13.2980004582
18	-13.298003576
19	-12.3824509301
20	-12.9201322999
21	-12.6593911865
22	-12.8931309756
23	-12.8931309756
24	-12.6593911865
25	-12.8931309756
26	-22.674560777
27	-12.5281506221
28	-19.1364549157
29	-22.0409220764
30	-13.2980004582
31	-12.3824509301
32	-17.8090594523
33	-17.9301078997
34	-12.8605840015
35	-20.9457136003
36	-16.930057563
37	-20.9390729966
38	-16.2889600736
39	-27.5987413244
40	-16.4819144915
41	-12.6593911865
42	-21.5921791497
43	-13.2475431338
44	-32.780650819
45	-18.9842306862
46	-12.6593911865
47	-21.9467284237
48	-12.6593911865
49	-13.3214153795
50	-16.2889600736
51	-12.8605840015
52	-15.4983006049
53	-17.6256232674
54	-26.4905300939
55	-12.6593911865
56	-16.36745765
57	-32.2786449741
58	-12.6593911865
59	-21.5043835735
60	-19.6902369084
61	-21.1566574625
62	-13.3214153795
63	-12.8605840015
64	-17.8581827792
65	-19.2972811915
66	-11.9174577205
67	-13.298003576
68	-18.8941797175
69	-18.9255471922
70	-13.3214153795
71	-37.3988547304
72	-31.1089078019
73	-23.9872526611
74	-12.8931309756
75	-17.3199136324
76	-12.6593911865
77	-21.1851239577
78	-17.2339501318
79	-13.3214153795
80	-20.7623554724
81	-26.04141706
82	-12.8507761596
83	-15.543150988
84	-13.2253768971
85	-20.3589841279
86	-12.8605840015
87	-16.1236888435
88	-12.5281506221
89	-16.4619338501
90	-25.2967628343
91	-12.6593911865
92	-23.3339678666
93	-12.8605840015
94	-16.2963087708
95	-24.7820861986
96	-15.540814966
97	-12.8931309756
98	-13.298003576
99	-18.1114234527
100	-37.678063828
101	-21.6472181458
102	-12.3824509301
103	-15.8142029281
104	-12.5975700598
105	-19.6629017178
106	-12.887616237
107	-13.2253768971
108	-12.9201322999
109	-33.4691145366
110	-12.3824509301
111	-11.9174577205
112	-26.512302116
113	-12.5281506221
114	-25.5221269883
115	-31.591556763
116	-12.8507761596
117	-19.4603226781
118	-12.3824509301
119	-58.9759472318
120	-27.7988669321
121	-13.3214153795
122	-12.8931309756
123	-12.8931309756
124	-23.3107020575
125	-61.2126064124
126	-12.8931309756
127	-27.5841999713
128	-37.2655085969
129	-34.2778585127
130	-58.3786249079
131	-37.6531911254
132	-54.18520033
133	-12.8931309756
134	-49.912871834
135	-26.5883983392
136	-18.458958939
137	-25.5221269883
138	-12.5281506221
139	-25.7854679397
140	-21.1524968421
141	-11.9174577205
142	-16.265548599
143	-17.2339501318
144	-12.6593911865
145	-24.6064946298
146	-16.36745765
147	-38.9207084401
148	-21.4967821665
149	-12.8931309756
150	-27.8345677108
151	-22.575830448
152	-43.9887763707
153	-43.6944637989
154	-20.3416561585
155	-12.5281506221
156	-15.8849143086
157	-12.3824509301
158	-16.2348146791
159	-31.3381535594
160	-21.1691582389
161	-13.3214153795
162	-12.6593911865
163	-19.4539337894
164	-14.8327039513
165	-15.6109539632
166	-40.4044723395
167	-15.7089624186
168	-16.9693178092
169	-16.3355939077
170	-12.6593911865
171	-13.2253768971
172	-19.4603226781
173	-15.3724674516
174	-18.3145093778
175	-13.3214153795
176	-12.6593911865
177	-12.6039860131
178	-16.0147558411
179	-13.3214153795
180	-12.8507761596
181	-20.8992364716
182	-13.7452907542
183	-12.5281506221
184	-13.3214153795
185	-16.4844205029
186	-12.5281506221
187	-19.3523371337
188	-17.7405244087
189	-12.9201322999
190	-12.8507761596
191	-30.0455329356
192	-12.6593911865
193	-12.6593911865
194	-16.3500170718
195	-15.2005666783
196	-20.2014951548
197	-12.8931309756
