#Site1	Site2	lnL	
0	1	-2.80088280827
0	2	-3.26280535229
0	3	-3.26281851856
0	4	-3.22084162181
0	5	-7.82881168277
0	6	-3.26283492349
0	7	-3.2628369566
0	8	-2.80092267213
0	9	-2.80092327293
0	10	-2.80092365661
0	11	-10.1282161792
0	12	-2.7720246528
0	13	-2.7720247502
0	14	-7.77143262396
0	15	-3.26284043722
0	16	-2.77202487791
0	17	-7.82209480248
0	18	-3.26284051122
0	19	-2.80092432498
0	20	-7.76355318707
0	21	-3.26284053062
0	22	-2.80092433403
0	23	-10.1469508323
0	24	-2.77202492201
0	25	-3.2208552399
0	26	-2.8009243367
0	27	-3.22085524057
0	28	-3.26284053721
0	29	-2.8009243371
0	30	-3.26284053739
0	31	-2.77202492323
0	32	-7.62505803012
0	33	-2.80092433722
0	34	-2.77202492327
0	35	-7.82151873278
0	36	-2.77202492328
0	37	-3.22085524103
0	38	-12.4322742868
0	39	-2.77202492328
0	40	-2.80092433724
0	41	-14.5025199118
0	42	-2.77202492328
0	43	-2.77202492329
0	44	-10.4939630938
0	45	-11.7687258362
0	46	-2.80092433724
0	47	-11.0860043209
0	48	-3.22085524104
0	49	-2.77202492329
0	50	-3.22085524104
0	51	-2.77202492329
0	52	-2.77202492329
0	53	-9.59311572355
0	54	-2.77202492329
0	55	-3.26284053752
0	56	-7.76415331135
0	57	-7.76445735736
0	58	-2.80092433724
0	59	-18.4647956611
0	60	-10.1324745559
0	61	-2.77202492329
0	62	-13.3190461134
0	63	-7.84062556439
0	64	-3.26284053752
0	65	-2.80092433724
0	66	-10.1975680881
0	67	-2.80092433724
0	68	-14.2738165487
0	69	-12.0562947391
0	70	-12.8972304658
0	71	-12.9546714223
0	72	-2.80092433724
0	73	-2.80092433724
0	74	-7.82151873274
0	75	-2.77202492329
0	76	-2.77202492329
0	77	-7.84797079822
0	78	-2.77202492329
0	79	-2.77202492329
0	80	-10.5097240335
0	81	-2.77202492329
0	82	-3.26284053752
0	83	-2.77202492329
0	84	-3.26284053752
0	85	-3.22085524104
0	86	-7.75688279528
0	87	-3.22085524104
0	88	-3.22085524104
0	89	-2.77202492329
0	90	-2.77202492329
0	91	-3.26284053752
0	92	-2.77202492329
0	93	-3.26284053752
0	94	-3.22085524104
0	95	-12.4941149093
0	96	-3.26284053752
0	97	-2.80092433724
0	98	-10.5533084318
0	99	-2.77202492329
0	100	-2.77202492329
0	101	-7.84067756833
0	102	-3.26284053752
0	103	-2.77202492329
0	104	-7.76476336469
0	105	-2.77202492329
0	106	-2.80092433724
0	107	-9.14707116849
0	108	-2.77202492329
0	109	-2.77202492329
0	110	-10.5097240335
0	111	-2.77202492329
0	112	-2.77202492329
0	113	-7.84797079822
0	114	-2.80092433724
0	115	-2.80092433724
0	116	-3.22085524104
0	117	-3.26284053752
0	118	-3.22085524104
0	119	-7.82209466765
0	120	-2.77202492329
0	121	-2.77202492329
0	122	-12.1282861043
0	123	-2.80092433724
0	124	-2.80092433724
0	125	-12.9898199915
0	126	-3.22085524104
0	127	-2.77202492329
0	128	-7.82209466765
0	129	-2.77202492329
0	130	-2.80092433724
0	131	-3.26284053752
0	132	-3.26284053752
0	133	-3.26284053752
0	134	-7.75688279528
0	135	-2.77202492329
0	136	-3.22085524104
0	137	-12.6628934211
0	138	-3.26284053752
0	139	-2.77202492329
0	140	-13.1286130868
0	141	-3.26284053752
0	142	-2.77202492329
0	143	-9.57721870237
0	144	-3.26284053752
0	145	-2.80092433724
0	146	-7.82151873274
0	147	-3.22085524104
0	148	-3.26284053752
0	149	-2.80092433724
0	150	-9.63829579192
0	151	-2.80092433724
0	152	-9.59311572356
0	153	-3.26284053752
0	154	-9.99358479936
0	155	-19.6307235596
0	156	-3.22085524104
0	157	-3.22085524104
0	158	-2.77202492329
0	159	-7.7009961809
0	160	-7.6250580305
0	161	-2.77202492329
0	162	-2.80092433724
0	163	-2.80092433724
0	164	-12.4279151732
0	165	-2.77202492329
0	166	-2.77202492329
0	167	-7.82151873274
0	168	-3.22085524104
0	169	-2.77202492329
0	170	-7.77235818173
0	171	-3.26284053752
0	172	-9.99358479936
0	173	-17.8637842583
0	174	-2.77202492329
0	175	-2.80092433724
0	176	-3.22085524104
0	177	-2.80092433724
0	178	-3.26284053752
0	179	-3.26284053752
0	180	-2.77202492329
0	181	-2.77202492329
0	182	-7.84797079822
0	183	-2.77202492329
0	184	-3.26284053752
0	185	-2.77202492329
0	186	-3.26284053752
0	187	-3.26284053752
0	188	-2.80092433724
0	189	-9.6560841139
0	190	-2.80092433724
0	191	-11.0064766635
0	192	-2.77202492329
0	193	-2.77202492329
0	194	-3.26284053752
0	195	-3.26284053752
0	196	-3.26284053752
0	197	-2.80092433724
0	198	-3.26284053752
0	199	-2.80092433724
0	200	-7.76355314499
0	201	-10.4126715085
0	202	-9.92600572303
0	203	-2.77202492329
0	204	-2.80092433724
0	205	-9.57197573743
0	206	-7.82941014803
0	207	-2.77202492329
0	208	-3.26284053752
0	209	-7.76476336469
0	210	-12.7134848578
0	211	-2.80092433724
