#Site1	Site2	lnL	
0	1	-2.96220361241
0	2	-3.26458042859
0	3	-3.26458515842
0	4	-3.26458965556
0	5	-2.96221972262
0	6	-2.93791404576
0	7	-2.96222665915
0	8	-2.96222988676
0	9	-2.96223296646
0	10	-3.13625221633
0	11	-2.9622387155
0	12	-3.13625842307
0	13	-3.2646217476
0	14	-2.96224642284
0	15	-3.26462726063
0	16	-2.93793943162
0	17	-7.85109002257
0	18	-2.96225524586
0	19	-3.13627630391
0	20	-2.96225912547
0	21	-3.13628050765
0	22	-3.26464322834
0	23	-2.96226437331
0	24	-3.13628619817
0	25	-2.93795453345
0	26	-7.87700009975
0	27	-2.93795719971
0	28	-2.93795845541
0	29	-2.93795966253
0	30	-2.93796082319
0	31	-3.26465805815
0	32	-2.93796301311
0	33	-9.92720933762
0	34	-3.13630091965
0	35	-23.1660589961
0	36	-3.26466429802
0	37	-3.13630433253
0	38	-12.6953901192
0	39	-2.93796947985
0	40	-3.13630737916
0	41	-23.3315666945
0	42	-3.26467037878
0	43	-3.26467126613
0	44	-2.96228789065
0	45	-3.26467294528
0	46	-3.13631253889
0	47	-10.4359067664
0	48	-2.9379756504
0	49	-2.93797621821
0	50	-12.8108738166
0	51	-3.13631604914
0	52	-3.26467794092
0	53	-2.96229350293
0	54	-3.26467915001
0	55	-3.13631843301
0	56	-2.96229500187
0	57	-3.13631950224
0	58	-2.9379805008
0	59	-2.93798089669
0	60	-2.96229676541
0	61	-2.96229716836
0	62	-3.1363218636
0	63	-2.93798234647
0	64	-3.26468405061
0	65	-2.93798299775
0	66	-2.93798330652
0	67	-2.93798360458
0	68	-3.26468557257
0	69	-2.9379841701
0	70	-2.93798443828
0	71	-3.26468658127
0	72	-2.93798494721
0	73	-3.26468719709
0	74	-2.9379854217
0	75	-2.93798564677
0	76	-2.93798586413
0	77	-3.26468830669
0	78	-2.9623022284
0	79	-2.96230244237
0	80	-12.1258491777
0	81	-3.26468927181
0	82	-2.93798702053
0	83	-2.93798719087
0	84	-2.96230340743
0	85	-2.96230358114
0	86	-9.55502780846
0	87	-3.2646904899
0	88	-3.26469066942
0	89	-14.3713022063
0	90	-3.13632955309
0	91	-3.26469117219
0	92	-2.96230464249
0	93	-3.13633001534
0	94	-2.93798872234
0	95	-2.93798883483
0	96	-3.13633043217
0	97	-3.13633056181
0	98	-9.84115643172
0	99	-3.26469228426
0	100	-3.13633092501
0	101	-9.47872347795
0	102	-2.93798952266
0	103	-2.9379896081
0	104	-3.13633135454
0	105	-2.93798977042
0	106	-3.13633154818
0	107	-15.4273518429
0	108	-2.93798999394
0	109	-2.93799006348
0	110	-9.26996102183
0	111	-2.93799019562
0	112	-2.96230658042
0	113	-13.5010403128
0	114	-3.26469369981
0	115	-3.26469377077
0	116	-7.84987119281
0	117	-3.26469390562
0	118	-11.7880692775
0	119	-2.96230700011
0	120	-2.93799069006
0	121	-2.93799073619
0	122	-7.9983653712
0	123	-2.93799082384
0	124	-3.26469431118
0	125	-2.93799090571
0	126	-2.9379909446
0	127	-2.96230737156
0	128	-16.9142310697
0	129	-3.13633303718
0	130	-2.93799108752
0	131	-3.13633311953
0	132	-11.3311237678
0	133	-3.13633319646
0	134	-12.749370105
0	135	-3.26469478153
0	136	-2.96230768447
0	137	-12.7722585656
0	138	-2.93799132101
0	139	-3.2646949133
0	140	-2.93799137009
0	141	-2.9379913934
0	142	-3.13633348451
0	143	-12.7917659569
0	144	-2.93799145877
0	145	-3.26469508015
0	146	-2.93799149878
0	147	-3.26469512861
0	148	-3.26469515163
0	149	-2.96230799647
0	150	-3.26469519538
0	151	-3.26469521617
0	152	-7.8498641044
0	153	-2.93799161918
0	154	-2.93799163416
0	155	-3.13633377178
0	156	-2.93799166262
0	157	-2.93799167615
0	158	-7.99735626367
0	159	-2.93799170185
0	160	-2.93799171406
0	161	-9.3809876454
0	162	-2.96230819689
0	163	-11.3223327118
0	164	-3.13633390797
0	165	-2.93799176925
0	166	-3.26469545621
0	167	-2.93799178883
0	168	-3.26469547993
0	169	-3.13633396745
0	170	-7.85079192456
0	171	-13.0665663886
0	172	-2.9623083008
0	173	-11.9081855351
0	174	-2.93799184777
0	175	-3.26469555131
0	176	-2.93799186219
0	177	-2.93799186903
0	178	-2.96230834815
0	179	-12.878159362
0	180	-3.26469559284
0	181	-2.93799189422
0	182	-12.8908805512
0	183	-2.93799190558
0	184	-3.13633409566
0	185	-12.9169112325
0	186	-3.2646956342
0	187	-3.26469564031
0	188	-2.96230840846
0	189	-2.93799193539
0	190	-2.93799193979
0	191	-3.13633413648
0	192	-2.9623084274
0	193	-2.96230843174
0	194	-10.7272823525
