#Site1	Site2	lnL	
0	3	-2.62052091923
0	4	-2.618596514
0	5	-3.2648000638
0	6	-2.3693679158
0	7	-2.36779439404
0	8	-7.4814255176
0	9	-2.36936933812
0	10	-2.36779564153
0	11	-4.37276015899
0	12	-2.3693703989
0	13	-2.93416480297
0	14	-3.26486861372
0	15	-2.93665473478
0	16	-2.61860211756
0	17	-3.85338425234
0	18	-2.68721069213
0	19	-2.61860277894
0	20	-3.72401357179
0	21	-2.36937227796
0	22	-8.9891966726
0	23	-3.72402285697
0	24	-2.93665701059
0	25	-2.93416794222
0	26	-8.70402157652
0	27	-2.3693729178
0	28	-2.93416833505
0	29	-3.26490870307
0	30	-2.36937313439
0	31	-2.36779900231
0	32	-7.02746008502
0	33	-2.36937330285
0	34	-2.36779915245
0	35	-4.37286328007
0	36	-2.36937343409
0	37	-2.36779926947
0	38	-7.48090637455
0	39	-2.93665843052
0	40	-2.93416920709
0	41	-3.85343347073
0	42	-2.36937361645
0	43	-2.93416931992
0	44	-3.26491995099
0	45	-2.93665865583
0	46	-2.93416940813
0	47	-6.06802614998
0	48	-2.62053040197
0	49	-2.36779953156
0	50	-3.72405180909
0	51	-2.93665879361
0	52	-2.68518157319
0	53	-6.22781891879
0	54	-2.369373796
0	55	-2.36779959243
0	56	-14.1712337308
0	57	-2.62053051404
0	58	-2.61860496654
0	59	-9.263767012
0	60	-2.93665890706
0	61	-2.68518165585
0	62	-14.4456084073
0	63	-2.36937385218
0	64	-2.93416965273
0	65	-3.26492375847
0	66	-2.68721334234
0	67	-2.93416966864
0	68	-6.06801434164
0	69	-2.93665896158
0	70	-2.68518169558
0	71	-15.0590380233
0	72	-2.36937387919
0	73	-2.36779966672
0	74	-3.72405484769
0	75	-2.68721336965
0	76	-2.93416969853
0	77	-3.85344086802
0	78	-2.68721337513
0	79	-2.61860504236
0	80	-6.96357787164
0	81	-2.36937389219
0	82	-2.36779967833
0	83	-6.33039051481
0	84	-2.6872133828
0	85	-2.61860504885
0	86	-10.0350388042
0	87	-8.23811964459
0	88	-2.6851817239
0	89	-7.02764588295
0	90	-2.62053061067
0	91	-2.61860505284
0	92	-3.26492450645
0	93	-2.36937389971
0	94	-2.36779968504
0	95	-4.37287902718
0	96	-2.93665900652
0	97	-2.36779968592
0	98	-10.1051055282
0	99	-2.36937390146
0	100	-2.36779968661
0	101	-9.69693817333
0	102	-2.9366590087
0	103	-2.61860505679
0	104	-8.81995747184
0	105	-2.36937390254
0	106	-2.68518173047
0	107	-7.69493540038
0	108	-2.36937390291
0	109	-2.3677996879
0	110	-4.37287911196
0	111	-2.3693739032
0	112	-2.93416972479
0	113	-3.26492458334
0	114	-2.36937390343
0	115	-2.6851817315
0	116	-4.37287912569
0	117	-2.93665901114
0	118	-2.61860505848
0	119	-6.06801176828
0	120	-2.36937390375
0	121	-2.68518173186
0	122	-12.6111097173
0	123	-2.36937390386
0	124	-2.93416972572
0	125	-3.26492459397
0	126	-2.36937390395
0	127	-2.36779968883
0	128	-7.22201890849
0	129	-2.36937390402
0	130	-2.68518173217
0	131	-13.6651006264
0	132	-2.93665901186
0	133	-2.68518173223
0	134	-13.0472694683
0	135	-2.93665901193
0	136	-2.36779968897
0	137	-3.26492459799
0	138	-2.93665901198
0	139	-2.61860505906
0	140	-14.1245608553
0	141	-2.93665901202
0	142	-2.61860505908
0	143	-10.31156593
0	144	-2.93665901205
0	145	-2.61860505911
0	146	-15.8434145029
0	147	-2.93665901208
0	148	-2.68518173238
0	149	-11.5812468242
0	150	-2.36937390422
0	151	-2.93416972622
0	152	-3.2649245997
0	153	-2.93665901211
0	154	-2.36779968908
0	155	-3.85344128523
0	156	-11.313405048
0	157	-2.68518173242
0	158	-6.33038977568
0	159	-2.68721339498
0	160	-2.61860505916
0	161	-9.86152638429
0	162	-2.93665901214
0	163	-2.36779968909
0	164	-3.26492460015
0	165	-2.93665901215
0	166	-2.61860505917
0	167	-13.1359396835
0	168	-2.68721339499
0	169	-2.61860505917
0	170	-9.31754807561
0	171	-2.93665901215
0	172	-2.68518173244
0	173	-12.1513372801
0	174	-2.687213395
0	175	-2.3677996891
0	176	-3.72405535104
0	177	-12.1841543467
0	178	-2.61860505918
0	179	-10.1493910394
0	180	-2.93665901216
0	181	-2.3677996891
0	182	-3.26492460036
0	183	-2.687213395
0	184	-2.3677996891
0	185	-3.7240553511
0	186	-2.93665901216
0	187	-2.61860505918
0	188	-10.9590192401
0	189	-18.4194283755
0	190	-2.68518173245
0	191	-13.0981846341
0	192	-2.62053061778
0	193	-2.61860505918
0	194	-3.2649246004
0	195	-2.36937390426
0	196	-2.36779968911
0	197	-9.72456777259
0	198	-2.36937390426
0	199	-2.61860505918
0	200	-13.788362069
0	201	-2.687213395
0	202	-2.36779968911
0	203	-9.46965296573
0	204	-2.36937390426
0	205	-2.36779968911
0	206	-9.66875003222
0	207	-2.36937390426
0	208	-2.36779968911
0	209	-4.37287914757
0	210	-2.687213395
0	211	-2.68518173245
0	212	-10.287518716
0	213	-2.62053061778
0	214	-2.36779968911
0	215	-6.00620367625
0	216	-2.687213395
0	217	-2.36779968911
0	218	-3.72405535116
0	219	-2.68721339501
0	220	-2.93416972628
0	221	-7.28790176851
0	222	-2.93665901217
0	223	-2.68518173245
0	224	-12.7888067786
0	225	-2.68721339501
0	226	-2.61860505918
0	227	-10.2619697534
0	228	-2.68721339501
0	229	-2.93416972628
0	230	-9.46755751658
0	231	-2.93665901217
0	232	-2.61860505918
0	233	-9.29606804176
0	234	-2.36937390426
0	235	-2.68518173245
0	236	-3.85344128597
0	237	-2.62053061778
0	238	-2.36779968911
0	239	-7.22201891357
0	240	-2.93665901217
0	241	-2.61860505918
0	242	-10.765667337
0	243	-2.36937390426
0	244	-2.93416972628
0	245	-3.26492460042
0	246	-2.36937390426
0	247	-2.68518173245
0	248	-12.8508092976
0	249	-2.93665901217
0	250	-2.68518173245
0	251	-9.61638480391
0	252	-2.36937390426
0	253	-2.93416972628
0	254	-7.17550078491
0	255	-2.93665901217
0	256	-2.68518173245
0	257	-9.49918053281
0	258	-2.36937390426
0	259	-2.93416972628
0	260	-3.26492460042
0	261	-2.68721339501
0	262	-2.61860505918
0	263	-16.7451353279
0	264	-2.36937390426
0	265	-2.93416972628
0	266	-3.26492460042
0	267	-2.93665901217
0	268	-2.36779968911
0	269	-6.74670721237
0	270	-12.7272210728
0	271	-2.36779968911
0	272	-3.72405535117
0	273	-2.36937390426
0	274	-2.93416972628
0	275	-3.26492460042
0	276	-2.36937390426
0	277	-8.26864543539
0	278	-12.6141891197
0	279	-2.36937390426
0	280	-11.7281655231
0	281	-6.00620367623
0	282	-2.36937390426
0	283	-2.93416972628
0	284	-3.26492460042
0	285	-2.93665901217
0	286	-2.61860505918
0	287	-3.85344128597
0	288	-2.62053061778
0	289	-2.61860505918
0	290	-13.7794981832
0	291	-2.62053061778
0	292	-2.61860505918
0	293	-14.6951052138
0	294	-2.62053061778
0	295	-2.36779968911
0	296	-3.26492460042
0	297	-2.36937390426
0	298	-2.93416972628
0	299	-3.26492460042
0	300	-2.62053061778
0	301	-2.61860505918
0	302	-3.26492460042
0	303	-2.36937390426
0	304	-2.93416972628
0	305	-3.26492460042
0	306	-2.68721339501
0	307	-2.68518173245
0	308	-7.02386824485
0	309	-2.36937390426
0	310	-2.36779968911
0	311	-3.72405535117
0	312	-2.36937390426
0	313	-2.93416972628
0	314	-8.18584932414
0	315	-2.93665901217
0	316	-2.36779968911
0	317	-13.9160996466
0	318	-8.95881845041
0	319	-11.1194576996
0	320	-3.72405535117
0	321	-2.36937390426
0	322	-8.26864543539
0	323	-11.7928520182
0	324	-2.93665901217
0	325	-2.68518173245
0	326	-3.85344128597
0	327	-11.1664628534
0	328	-2.61860505918
0	329	-11.3333480707
0	330	-2.62053061778
0	331	-2.61860505918
0	332	-9.3141302981
0	333	-2.93665901217
0	334	-11.4666583882
0	335	-14.687674257
0	336	-2.93665901217
0	337	-11.3598420258
0	338	-12.8750225322
0	339	-2.93665901217
0	340	-2.61860505918
0	341	-14.2278104718
0	342	-2.93665901217
0	343	-2.61860505918
0	344	-15.087225598
0	345	-2.36937390426
0	346	-2.36779968911
0	347	-4.37287914758
0	348	-2.36937390426
0	349	-2.36779968911
0	350	-9.933132657
0	351	-2.93665901217
0	352	-2.61860505918
0	353	-6.06801172668
1	3	-2.93632509361
1	4	-2.93440114049
1	5	-3.58056152379
1	6	-2.68517352092
1	7	-2.68360026416
1	8	-7.79743576474
1	9	-2.68517548891
1	10	-2.68360198699
1	11	-4.68852450774
1	12	-2.68517694918
1	13	-3.24997083999
1	14	-3.58065612421
1	15	-3.25246101237
1	16	-2.93440888105
1	17	-4.16917147148
1	18	-3.00301754467
1	19	-2.93440978501
1	20	-4.03980635641
1	21	-2.68517952101
1	22	-9.30500477522
1	23	-4.03981901598
1	24	-3.25246412038
1	25	-3.24997513051
1	26	-9.0198594596
1	27	-2.6851803926
1	28	-3.24997566511
1	29	-3.5807108433
1	30	-2.68518068719
1	31	-2.68360658492
1	32	-7.3432640457
1	33	-2.68518091615
1	34	-2.68360678894
1	35	-4.68866544242
1	36	-2.68518109443
1	37	-2.68360694789
1	38	-7.79673160723
1	39	-3.25246605121
1	40	-3.24997685009
1	41	-4.1692385121
1	42	-2.68518134201
1	43	-3.24997700324
1	44	-3.58072612205
