#Site	lnL	
0	-1.88609770896
1	-1.29627124262
2	-5.14714084119
3	-1.42203102172
4	-1.35621246714
5	-8.63475113286
6	-1.38782465465
7	-1.37072524089
8	-5.51781856407
9	-1.88609770896
10	-1.29627124262
11	-5.14714084119
12	-9.21842431981
13	-1.35621246714
14	-5.12333549232
15	-1.46835155875
16	-1.37072524089
17	-6.13471635408
18	-1.38782465465
19	-7.611887563
20	-6.563309839
21	-1.42203102172
22	-1.37072524089
23	-7.41633505634
24	-1.42203102172
25	-8.1007495145
26	-8.37861711825
27	-1.46835155875
28	-1.37072524089
29	-5.74797503352
30	-1.42203102172
31	-1.37072524089
32	-6.87835050185
33	-1.42203102172
34	-1.29627124262
35	-5.9873570796
36	-1.46835155875
37	-1.35621246714
38	-10.8259449
39	-1.38782465465
40	-1.79208047166
41	-7.2122950645
42	-7.27673538237
43	-1.79208047166
44	-4.27135860966
45	-1.38782465465
46	-1.29627124262
47	-4.27135860966
48	-1.88609770896
49	-1.35621246714
50	-5.9873570796
51	-9.95764619653
52	-1.29627124262
53	-7.06198630414
54	-1.42203102172
55	-1.37072524089
56	-6.87671855165
57	-1.46835155875
58	-1.37072524089
59	-4.27135860966
60	-1.46835155875
61	-1.35621246714
62	-6.71325134147
63	-1.46835155875
64	-1.37072524089
65	-9.34595404439
66	-1.38782465465
67	-1.79208047166
68	-5.14714084119
69	-1.38782465465
70	-1.29627124262
71	-6.99514445285
72	-1.88609770896
73	-1.35621246714
74	-7.5484419243
75	-1.46835155875
76	-1.35621246714
77	-10.0671033851
78	-1.46835155875
79	-1.37072524089
80	-10.1706600284
81	-9.3089380307
82	-1.35621246714
83	-5.51781856407
84	-1.38782465465
85	-1.37072524089
86	-6.13471635408
87	-1.38782465465
88	-1.35621246714
89	-4.27135860966
90	-1.46835155875
91	-1.35621246714
92	-5.14714084119
93	-1.42203102172
94	-1.37072524089
95	-8.88480520791
96	-7.27673538237
97	-1.37072524089
98	-7.41483927813
99	-1.88609770896
100	-1.79208047166
101	-7.91432445432
102	-1.38782465465
103	-1.79208047166
104	-7.91432445432
105	-1.88609770896
106	-1.29627124262
107	-5.14714084119
108	-1.38782465465
109	-8.6711377764
110	-5.9873570796
111	-1.38782465465
112	-1.79208047166
113	-10.6240318556
114	-1.42203102172
115	-1.37072524089
116	-5.14714084119
117	-6.6930600127
118	-11.3919728005
119	-4.27135860966
120	-1.46835155875
121	-1.35621246714
122	-5.81933933554
123	-1.88609770896
124	-1.37072524089
125	-5.7867654255
126	-1.42203102172
127	-1.35621246714
128	-5.7867654255
129	-1.46835155875
130	-1.29627124262
131	-5.51781856407
132	-5.27683225522
133	-1.29627124262
134	-5.51781856407
135	-1.42203102172
136	-1.35621246714
137	-13.7583160067
138	-1.46835155875
139	-1.29627124262
140	-6.49926634206
141	-1.42203102172
142	-1.29627124262
143	-5.51781856407
144	-1.46835155875
145	-1.35621246714
146	-5.96082662945
147	-1.46835155875
148	-1.79208047166
149	-6.49977139081
150	-1.38782465465
151	-1.35621246714
152	-10.8736315964
153	-1.46835155875
154	-1.29627124262
155	-11.7005977711
156	-1.38782465465
157	-1.79208047166
158	-4.27135860966
159	-1.42203102172
160	-1.79208047166
161	-6.21758736845
162	-1.46835155875
163	-1.37072524089
164	-7.30294936435
165	-1.46835155875
166	-1.29627124262
167	-7.69380113213
168	-1.46835155875
169	-1.29627124262
170	-7.5754146369
171	-1.38782465465
172	-1.79208047166
173	-6.49977139081
174	-7.84868403851
175	-1.35621246714
176	-6.91968808639
177	-1.38782465465
178	-1.29627124262
179	-4.27135860966
180	-1.46835155875
181	-1.79208047166
182	-6.44708634882
183	-1.38782465465
184	-8.82553992446
185	-9.19054635724
186	-1.38782465465
187	-1.37072524089
188	-5.51781856407
189	-1.46835155875
190	-1.29627124262
191	-6.34084678342
192	-1.88609770896
193	-1.37072524089
194	-7.8446502338
195	-1.38782465465
196	-1.35621246714
197	-7.39203853225
198	-1.46835155875
199	-1.79208047166
200	-4.27135860966
201	-1.46835155875
202	-1.29627124262
203	-13.052025453
204	-6.65792102619
205	-1.37072524089
206	-10.4990326563
207	-8.39497600519
208	-1.35621246714
209	-9.34562807864
210	-1.38782465465
211	-1.35621246714
212	-8.21311641516
213	-1.46835155875
214	-1.29627124262
215	-8.83177113426
216	-1.38782465465
217	-1.29627124262
218	-5.14714084119
219	-1.38782465465
220	-1.29627124262
221	-5.12333549232
222	-1.46835155875
223	-1.35621246714
224	-8.11464343064
225	-1.46835155875
226	-7.74459397157
227	-4.27135860966
228	-1.46835155875
229	-1.35621246714
230	-5.14714084119
231	-1.42203102172
232	-1.29627124262
233	-6.13471635408
234	-1.46835155875
235	-1.37072524089
236	-7.2056963135
237	-1.46835155875
238	-1.37072524089
239	-9.29343506633
240	-1.38782465465
241	-1.35621246714
242	-5.14714084119
243	-1.38782465465
244	-1.79208047166
245	-5.549822986
246	-1.38782465465
247	-1.35621246714
248	-5.14714084119
249	-1.38782465465
250	-1.37072524089
251	-5.53528155862
252	-1.38782465465
253	-1.37072524089
254	-6.13471635408
255	-1.42203102172
256	-1.37072524089
257	-8.80508660222
258	-1.42203102172
259	-1.35621246714
260	-7.2056963135
261	-1.46835155875
262	-1.29627124262
263	-7.83042756798
264	-1.46835155875
265	-1.35621246714
266	-9.53594689979
267	-1.38782465465
268	-1.37072524089
269	-8.35417049045
270	-1.46835155875
271	-1.29627124262
272	-7.79295837263
273	-6.25353417685
274	-1.37072524089
275	-7.49756306212
276	-7.7334282412
277	-1.79208047166
278	-8.11361527189
279	-5.76656372648
280	-1.37072524089
281	-8.05817564688
282	-6.61572838175
283	-10.1455054333
284	-7.91432445432
285	-1.42203102172
286	-1.29627124262
