#Site	lnL	
0	-4.44325626315
1	-4.65606306928
2	-9.63617021455
3	-4.90767032298
4	-4.83306789418
5	-7.91102989574
6	-4.42510598128
7	-4.39128520739
8	-10.3784820549
9	-4.73218991215
10	-4.36537675626
11	-9.31010793721
12	-4.44325626315
13	-4.83306789418
14	-8.09161432195
15	-4.73218991215
16	-4.36537675626
17	-9.21187080261
18	-4.42510598128
19	-4.39128520739
20	-11.704590732
21	-4.73218991215
22	-4.65606306928
23	-12.0339815659
24	-4.42510598128
25	-4.83306789418
26	-6.58029171069
27	-4.44325626315
28	-4.36537675626
29	-6.58029171069
30	-4.42510598128
31	-4.65606306928
32	-8.06870959324
33	-4.42510598128
34	-4.39128520739
35	-7.95296956708
36	-4.42510598128
37	-4.65606306928
38	-7.95296956708
39	-4.44325626315
40	-4.83306789418
41	-11.1023610401
42	-4.44325626315
43	-4.39128520739
44	-8.09161432195
45	-4.44325626315
46	-4.65606306928
47	-14.5521076431
48	-4.42510598128
49	-4.39128520739
50	-8.96933421718
51	-4.42510598128
52	-4.83306789418
53	-10.893722927
54	-4.44325626315
55	-4.83306789418
56	-8.42868329759
57	-4.42510598128
58	-4.36537675626
59	-12.6537456421
60	-4.44325626315
61	-4.83306789418
62	-9.93219039663
63	-4.44325626315
64	-4.36537675626
65	-16.089867143
66	-4.73218991215
67	-4.65606306928
68	-11.7933314041
69	-4.73218991215
70	-4.39128520739
71	-13.8220265911
72	-4.90767032298
73	-4.36537675626
74	-19.6054405108
75	-13.9133341041
76	-4.65606306928
77	-13.1550496163
78	-4.42510598128
79	-4.39128520739
80	-6.58029171069
81	-4.73218991215
82	-4.39128520739
83	-8.96275875655
84	-4.73218991215
85	-15.059042166
86	-6.58029171069
87	-4.90767032298
88	-4.39128520739
89	-12.5628653634
90	-4.90767032298
91	-4.39128520739
92	-6.84933448232
93	-4.42510598128
94	-4.36537675626
95	-6.58029171069
96	-10.2875580554
97	-4.65606306928
98	-7.91102989574
99	-4.73218991215
100	-4.83306789418
101	-7.91102989574
102	-4.44325626315
103	-4.36537675626
104	-6.58029171069
105	-4.73218991215
106	-4.36537675626
107	-9.39544524764
108	-4.42510598128
109	-4.36537675626
110	-6.84933448232
111	-4.42510598128
112	-4.39128520739
113	-11.5380910277
114	-4.42510598128
115	-4.65606306928
116	-25.3565305184
117	-11.0262203997
118	-4.39128520739
119	-10.6528942065
120	-4.44325626315
121	-4.65606306928
122	-12.4157518276
123	-4.90767032298
124	-4.65606306928
125	-6.58029171069
126	-4.44325626315
127	-22.6214187882
128	-24.1487952847
129	-4.44325626315
130	-4.39128520739
131	-6.84933448232
132	-4.42510598128
133	-4.36537675626
134	-6.58029171069
135	-4.44325626315
136	-4.36537675626
137	-8.6598695494
138	-4.44325626315
139	-4.36537675626
140	-11.3616607402
141	-4.73218991215
142	-4.65606306928
143	-6.58029171069
144	-4.42510598128
145	-4.83306789418
146	-8.09161432195
147	-9.77561438493
148	-4.36537675626
149	-10.201034251
150	-13.4993616284
151	-4.36537675626
152	-7.95296956708
153	-4.90767032298
154	-4.83306789418
155	-11.860153507
156	-4.42510598128
157	-4.83306789418
158	-12.7122859002
159	-8.9922870942
160	-4.83306789418
161	-9.81874150797
162	-4.90767032298
163	-4.36537675626
164	-15.4354276559
165	-9.15378963107
166	-4.39128520739
167	-6.84933448232
168	-4.42510598128
169	-4.83306789418
170	-11.1833614461
171	-4.42510598128
172	-4.36537675626
173	-8.06870959324
174	-11.224627634
175	-4.36537675626
176	-12.6645481744
177	-4.44325626315
178	-4.39128520739
179	-8.09161432195
180	-4.44325626315
181	-4.36537675626
182	-6.58029171069
183	-4.73218991215
184	-4.36537675626
185	-11.8567422589
186	-4.42510598128
187	-4.65606306928
188	-9.39185735402
189	-4.44325626315
190	-4.36537675626
191	-6.84933448232
192	-4.90767032298
193	-4.83306789418
194	-9.26920881099
195	-4.90767032298
196	-4.65606306928
197	-6.58029171069
198	-16.1318598477
199	-4.83306789418
200	-8.09161432195
201	-4.73218991215
202	-4.39128520739
203	-11.1344946258
204	-4.73218991215
205	-9.33753970676
206	-9.31123225761
207	-4.73218991215
208	-4.36537675626
209	-9.93219039663
210	-4.73218991215
211	-4.36537675626
212	-10.7484725549
213	-4.73218991215
214	-4.36537675626
215	-10.5659274834
216	-4.90767032298
217	-11.8177525608
218	-10.7815390524
219	-4.44325626315
220	-4.83306789418
221	-16.7537174428
222	-4.90767032298
223	-4.39128520739
224	-13.2061771608
225	-8.96562005964
226	-4.65606306928
227	-9.26920881099
228	-9.15378963107
229	-4.39128520739
230	-9.70674730402
231	-8.95544366211
232	-4.36537675626
233	-13.6610028032
234	-4.44325626315
235	-4.39128520739
236	-6.84933448232
237	-4.44325626315
238	-4.83306789418
239	-6.58029171069
240	-16.1318598477
241	-4.36537675626
242	-7.91102989574
243	-4.42510598128
244	-4.39128520739
245	-10.786509195
246	-4.44325626315
247	-4.65606306928
248	-8.46493149529
249	-4.73218991215
250	-4.65606306928
251	-6.58029171069
252	-4.42510598128
253	-4.39128520739
254	-6.58029171069
255	-4.44325626315
256	-11.0660369566
257	-15.0940843051
258	-4.44325626315
259	-4.65606306928
260	-13.5353655197
261	-4.44325626315
262	-4.39128520739
263	-10.3978268474
264	-4.42510598128
265	-4.83306789418
266	-8.6598695494
267	-4.73218991215
268	-4.65606306928
269	-12.7401365496
270	-4.73218991215
271	-4.65606306928
272	-10.786509195
273	-4.73218991215
274	-4.65606306928
275	-9.3518145439
276	-4.42510598128
277	-4.83306789418
278	-6.84933448232
279	-4.90767032298
280	-4.65606306928
281	-9.80781068717
282	-4.42510598128
283	-4.36537675626
284	-9.31010793721
285	-4.44325626315
286	-4.65606306928
287	-8.01865878483
288	-4.73218991215
289	-4.36537675626
290	-10.5334416991
291	-4.44325626315
292	-4.65606306928
293	-10.201034251
294	-4.44325626315
295	-4.39128520739
296	-10.9985526675
297	-4.42510598128
298	-4.83306789418
299	-6.58029171069
300	-4.90767032298
301	-4.39128520739
302	-9.39185735402
303	-4.90767032298
304	-4.65606306928
305	-10.1643001797
306	-14.8408128135
307	-4.36537675626
308	-6.84933448232
309	-4.44325626315
310	-4.83306789418
311	-17.4457239471
312	-4.44325626315
313	-4.39128520739
314	-8.96933421718
315	-10.6986028641
316	-9.754778137
317	-7.91102989574
318	-4.73218991215
319	-4.36537675626
320	-15.2942171347
321	-4.44325626315
322	-4.83306789418
323	-9.15176383484
324	-4.42510598128
325	-4.36537675626
326	-11.1161007493
327	-12.841210902
328	-4.65606306928
329	-6.58029171069
330	-4.44325626315
331	-4.83306789418
332	-11.6906234136
333	-4.90767032298
334	-4.36537675626
335	-10.5239063977
336	-4.42510598128
337	-4.65606306928
338	-8.42868329759
339	-4.42510598128
340	-4.39128520739
341	-6.84933448232
342	-4.44325626315
343	-4.36537675626
344	-8.05172495307
345	-4.90767032298
346	-4.39128520739
347	-11.0967003839
348	-4.44325626315
349	-4.83306789418
350	-11.3289522642
351	-4.90767032298
352	-4.83306789418
353	-6.58029171069
354	-10.2298785771
355	-4.36537675626
356	-6.58029171069
357	-4.90767032298
358	-4.36537675626
359	-8.96275875655
360	-4.42510598128
361	-4.65606306928
362	-6.58029171069
363	-4.44325626315
364	-4.39128520739
365	-9.26920881099
366	-4.42510598128
367	-4.83306789418
368	-8.46493149529
369	-4.42510598128
370	-4.36537675626
371	-6.58029171069
372	-4.42510598128
373	-4.83306789418
374	-9.21187080261
375	-11.1266256449
376	-4.83306789418
377	-10.9197712459
378	-4.90767032298
379	-4.83306789418
380	-12.1059264607
381	-4.44325626315
382	-4.39128520739
383	-15.752287926
384	-4.42510598128
385	-4.65606306928
386	-7.95296956708
387	-4.44325626315
388	-4.39128520739
389	-13.2770412048
390	-4.73218991215
391	-4.65606306928
392	-7.91102989574
393	-4.73218991215
394	-4.39128520739
395	-6.58029171069
396	-4.90767032298
397	-4.39128520739
398	-9.29559713543
399	-4.42510598128
400	-4.36537675626
401	-9.26920881099
402	-4.90767032298
403	-4.83306789418
404	-6.58029171069
405	-4.90767032298
406	-14.6711042058
407	-8.09161432195
408	-4.44325626315
409	-4.36537675626
410	-8.42868329759
411	-10.0970412821
412	-4.36537675626
413	-8.09161432195
414	-4.44325626315
415	-4.36537675626
416	-19.9557563417
417	-4.90767032298
418	-4.36537675626
419	-21.6463813122
420	-10.0903236428
421	-4.36537675626
422	-9.3518145439
423	-4.42510598128
424	-4.36537675626
425	-13.7276353354
426	-4.42510598128
427	-4.83306789418
428	-12.1620626152
429	-4.42510598128
430	-11.7496238567
431	-14.236712897
432	-10.5008679281
433	-4.65606306928
434	-23.7959432752
435	-4.42510598128
436	-4.83306789418
437	-11.8001022127
438	-4.44325626315
439	-4.83306789418
440	-11.4638883995
441	-4.90767032298
442	-4.36537675626
443	-10.3776804417
444	-4.90767032298
445	-4.36537675626
446	-10.778918859
447	-4.90767032298
448	-4.65606306928
449	-10.5119426421
450	-4.42510598128
451	-4.65606306928
452	-8.46493149529
453	-4.42510598128
454	-4.65606306928
455	-8.74451720562
456	-9.00921783393
457	-4.39128520739
458	-6.58029171069
459	-4.44325626315
460	-4.36537675626
461	-9.63617021455
462	-4.42510598128
463	-4.83306789418
464	-7.91102989574
465	-4.44325626315
466	-4.39128520739
467	-6.84933448232
468	-4.90767032298
469	-4.65606306928
470	-17.7013113486
471	-4.73218991215
472	-4.39128520739
473	-9.93219039663
474	-4.90767032298
475	-4.36537675626
476	-12.8327869933
477	-4.44325626315
478	-4.36537675626
479	-8.01865878483
480	-4.73218991215
481	-4.36537675626
482	-9.29559713543
483	-4.42510598128
484	-4.36537675626
485	-8.74451720562
486	-4.42510598128
487	-4.65606306928
488	-9.0458608351
