#Site	lnL	
0	-4.50049296997
1	-19.3797907124
2	-12.2597496094
3	-6.12242262068
4	-9.54106938975
5	-14.5287571781
6	-15.2780309922
7	-9.4415256487
8	-5.20437487226
9	-12.9188681022
10	-5.59827237702
11	-17.8809364898
12	-7.71945219857
13	-10.0237640389
14	-27.0895168665
15	-5.92357708747
16	-5.94586056655
17	-10.0237640389
18	-10.6787987885
19	-6.39973399815
20	-16.7525544067
21	-12.5676698767
22	-10.0619292993
23	-11.4806947215
24	-5.18215742107
25	-22.0322642009
26	-11.8090157234
27	-8.38180181518
28	-5.92357708747
29	-5.18215742107
30	-8.98833616545
31	-16.8081450195
32	-9.37012299556
33	-17.2942558022
34	-9.60116445492
35	-5.44484332749
36	-18.4970340026
37	-5.30089029432
38	-19.8546021793
39	-11.2152890682
40	-5.77720997107
41	-15.9943552632
42	-5.45211121038
43	-10.8336409047
44	-8.78254636782
45	-9.32118595659
46	-5.53828135613
47	-5.44484332749
48	-8.61700126515
49	-8.98833616545
50	-11.54458305
51	-5.59827237702
52	-11.4692736415
53	-10.7741203804
54	-11.8894937029
55	-16.6405007381
56	-9.02255066078
57	-5.44484332749
58	-5.59827237702
59	-5.94586248516
60	-9.51187913376
61	-33.8252336071
62	-5.53828135613
63	-9.2564855579
64	-5.59827237702
65	-6.51921639512
66	-5.94586056655
67	-5.92357708747
68	-6.12242262068
69	-8.37804839788
70	-11.206408617
71	-8.56134553723
72	-5.44484332749
73	-11.3330912316
74	-6.12242262068
75	-9.26250031615
76	-5.44484332749
77	-9.07044230924
78	-15.3336953843
79	-5.60620757091
80	-11.9125135904
81	-9.25562915987
82	-21.9931413245
83	-13.768934802
84	-5.92357708747
85	-4.50049296997
86	-8.73945812059
87	-19.7455866522
88	-8.12466993643
89	-5.59827237702
90	-14.3959228934
91	-13.6943835567
92	-5.94586056655
93	-5.92357708747
94	-8.55611402924
95	-10.5497832725
96	-10.3720350206
97	-17.5587459246
98	-5.30089029432
99	-15.0030075417
100	-5.37230582687
101	-5.59827237702
102	-21.0078661463
103	-14.7738795021
104	-8.78254636782
105	-5.92357708747
106	-18.1114556007
107	-6.12242262068
108	-10.6981366689
109	-6.12242262068
110	-13.3247796595
111	-10.9271575445
112	-15.2099243876
113	-5.59827237702
114	-5.59827237702
115	-5.44484332749
116	-7.86207085822
117	-12.699268807
118	-10.6909347192
119	-10.4951368811
120	-20.5748650757
121	-10.448296809
122	-9.20553240871
123	-5.44484332749
124	-8.81504417357
125	-12.3474428145
126	-5.44484332749
127	-9.02255066078
128	-12.1510917147
129	-6.12242262068
130	-10.8336409047
131	-5.44484332749
132	-10.8065017283
133	-12.1849160432
134	-14.235416613
135	-16.0856732672
136	-14.0254064505
137	-15.2433516804
138	-26.9083221034
139	-15.3357407077
140	-10.8155695562
141	-21.5309773229
142	-18.053218548
143	-11.3945357286
144	-9.23329997394
145	-4.56207068118
146	-8.7323719175
147	-5.60620757091
148	-8.60173478675
149	-8.50221975434
150	-14.2033638069
151	-12.1658228887
152	-23.6382953541
153	-8.28929174203
154	-9.99721823231
155	-5.30089029432
156	-28.1554498637
157	-5.59827237702
158	-5.44484332749
159	-5.59827237702
160	-10.8162902458
161	-27.3425278003
162	-24.6724874797
163	-17.7352508469
164	-8.60173478675
165	-9.0854579242
166	-10.381924402
167	-18.0049037775
168	-5.59827237702
169	-8.55611402924
170	-17.3768049539
171	-8.42268837673
172	-8.56134553723
173	-30.5558303836
174	-9.19428996242
175	-17.4063250468
176	-27.0266134711
177	-36.1331750881
178	-15.1688348412
179	-13.7389350963
180	-33.5462282332
181	-8.42268837673
182	-24.4431784273
183	-17.5605808578
184	-14.4778006826
185	-5.30089029432
186	-19.7632427741
187	-16.3519444613
188	-11.9511464978
189	-16.7711231506
190	-15.7722169059
191	-13.5552567536
192	-13.5668483695
193	-12.3195512257
194	-26.4280075831
195	-21.6069568314
196	-5.92357708747
