#Site	lnL	
0	-1.63233682344
1	-6.58511677384
2	-5.43484685793
3	-1.80819340088
4	-1.74181820164
5	-9.25181815186
6	-1.34919260971
7	-1.30294414027
8	-6.87389730953
9	-1.34919260971
10	-1.56460852976
11	-8.11339258113
12	-1.34919260971
13	-12.0800862946
14	-6.05117315627
15	-1.34919260971
16	-10.6727004056
17	-8.94635523176
18	-1.32917736844
19	-1.30294414027
20	-4.62238671366
21	-1.63233682344
22	-1.30294414027
23	-6.30547576364
24	-1.80819340088
25	-1.30294414027
26	-3.25210804356
27	-1.34919260971
28	-1.74181820164
29	-6.51639729066
30	-1.34919260971
31	-1.74181820164
32	-4.62238671366
33	-1.32917736844
34	-1.56460852976
35	-5.80124128525
36	-1.34919260971
37	-1.30294414027
38	-7.41730496072
39	-1.34919260971
40	-1.56460852976
41	-3.25210804356
42	-1.32917736844
43	-1.27603031816
44	-3.25210804356
45	-1.34919260971
46	-1.74181820164
47	-10.234844017
48	-1.34919260971
49	-1.56460852976
50	-3.48866766592
51	-1.34919260971
52	-1.56460852976
53	-10.4570410256
54	-1.34919260971
55	-1.56460852976
56	-6.67168052559
57	-7.27353360913
58	-1.74181820164
59	-10.2912611538
60	-1.63233682344
61	-7.71344812119
62	-15.2300003275
63	-1.63233682344
64	-1.74181820164
65	-7.7943386752
66	-1.63233682344
67	-1.30294414027
68	-7.33392081814
69	-1.34919260971
70	-1.30294414027
71	-3.25210804356
72	-6.40992911618
73	-1.74181820164
74	-10.1339107439
75	-1.32917736844
76	-1.74181820164
77	-3.48866766592
78	-1.34919260971
79	-1.74181820164
80	-3.25210804356
81	-1.34919260971
82	-1.27603031816
83	-4.80077544337
84	-1.63233682344
85	-1.74181820164
86	-4.62238671366
87	-1.80819340088
88	-1.74181820164
89	-3.48866766592
90	-1.32917736844
91	-1.56460852976
92	-6.67168052559
93	-1.34919260971
94	-1.30294414027
95	-4.99061718174
96	-1.80819340088
97	-1.27603031816
98	-6.51639729066
99	-1.80819340088
100	-1.30294414027
101	-5.6332901417
102	-1.63233682344
103	-1.56460852976
104	-7.28236772226
105	-1.32917736844
106	-1.56460852976
107	-8.85478196068
108	-1.32917736844
109	-1.30294414027
110	-3.48866766592
111	-1.32917736844
112	-1.74181820164
113	-14.2616469582
114	-1.63233682344
115	-1.74181820164
116	-4.80077544337
117	-1.34919260971
118	-1.74181820164
119	-8.82358166771
120	-1.32917736844
121	-1.30294414027
122	-6.11719782087
123	-8.82116119715
124	-1.27603031816
125	-4.94623022235
126	-6.0022897188
127	-1.27603031816
128	-5.6332901417
129	-1.34919260971
130	-1.74181820164
131	-9.34694350523
132	-1.80819340088
133	-6.9950931832
134	-12.6588565112
135	-1.63233682344
136	-1.27603031816
137	-3.48866766592
138	-7.22222642644
139	-1.27603031816
140	-3.48866766592
141	-1.34919260971
142	-1.30294414027
143	-7.85042672111
144	-1.34919260971
145	-1.30294414027
146	-3.25210804356
147	-1.32917736844
148	-1.30294414027
149	-9.11618228568
150	-1.34919260971
151	-1.30294414027
152	-7.09761189472
153	-1.34919260971
154	-1.30294414027
