#Site1	Site2	lnL	
0	1	-2.85560618097
0	2	-4.33588089789
0	3	-3.2080709854
0	4	-3.16779701903
0	5	-3.80628313361
0	6	-2.85060191697
0	7	-2.85563824475
0	8	-3.80638488911
0	9	-2.88859394104
0	10	-3.09206520758
0	11	-3.80647090118
0	12	-3.13130495662
0	13	-3.16784253422
0	14	-3.80654429145
0	15	-3.20814380987
0	16	-2.81945128439
0	17	-6.98596546498
0	18	-2.8886286826
0	19	-3.09209742703
0	20	-3.80666202507
0	21	-3.13134056303
0	22	-3.16787107236
0	23	-3.80670956388
0	24	-3.13134944798
0	25	-2.81947045946
0	26	-7.19565356215
0	27	-2.85067111107
0	28	-2.81947531078
0	29	-3.71960467454
0	30	-2.85067654385
0	31	-3.16788999663
0	32	-3.71963506529
0	33	-9.82055465348
0	34	-3.09212856803
0	35	-21.0117483817
0	36	-3.20820214345
0	37	-3.0921327593
0	38	-13.5390205916
0	39	-2.85068932131
0	40	-3.09213647671
0	41	-19.1339101877
0	42	-3.2082112972
0	43	-3.16790637373
0	44	-3.8069154798
0	45	-3.2082151287
0	46	-3.09214272224
0	47	-11.8961706311
0	48	-2.85069826522
0	49	-2.81949668643
0	50	-13.5722000638
0	51	-3.13139435119
0	52	-3.1679144932
0	53	-3.80696305409
0	54	-3.20822431643
0	55	-3.09214978249
0	56	-3.80697566774
0	57	-3.13139937815
0	58	-2.81950170568
0	59	-3.7197931786
0	60	-2.88868843036
0	61	-2.8557245275
0	62	-4.22885316845
0	63	-2.85070782778
0	64	-3.16792183982
0	65	-3.7198113376
0	66	-2.85070918732
0	67	-2.81950531383
0	68	-4.33693436722
0	69	-2.85071040791
0	70	-2.81950627898
0	71	-4.3369433851
0	72	-2.85071150444
0	73	-3.16792559344
0	74	-3.71983218938
0	75	-2.85071249006
0	76	-2.81950792583
0	77	-4.33695877649
0	78	-2.88869589372
0	79	-2.85573042878
0	80	-9.97291305126
0	81	-3.20823909077
0	82	-2.81950925808
0	83	-3.71984734609
0	84	-2.88869749466
0	85	-2.85573169555
0	86	-7.68264009685
0	87	-3.20824085252
0	88	-3.16792971405
0	89	-14.267704105
0	90	-3.13141383994
0	91	-3.16793030895
0	92	-3.80705593399
0	93	-3.13141449957
0	94	-2.81951121353
0	95	-3.71986138667
0	96	-3.13141509403
0	97	-3.09216408339
0	98	-8.95932495716
0	99	-3.20824344233
0	100	-3.09216450752
0	101	-7.84846215872
0	102	-2.85071792746
0	103	-2.81951222912
0	104	-4.2289366542
0	105	-2.85071827384
0	106	-3.0921652348
0	107	-13.6509453983
0	108	-2.85071858624
0	109	-2.81951275076
0	110	-9.56607200644
0	111	-2.85071886805
0	112	-2.85573502117
0	113	-12.4174323217
0	114	-3.2082454815
0	115	-3.1679333778
0	116	-6.98416216982
0	117	-3.20824577776
0	118	-11.3491795674
0	119	-3.80707536748
0	120	-2.85071955869
0	121	-2.81951352086
0	122	-7.27570851056
0	123	-2.85071974551
0	124	-3.16793401506
0	125	-3.71987902509
0	126	-2.85071991413
0	127	-2.85573589642
0	128	-15.5408581074
0	129	-3.13141880303
0	130	-2.81951392291
0	131	-4.22895206199
0	132	-10.6344684529
0	133	-3.09216715659
0	134	-10.1770240977
0	135	-3.20824703832
0	136	-2.85573624254
0	137	-13.7750106231
0	138	-2.85072043974
0	139	-3.16793472499
0	140	-3.71988297653
0	141	-2.85072054084
0	142	-3.09216749235
0	143	-11.1997110843
0	144	-2.85072063213
0	145	-3.16793492174
0	146	-3.71988407177
0	147	-3.20824753786
0	148	-3.16793500605
0	149	-3.80708356978
0	150	-3.20824763399
0	151	-3.16793508217
0	152	-6.98415126146
0	153	-2.8507208562
0	154	-2.81951454856
0	155	-4.22895775461
0	156	-2.8507209169
0	157	-2.81951459665
0	158	-7.27320608697
0	159	-2.85072097172
0	160	-2.81951464007
0	161	-7.46762986857
0	162	-2.88870397058
0	163	-10.8007309286
0	164	-4.22895894407
0	165	-2.85072106593
0	166	-3.16793536541
0	167	-3.71988654154
0	168	-3.20824804379
0	169	-3.09216805558
0	170	-6.98551903629
0	171	-11.8958318286
0	172	-2.85573692461
0	173	-9.44984307596
0	174	-2.85072117571
0	175	-3.1679354777
0	176	-3.71988716663
0	177	-2.85072120546
0	178	-2.85573697707
0	179	-9.72894892312
0	180	-3.20824820654
0	181	-2.81951484652
0	182	-10.2230492776
0	183	-2.8507212566
0	184	-3.09216820529
0	185	-11.5356527691
0	186	-3.20824826619
0	187	-3.16793558285
0	188	-3.80708696501
0	189	-2.85072129831
0	190	-2.81951489879
0	191	-4.22896094155
0	192	-2.88870428223
0	193	-2.85573706975
0	194	-9.8763784575
0	195	-2.88870429929
0	196	-3.09216828075
0	197	-11.0247535969
0	198	-2.88870431471
0	199	-3.16793565284
0	200	-4.33702436094
0	201	-3.20824837158
0	202	-3.09216830841
0	203	-3.80708745636
0	204	-2.88870434121
0	205	-3.09216832027
0	206	-11.0756615499
0	207	-3.20824840084
0	208	-2.81951496571
0	209	-9.6995819201
0	210	-3.20824841339
0	211	-3.16793569943
0	212	-3.80708765127
0	213	-8.59360459894
0	214	-2.85573714095
0	215	-14.1458319178
0	216	-11.1804657678
0	217	-3.09216835729
0	218	-10.1725641762
0	219	-2.85072141635
0	220	-7.66359633379
0	221	-6.79576584898
0	222	-2.85072142282
0	223	-2.81951499742
0	224	-4.33702492357
0	225	-2.85072142866
0	226	-3.09216837668
0	227	-9.44440152691
0	228	-2.85072143393
0	229	-3.16793574181
0	230	-3.71988863702
0	231	-2.8507214387
0	232	-2.85573717228
0	233	-10.0620061709
0	234	-3.20824847862
0	235	-3.09216839097
0	236	-6.98681426085
0	237	-3.20824848365
0	238	-3.16793575507
0	239	-3.80708797884
0	240	-3.20824848818
0	241	-2.85573718208
0	242	-9.90455996009
0	243	-3.20824849228
0	244	-2.85573718474
0	245	-17.1229376775
0	246	-2.8887044304
0	247	-2.81951502407
0	248	-4.22896208155
0	249	-3.13142055462
0	250	-2.81951502612
0	251	-6.98414685819
0	252	-3.13142055756
0	253	-3.09216840927
0	254	-3.71988879329
0	255	-2.88870443784
0	256	-3.09216841138
0	257	-11.5280530191
0	258	-2.8507214654
0	259	-2.81951503116
0	260	-4.22896214607
0	261	-2.85072146712
0	262	-2.81951503252
0	263	-6.9868141041
0	264	-3.20824851178
0	265	-2.81951503376
0	266	-3.71988883487
0	267	-2.88870444481
0	268	-2.85573719855
