#Site	lnL	
0	-1.35486159237
1	-1.26869370059
2	-2.56982082197
3	-1.77966269246
4	-1.65145754594
5	-2.01045347278
6	-1.35486159237
7	-1.26257490148
8	-1.91917116182
9	-1.37308328989
10	-1.49340797083
11	-6.75145431237
12	-1.62009223921
13	-1.26257490148
14	-10.5337752342
15	-1.77966269246
16	-1.65145754594
17	-2.01045347278
18	-1.37308328989
19	-1.26257490148
20	-2.39756558501
21	-1.35486159237
22	-1.65145754594
23	-1.91917116182
24	-1.37308328989
25	-1.49340797083
26	-2.01045347278
27	-1.62009223921
28	-1.65145754594
29	-2.01045347278
30	-1.35486159237
31	-1.49340797083
32	-9.28587359097
33	-1.62009223921
34	-1.65145754594
35	-2.01045347278
36	-1.37308328989
37	-1.26257490148
38	-2.39756558501
39	-1.35486159237
40	-1.26869370059
41	-2.56982082197
42	-1.37308328989
43	-1.26869370059
44	-2.39756558501
45	-1.62009223921
46	-1.26257490148
47	-1.91917116182
48	-1.62009223921
49	-1.65145754594
50	-2.01045347278
51	-1.77966269246
52	-1.26257490148
53	-2.39756558501
54	-1.37308328989
55	-1.26869370059
56	-5.12526611459
57	-1.35486159237
58	-1.65145754594
59	-1.91917116182
60	-1.35486159237
61	-1.26257490148
62	-2.56982082197
63	-1.62009223921
64	-1.26257490148
65	-12.2007027201
66	-1.77966269246
67	-1.65145754594
68	-2.01045347278
69	-1.77966269246
70	-1.49340797083
71	-4.64846190389
72	-6.80633086135
73	-1.26869370059
74	-7.01680683482
75	-9.49933675349
76	-10.9012227637
77	-11.4684898497
78	-17.0352462784
79	-1.26869370059
80	-9.82182870684
81	-1.37308328989
82	-1.49340797083
83	-12.1441965869
84	-1.35486159237
85	-1.49340797083
86	-13.7470560865
87	-1.37308328989
88	-1.26257490148
89	-7.88148704294
90	-11.1230961107
91	-1.26869370059
92	-2.56982082197
93	-1.35486159237
94	-1.26257490148
95	-2.56982082197
96	-12.188128889
97	-1.26869370059
98	-2.39756558501
99	-1.37308328989
100	-1.26257490148
101	-2.39756558501
102	-1.35486159237
103	-1.26257490148
104	-2.56982082197
105	-1.77966269246
106	-1.26869370059
107	-4.96427298539
108	-1.77966269246
109	-1.65145754594
110	-2.01045347278
111	-1.77966269246
112	-1.26257490148
113	-2.39756558501
114	-1.35486159237
115	-1.26869370059
116	-2.01045347278
117	-1.77966269246
118	-1.26869370059
119	-7.79378577322
120	-1.77966269246
121	-1.26257490148
122	-6.1801091463
123	-1.35486159237
124	-1.26869370059
125	-2.39756558501
126	-1.35486159237
127	-1.26257490148
128	-10.8241260863
129	-1.77966269246
130	-1.49340797083
131	-5.35091663997
132	-1.35486159237
133	-1.26257490148
134	-8.61685444202
135	-1.77966269246
136	-1.65145754594
137	-2.01045347278
138	-1.37308328989
139	-1.49340797083
140	-6.31392400899
141	-1.35486159237
142	-1.26869370059
143	-2.39756558501
144	-1.62009223921
145	-1.26257490148
146	-1.91917116182
147	-1.35486159237
148	-1.26257490148
149	-2.56982082197
150	-1.77966269246
151	-1.65145754594
152	-2.01045347278
153	-1.35486159237
154	-1.26869370059
155	-2.56982082197
156	-1.62009223921
157	-1.49340797083
158	-1.91917116182
159	-1.62009223921
160	-1.26257490148
161	-5.63258658346
162	-1.35486159237
163	-1.26257490148
164	-2.56982082197
165	-1.37308328989
166	-1.26869370059
167	-13.6519751844
168	-1.37308328989
169	-1.26257490148
170	-2.39756558501
171	-1.62009223921
172	-1.26257490148
173	-1.91917116182
174	-1.77966269246
175	-1.65145754594
176	-2.01045347278
177	-1.35486159237
178	-1.26257490148
