#Site1	Site2	lnL	
0	1	-2.9900798824
0	2	-3.30745941555
0	3	-2.89195422169
0	4	-2.89195912515
0	5	-2.67363709394
0	6	-2.6736401903
0	7	-2.67364294649
0	8	-9.4326374208
0	9	-2.67364760001
0	10	-2.67364956401
0	11	-3.30749995877
0	12	-2.67365290041
0	13	-3.30750460553
0	14	-2.67365558796
0	15	-3.30750835491
0	16	-2.89198922265
0	17	-2.99013130304
0	18	-2.99013241616
0	19	-2.89199235246
0	20	-2.8919931969
0	21	-2.6736615611
0	22	-7.7652833388
0	23	-2.89199526594
0	24	-3.30751817788
0	25	-3.30751880779
0	26	-10.32015042
0	27	-2.67366416357
0	28	-3.30752035528
0	29	-2.67366473336
0	30	-2.67366497787
0	31	-2.67366519891
0	32	-7.70384892924
0	33	-2.6736655795
0	34	-2.67366574294
0	35	-3.30752257128
0	36	-2.67366602448
0	37	-2.67366614543
0	38	-9.42968336463
0	39	-3.30752328991
0	40	-3.3075234289
0	41	-2.990141762
0	42	-2.67366659776
0	43	-3.30752377141
0	44	-2.67366672415
0	45	-3.3075239489
0	46	-3.3075240252
0	47	-7.72499156326
0	48	-2.89200062564
0	49	-2.67366694887
0	50	-2.89200071215
0	51	-3.30752431083
0	52	-2.9901424482
0	53	-7.58126834252
0	54	-2.67366708533
0	55	-2.67366710536
0	56	-15.2118791294
0	57	-2.89200090906
0	58	-2.89200092757
0	59	-9.87730280123
0	60	-3.3075245726
0	61	-2.99014265192
0	62	-18.7161281994
0	63	-2.67366721042
0	64	-3.30752463188
0	65	-2.67366722599
0	66	-2.99014270698
0	67	-3.30752466315
0	68	-7.7249896292
0	69	-3.30752467938
0	70	-2.99014273501
0	71	-19.6019582669
0	72	-2.67366726145
0	73	-2.67366726478
0	74	-2.89200106839
0	75	-2.99014275748
0	76	-3.30752471633
0	77	-2.99014276377
0	78	-2.99014276648
0	79	-2.89200108248
0	80	-7.70389941679
0	81	-2.67366728227
0	82	-2.67366728363
0	83	-7.86673918584
0	84	-2.99014277809
0	85	-2.8920010923
0	86	-11.8948023657
0	87	-7.64270893169
0	88	-2.99014278276
0	89	-7.71922062929
0	90	-2.89200109701
0	91	-2.8920010977
0	92	-2.67366729183
0	93	-2.67366729229
0	94	-2.6736672927
0	95	-3.30752474746
0	96	-3.30752474798
0	97	-2.67366729372
0	98	-11.8937731293
0	99	-2.67366729424
0	100	-2.67366729447
0	101	-12.4241092988
0	102	-3.30752475023
0	103	-2.89200110231
0	104	-10.4889391594
0	105	-2.67366729532
0	106	-2.99014279072
0	107	-10.1100228993
0	108	-2.67366729566
0	109	-2.67366729575
0	110	-3.30752475175
0	111	-2.67366729591
0	112	-3.30752475197
0	113	-2.67366729604
0	114	-2.6736672961
0	115	-2.99014279166
0	116	-3.30752475231
0	117	-3.30752475237
0	118	-2.89200110386
0	119	-7.72498935821
0	120	-2.67366729634
0	121	-2.99014279195
0	122	-13.9858594066
0	123	-2.67366729642
0	124	-3.30752475268
0	125	-2.67366729645
0	126	-2.67366729647
0	127	-2.67366729649
0	128	-7.70341286806
0	129	-2.67366729651
0	130	-2.99014279216
0	131	-15.4804289679
0	132	-3.30752475285
0	133	-2.9901427922
0	134	-16.9863268825
0	135	-3.30752475289
0	136	-2.67366729657
0	137	-2.67366729658
0	138	-3.30752475291
0	139	-2.89200110426
0	140	-17.181570402
0	141	-3.30752475293
0	142	-2.89200110427
0	143	-14.5418793631
0	144	-3.30752475295
0	145	-2.89200110428
0	146	-19.3688030748
0	147	-3.30752475296
0	148	-2.99014279228
0	149	-16.371342954
0	150	-2.67366729662
0	151	-3.30752475297
0	152	-2.67366729662
0	153	-3.30752475297
0	154	-2.67366729662
0	155	-2.99014279229
0	156	-9.7766732238
0	157	-2.9901427923
0	158	-7.8667391274
0	159	-2.9901427923
0	160	-2.8920011043
0	161	-10.6156920312
0	162	-3.30752475298
0	163	-2.67366729663
0	164	-2.67366729663
0	165	-3.30752475298
0	166	-2.89200110431
0	167	-15.9346716889
0	168	-2.9901427923
0	169	-2.89200110431
0	170	-12.5064435317
0	171	-3.30752475299
0	172	-2.9901427923
0	173	-15.8700449661
0	174	-2.9901427923
0	175	-2.67366729663
0	176	-2.89200110431
0	177	-12.2659813684
0	178	-2.89200110431
0	179	-10.5757425296
0	180	-3.30752475299
0	181	-2.67366729663
0	182	-2.67366729663
0	183	-2.99014279231
0	184	-2.67366729663
0	185	-2.89200110431
0	186	-3.30752475299
0	187	-2.89200110431
0	188	-14.8223869512
0	189	-17.3029644129
0	190	-2.99014279231
0	191	-17.7498776131
0	192	-2.89200110431
0	193	-2.89200110431
0	194	-2.67366729663
0	195	-2.67366729663
0	196	-2.67366729663
0	197	-10.6169250133
0	198	-2.67366729663
0	199	-2.89200110431
0	200	-18.3308993635
0	201	-2.99014279231
0	202	-2.67366729663
0	203	-10.4904386635
0	204	-2.67366729663
0	205	-2.67366729663
0	206	-11.0078718197
0	207	-2.67366729663
0	208	-2.67366729663
0	209	-3.30752475299
0	210	-2.99014279231
0	211	-2.99014279231
0	212	-12.4241011215
0	213	-2.89200110431
0	214	-2.67366729663
0	215	-7.70966863249
0	216	-2.99014279231
0	217	-2.67366729663
0	218	-2.89200110431
0	219	-2.99014279231
0	220	-3.30752475299
0	221	-7.71874102137
0	222	-3.30752475299
0	223	-2.99014279231
0	224	-14.8090242833
0	225	-2.99014279231
0	226	-2.89200110431
0	227	-12.4551783924
