#Site	lnL	
0	-1.50208156833
1	-1.46010319194
2	-2.03603516602
3	-1.50208156833
4	-1.50208156833
5	-1.50208156833
6	-1.46010319194
7	-2.03603516602
8	-1.50208156833
9	-2.03603516602
10	-2.03603516602
11	-2.03603516602
12	-1.85711513275
13	-2.03603516602
14	-1.50208156833
15	-13.327664334
16	-2.03603516602
17	-1.50208156833
18	-2.03603516602
19	-6.02397991638
20	-1.50208156833
21	-1.50208156833
22	-2.03603516602
23	-1.50208156833
24	-2.03603516602
25	-1.46010319194
26	-1.85711513275
27	-1.50208156833
28	-1.50208156833
29	-1.46010319194
30	-2.03603516602
31	-9.16998903208
32	-1.85711513275
33	-2.03603516602
34	-1.50208156833
35	-7.41244419931
36	-1.50208156833
37	-1.46010319194
38	-1.50208156833
39	-2.03603516602
40	-1.46010319194
41	-2.03603516602
42	-1.85711513275
43	-1.46010319194
44	-1.46010319194
45	-1.46010319194
46	-2.03603516602
47	-2.03603516602
48	-5.41086569031
49	-2.03603516602
50	-1.50208156833
51	-1.46010319194
52	-9.03385160049
53	-1.50208156833
54	-1.50208156833
55	-2.03603516602
56	-1.50208156833
57	-1.50208156833
58	-2.03603516602
59	-1.50208156833
60	-2.03603516602
61	-1.50208156833
62	-2.03603516602
63	-2.03603516602
64	-2.03603516602
65	-1.85711513275
66	-2.03603516602
67	-1.46010319194
68	-1.85711513275
69	-2.03603516602
70	-1.46010319194
71	-2.03603516602
72	-1.50208156833
73	-1.50208156833
74	-1.85711513275
75	-2.03603516602
76	-1.50208156833
77	-2.03603516602
78	-1.50208156833
79	-2.03603516602
80	-1.46010319194
81	-2.03603516602
82	-2.03603516602
83	-1.46010319194
84	-1.85711513275
85	-1.85711513275
86	-1.50208156833
87	-1.46010319194
88	-2.03603516602
89	-2.03603516602
90	-2.03603516602
91	-1.85711513275
92	-1.46010319194
93	-1.50208156833
94	-1.50208156833
95	-2.03603516602
96	-5.77117398677
97	-1.50208156833
98	-1.50208156833
99	-2.03603516602
100	-1.46010319194
101	-1.50208156833
102	-1.46010319194
103	-1.46010319194
104	-2.03603516602
105	-1.50208156833
106	-1.50208156833
107	-1.46010319194
108	-1.46010319194
109	-1.50208156833
110	-2.03603516602
111	-2.03603516602
112	-1.46010319194
113	-1.50208156833
114	-1.50208156833
115	-1.85711513275
116	-2.03603516602
117	-1.85711513275
118	-1.50208156833
119	-1.50208156833
120	-1.46010319194
121	-2.03603516602
122	-2.03603516602
123	-1.50208156833
124	-2.03603516602
125	-2.03603516602
126	-1.85711513275
127	-1.46010319194
128	-1.50208156833
129	-1.46010319194
130	-1.85711513275
131	-1.50208156833
132	-1.46010319194
133	-1.46010319194
134	-1.85711513275
135	-1.46010319194
136	-2.03603516602
137	-1.50208156833
138	-1.50208156833
139	-1.50208156833
140	-1.85711513275
141	-1.85711513275
142	-1.85711513275
143	-1.85711513275
144	-1.46010319194
145	-1.85711513275
146	-1.50208156833
147	-1.46010319194
148	-1.50208156833
149	-1.85711513275
150	-2.03603516602
151	-1.50208156833
152	-2.03603516602
153	-1.46010319194
154	-1.46010319194
155	-1.50208156833
156	-1.46010319194
157	-1.50208156833
158	-2.03603516602
159	-1.85711513275
160	-1.85711513275
161	-1.46010319194
162	-1.85711513275
163	-1.46010319194
164	-1.46010319194
165	-1.50208156833
166	-1.85711513275
167	-1.50208156833
168	-1.46010319194
169	-1.46010319194
170	-2.03603516602
171	-1.46010319194
172	-1.50208156833
173	-1.46010319194
174	-1.50208156833
175	-1.50208156833
176	-1.85711513275
177	-1.46010319194
178	-1.46010319194
179	-1.46010319194
180	-1.46010319194
181	-2.03603516602
182	-1.46010319194
183	-1.50208156833
184	-1.50208156833
185	-1.46010319194
186	-1.85711513275
187	-1.50208156833
188	-1.46010319194
189	-1.50208156833
190	-1.46010319194
191	-2.03603516602
192	-1.46010319194
193	-2.03603516602
194	-1.46010319194
195	-1.85711513275
196	-2.03603516602
197	-2.03603516602
198	-2.03603516602
199	-1.50208156833
200	-1.46010319194
201	-1.85711513275
202	-1.50208156833
203	-1.46010319194
204	-1.50208156833
205	-1.85711513275
206	-1.46010319194
207	-2.03603516602
208	-1.50208156833
209	-1.85711513275
210	-1.46010319194
211	-1.85711513275
212	-1.50208156833
213	-2.03603516602
214	-1.46010319194
215	-1.46010319194
216	-1.85711513275
217	-1.50208156833
218	-1.50208156833
219	-1.50208156833
220	-1.50208156833
221	-12.4814160375
222	-1.46010319194
223	-1.50208156833
224	-1.50208156833
225	-1.50208156833
226	-1.85711513275
227	-1.50208156833
228	-1.50208156833
229	-1.50208156833
230	-1.46010319194
231	-1.50208156833
232	-1.50208156833
233	-1.85711513275
234	-1.46010319194
235	-1.85711513275
236	-1.85711513275
237	-1.50208156833
238	-1.50208156833
239	-2.03603516602
240	-1.85711513275
241	-1.46010319194
242	-1.46010319194
243	-1.46010319194
244	-1.85711513275
245	-1.50208156833
246	-1.85711513275
247	-2.03603516602
248	-2.03603516602
249	-1.85711513275
250	-1.50208156833
251	-1.85711513275
252	-1.50208156833
253	-1.50208156833
254	-1.46010319194
255	-2.03603516602
256	-2.03603516602
257	-1.50208156833
258	-2.03603516602
259	-1.85711513275
260	-2.03603516602
261	-1.85711513275
262	-2.03603516602
263	-1.46010319194
264	-1.50208156833
265	-1.50208156833
266	-1.85711513275
267	-1.50208156833
268	-1.46010319194
269	-10.0925014482
270	-1.46010319194
271	-2.03603516602
272	-6.12357092582
273	-6.0292402085
274	-8.56612215414
275	-8.81983774815
276	-9.23544590681
277	-13.1242219194
278	-1.46010319194
279	-1.85711513275
280	-13.4010175407
281	-5.79777579189
282	-6.37593358643
283	-5.85983384121
284	-1.46010319194
285	-6.37593358643
286	-1.46010319194
287	-6.64233027605
288	-13.0850181315
289	-5.76341760417
290	-9.64110699224
291	-7.97888154702
292	-1.46010319194
293	-5.41086569031
294	-1.50208156833
295	-9.75471323359
296	-7.1248070091
297	-5.76341760417
298	-6.02822332312
299	-6.26901984732
300	-1.50208156833
301	-1.50208156833
302	-6.11771195347
303	-6.0292402085
304	-1.50208156833
305	-6.11264253471
306	-6.38155593978
307	-25.869702332
308	-1.85711513275
309	-1.50208156833
310	-14.2841344724
311	-15.7187638484
312	-10.4416583855
313	-6.91802050771
314	-6.88359982213
315	-1.46010319194
316	-6.31391475879
317	-1.85711513275
318	-18.5310435366
319	-9.57713632333
320	-9.76070587937
321	-6.37881871032
322	-12.9447979758
323	-11.679957396
324	-9.72333634848
325	-1.50208156833
326	-6.02822332312
327	-1.50208156833
328	-11.5099634217
329	-9.47193359005
330	-1.46010319194
331	-1.46010319194
332	-1.46010319194
333	-12.5260464265
334	-5.76769240916
335	-11.8579197677
336	-1.50208156833
337	-16.1560482492
338	-11.963219872
339	-10.1509586353
340	-10.6127490223
341	-1.50208156833
342	-1.50208156833
343	-15.2749131051
344	-10.0195241239
345	-5.53831080432
346	-8.27813771893
347	-1.46010319194
348	-15.2477297521
349	-7.54463760453
350	-1.46010319194
351	-1.85711513275
352	-10.8639273471
353	-1.50208156833
354	-13.0574305698
355	-11.2164865978
356	-8.85129124747
357	-9.53221418478
358	-6.27364745875
359	-1.50208156833
360	-8.59117625756
361	-2.03603516602
362	-1.85711513275
363	-1.50208156833
364	-5.76341760417
365	-6.38155593978
366	-6.37593358643
367	-11.3752801455
368	-1.85711513275
369	-17.4630448601
370	-1.46010319194
371	-1.85711513275
372	-1.85711513275
373	-1.50208156833
374	-8.01039781202
375	-6.38155593978
376	-2.03603516602
377	-6.56333508375
378	-1.46010319194
379	-5.41086569031
380	-9.24690398472
381	-1.50208156833
382	-1.50208156833
383	-1.50208156833
384	-1.50208156833
385	-1.50208156833
386	-2.03603516602
387	-1.50208156833
388	-1.85711513275
389	-1.46010319194
390	-1.46010319194
391	-2.03603516602
392	-1.46010319194
393	-14.1787448361
394	-1.46010319194
395	-9.11196242756
