#Site1	Site2	lnL	
0	1	-2.82185841266
0	2	-4.61110347396
0	3	-3.26841273848
0	4	-3.17315661366
0	5	-4.03130649754
0	6	-2.94554219332
0	7	-2.8218624492
0	8	-13.6980929938
0	9	-3.26842084449
0	10	-2.86941788684
0	11	-7.00231237995
0	12	-3.1822419798
0	13	-2.86941963878
0	14	-4.56485046439
0	15	-2.9455514396
0	16	-3.08385878395
0	17	-4.03139875937
0	18	-9.8744535617
0	19	-10.8898053277
0	20	-9.35521472612
0	21	-2.94555713009
0	22	-2.86942457266
0	23	-7.39454849407
0	24	-3.18225671623
0	25	-2.86942611743
0	26	-10.0182853276
0	27	-3.18226012304
0	28	-2.86942761569
0	29	-10.7423601026
0	30	-2.94556503247
0	31	-2.86942906932
0	32	-10.1842178076
0	33	-2.94556751125
0	34	-3.17317697532
0	35	-4.01295012347
0	36	-2.90263916541
0	37	-3.08387237784
0	38	-19.2030607482
0	39	-3.26845450435
0	40	-3.17318035297
0	41	-7.00352761065
0	42	-3.18227570726
0	43	-2.86943447176
0	44	-10.0262250287
0	45	-2.94557672835
0	46	-3.17318354
0	47	-4.01301438712
0	48	-2.94557887118
0	49	-3.08387896808
0	50	-11.6312774475
0	51	-3.26846539795
0	52	-3.08388050155
0	53	-4.03161660095
0	54	-3.18228664706
0	55	-3.0838819927
0	56	-4.01305801184
0	57	-2.94558494947
0	58	-2.86944040877
0	59	-11.876749568
0	60	-2.90265715157
0	61	-3.08388485405
0	62	-14.3360260273
0	63	-3.26847513376
0	64	-2.86944256233
0	65	-10.7983410288
0	66	-2.94559054506
0	67	-2.86944359608
0	68	-13.7435929659
0	69	-3.26847961725
0	70	-2.82189272293
0	71	-7.29333437398
0	72	-2.90266475625
0	73	-2.86944558236
0	74	-11.7672853875
0	75	-11.8298191169
0	76	-2.82189477577
0	77	-10.0821149445
0	78	-2.94559733803
0	79	-2.86944746633
0	80	-16.0004765803
0	81	-2.90266995207
0	82	-2.82189672363
0	83	-11.7584565018
0	84	-2.90267159569
0	85	-2.82189766031
0	86	-13.7031394036
0	87	-3.26849172789
0	88	-2.82189857322
0	89	-7.29333104012
0	90	-2.94560345679
0	91	-2.86945095326
0	92	-17.2899449863
0	93	-16.5473511604
0	94	-2.82190033072
0	95	-11.6346888817
0	96	-2.9026777652
0	97	-11.5784307986
0	98	-7.3060625485
0	99	-11.0929185608
0	100	-3.08390016614
0	101	-8.49006590251
0	102	-2.90268062432
0	103	-2.82190280658
0	104	-7.30606223386
0	105	-12.7727929233
0	106	-2.82190359167
0	107	-6.73196319615
0	108	-3.26850369708
0	109	-3.08390303549
0	110	-9.83447146748
0	111	-3.18232519787
0	112	-3.17324732612
0	113	-4.03224946302
0	114	-3.18239429171
0	115	-3.17324737075
0	116	-4.03224992902
0	117	-2.94566627393
0	118	-3.08394339735
0	119	-9.24365463837
0	120	-3.26857226152
0	121	-2.86948682716
0	122	-4.03225083463
0	123	-3.26857233534
0	124	-3.08394348528
0	125	-4.03225127457
0	126	-3.18239459985
0	127	-3.08394352799
0	128	-4.01364314631
0	129	-2.9027416736
0	130	-2.82193764223
0	131	-7.29325906694
0	132	-2.94566656342
0	133	-2.86948695814
0	134	-7.29447577507
0	135	-2.94566661806
0	136	-8.50147781988
0	137	-4.61226440415
0	138	-3.26857268395
0	139	-2.8219377416
0	140	-12.1213033156
0	141	-3.26857274975
0	142	-2.82193777348
0	143	-12.1741136506
0	144	-2.90274195816
0	145	-2.82193780475
0	146	-7.39444217366
0	147	-2.94566682646
0	148	-2.86948710836
0	149	-4.61226625437
0	150	-11.1934943709
0	151	-3.08394384181
0	152	-14.1677275616
0	153	-7.8709208916
0	154	-2.82193789505
0	155	-4.61226712769
0	156	-2.90274216699
0	157	-2.82193792401
0	158	-4.56593293923
0	159	-11.1049844534
0	160	-2.82193795243
0	161	-4.61226796824
0	162	-2.90274226557
0	163	-3.08394398159
0	164	-7.00329118109
0	165	-2.94566711063
0	166	-2.86948727064
0	167	-7.39444148628
0	168	-2.9456671549
0	169	-2.8219380345
0	170	-7.29185175722
0	171	-2.94566719833
0	172	-2.86948732073
0	173	-4.56593500673
0	174	-2.94566724094
0	175	-3.17324810519
0	176	-4.01364870384
0	177	-3.18239567534
0	178	-3.08394414193
0	179	-7.07982768128
0	180	-3.18239572837
0	181	-3.0839441722
0	182	-9.24545491477
0	183	-3.26857355023
0	184	-2.82193816124
0	185	-6.65306062428
0	186	-2.90274262426
0	187	-3.08394423104
0	188	-19.2013130527
0	189	-3.26857364809
0	190	-12.4278158356
0	191	-13.7853819461
0	192	-2.90274270569
0	193	-3.08394428767
0	194	-7.02605903978
0	195	-2.94566751748
0	196	-3.1732483027
0	197	-4.01365064935
0	198	-2.94566755406
0	199	-2.82193827644
0	200	-7.93365392603
0	201	-23.1786650132
0	202	-3.08394436867
0	203	-7.00485200243
0	204	-2.94566762515
0	205	-3.1732483796
0	206	-4.01365140681
0	207	-3.26857392021
0	208	-3.08394442015
0	209	-4.03226072025
0	210	-2.90274293215
0	211	-2.82193836101
0	212	-7.40883345581
0	213	-2.94566772683
0	214	-2.86948762256
0	215	-11.0965124479
0	216	-3.18239629171
0	217	-2.86948764119
0	218	-10.0165423779
0	219	-3.26857408508
0	220	-10.582351472
0	221	-4.01365257681
0	222	-3.26857412437
0	223	-3.17324852081
0	224	-8.96756407518
0	225	-10.1701726634
0	226	-3.08394456332
0	227	-14.5115843593
0	228	-10.1701724025
0	229	-3.08394458563
0	230	-16.9250676649
0	231	-9.21907345276
0	232	-16.5734521218
0	233	-10.0344625045
0	234	-2.94566794264
0	235	-2.86948774582
0	236	-4.61227616424
0	237	-2.94566797119
0	238	-3.08394465007
0	239	-12.2448484799
0	240	-10.0270122041
0	241	-2.82193854626
0	242	-4.03226325225
0	243	-3.26857437941
0	244	-2.82193856292
0	245	-12.4852555462
0	246	-3.26857441315
0	247	-2.82193857926
0	248	-4.03226365829
0	249	-3.26857444625
0	250	-2.8219385953
0	251	-7.01500883319
0	252	-3.26857447873
0	253	-3.17324872308
0	254	-4.03226404917
0	255	-2.94566813152
0	256	-3.08394476841
0	257	-11.6980331844
0	258	-3.26857454186
0	259	-2.82193864161
0	260	-9.35674333729
0	261	-2.94566818103
0	262	-3.08394480494
0	263	-12.1830633849
0	264	-3.26857460263
0	265	-2.8694878957
0	266	-7.88251643374
0	267	-3.26857463216
0	268	-2.86948790918
0	269	-12.5690303793
0	270	-16.4418225019
0	271	-3.08394485721
0	272	-12.2306925617
0	273	-2.94566827456
0	274	-3.17324884343
0	275	-7.10328857042
0	276	-9.21909172598
0	277	-2.82193872668
0	278	-6.93876844952
0	279	-2.90274359561
0	280	-15.0457841642
0	281	-15.5412947797
0	282	-3.26857477167
0	283	-2.86948797285
0	284	-18.0842377081
0	285	-2.90274364073
0	286	-2.82193876571
0	287	-13.5803241994
0	288	-3.1823970965
0	289	-3.0839449532
0	290	-4.01365673081
0	291	-2.94566840216
0	292	-2.86948800826
0	293	-7.39695040293
0	294	-2.94566842205
0	295	-3.08394498285
0	296	-14.7287437149
0	297	-2.94566844157
0	298	-3.08394499725
0	299	-9.35674490438
0	300	-3.26857492249
0	301	-2.82193882601
0	302	-17.1897233753
0	303	-3.268574946
0	304	-3.08394502525
0	305	-11.7587169594
0	306	-3.26857496906
0	307	-3.08394503885
0	308	-4.03226697179
0	309	-7.88555047369
0	310	-2.82193885953
0	311	-9.56384826306
0	312	-10.101436124
0	313	-8.51287435843
0	314	-4.01365779932
0	315	-2.90274384231
0	316	-2.82193888084
0	317	-9.42743556826
0	318	-2.94566856826
0	319	-3.08394509076
0	320	-7.01500725235
0	321	-10.1840796229
0	322	-3.08394510314
0	323	-12.7838971077
0	324	-11.4141471894
0	325	-12.1218330288
0	326	-7.02605539797
0	327	-3.2685751188
0	328	-3.08394512719
0	329	-7.30600937773
0	330	-2.94566863344
0	331	-3.17324909977
0	332	-7.10328727555
0	333	-8.05070182565
0	334	-10.8737712329
0	335	-13.1941474003
0	336	-2.94566866422
0	337	-9.71780496063
0	338	-8.29996743515
0	339	-2.94566867918
0	340	-2.82193895843
0	341	-11.9588885136
0	342	-9.84830959731
0	343	-2.82193896733
0	344	-18.1776859716
0	345	-2.94566870826
0	346	-2.86948818307
0	347	-10.1991446008
0	348	-3.26857524991
0	349	-3.08394520453
0	350	-4.03226864583
0	351	-3.26857526726
0	352	-3.1732491732
0	353	-7.02605495944
0	354	-8.06565513952
0	355	-3.17324918291
0	356	-4.03226885069
0	357	-3.26857530098
0	358	-2.86948821445
